Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.0003005,0.0003031,0.0002986,0.000303,43913963.0,2023-01-01 00:00:00
0.0003026,0.0003061,0.0003024,0.0003056,40419269.0,2023-01-01 01:00:00
0.0003042,0.0003071,0.0002986,0.0003011,146574760.0,2023-01-01 02:00:00
0.0003004,0.000305,0.0002998,0.0003039,102520412.0,2023-01-01 03:00:00
0.0003056,0.0003073,0.0003043,0.0003054,94780468.0,2023-01-01 04:00:00
0.0003063,0.0003064,0.0002986,0.0003043,37398013.0,2023-01-01 05:00:00
0.0003026,0.000304,0.0002979,0.0002991,1783584.0,2023-01-01 06:00:00
0.000297,0.0002975,0.0002846,0.0002902,124466325.0,2023-01-01 07:00:00
0.0002904,0.0003008,0.0002897,0.0002997,77161887.0,2023-01-01 08:00:00
0.0003004,0.0003126,0.0003,0.0003,185054783.0,2023-01-01 09:00:00
0.0002991,0.0003049,0.0002991,0.000301,46175752.0,2023-01-01 10:00:00
0.0003004,0.000302,0.0002932,0.0002978,164697240.0,2023-01-01 11:00:00
0.000298,0.0003011,0.0002944,0.0003001,176052721.0,2023-01-01 12:00:00
0.0003008,0.0003037,0.0002995,0.0003036,213914629.0,2023-01-01 13:00:00
0.0003034,0.0003065,0.0003015,0.0003031,186889745.0,2023-01-01 14:00:00
0.0003027,0.0003116,0.0003013,0.000304,587756041.0,2023-01-01 15:00:00
0.0003032,0.0003038,0.0003006,0.0003018,110559747.0,2023-01-01 16:00:00
0.0003017,0.0003047,0.0003017,0.0003047,51600817.0,2023-01-01 17:00:00
0.0003048,0.00031,0.0003047,0.0003064,172495744.0,2023-01-01 18:00:00
0.0003066,0.0003076,0.0003047,0.000305,330477975.0,2023-01-01 19:00:00
0.000304,0.0003058,0.0003007,0.0003033,165689877.0,2023-01-01 20:00:00
0.0003032,0.000305,0.0002986,0.000304,239573648.0,2023-01-01 21:00:00
0.0003036,0.0003068,0.0003003,0.0003067,208876345.0,2023-01-01 22:00:00
0.0003066,0.0003084,0.0003044,0.0003082,90855345.0,2023-01-01 23:00:00
0.0003077,0.0003077,0.0003032,0.000305,48832611.0,2023-01-02 00:00:00
0.0003054,0.0003062,0.0002968,0.0002985,31056593.0,2023-01-02 01:00:00
0.0002975,0.0003027,0.0002944,0.0003027,55076251.0,2023-01-02 02:00:00
0.0003017,0.0003037,0.0003011,0.0003025,58297547.0,2023-01-02 03:00:00
0.0003026,0.0003031,0.0002863,0.0002985,78629514.0,2023-01-02 04:00:00
0.0002968,0.0003018,0.0002927,0.0002978,51113815.0,2023-01-02 05:00:00
0.0002971,0.0003051,0.0002955,0.0003051,34379867.0,2023-01-02 06:00:00
0.000305,0.0003081,0.000304,0.000304,115379086.0,2023-01-02 07:00:00
0.0003038,0.0003056,0.000302,0.0003056,7084693.0,2023-01-02 08:00:00
