Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
265.08,271.05,264.61,269.24,1428.969,2023-01-01 00:00:00
268.78,273.53,267.26,270.9,856.14,2023-01-01 01:00:00
270.97,273.59,261.06,264.07,934.504,2023-01-01 02:00:00
263.42,263.59,258.39,260.08,902.609,2023-01-01 03:00:00
259.51,264.45,257.44,258.61,407.095,2023-01-01 04:00:00
258.15,259.98,252.7,256.76,468.132,2023-01-01 05:00:00
256.81,257.16,249.65,250.12,437.535,2023-01-01 06:00:00
249.91,250.09,243.18,245.57,750.206,2023-01-01 07:00:00
245.37,252.47,245.37,249.35,503.954,2023-01-01 08:00:00
249.77,252.73,244.94,246.19,553.277,2023-01-01 09:00:00
246.46,250.72,246.26,246.91,419.61,2023-01-01 10:00:00
246.77,246.92,241.74,244.01,373.491,2023-01-01 11:00:00
244.09,247.13,244.09,246.8,445.698,2023-01-01 12:00:00
247.13,251.86,246.85,250.16,493.741,2023-01-01 13:00:00
250.0,254.23,249.82,251.14,492.402,2023-01-01 14:00:00
251.01,254.21,250.03,254.12,425.752,2023-01-01 15:00:00
254.16,256.98,252.9,252.96,471.945,2023-01-01 16:00:00
252.9,259.58,252.48,259.18,536.048,2023-01-01 17:00:00
259.32,264.91,257.96,264.75,770.815,2023-01-01 18:00:00
264.68,265.02,259.23,260.73,748.355,2023-01-01 19:00:00
260.86,267.0,260.13,262.96,763.19,2023-01-01 20:00:00
263.34,263.49,254.5,255.64,810.808,2023-01-01 21:00:00
256.37,261.89,255.17,259.69,571.119,2023-01-01 22:00:00
259.71,261.49,257.66,258.82,363.817,2023-01-01 23:00:00
258.53,258.53,254.09,254.23,301.13,2023-01-02 00:00:00
254.26,255.05,249.15,250.63,562.317,2023-01-02 01:00:00
250.18,251.3,245.15,250.45,892.335,2023-01-02 02:00:00
250.37,252.6,249.94,250.7,396.401,2023-01-02 03:00:00
250.68,251.67,238.13,250.0,1010.092,2023-01-02 04:00:00
250.04,251.7,246.0,247.99,675.358,2023-01-02 05:00:00
247.68,258.35,246.87,257.67,629.855,2023-01-02 06:00:00
257.6,261.03,255.17,258.46,552.938,2023-01-02 07:00:00
258.72,260.03,256.23,257.9,469.457,2023-01-02 08:00:00
258.02,263.62,256.0,262.43,421.76,2023-01-02 09:00:00
262.19,262.19,258.59,259.16,229.065,2023-01-02 10:00:00
259.29,259.29,255.88,257.27,258.78,2023-01-02 11:00:00
257.48,261.19,257.03,258.57,276.172,2023-01-02 12:00:00
258.46,258.48,255.69,256.39,274.834,2023-01-02 13:00:00
256.71,258.12,255.28,255.86,223.363,2023-01-02 14:00:00
255.87,256.77,252.21,255.77,504.283,2023-01-02 15:00:00
255.38,260.84,252.9,260.69,590.069,2023-01-02 16:00:00
260.1,261.15,258.53,260.56,254.355,2023-01-02 17:00:00
260.39,264.71,259.18,259.82,729.879,2023-01-02 18:00:00
259.8,267.52,257.16,265.06,1126.946,2023-01-02 19:00:00
265.13,277.46,261.26,276.65,1959.623,2023-01-02 20:00:00
276.42,277.25,268.91,269.36,1045.724,2023-01-02 21:00:00
269.33,279.3,267.86,278.69,798.895,2023-01-02 22:00:00
278.82,280.73,276.49,277.38,1371.571,2023-01-02 23:00:00
277.52,286.11,270.0,285.89,1086.058,2023-01-03 00:00:00
285.63,288.48,281.28,287.66,1761.704,2023-01-03 01:00:00
287.61,291.41,281.21,283.74,982.712,2023-01-03 02:00:00
283.72,285.17,281.55,281.55,514.184,2023-01-03 03:00:00
281.88,282.98,279.72,280.26,364.205,2023-01-03 04:00:00
280.19,283.5,280.09,282.25,340.894,2023-01-03 05:00:00
282.1,284.25,280.89,282.19,472.049,2023-01-03 06:00:00
282.24,282.38,279.44,281.04,181.101,2023-01-03 07:00:00
