Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.5307,0.5439,0.5306,0.5385,41767.9,2023-01-01 00:00:00
0.5368,0.5449,0.5368,0.5388,75181.7,2023-01-01 01:00:00
0.5388,0.5444,0.5247,0.5305,171397.7,2023-01-01 02:00:00
0.5308,0.5427,0.5273,0.5369,97163.5,2023-01-01 03:00:00
0.537,0.5393,0.5248,0.5281,37859.0,2023-01-01 04:00:00
0.5284,0.5349,0.5153,0.5349,115909.4,2023-01-01 05:00:00
0.5317,0.5564,0.5317,0.5383,113294.2,2023-01-01 06:00:00
0.5385,0.5804,0.5198,0.5714,92087.7,2023-01-01 07:00:00
0.581,0.5949,0.5563,0.5656,219143.1,2023-01-01 08:00:00
0.5639,0.5639,0.5411,0.5473,178301.8,2023-01-01 09:00:00
0.5447,0.5765,0.5436,0.5685,101283.2,2023-01-01 10:00:00
0.5668,0.5769,0.5622,0.5684,78716.2,2023-01-01 11:00:00
0.5671,0.5672,0.5541,0.5613,84925.5,2023-01-01 12:00:00
0.5617,0.5651,0.5552,0.557,66339.9,2023-01-01 13:00:00
0.5573,0.5702,0.5522,0.5539,83377.5,2023-01-01 14:00:00
0.5543,0.5564,0.5473,0.5496,84679.0,2023-01-01 15:00:00
0.5502,0.5558,0.5477,0.5485,62407.1,2023-01-01 16:00:00
0.5479,0.5555,0.5479,0.5539,44082.7,2023-01-01 17:00:00
0.5512,0.5742,0.5507,0.5638,225196.7,2023-01-01 18:00:00
0.5644,0.5926,0.5606,0.5889,280266.8,2023-01-01 19:00:00
0.5883,0.6271,0.5807,0.5994,725735.7,2023-01-01 20:00:00
0.5998,0.5998,0.5765,0.5874,244346.6,2023-01-01 21:00:00
0.5876,0.6036,0.5826,0.6012,243115.7,2023-01-01 22:00:00
0.6005,0.6257,0.5917,0.6154,268338.4,2023-01-01 23:00:00
0.6141,0.6144,0.5977,0.5999,156130.2,2023-01-02 00:00:00
0.5976,0.6075,0.5921,0.5932,83716.9,2023-01-02 01:00:00
0.5912,0.6005,0.5838,0.591,98535.0,2023-01-02 02:00:00
0.5923,0.6154,0.5898,0.6107,176008.7,2023-01-02 03:00:00
0.6136,0.6346,0.5739,0.6315,292647.3,2023-01-02 04:00:00
0.625,0.6464,0.6135,0.6313,131929.7,2023-01-02 05:00:00
0.637,0.65,0.6172,0.6353,55970.9,2023-01-02 06:00:00
0.6328,0.6379,0.6163,0.6175,52675.9,2023-01-02 07:00:00
0.6152,0.6288,0.6106,0.6194,40168.0,2023-01-02 08:00:00
0.618,0.6212,0.6092,0.6201,18660.9,2023-01-02 09:00:00
0.6189,0.6205,0.6038,0.6065,16995.6,2023-01-02 10:00:00
0.6055,0.6115,0.6025,0.6042,38955.5,2023-01-02 11:00:00
0.6043,0.6088,0.597,0.5989,28566.4,2023-01-02 12:00:00
0.5985,0.6051,0.5924,0.6038,46370.9,2023-01-02 13:00:00
0.6046,0.6057,0.5907,0.5924,47773.2,2023-01-02 14:00:00
0.5909,0.5909,0.5794,0.5798,38106.9,2023-01-02 15:00:00
0.5811,0.5944,0.5735,0.5885,27334.8,2023-01-02 16:00:00
0.588,0.5927,0.5849,0.5866,59016.7,2023-01-02 17:00:00
0.587,0.59,0.5726,0.5726,97383.7,2023-01-02 18:00:00
0.5744,0.5862,0.5668,0.5776,40083.6,2023-01-02 19:00:00
0.5851,0.6064,0.5851,0.5948,77418.2,2023-01-02 20:00:00
0.5943,0.5965,0.5856,0.5861,45502.0,2023-01-02 21:00:00
0.586,0.5894,0.5832,0.5849,35938.1,2023-01-02 22:00:00
0.5861,0.5883,0.5816,0.5828,103000.7,2023-01-02 23:00:00
0.584,0.5893,0.582,0.5883,39095.8,2023-01-03 00:00:00
0.5852,0.595,0.5852,0.594,171767.0,2023-01-03 01:00:00
0.5948,0.595,0.588,0.5909,186247.8,2023-01-03 02:00:00
0.5916,0.5941,0.5896,0.5913,26618.9,2023-01-03 03:00:00
0.5928,0.5934,0.5869,0.5904,103691.7,2023-01-03 04:00:00
0.5904,0.594,0.5872,0.5913,23883.4,2023-01-03 05:00:00
0.591,0.5996,0.5867,0.5993,33531.0,2023-01-03 06:00:00
0.5951,0.605,0.5933,0.6041,9230.6,2023-01-03 07:00:00
0.6038,0.6039,0.5949,0.6001,11918.2,2023-01-03 08:00:00
0.5975,0.5992,0.5911,0.5956,15167.6,2023-01-03 09:00:00
0.5964,0.6018,0.5904,0.5905,5420.4,2023-01-03 10:00:00
0.5915,0.5973,0.5868,0.5868,1887.7,2023-01-03 11:00:00
0.5862,0.5925,0.5851,0.5891,13732.8,2023-01-03 12:00:00
0.5873,0.5878,0.581,0.5868,116213.6,2023-01-03 13:00:00
