Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.4792,0.4927,0.4789,0.4907,645153.0,2023-01-01 00:00:00
0.49,0.498,0.4885,0.4934,332434.0,2023-01-01 01:00:00
0.4932,0.5025,0.4832,0.4897,493970.0,2023-01-01 02:00:00
0.4894,0.49,0.4808,0.4837,280021.0,2023-01-01 03:00:00
0.4841,0.4926,0.481,0.4821,272716.0,2023-01-01 04:00:00
0.4838,0.4844,0.4669,0.479,318220.0,2023-01-01 05:00:00
0.4792,0.4941,0.476,0.4929,252615.0,2023-01-01 06:00:00
0.4901,0.4904,0.435,0.47,578682.0,2023-01-01 07:00:00
0.4713,0.484,0.4709,0.48,214372.0,2023-01-01 08:00:00
0.4809,0.4927,0.4686,0.4746,265393.0,2023-01-01 09:00:00
0.472,0.4882,0.4699,0.4814,163125.0,2023-01-01 10:00:00
0.481,0.4839,0.4705,0.4771,211896.0,2023-01-01 11:00:00
0.4772,0.4899,0.4754,0.4826,239827.0,2023-01-01 12:00:00
0.4824,0.4875,0.4789,0.4847,202293.0,2023-01-01 13:00:00
0.484,0.4944,0.4807,0.4854,291365.0,2023-01-01 14:00:00
0.4856,0.4899,0.4798,0.4807,292108.0,2023-01-01 15:00:00
0.4806,0.4824,0.4751,0.4812,195223.0,2023-01-01 16:00:00
0.4823,0.4932,0.4776,0.4921,186305.0,2023-01-01 17:00:00
0.4919,0.4936,0.4772,0.4787,210337.0,2023-01-01 18:00:00
0.4784,0.4871,0.4779,0.4796,240542.0,2023-01-01 19:00:00
0.4806,0.4826,0.4705,0.4732,166743.0,2023-01-01 20:00:00
0.4728,0.476,0.4666,0.4701,362798.0,2023-01-01 21:00:00
0.47,0.4787,0.4694,0.4758,168921.0,2023-01-01 22:00:00
0.4766,0.4815,0.4717,0.4802,198320.0,2023-01-01 23:00:00
0.4801,0.4824,0.4722,0.4723,230453.0,2023-01-02 00:00:00
0.4725,0.4761,0.465,0.4676,143305.0,2023-01-02 01:00:00
0.4659,0.47,0.458,0.4648,300439.0,2023-01-02 02:00:00
0.4647,0.4671,0.4569,0.4636,291787.0,2023-01-02 03:00:00
0.4644,0.4674,0.4371,0.4528,588763.0,2023-01-02 04:00:00
0.4536,0.4547,0.4439,0.4501,242300.0,2023-01-02 05:00:00
0.4497,0.4579,0.4449,0.4547,307215.0,2023-01-02 06:00:00
0.4546,0.4586,0.4518,0.4577,184874.0,2023-01-02 07:00:00
0.4573,0.4577,0.4518,0.4568,66483.0,2023-01-02 08:00:00
0.4556,0.4581,0.4502,0.4567,132798.0,2023-01-02 09:00:00
0.4566,0.4615,0.4553,0.4603,175245.0,2023-01-02 10:00:00
0.4605,0.466,0.4584,0.4584,209815.0,2023-01-02 11:00:00
0.4584,0.4622,0.457,0.4622,210680.0,2023-01-02 12:00:00
0.4619,0.4622,0.4578,0.4604,99996.0,2023-01-02 13:00:00
0.4601,0.4632,0.4524,0.4527,210703.0,2023-01-02 14:00:00
0.4525,0.4528,0.4466,0.4486,145937.0,2023-01-02 15:00:00
0.449,0.4492,0.4384,0.4467,314043.0,2023-01-02 16:00:00
0.4468,0.4485,0.4396,0.4409,233951.0,2023-01-02 17:00:00
0.4413,0.4474,0.4299,0.4324,223157.0,2023-01-02 18:00:00
0.4326,0.4453,0.4306,0.4409,352445.0,2023-01-02 19:00:00
0.4413,0.4469,0.4365,0.4448,303735.0,2023-01-02 20:00:00
0.4444,0.4495,0.4393,0.4403,267627.0,2023-01-02 21:00:00
0.4409,0.4535,0.4409,0.449,146778.0,2023-01-02 22:00:00
0.4491,0.4589,0.4475,0.455,468454.0,2023-01-02 23:00:00
0.4557,0.463,0.4557,0.4616,294595.0,2023-01-03 00:00:00
0.4616,0.4793,0.4611,0.4772,584304.0,2023-01-03 01:00:00
0.4774,0.485,0.4697,0.4764,873551.0,2023-01-03 02:00:00
0.4757,0.4869,0.4743,0.4838,347975.0,2023-01-03 03:00:00
0.4836,0.5162,0.4799,0.5115,905091.0,2023-01-03 04:00:00
0.5115,0.5115,0.498,0.4993,841921.0,2023-01-03 05:00:00
0.5,0.5314,0.4935,0.4937,1042038.0,2023-01-03 06:00:00
0.4941,0.5099,0.4919,0.4958,267317.0,2023-01-03 07:00:00
0.4956,0.5013,0.4863,0.4893,444127.0,2023-01-03 08:00:00
0.4883,0.4891,0.4758,0.4801,256474.0,2023-01-03 09:00:00
0.4794,0.4852,0.4794,0.4829,120789.0,2023-01-03 10:00:00
0.4829,0.4829,0.4775,0.4783,184102.0,2023-01-03 11:00:00
0.4784,0.4891,0.4784,0.486,286337.0,2023-01-03 12:00:00
0.4856,0.4904,0.4754,0.4804,376565.0,2023-01-03 13:00:00
0.4802,0.4844,0.4767,0.4805,166183.0,2023-01-03 14:00:00
0.4807,0.4823,0.4771,0.4774,281630.0,2023-01-03 15:00:00
0.477,0.4773,0.4667,0.4708,338273.0,2023-01-03 16:00:00
0.4712,0.477,0.4682,0.4749,254652.0,2023-01-03 17:00:00
0.4751,0.4793,0.4735,0.4762,137953.0,2023-01-03 18:00:00
0.476,0.4891,0.4757,0.4869,372141.0,2023-01-03 19:00:00
0.4867,0.495,0.4847,0.4921,646763.0,2023-01-03 20:00:00
0.4922,0.513,0.4909,0.5063,887412.0,2023-01-03 21:00:00
0.5064,0.5151,0.4973,0.5087,668373.0,2023-01-03 22:00:00
0.5086,0.5101,0.4934,0.4973,548767.0,2023-01-03 23:00:00
0.4985,0.519,0.4985,0.5168,467043.0,2023-01-04 00:00:00
0.5165,0.5195,0.5093,0.5108,331341.0,2023-01-04 01:00:00
0.51,0.522,0.5092,0.5106,514340.0,2023-01-04 02:00:00
0.51,0.5146,0.5024,0.5061,145321.0,2023-01-04 03:00:00
0.5056,0.5097,0.5,0.5055,263360.0,2023-01-04 04:00:00
0.5059,0.5177,0.5047,0.5098,254320.0,2023-01-04 05:00:00
0.5094,0.5226,0.5053,0.5166,316302.0,2023-01-04 06:00:00
0.5164,0.517,0.505,0.5062,171560.0,2023-01-04 07:00:00
0.506,0.5085,0.5,0.502,182687.0,2023-01-04 08:00:00
0.5022,0.503,0.4963,0.4965,89312.0,2023-01-04 09:00:00
0.4962,0.497,0.4882,0.4961,130625.0,2023-01-04 10:00:00
0.4957,0.4975,0.4897,0.492,89170.0,2023-01-04 11:00:00
0.4927,0.4975,0.4892,0.4933,178999.0,2023-01-04 12:00:00
0.4933,0.5009,0.4924,0.5,179949.0,2023-01-04 13:00:00
0.4998,0.4998,0.4875,0.4875,192045.0,2023-01-04 14:00:00
0.4878,0.4925,0.4847,0.4874,156968.0,2023-01-04 15:00:00
0.4874,0.4978,0.4874,0.4959,253871.0,2023-01-04 16:00:00
0.4955,0.4982,0.4903,0.496,277013.0,2023-01-04 17:00:00
0.496,0.5055,0.4925,0.5037,288718.0,2023-01-04 18:00:00
0.5036,0.5153,0.5,0.5006,409040.0,2023-01-04 19:00:00
0.5014,0.5046,0.4957,0.4963,351794.0,2023-01-04 20:00:00
0.496,0.4971,0.4898,0.4945,354015.0,2023-01-04 21:00:00
0.4939,0.4956,0.4892,0.4918,119463.0,2023-01-04 22:00:00
0.4922,0.4965,0.491,0.4954,83234.0,2023-01-04 23:00:00
0.4955,0.497,0.4882,0.4904,162548.0,2023-01-05 00:00:00
0.4902,0.494,0.4886,0.4924,157923.0,2023-01-05 01:00:00
0.4925,0.4938,0.4896,0.4917,107778.0,2023-01-05 02:00:00
0.4918,0.498,0.4894,0.4976,118021.0,2023-01-05 03:00:00
0.4968,0.4975,0.493,0.4957,91640.0,2023-01-05 04:00:00
0.4948,0.5003,0.4928,0.4973,89330.0,2023-01-05 05:00:00
0.4972,0.4975,0.4808,0.4825,207493.0,2023-01-05 06:00:00
0.4837,0.4866,0.4806,0.4823,127915.0,2023-01-05 07:00:00
0.4818,0.4838,0.4777,0.4801,250301.0,2023-01-05 08:00:00
0.481,0.4844,0.4725,0.4785,59729.0,2023-01-05 09:00:00
0.4778,0.4817,0.4737,0.4815,113672.0,2023-01-05 10:00:00
0.4815,0.4875,0.4799,0.4845,82807.0,2023-01-05 11:00:00
0.4845,0.4846,0.475,0.4811,144270.0,2023-01-05 12:00:00
0.4812,0.4812,0.4718,0.4763,228351.0,2023-01-05 13:00:00
0.4765,0.4765,0.4661,0.4685,259656.0,2023-01-05 14:00:00
0.4682,0.4766,0.4611,0.4682,357061.0,2023-01-05 15:00:00
0.4686,0.4794,0.4675,0.4734,214600.0,2023-01-05 16:00:00
0.4725,0.4731,0.4607,0.4625,236178.0,2023-01-05 17:00:00
0.4607,0.4712,0.4585,0.4704,109766.0,2023-01-05 18:00:00
0.4692,0.4808,0.4682,0.4728,602637.0,2023-01-05 19:00:00
0.4736,0.4749,0.4677,0.4721,103937.0,2023-01-05 20:00:00
0.4721,0.4726,0.4563,0.4573,337265.0,2023-01-05 21:00:00
0.4576,0.4635,0.456,0.4577,140260.0,2023-01-05 22:00:00
0.4574,0.4628,0.4572,0.4573,116512.0,2023-01-05 23:00:00
0.4578,0.4643,0.4578,0.4628,279079.0,2023-01-06 00:00:00
0.4623,0.4643,0.4557,0.4567,247134.0,2023-01-06 01:00:00
0.4576,0.4585,0.38,0.4237,1034189.0,2023-01-06 02:00:00
0.4227,0.4294,0.35,0.406,2599649.0,2023-01-06 03:00:00
0.4063,0.4142,0.3706,0.4125,986168.0,2023-01-06 04:00:00
0.4114,0.4257,0.4075,0.4162,484950.0,2023-01-06 05:00:00
0.4162,0.4273,0.4058,0.423,475327.0,2023-01-06 06:00:00
0.4236,0.4343,0.4157,0.4322,177462.0,2023-01-06 07:00:00
0.4323,0.4346,0.4133,0.4133,198470.0,2023-01-06 08:00:00
0.4151,0.4162,0.3965,0.4139,267407.0,2023-01-06 09:00:00
0.4138,0.414,0.401,0.412,174104.0,2023-01-06 10:00:00
0.4117,0.4309,0.4101,0.4299,467958.0,2023-01-06 11:00:00
0.429,0.4314,0.4221,0.423,226645.0,2023-01-06 12:00:00
0.4234,0.4247,0.4184,0.4233,176184.0,2023-01-06 13:00:00
0.4234,0.4283,0.4155,0.4275,218192.0,2023-01-06 14:00:00
0.4277,0.4301,0.413,0.4162,648126.0,2023-01-06 15:00:00
0.4162,0.432,0.4162,0.425,215865.0,2023-01-06 16:00:00
0.4255,0.4273,0.4193,0.4209,150204.0,2023-01-06 17:00:00
0.4213,0.4217,0.399,0.4014,589829.0,2023-01-06 18:00:00
0.4017,0.4148,0.4012,0.409,276294.0,2023-01-06 19:00:00
0.4094,0.4232,0.4089,0.4151,297899.0,2023-01-06 20:00:00
0.4169,0.4185,0.386,0.3866,1015884.0,2023-01-06 21:00:00
0.3867,0.3921,0.3756,0.3909,1132592.0,2023-01-06 22:00:00
0.3907,0.3907,0.3724,0.3725,498141.0,2023-01-06 23:00:00
0.3728,0.3838,0.3709,0.38,523363.0,2023-01-07 00:00:00
0.3814,0.4039,0.3811,0.399,356880.0,2023-01-07 01:00:00
0.3987,0.4092,0.395,0.4082,252387.0,2023-01-07 02:00:00
0.4072,0.4255,0.4072,0.4159,455289.0,2023-01-07 03:00:00
0.4174,0.421,0.4125,0.4203,225235.0,2023-01-07 04:00:00
0.42,0.4284,0.42,0.4238,261190.0,2023-01-07 05:00:00
0.4238,0.4256,0.4123,0.416,183661.0,2023-01-07 06:00:00
0.4153,0.4159,0.4019,0.4023,217208.0,2023-01-07 07:00:00
0.4022,0.4172,0.4012,0.4143,198171.0,2023-01-07 08:00:00
0.4134,0.4178,0.4089,0.4099,126272.0,2023-01-07 09:00:00
0.4097,0.4162,0.4096,0.4141,57951.0,2023-01-07 10:00:00
0.4131,0.4161,0.4076,0.4123,64048.0,2023-01-07 11:00:00
0.4123,0.414,0.41,0.4111,48379.0,2023-01-07 12:00:00
0.4113,0.4143,0.4044,0.4044,110953.0,2023-01-07 13:00:00
0.4049,0.4176,0.4045,0.4146,215530.0,2023-01-07 14:00:00
0.4148,0.4168,0.4096,0.4124,156594.0,2023-01-07 15:00:00
0.4128,0.4181,0.4069,0.4181,152134.0,2023-01-07 16:00:00
0.418,0.4316,0.4176,0.4234,377445.0,2023-01-07 17:00:00
0.4235,0.44,0.4206,0.4385,298791.0,2023-01-07 18:00:00
0.4385,0.4518,0.4359,0.444,341433.0,2023-01-07 19:00:00
0.4442,0.4554,0.4417,0.4529,242590.0,2023-01-07 20:00:00
0.4534,0.464,0.45,0.4622,624165.0,2023-01-07 21:00:00
0.4622,0.4654,0.4509,0.451,406532.0,2023-01-07 22:00:00
0.4509,0.4548,0.4419,0.4425,223720.0,2023-01-07 23:00:00
0.4425,0.4478,0.4421,0.4445,223110.0,2023-01-08 00:00:00
0.4447,0.4487,0.4447,0.4484,140874.0,2023-01-08 01:00:00
0.4488,0.4534,0.4486,0.4499,505964.0,2023-01-08 02:00:00
0.4497,0.4546,0.4457,0.454,242755.0,2023-01-08 03:00:00
0.4537,0.4602,0.4536,0.4587,96676.0,2023-01-08 04:00:00
0.4592,0.4601,0.4527,0.4527,130681.0,2023-01-08 05:00:00
0.4522,0.4535,0.4429,0.4457,113605.0,2023-01-08 06:00:00
0.4467,0.4503,0.4423,0.4435,204358.0,2023-01-08 07:00:00
0.444,0.4607,0.444,0.4603,79331.0,2023-01-08 08:00:00
0.4595,0.4689,0.4564,0.4609,184595.0,2023-01-08 09:00:00
0.4624,0.4734,0.4624,0.4689,266628.0,2023-01-08 10:00:00
0.4684,0.4786,0.467,0.4754,600505.0,2023-01-08 11:00:00
0.4744,0.4754,0.4646,0.467,237435.0,2023-01-08 12:00:00
0.4669,0.4685,0.4596,0.4601,169902.0,2023-01-08 13:00:00
0.461,0.4703,0.4609,0.4655,267268.0,2023-01-08 14:00:00
0.4667,0.4683,0.4532,0.4539,237664.0,2023-01-08 15:00:00
0.4544,0.4556,0.4471,0.4494,417751.0,2023-01-08 16:00:00
0.4492,0.4504,0.4437,0.4504,123193.0,2023-01-08 17:00:00
0.4506,0.4547,0.4492,0.4537,187279.0,2023-01-08 18:00:00
0.4538,0.4574,0.4414,0.4453,387800.0,2023-01-08 19:00:00
0.445,0.4508,0.4429,0.4489,272428.0,2023-01-08 20:00:00
0.4495,0.4514,0.4278,0.4316,1360553.0,2023-01-08 21:00:00
0.4332,0.4424,0.4308,0.4352,571805.0,2023-01-08 22:00:00
0.4358,0.4418,0.4358,0.4415,585690.0,2023-01-08 23:00:00
0.4411,0.4415,0.4329,0.435,265187.0,2023-01-09 00:00:00
0.4355,0.4395,0.4241,0.4257,425386.0,2023-01-09 01:00:00
0.4259,0.4343,0.4259,0.4315,483713.0,2023-01-09 02:00:00
0.4317,0.433,0.4272,0.4292,252144.0,2023-01-09 03:00:00
0.4287,0.4311,0.4209,0.4242,284838.0,2023-01-09 04:00:00
0.4245,0.429,0.4231,0.4285,93272.0,2023-01-09 05:00:00
0.429,0.4327,0.4242,0.4249,311770.0,2023-01-09 06:00:00
0.4241,0.4241,0.416,0.4213,114498.0,2023-01-09 07:00:00
0.4213,0.4287,0.4213,0.4257,84582.0,2023-01-09 08:00:00
0.4263,0.4277,0.424,0.4242,43238.0,2023-01-09 09:00:00
0.4248,0.4253,0.4186,0.4231,40902.0,2023-01-09 10:00:00
0.4231,0.4281,0.422,0.4259,999257.0,2023-01-09 11:00:00
0.4262,0.4293,0.42,0.42,99587.0,2023-01-09 12:00:00
0.4205,0.4234,0.4152,0.421,1018380.0,2023-01-09 13:00:00
0.4212,0.4254,0.42,0.4249,72446.0,2023-01-09 14:00:00
0.4249,0.4261,0.4206,0.4238,108644.0,2023-01-09 15:00:00
0.4234,0.4272,0.4203,0.426,97563.0,2023-01-09 16:00:00
0.4257,0.4378,0.4256,0.4353,374956.0,2023-01-09 17:00:00
0.4355,0.4555,0.435,0.4489,812712.0,2023-01-09 18:00:00
0.4488,0.4492,0.4365,0.439,482361.0,2023-01-09 19:00:00
0.4397,0.4446,0.4358,0.4389,383784.0,2023-01-09 20:00:00
0.4391,0.4463,0.428,0.4293,455447.0,2023-01-09 21:00:00
0.4292,0.4383,0.4281,0.4338,151192.0,2023-01-09 22:00:00
0.4334,0.4354,0.43,0.4354,82256.0,2023-01-09 23:00:00
0.4347,0.4397,0.4319,0.4324,95129.0,2023-01-10 00:00:00
0.4333,0.436,0.4327,0.4356,37366.0,2023-01-10 01:00:00
0.4357,0.4396,0.4338,0.4386,61173.0,2023-01-10 02:00:00
0.4383,0.4383,0.4318,0.4318,54885.0,2023-01-10 03:00:00
0.4315,0.4336,0.4286,0.4316,66478.0,2023-01-10 04:00:00
0.4312,0.4384,0.4312,0.4377,86324.0,2023-01-10 05:00:00
0.4373,0.4373,0.429,0.4305,22273.0,2023-01-10 06:00:00
0.4306,0.4375,0.4306,0.4348,41359.0,2023-01-10 07:00:00
0.4344,0.4355,0.4318,0.4321,58358.0,2023-01-10 08:00:00
0.4323,0.4334,0.4307,0.4309,24614.0,2023-01-10 09:00:00
0.431,0.4315,0.4292,0.4313,18847.0,2023-01-10 10:00:00
0.431,0.4361,0.429,0.4342,24747.0,2023-01-10 11:00:00
0.4337,0.4357,0.4307,0.4307,122839.0,2023-01-10 12:00:00
0.4306,0.4321,0.4279,0.4313,92350.0,2023-01-10 13:00:00
0.4326,0.4356,0.4304,0.4316,49092.0,2023-01-10 14:00:00
0.4321,0.4321,0.4276,0.4276,36768.0,2023-01-10 15:00:00
0.4283,0.4283,0.4233,0.4265,186992.0,2023-01-10 16:00:00
0.4267,0.4271,0.4228,0.4231,60585.0,2023-01-10 17:00:00
0.4236,0.4241,0.4182,0.4184,88428.0,2023-01-10 18:00:00
0.4183,0.4194,0.4114,0.4151,240919.0,2023-01-10 19:00:00
0.4156,0.4211,0.4156,0.4194,70651.0,2023-01-10 20:00:00
0.419,0.419,0.415,0.416,82847.0,2023-01-10 21:00:00
0.415,0.4175,0.4121,0.4172,159342.0,2023-01-10 22:00:00
0.4165,0.4173,0.4097,0.4101,108937.0,2023-01-10 23:00:00
0.4098,0.4138,0.4082,0.4089,156933.0,2023-01-11 00:00:00
0.4094,0.4126,0.408,0.4112,129599.0,2023-01-11 01:00:00
0.4107,0.4138,0.4071,0.408,111865.0,2023-01-11 02:00:00
0.4078,0.4125,0.4078,0.4108,113366.0,2023-01-11 03:00:00
0.4125,0.4238,0.4108,0.4213,333281.0,2023-01-11 04:00:00
0.4219,0.4242,0.4176,0.4209,96422.0,2023-01-11 05:00:00
0.4197,0.4208,0.4145,0.4184,125320.0,2023-01-11 06:00:00
