Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
1.96,1.999,1.96,1.987,86500.12,2023-01-01 00:00:00
2.003,2.029,1.989,1.989,63002.69,2023-01-01 01:00:00
1.981,1.998,1.92,1.921,74741.03,2023-01-01 02:00:00
1.93,1.96,1.921,1.959,117722.51,2023-01-01 03:00:00
1.971,1.998,1.964,1.982,131658.6,2023-01-01 04:00:00
1.971,1.971,1.92,1.955,13694.18,2023-01-01 05:00:00
1.932,1.967,1.896,1.942,50629.61,2023-01-01 06:00:00
1.917,1.925,1.867,1.904,13297.71,2023-01-01 07:00:00
1.9,1.93,1.896,1.912,12854.08,2023-01-01 08:00:00
1.938,1.941,1.875,1.875,200.65,2023-01-01 09:00:00
1.89,1.947,1.89,1.913,17339.36,2023-01-01 10:00:00
1.91,1.922,1.874,1.904,24733.28,2023-01-01 11:00:00
1.904,1.915,1.889,1.915,1495.25,2023-01-01 12:00:00
1.916,1.956,1.916,1.952,1936.12,2023-01-01 13:00:00
1.942,1.952,1.927,1.927,71557.4,2023-01-01 14:00:00
1.927,1.949,1.921,1.932,72450.04,2023-01-01 15:00:00
1.937,1.942,1.91,1.927,61352.6,2023-01-01 16:00:00
1.927,1.97,1.926,1.968,26186.49,2023-01-01 17:00:00
1.961,1.975,1.937,1.943,7237.29,2023-01-01 18:00:00
1.939,1.952,1.927,1.928,42747.38,2023-01-01 19:00:00
1.93,1.939,1.91,1.92,8859.55,2023-01-01 20:00:00
1.92,1.938,1.9,1.931,34599.63,2023-01-01 21:00:00
1.929,1.953,1.912,1.924,31948.95,2023-01-01 22:00:00
1.93,1.954,1.916,1.939,43671.27,2023-01-01 23:00:00
1.948,1.952,1.905,1.905,19637.95,2023-01-02 00:00:00
1.9,1.923,1.866,1.866,24723.29,2023-01-02 01:00:00
1.873,1.884,1.838,1.86,26462.99,2023-01-02 02:00:00
1.864,1.895,1.864,1.888,9630.9,2023-01-02 03:00:00
1.886,1.897,1.783,1.835,19285.29,2023-01-02 04:00:00
1.849,1.858,1.815,1.846,3890.39,2023-01-02 05:00:00
1.831,1.873,1.819,1.873,5260.47,2023-01-02 06:00:00
1.867,1.896,1.862,1.884,15062.72,2023-01-02 07:00:00
1.868,1.885,1.855,1.88,2682.17,2023-01-02 08:00:00
1.879,1.886,1.86,1.886,5995.36,2023-01-02 09:00:00
1.886,1.906,1.886,1.902,5989.45,2023-01-02 10:00:00
1.899,1.902,1.89,1.899,18622.24,2023-01-02 11:00:00
1.895,1.917,1.894,1.903,8599.0,2023-01-02 12:00:00
1.896,1.898,1.888,1.897,1733.31,2023-01-02 13:00:00
1.897,1.916,1.89,1.89,3995.41,2023-01-02 14:00:00
1.89,1.89,1.846,1.852,21488.44,2023-01-02 15:00:00
1.852,1.852,1.822,1.85,26096.42,2023-01-02 16:00:00
1.849,1.861,1.836,1.847,15207.55,2023-01-02 17:00:00
1.858,1.863,1.798,1.8,15046.68,2023-01-02 18:00:00
1.809,1.861,1.799,1.843,42178.88,2023-01-02 19:00:00
1.846,1.871,1.831,1.871,11719.16,2023-01-02 20:00:00
1.871,1.901,1.866,1.883,32383.61,2023-01-02 21:00:00
1.883,1.891,1.871,1.874,59964.79,2023-01-02 22:00:00
1.868,1.889,1.868,1.876,2824.11,2023-01-02 23:00:00
1.877,1.893,1.875,1.883,13347.94,2023-01-03 00:00:00
1.884,1.907,1.884,1.907,5152.7,2023-01-03 01:00:00
1.903,1.938,1.899,1.914,22878.97,2023-01-03 02:00:00
1.905,1.909,1.88,1.88,27206.55,2023-01-03 03:00:00
1.882,1.893,1.86,1.86,35075.22,2023-01-03 04:00:00
1.858,1.869,1.844,1.855,9577.02,2023-01-03 05:00:00
1.855,1.855,1.823,1.834,16287.67,2023-01-03 06:00:00
1.828,1.84,1.822,1.84,19221.36,2023-01-03 07:00:00
1.84,1.858,1.84,1.858,18220.63,2023-01-03 08:00:00
1.856,1.863,1.843,1.863,14235.87,2023-01-03 09:00:00
1.853,1.867,1.846,1.859,9368.18,2023-01-03 10:00:00
1.862,1.868,1.856,1.861,15554.62,2023-01-03 11:00:00
1.862,1.879,1.862,1.867,4175.09,2023-01-03 12:00:00
1.865,1.872,1.837,1.848,27238.05,2023-01-03 13:00:00
1.856,1.856,1.843,1.85,8624.28,2023-01-03 14:00:00
1.851,1.872,1.851,1.859,6219.45,2023-01-03 15:00:00
1.856,1.872,1.844,1.872,33925.27,2023-01-03 16:00:00
1.868,1.893,1.868,1.882,23733.92,2023-01-03 17:00:00
1.879,1.884,1.868,1.882,7483.62,2023-01-03 18:00:00
1.878,1.889,1.87,1.889,2994.35,2023-01-03 19:00:00
1.891,1.899,1.868,1.897,11072.75,2023-01-03 20:00:00
1.898,1.9,1.888,1.9,14421.6,2023-01-03 21:00:00
1.906,1.908,1.871,1.877,65136.36,2023-01-03 22:00:00
1.877,1.877,1.862,1.865,13247.91,2023-01-03 23:00:00
1.874,1.922,1.874,1.922,29402.85,2023-01-04 00:00:00
1.915,1.917,1.883,1.887,7429.37,2023-01-04 01:00:00
1.884,1.896,1.872,1.888,3834.64,2023-01-04 02:00:00
1.884,1.896,1.882,1.893,9205.97,2023-01-04 03:00:00
1.891,1.912,1.889,1.906,3546.34,2023-01-04 04:00:00
1.893,1.925,1.891,1.899,9135.56,2023-01-04 05:00:00
1.895,1.929,1.895,1.928,5067.7,2023-01-04 06:00:00
1.924,1.924,1.873,1.876,8839.19,2023-01-04 07:00:00
1.88,1.898,1.88,1.891,3380.81,2023-01-04 08:00:00
1.883,1.89,1.88,1.882,4031.98,2023-01-04 09:00:00
1.881,1.887,1.853,1.855,4914.47,2023-01-04 10:00:00
1.857,1.858,1.827,1.836,4396.04,2023-01-04 11:00:00
1.834,1.853,1.825,1.853,3777.66,2023-01-04 12:00:00
