Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
14.22,14.41,14.22,14.32,5193.8,2023-01-01 00:00:00
14.3,14.61,14.3,14.54,10940.1,2023-01-01 01:00:00
14.58,14.75,14.2,14.36,8462.66,2023-01-01 02:00:00
14.35,14.52,14.25,14.43,8604.9,2023-01-01 03:00:00
14.45,14.54,14.2,14.22,4151.28,2023-01-01 04:00:00
14.22,14.23,13.87,14.15,8880.69,2023-01-01 05:00:00
14.16,14.18,13.78,13.8,8316.04,2023-01-01 06:00:00
13.79,13.8,13.08,13.22,31005.73,2023-01-01 07:00:00
13.21,13.77,13.18,13.59,15478.53,2023-01-01 08:00:00
13.62,13.97,13.44,13.49,24995.32,2023-01-01 09:00:00
13.49,13.88,13.46,13.83,5318.36,2023-01-01 10:00:00
13.77,13.81,13.56,13.72,4734.52,2023-01-01 11:00:00
13.73,14.0,13.63,13.97,6904.26,2023-01-01 12:00:00
13.93,14.17,13.83,14.06,10348.08,2023-01-01 13:00:00
14.06,14.18,14.01,14.1,7924.65,2023-01-01 14:00:00
14.1,14.18,14.0,14.1,5756.23,2023-01-01 15:00:00
14.08,14.09,13.95,13.97,6906.1,2023-01-01 16:00:00
13.98,14.16,13.88,14.11,9352.98,2023-01-01 17:00:00
14.1,14.15,14.0,14.06,5236.22,2023-01-01 18:00:00
14.06,14.54,14.04,14.27,17681.22,2023-01-01 19:00:00
14.28,14.5,14.0,14.21,18569.18,2023-01-01 20:00:00
14.21,14.44,14.1,14.27,13932.67,2023-01-01 21:00:00
14.25,14.33,14.1,14.26,8176.98,2023-01-01 22:00:00
14.26,14.29,14.18,14.28,4330.31,2023-01-01 23:00:00
14.28,14.29,14.1,14.1,3919.49,2023-01-02 00:00:00
14.1,14.23,13.77,13.82,14050.54,2023-01-02 01:00:00
13.8,13.9,13.61,13.83,17798.05,2023-01-02 02:00:00
13.83,13.94,13.79,13.84,6969.46,2023-01-02 03:00:00
13.83,13.89,13.27,13.75,23139.43,2023-01-02 04:00:00
13.74,14.0,13.53,13.64,11225.46,2023-01-02 05:00:00
13.64,13.99,13.48,13.95,9517.85,2023-01-02 06:00:00
13.95,14.21,13.83,14.15,6766.38,2023-01-02 07:00:00
14.14,14.15,14.01,14.05,4383.21,2023-01-02 08:00:00
14.06,14.12,13.86,14.12,4294.12,2023-01-02 09:00:00
14.11,14.25,14.09,14.23,2154.25,2023-01-02 10:00:00
14.24,14.24,14.04,14.11,4549.4,2023-01-02 11:00:00
14.09,14.28,14.09,14.27,2233.71,2023-01-02 12:00:00
14.27,14.39,14.18,14.39,8225.31,2023-01-02 13:00:00
14.38,14.46,14.26,14.28,2720.8,2023-01-02 14:00:00
14.28,14.28,13.96,14.01,4642.45,2023-01-02 15:00:00
14.05,14.11,13.81,14.09,5363.06,2023-01-02 16:00:00
14.08,14.37,14.06,14.36,11323.72,2023-01-02 17:00:00
14.37,14.41,13.75,13.87,11455.92,2023-01-02 18:00:00
13.87,14.26,13.78,14.11,9400.13,2023-01-02 19:00:00
14.15,14.42,13.99,14.42,15362.65,2023-01-02 20:00:00
14.39,14.6,14.33,14.52,21963.95,2023-01-02 21:00:00
14.53,14.58,14.43,14.54,7795.89,2023-01-02 22:00:00
14.53,14.66,14.46,14.48,6709.98,2023-01-02 23:00:00
14.52,14.65,14.47,14.58,9795.35,2023-01-03 00:00:00
14.58,14.63,14.55,14.61,2131.49,2023-01-03 01:00:00
14.55,14.64,14.46,14.48,3559.87,2023-01-03 02:00:00
14.51,14.71,14.51,14.59,5165.63,2023-01-03 03:00:00
14.59,14.78,14.59,14.71,4240.6,2023-01-03 04:00:00
14.69,14.77,14.58,14.68,3349.07,2023-01-03 05:00:00
14.68,14.74,14.43,14.51,2887.31,2023-01-03 06:00:00
14.5,14.86,14.48,14.86,5108.29,2023-01-03 07:00:00
14.85,15.13,14.83,15.09,14838.6,2023-01-03 08:00:00
15.09,15.34,14.94,15.15,9158.6,2023-01-03 09:00:00
15.16,15.25,15.04,15.11,4457.8,2023-01-03 10:00:00
15.1,15.12,14.92,14.96,4032.94,2023-01-03 11:00:00
14.94,15.16,14.9,15.14,3387.43,2023-01-03 12:00:00
15.09,15.1,14.86,15.0,5702.06,2023-01-03 13:00:00
15.0,15.0,14.81,14.95,10035.21,2023-01-03 14:00:00
14.96,15.11,14.96,15.04,14621.27,2023-01-03 15:00:00
15.02,15.06,14.86,14.86,12499.8,2023-01-03 16:00:00
14.89,15.03,14.86,14.96,4056.51,2023-01-03 17:00:00
14.97,15.02,14.91,14.95,3259.79,2023-01-03 18:00:00
14.97,15.0,14.88,14.91,11051.35,2023-01-03 19:00:00
14.91,14.91,14.68,14.85,5358.13,2023-01-03 20:00:00
14.84,14.86,14.73,14.77,3361.55,2023-01-03 21:00:00
14.77,14.77,14.58,14.6,5523.82,2023-01-03 22:00:00
14.61,14.61,14.47,14.51,2665.56,2023-01-03 23:00:00
14.51,14.65,14.51,14.61,2699.1,2023-01-04 00:00:00
14.63,14.72,14.51,14.53,5851.79,2023-01-04 01:00:00
14.55,14.72,14.55,14.63,7530.27,2023-01-04 02:00:00
14.63,14.7,14.6,14.7,2646.57,2023-01-04 03:00:00
14.66,14.72,14.6,14.6,2138.3,2023-01-04 04:00:00
14.62,14.7,14.58,14.59,1637.25,2023-01-04 05:00:00
14.57,14.61,14.5,14.57,3031.45,2023-01-04 06:00:00
14.57,14.64,14.5,14.59,778.1,2023-01-04 07:00:00
14.52,14.59,14.42,14.45,3627.13,2023-01-04 08:00:00
14.46,14.57,14.45,14.52,1483.77,2023-01-04 09:00:00
14.57,14.57,14.36,14.37,1785.61,2023-01-04 10:00:00
14.36,14.4,14.22,14.26,6911.25,2023-01-04 11:00:00
14.26,14.39,14.22,14.39,1610.64,2023-01-04 12:00:00
14.4,14.52,14.4,14.49,2753.75,2023-01-04 13:00:00
14.49,14.49,14.12,14.2,8784.6,2023-01-04 14:00:00
14.17,14.33,13.99,14.15,6013.81,2023-01-04 15:00:00
14.16,14.29,14.16,14.26,4138.02,2023-01-04 16:00:00
14.24,14.35,14.23,14.3,1021.18,2023-01-04 17:00:00
14.27,14.36,14.16,14.32,4247.7,2023-01-04 18:00:00
14.37,14.46,14.36,14.46,3409.24,2023-01-04 19:00:00
14.44,14.48,14.37,14.47,1496.88,2023-01-04 20:00:00
14.48,14.56,14.37,14.52,4327.24,2023-01-04 21:00:00
14.52,14.55,14.34,14.36,1768.38,2023-01-04 22:00:00
14.35,14.45,14.31,14.45,3155.54,2023-01-04 23:00:00
14.46,14.48,14.25,14.32,1620.84,2023-01-05 00:00:00
14.28,14.29,14.21,14.29,2841.63,2023-01-05 01:00:00
14.29,14.31,14.21,14.21,1267.09,2023-01-05 02:00:00
14.21,14.33,14.17,14.27,623.85,2023-01-05 03:00:00
14.31,14.48,14.31,14.47,1104.24,2023-01-05 04:00:00
14.45,14.56,14.42,14.52,2499.57,2023-01-05 05:00:00
14.47,14.47,14.17,14.2,6215.95,2023-01-05 06:00:00
14.27,14.32,14.0,14.03,3171.6,2023-01-05 07:00:00
14.05,14.12,13.96,14.05,3081.63,2023-01-05 08:00:00
14.04,14.15,13.8,13.96,2264.67,2023-01-05 09:00:00
13.93,14.02,13.85,14.02,1921.21,2023-01-05 10:00:00
14.03,14.1,14.01,14.06,1377.79,2023-01-05 11:00:00
14.06,14.06,13.81,13.87,3219.59,2023-01-05 12:00:00
13.85,13.9,13.65,13.88,5162.23,2023-01-05 13:00:00
13.82,13.82,13.41,13.5,17239.04,2023-01-05 14:00:00
13.47,13.57,13.28,13.43,15238.77,2023-01-05 15:00:00
13.41,13.55,13.35,13.5,5384.01,2023-01-05 16:00:00
13.48,13.49,13.15,13.19,8493.67,2023-01-05 17:00:00
13.16,13.35,13.09,13.34,5290.82,2023-01-05 18:00:00
13.35,13.7,13.31,13.55,13292.84,2023-01-05 19:00:00
13.55,13.66,13.42,13.6,5621.08,2023-01-05 20:00:00
13.61,13.62,13.19,13.27,8313.12,2023-01-05 21:00:00
13.24,13.39,13.2,13.35,3501.4,2023-01-05 22:00:00
13.24,13.36,13.16,13.18,2447.75,2023-01-05 23:00:00
13.16,13.3,13.15,13.2,1819.82,2023-01-06 00:00:00
13.19,13.26,13.14,13.15,3595.87,2023-01-06 01:00:00
13.17,13.18,12.22,12.32,28943.56,2023-01-06 02:00:00
12.31,12.35,10.2,11.73,83106.65,2023-01-06 03:00:00
11.71,12.0,10.71,11.86,59564.84,2023-01-06 04:00:00
11.83,12.09,11.72,11.97,21179.64,2023-01-06 05:00:00
11.94,12.19,11.69,12.01,12814.36,2023-01-06 06:00:00
12.0,12.05,11.77,11.95,3832.49,2023-01-06 07:00:00
11.93,11.93,11.48,11.49,11371.78,2023-01-06 08:00:00
11.48,11.53,11.06,11.48,16571.0,2023-01-06 09:00:00
11.5,11.65,11.27,11.65,14823.08,2023-01-06 10:00:00
11.62,11.73,11.59,11.71,8743.21,2023-01-06 11:00:00
11.71,11.87,11.66,11.87,5963.49,2023-01-06 12:00:00
11.86,11.86,11.64,11.78,7115.44,2023-01-06 13:00:00
11.78,11.78,11.63,11.75,2392.08,2023-01-06 14:00:00
11.76,11.87,11.69,11.77,5508.11,2023-01-06 15:00:00
11.81,12.04,11.81,11.94,6872.95,2023-01-06 16:00:00
11.93,11.94,11.7,11.77,5179.85,2023-01-06 17:00:00
11.77,11.79,11.27,11.32,14062.3,2023-01-06 18:00:00
11.36,11.62,11.35,11.48,13436.89,2023-01-06 19:00:00
11.49,11.72,11.45,11.5,11269.86,2023-01-06 20:00:00
11.5,11.54,11.01,11.02,23613.6,2023-01-06 21:00:00
11.02,11.25,10.8,11.23,36888.82,2023-01-06 22:00:00
11.21,11.21,10.71,10.72,19984.32,2023-01-06 23:00:00
10.73,11.12,10.66,11.02,10476.41,2023-01-07 00:00:00
11.02,11.33,11.01,11.33,8608.39,2023-01-07 01:00:00
11.32,11.44,11.27,11.44,5369.42,2023-01-07 02:00:00
11.44,11.67,11.44,11.54,9358.86,2023-01-07 03:00:00
11.61,11.67,11.56,11.66,4616.58,2023-01-07 04:00:00
11.67,11.7,11.6,11.66,2711.69,2023-01-07 05:00:00
11.64,11.67,11.31,11.44,6709.85,2023-01-07 06:00:00
11.45,11.45,11.18,11.19,6544.31,2023-01-07 07:00:00
11.21,11.62,11.18,11.56,4075.34,2023-01-07 08:00:00
11.61,11.64,11.55,11.59,3414.98,2023-01-07 09:00:00
11.6,11.63,11.55,11.61,2097.89,2023-01-07 10:00:00
11.61,11.64,11.48,11.52,1524.57,2023-01-07 11:00:00
11.51,11.64,11.51,11.62,1147.56,2023-01-07 12:00:00
11.62,11.68,11.49,11.49,3264.03,2023-01-07 13:00:00
11.49,11.82,11.49,11.75,3559.16,2023-01-07 14:00:00
11.75,11.77,11.65,11.77,2161.23,2023-01-07 15:00:00
11.78,11.84,11.75,11.83,9879.36,2023-01-07 16:00:00
11.83,11.95,11.82,11.85,2671.47,2023-01-07 17:00:00
11.87,12.09,11.87,12.0,4763.4,2023-01-07 18:00:00
12.01,12.21,12.0,12.1,7997.97,2023-01-07 19:00:00
12.15,12.33,12.05,12.32,11919.76,2023-01-07 20:00:00
12.29,12.65,12.29,12.61,11582.12,2023-01-07 21:00:00
12.62,12.95,12.62,12.8,19743.43,2023-01-07 22:00:00
12.8,12.81,12.6,12.6,6670.47,2023-01-07 23:00:00
12.63,12.79,12.58,12.71,7603.79,2023-01-08 00:00:00
12.73,12.89,12.73,12.87,11319.5,2023-01-08 01:00:00
12.9,12.97,12.82,12.84,3440.3,2023-01-08 02:00:00
12.82,12.86,12.78,12.84,2121.81,2023-01-08 03:00:00
12.84,12.92,12.81,12.87,15911.86,2023-01-08 04:00:00
12.88,12.97,12.88,12.89,4861.67,2023-01-08 05:00:00
12.89,13.26,12.87,13.25,9303.23,2023-01-08 06:00:00
13.22,13.83,13.22,13.77,25950.86,2023-01-08 07:00:00
13.75,13.88,13.55,13.85,18657.21,2023-01-08 08:00:00
13.86,14.14,13.86,13.86,14781.9,2023-01-08 09:00:00
13.94,13.97,13.69,13.75,13407.05,2023-01-08 10:00:00
13.74,13.96,13.74,13.81,5466.51,2023-01-08 11:00:00
13.8,13.86,13.73,13.81,3912.35,2023-01-08 12:00:00
13.84,13.95,13.8,13.94,2365.71,2023-01-08 13:00:00
13.93,14.11,13.93,14.0,7417.13,2023-01-08 14:00:00
14.03,14.05,13.81,13.82,14795.88,2023-01-08 15:00:00
13.8,13.82,13.7,13.75,3768.11,2023-01-08 16:00:00
13.76,13.76,13.58,13.74,8194.33,2023-01-08 17:00:00
13.73,13.81,13.69,13.78,1926.66,2023-01-08 18:00:00
13.8,13.8,13.47,13.61,14119.41,2023-01-08 19:00:00
13.58,13.72,13.57,13.72,3723.08,2023-01-08 20:00:00
13.72,13.76,13.54,13.67,4287.3,2023-01-08 21:00:00
13.71,13.83,13.67,13.81,6655.37,2023-01-08 22:00:00
13.79,13.81,13.75,13.78,2125.85,2023-01-08 23:00:00
13.8,13.97,13.79,13.83,8866.73,2023-01-09 00:00:00
13.92,13.94,13.41,13.49,10414.74,2023-01-09 01:00:00
13.5,13.74,13.47,13.72,3925.05,2023-01-09 02:00:00
13.73,13.75,13.6,13.65,3010.67,2023-01-09 03:00:00
13.61,13.63,13.43,13.57,4161.25,2023-01-09 04:00:00
13.57,13.68,13.48,13.68,1132.45,2023-01-09 05:00:00
13.7,13.86,13.65,13.79,1987.67,2023-01-09 06:00:00
13.77,13.82,13.5,13.76,3009.42,2023-01-09 07:00:00
13.71,13.94,13.67,13.82,2088.71,2023-01-09 08:00:00
13.86,13.98,13.82,13.92,1311.74,2023-01-09 09:00:00
