Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
26.57,27.1,26.5,27.09,1380.08,2023-01-01 00:00:00
27.0,27.56,27.0,27.43,858.8,2023-01-01 01:00:00
27.43,27.79,26.46,26.99,4983.06,2023-01-01 02:00:00
26.97,27.73,26.8,27.7,757.7,2023-01-01 03:00:00
27.7,27.7,27.08,27.12,852.51,2023-01-01 04:00:00
27.15,27.19,26.43,27.05,929.98,2023-01-01 05:00:00
27.03,27.09,26.47,26.48,642.19,2023-01-01 06:00:00
26.45,26.46,25.54,25.81,2263.79,2023-01-01 07:00:00
25.78,26.65,25.78,26.31,1738.6,2023-01-01 08:00:00
26.3,27.11,26.19,26.37,1517.84,2023-01-01 09:00:00
26.3,27.35,26.23,26.97,1694.03,2023-01-01 10:00:00
26.95,26.98,26.32,26.61,471.9,2023-01-01 11:00:00
26.67,26.87,26.32,26.85,505.9,2023-01-01 12:00:00
26.88,27.14,26.72,27.01,2807.63,2023-01-01 13:00:00
27.0,27.07,26.55,26.69,1948.55,2023-01-01 14:00:00
26.63,26.68,26.35,26.5,1071.7,2023-01-01 15:00:00
26.5,26.72,26.48,26.61,223.65,2023-01-01 16:00:00
26.63,27.04,26.62,27.0,673.87,2023-01-01 17:00:00
26.97,27.29,26.79,26.99,6620.73,2023-01-01 18:00:00
26.99,27.09,26.88,26.97,1179.16,2023-01-01 19:00:00
26.98,27.57,26.96,27.24,4135.67,2023-01-01 20:00:00
27.23,27.26,26.46,26.75,1871.19,2023-01-01 21:00:00
26.75,27.98,26.75,27.77,2978.57,2023-01-01 22:00:00
27.74,27.81,27.4,27.63,1135.59,2023-01-01 23:00:00
27.51,27.62,27.36,27.41,1284.91,2023-01-02 00:00:00
27.48,27.53,26.61,26.67,1481.97,2023-01-02 01:00:00
26.54,26.85,26.19,26.65,1995.05,2023-01-02 02:00:00
26.65,27.55,26.57,27.4,2245.14,2023-01-02 03:00:00
27.38,27.52,26.0,26.8,3624.75,2023-01-02 04:00:00
26.75,27.27,26.32,26.82,1132.04,2023-01-02 05:00:00
26.8,27.62,26.64,27.62,689.72,2023-01-02 06:00:00
27.6,28.39,27.56,27.87,2539.36,2023-01-02 07:00:00
27.79,27.79,27.45,27.53,1915.11,2023-01-02 08:00:00
27.47,27.65,27.23,27.61,596.65,2023-01-02 09:00:00
27.66,27.96,27.6,27.94,1466.25,2023-01-02 10:00:00
27.93,28.16,27.51,27.55,591.65,2023-01-02 11:00:00
27.52,27.74,27.5,27.59,1117.31,2023-01-02 12:00:00
27.58,27.59,27.34,27.38,465.81,2023-01-02 13:00:00
27.41,27.55,27.08,27.09,485.91,2023-01-02 14:00:00
27.09,27.09,26.41,26.69,3093.84,2023-01-02 15:00:00
26.65,26.78,26.28,26.59,1562.2,2023-01-02 16:00:00
26.59,26.74,26.33,26.44,434.29,2023-01-02 17:00:00
26.43,26.65,25.86,25.89,1240.61,2023-01-02 18:00:00
25.97,26.62,25.91,26.39,963.31,2023-01-02 19:00:00
26.4,27.04,26.2,27.03,982.32,2023-01-02 20:00:00
27.0,27.64,26.81,27.59,1816.22,2023-01-02 21:00:00
27.57,28.23,27.57,27.97,2995.21,2023-01-02 22:00:00
28.03,28.24,27.88,28.18,620.69,2023-01-02 23:00:00
28.22,28.36,28.14,28.32,720.92,2023-01-03 00:00:00
28.33,28.42,28.12,28.21,716.43,2023-01-03 01:00:00
28.19,28.47,28.05,28.05,3200.59,2023-01-03 02:00:00
28.2,28.79,28.17,28.29,1188.71,2023-01-03 03:00:00
28.34,28.65,28.34,28.59,933.26,2023-01-03 04:00:00
28.59,29.03,28.11,28.51,2129.0,2023-01-03 05:00:00
28.42,28.56,28.11,28.24,340.91,2023-01-03 06:00:00
28.21,28.5,28.13,28.43,173.35,2023-01-03 07:00:00
28.16,28.76,28.12,28.43,685.82,2023-01-03 08:00:00
28.35,28.41,28.12,28.36,69.45,2023-01-03 09:00:00
28.33,28.7,28.31,28.45,190.38,2023-01-03 10:00:00
28.47,28.69,28.26,28.33,178.29,2023-01-03 11:00:00
28.35,28.71,28.23,28.69,73.64,2023-01-03 12:00:00
28.59,28.73,28.0,28.28,511.08,2023-01-03 13:00:00
28.29,28.59,28.2,28.2,1157.15,2023-01-03 14:00:00
28.22,28.22,27.6,27.62,1299.62,2023-01-03 15:00:00
27.59,27.76,27.55,27.68,142.49,2023-01-03 16:00:00
27.74,28.39,27.73,28.09,1366.97,2023-01-03 17:00:00
28.05,28.16,27.96,28.02,601.84,2023-01-03 18:00:00
28.03,28.21,27.96,28.2,232.79,2023-01-03 19:00:00
28.19,28.2,27.76,27.97,488.22,2023-01-03 20:00:00
27.92,28.07,27.75,28.02,503.23,2023-01-03 21:00:00
28.02,28.04,27.62,27.72,221.74,2023-01-03 22:00:00
27.64,27.65,27.17,27.25,351.57,2023-01-03 23:00:00
27.28,27.45,27.19,27.33,1066.11,2023-01-04 00:00:00
27.42,27.46,27.15,27.19,970.47,2023-01-04 01:00:00
27.21,27.35,27.15,27.25,289.53,2023-01-04 02:00:00
27.31,27.36,27.23,27.33,368.53,2023-01-04 03:00:00
27.27,27.27,27.09,27.11,465.86,2023-01-04 04:00:00
27.08,27.26,26.97,27.0,928.36,2023-01-04 05:00:00
26.99,27.4,26.96,27.26,417.41,2023-01-04 06:00:00
27.33,27.35,27.04,27.14,708.58,2023-01-04 07:00:00
27.11,27.15,27.05,27.05,329.18,2023-01-04 08:00:00
27.07,27.12,26.77,26.86,466.59,2023-01-04 09:00:00
26.84,27.03,26.67,26.67,980.61,2023-01-04 10:00:00
26.66,26.75,26.38,26.46,1472.84,2023-01-04 11:00:00
26.46,26.68,26.32,26.6,858.07,2023-01-04 12:00:00
26.63,26.63,26.2,26.52,2178.65,2023-01-04 13:00:00
26.45,26.45,26.08,26.08,2282.99,2023-01-04 14:00:00
26.07,26.3,25.95,26.06,1169.45,2023-01-04 15:00:00
26.09,26.4,26.08,26.32,1186.1,2023-01-04 16:00:00
26.31,26.54,26.27,26.45,1560.43,2023-01-04 17:00:00
26.43,26.79,26.19,26.57,1425.43,2023-01-04 18:00:00
26.59,26.84,26.59,26.77,1211.6,2023-01-04 19:00:00
26.75,27.01,26.57,26.65,1985.68,2023-01-04 20:00:00
26.64,26.81,26.38,26.8,619.61,2023-01-04 21:00:00
26.79,26.84,26.48,26.5,428.03,2023-01-04 22:00:00
26.49,26.59,26.37,26.58,629.79,2023-01-04 23:00:00
26.6,26.6,26.32,26.36,673.49,2023-01-05 00:00:00
26.36,26.52,26.3,26.52,227.73,2023-01-05 01:00:00
26.57,26.58,26.34,26.35,423.23,2023-01-05 02:00:00
26.37,26.46,26.3,26.43,254.66,2023-01-05 03:00:00
26.39,26.56,26.39,26.55,491.58,2023-01-05 04:00:00
26.57,26.87,26.51,26.77,486.39,2023-01-05 05:00:00
26.78,26.78,26.02,26.05,586.28,2023-01-05 06:00:00
26.1,26.3,25.74,25.89,489.47,2023-01-05 07:00:00
25.89,26.06,25.67,25.8,495.24,2023-01-05 08:00:00
25.77,25.93,25.23,25.52,2173.23,2023-01-05 09:00:00
25.5,25.73,25.16,25.52,2524.09,2023-01-05 10:00:00
25.57,25.77,25.53,25.56,647.06,2023-01-05 11:00:00
25.56,25.6,25.1,25.19,840.34,2023-01-05 12:00:00
25.16,25.28,24.85,25.23,1167.92,2023-01-05 13:00:00
25.18,25.18,24.54,24.62,1411.8,2023-01-05 14:00:00
24.6,24.79,24.2,24.56,3245.85,2023-01-05 15:00:00
24.69,24.91,24.51,24.91,1459.12,2023-01-05 16:00:00
24.89,24.89,24.23,24.32,1587.08,2023-01-05 17:00:00
24.25,24.7,24.13,24.58,722.68,2023-01-05 18:00:00
24.59,25.16,24.55,25.12,945.7,2023-01-05 19:00:00
24.97,25.33,24.63,25.25,1360.07,2023-01-05 20:00:00
25.22,25.23,24.29,24.46,714.66,2023-01-05 21:00:00
24.44,24.83,24.34,24.62,6408.99,2023-01-05 22:00:00
24.65,24.77,24.29,24.29,5702.66,2023-01-05 23:00:00
24.38,24.55,24.36,24.39,6868.99,2023-01-06 00:00:00
24.37,24.42,24.17,24.2,599.66,2023-01-06 01:00:00
24.18,24.23,22.22,22.73,8078.73,2023-01-06 02:00:00
22.62,22.72,20.11,22.1,30829.78,2023-01-06 03:00:00
21.99,22.05,20.2,21.9,9578.28,2023-01-06 04:00:00
21.97,22.5,21.75,22.39,2693.63,2023-01-06 05:00:00
22.32,22.82,21.75,22.62,2717.28,2023-01-06 06:00:00
22.61,22.61,22.07,22.43,2372.81,2023-01-06 07:00:00
22.4,22.4,21.74,21.74,2171.86,2023-01-06 08:00:00
21.71,21.83,20.94,21.71,3021.42,2023-01-06 09:00:00
21.74,22.29,21.31,22.25,2130.78,2023-01-06 10:00:00
22.24,22.4,22.11,22.33,1302.11,2023-01-06 11:00:00
22.31,22.57,22.17,22.49,1823.81,2023-01-06 12:00:00
22.46,22.46,22.19,22.33,311.56,2023-01-06 13:00:00
22.19,22.35,22.01,22.27,702.78,2023-01-06 14:00:00
22.26,22.45,21.95,22.11,837.02,2023-01-06 15:00:00
22.16,22.75,22.15,22.75,504.27,2023-01-06 16:00:00
22.77,22.77,22.15,22.3,1307.82,2023-01-06 17:00:00
22.35,22.35,21.41,21.53,2418.37,2023-01-06 18:00:00
21.54,21.94,21.44,21.8,969.18,2023-01-06 19:00:00
21.72,22.11,21.6,21.67,2148.26,2023-01-06 20:00:00
21.67,21.79,20.53,20.55,3059.11,2023-01-06 21:00:00
20.51,21.23,20.18,21.22,5350.37,2023-01-06 22:00:00
21.11,21.11,20.23,20.24,2833.31,2023-01-06 23:00:00
20.31,20.9,20.12,20.79,885.2,2023-01-07 00:00:00
20.7,21.35,20.67,21.14,1074.22,2023-01-07 01:00:00
21.13,21.53,21.03,21.39,1033.99,2023-01-07 02:00:00
21.38,21.86,21.38,21.67,869.38,2023-01-07 03:00:00
21.7,22.09,21.63,21.85,2427.68,2023-01-07 04:00:00
21.9,21.96,21.59,21.71,591.74,2023-01-07 05:00:00
21.69,21.71,21.05,21.35,529.37,2023-01-07 06:00:00
21.3,21.47,20.87,20.88,3935.89,2023-01-07 07:00:00
20.83,21.6,20.83,21.56,9460.38,2023-01-07 08:00:00
21.55,21.71,21.55,21.63,470.22,2023-01-07 09:00:00
21.71,21.82,21.48,21.81,720.43,2023-01-07 10:00:00
21.84,21.86,21.57,21.6,160.31,2023-01-07 11:00:00
21.6,21.82,21.59,21.78,221.72,2023-01-07 12:00:00
21.85,21.93,21.59,21.59,161.24,2023-01-07 13:00:00
21.57,22.43,21.57,22.33,895.2,2023-01-07 14:00:00
22.3,22.5,22.01,22.28,542.79,2023-01-07 15:00:00
22.28,22.34,22.2,22.34,370.85,2023-01-07 16:00:00
22.34,22.61,22.22,22.38,1487.75,2023-01-07 17:00:00
22.44,22.88,22.4,22.63,1256.59,2023-01-07 18:00:00
22.67,23.23,22.67,22.97,2594.22,2023-01-07 19:00:00
23.01,23.31,22.73,23.19,880.63,2023-01-07 20:00:00
23.22,23.78,23.21,23.69,2321.43,2023-01-07 21:00:00
23.72,23.99,23.51,23.59,1306.26,2023-01-07 22:00:00
23.59,23.84,23.36,23.36,1418.8,2023-01-07 23:00:00
23.42,23.66,23.38,23.52,542.53,2023-01-08 00:00:00
23.51,23.72,23.49,23.67,863.29,2023-01-08 01:00:00
23.74,23.82,23.62,23.69,477.77,2023-01-08 02:00:00
23.65,23.67,23.35,23.5,1103.06,2023-01-08 03:00:00
23.57,23.7,23.55,23.69,218.25,2023-01-08 04:00:00
23.61,23.68,23.38,23.38,167.25,2023-01-08 05:00:00
23.63,23.66,23.33,23.33,122.07,2023-01-08 06:00:00
23.48,23.72,23.32,23.36,1520.8,2023-01-08 07:00:00
23.45,24.28,23.45,24.23,378.39,2023-01-08 08:00:00
24.18,24.41,24.03,24.04,1790.48,2023-01-08 09:00:00
24.16,24.23,24.0,24.08,242.04,2023-01-08 10:00:00
24.11,24.39,24.07,24.15,748.63,2023-01-08 11:00:00
24.14,24.25,23.88,24.06,279.96,2023-01-08 12:00:00
24.05,24.19,23.84,23.84,739.62,2023-01-08 13:00:00
23.98,24.14,23.94,24.02,874.93,2023-01-08 14:00:00
23.95,24.08,23.68,23.68,1115.52,2023-01-08 15:00:00
23.71,23.71,23.35,23.43,1647.4,2023-01-08 16:00:00
23.42,23.42,23.06,23.17,640.43,2023-01-08 17:00:00
23.26,23.68,23.25,23.64,1248.83,2023-01-08 18:00:00
23.66,23.87,23.26,23.32,1579.62,2023-01-08 19:00:00
23.34,23.53,23.26,23.48,2086.98,2023-01-08 20:00:00
23.49,23.66,23.16,23.34,490.68,2023-01-08 21:00:00
23.35,23.67,23.35,23.36,651.83,2023-01-08 22:00:00
23.45,23.53,23.37,23.43,979.34,2023-01-08 23:00:00
23.43,23.5,23.15,23.24,603.67,2023-01-09 00:00:00
23.24,23.39,22.69,22.75,2068.22,2023-01-09 01:00:00
22.73,23.19,22.73,23.04,1831.4,2023-01-09 02:00:00
23.11,23.15,22.73,22.84,968.49,2023-01-09 03:00:00
22.76,22.88,22.63,22.84,619.63,2023-01-09 04:00:00
22.85,22.91,22.71,22.87,361.63,2023-01-09 05:00:00
22.91,23.16,22.91,23.07,212.67,2023-01-09 06:00:00
23.05,23.05,22.68,22.96,566.07,2023-01-09 07:00:00
23.0,23.62,23.0,23.33,596.74,2023-01-09 08:00:00
23.35,23.45,23.18,23.37,955.88,2023-01-09 09:00:00
23.4,23.4,23.13,23.16,138.26,2023-01-09 10:00:00
23.12,23.27,23.06,23.06,696.81,2023-01-09 11:00:00
23.05,23.14,22.81,22.82,130.16,2023-01-09 12:00:00
22.78,22.96,22.58,22.93,366.51,2023-01-09 13:00:00
22.94,23.31,22.91,23.29,473.29,2023-01-09 14:00:00
23.48,23.48,23.15,23.32,1139.4,2023-01-09 15:00:00
23.27,23.34,22.96,23.3,404.88,2023-01-09 16:00:00
23.32,23.57,23.16,23.2,900.1,2023-01-09 17:00:00
23.2,23.51,23.2,23.49,527.35,2023-01-09 18:00:00
23.55,23.56,23.13,23.26,1761.93,2023-01-09 19:00:00
23.17,23.36,23.03,23.31,791.32,2023-01-09 20:00:00
23.41,23.5,22.78,22.78,1276.43,2023-01-09 21:00:00
22.77,23.41,22.76,23.19,1816.61,2023-01-09 22:00:00
23.16,23.3,22.91,23.08,852.89,2023-01-09 23:00:00
22.93,22.99,22.78,22.81,138.24,2023-01-10 00:00:00
22.82,23.05,22.82,22.96,668.19,2023-01-10 01:00:00
22.96,23.34,22.91,23.16,222.92,2023-01-10 02:00:00
23.21,23.22,22.9,22.91,449.11,2023-01-10 03:00:00
22.9,22.9,22.57,22.64,597.94,2023-01-10 04:00:00
22.59,23.15,22.57,23.15,426.41,2023-01-10 05:00:00
23.11,23.29,22.82,23.02,996.15,2023-01-10 06:00:00
23.01,23.38,23.01,23.19,268.92,2023-01-10 07:00:00
23.12,23.12,22.84,22.98,395.41,2023-01-10 08:00:00
22.94,22.98,22.7,22.76,901.21,2023-01-10 09:00:00
22.83,22.83,22.7,22.75,349.57,2023-01-10 10:00:00
22.77,22.81,22.65,22.8,923.86,2023-01-10 11:00:00
22.76,22.98,22.76,22.91,361.58,2023-01-10 12:00:00
22.82,22.82,22.68,22.77,169.29,2023-01-10 13:00:00
22.67,22.83,22.67,22.77,220.86,2023-01-10 14:00:00
22.76,22.76,22.42,22.45,815.41,2023-01-10 15:00:00
22.48,22.48,22.2,22.32,408.51,2023-01-10 16:00:00
22.38,22.4,22.19,22.19,204.51,2023-01-10 17:00:00
22.31,22.33,21.87,21.9,672.89,2023-01-10 18:00:00
21.91,21.95,21.65,21.75,931.8,2023-01-10 19:00:00
21.75,22.04,21.75,21.99,932.21,2023-01-10 20:00:00
21.88,21.98,21.82,21.88,304.95,2023-01-10 21:00:00
21.85,21.85,21.64,21.76,795.82,2023-01-10 22:00:00
21.66,21.76,21.34,21.46,901.56,2023-01-10 23:00:00
21.4,21.48,21.14,21.14,1982.87,2023-01-11 00:00:00
21.18,21.4,21.17,21.37,605.81,2023-01-11 01:00:00
21.38,21.51,21.08,21.13,384.11,2023-01-11 02:00:00
21.18,21.38,21.16,21.34,95.0,2023-01-11 03:00:00
21.42,21.62,21.41,21.58,570.85,2023-01-11 04:00:00
21.55,21.81,21.55,21.69,830.19,2023-01-11 05:00:00
21.61,21.62,21.45,21.45,157.4,2023-01-11 06:00:00
21.6,22.02,21.6,22.01,148.78,2023-01-11 07:00:00
22.06,22.13,21.97,21.97,289.78,2023-01-11 08:00:00
21.92,21.92,21.66,21.67,546.12,2023-01-11 09:00:00
21.62,21.95,21.61,21.78,492.26,2023-01-11 10:00:00
21.82,21.82,21.7,21.73,354.03,2023-01-11 11:00:00
21.66,21.67,21.36,21.36,270.79,2023-01-11 12:00:00
21.37,21.41,21.06,21.24,1084.29,2023-01-11 13:00:00
21.33,21.48,21.33,21.48,406.89,2023-01-11 14:00:00
21.44,21.76,21.44,21.73,192.21,2023-01-11 15:00:00
21.71,21.72,21.5,21.5,663.27,2023-01-11 16:00:00
21.5,21.63,21.5,21.6,271.34,2023-01-11 17:00:00
21.65,21.84,21.5,21.83,542.58,2023-01-11 18:00:00
21.76,22.36,21.67,22.31,1650.6,2023-01-11 19:00:00
22.29,22.53,22.29,22.53,2833.13,2023-01-11 20:00:00
22.59,22.61,22.25,22.29,538.65,2023-01-11 21:00:00
22.28,22.34,22.11,22.28,421.98,2023-01-11 22:00:00
22.3,22.36,22.17,22.18,713.19,2023-01-11 23:00:00
22.07,22.14,21.91,22.05,3621.69,2023-01-12 00:00:00
22.15,22.18,21.99,21.99,352.54,2023-01-12 01:00:00
21.99,22.05,21.88,21.88,153.68,2023-01-12 02:00:00
21.82,21.84,21.26,21.26,420.55,2023-01-12 03:00:00
21.23,21.63,21.15,21.58,370.74,2023-01-12 04:00:00
21.59,22.53,21.59,22.4,851.6,2023-01-12 05:00:00
22.44,22.91,22.26,22.81,1370.11,2023-01-12 06:00:00
22.8,23.13,22.68,22.88,8054.43,2023-01-12 07:00:00
22.75,22.8,22.36,22.46,497.58,2023-01-12 08:00:00
22.54,22.67,22.2,22.21,210.6,2023-01-12 09:00:00
22.23,22.39,22.23,22.34,508.05,2023-01-12 10:00:00
22.32,22.37,22.18,22.25,49.5,2023-01-12 11:00:00
22.31,22.4,21.87,21.97,284.09,2023-01-12 12:00:00
21.94,22.16,21.94,21.99,275.44,2023-01-12 13:00:00
21.88,21.88,21.21,21.41,1741.47,2023-01-12 14:00:00
21.41,21.52,21.05,21.46,3277.55,2023-01-12 15:00:00
21.32,21.38,21.2,21.38,1794.18,2023-01-12 16:00:00
21.37,21.37,21.07,21.09,2166.96,2023-01-12 17:00:00
21.18,21.34,21.17,21.2,739.44,2023-01-12 18:00:00
21.16,21.51,21.15,21.28,1333.1,2023-01-12 19:00:00
21.39,21.72,21.22,21.41,984.08,2023-01-12 20:00:00
21.3,22.17,21.3,22.15,1944.22,2023-01-12 21:00:00
22.06,22.06,21.58,21.69,944.95,2023-01-12 22:00:00
21.73,22.31,21.73,22.13,1501.2,2023-01-12 23:00:00
22.14,22.33,21.97,22.25,1403.02,2023-01-13 00:00:00
22.33,22.33,21.91,21.95,651.83,2023-01-13 01:00:00
22.01,22.22,21.76,21.85,734.29,2023-01-13 02:00:00
21.83,22.05,21.83,22.05,469.08,2023-01-13 03:00:00
22.03,22.04,21.73,21.73,247.94,2023-01-13 04:00:00
21.7,21.78,21.4,21.54,379.06,2023-01-13 05:00:00
21.48,21.48,21.1,21.16,376.14,2023-01-13 06:00:00
21.13,21.46,21.11,21.42,633.02,2023-01-13 07:00:00
21.41,21.51,21.32,21.32,401.5,2023-01-13 08:00:00
21.42,21.47,21.34,21.4,204.27,2023-01-13 09:00:00
21.32,21.33,21.07,21.24,489.8,2023-01-13 10:00:00
21.29,21.39,21.18,21.29,1314.87,2023-01-13 11:00:00
21.26,21.26,20.79,20.99,1533.09,2023-01-13 12:00:00
21.02,21.29,21.01,21.07,847.0,2023-01-13 13:00:00
21.15,21.27,21.1,21.17,410.69,2023-01-13 14:00:00
21.18,21.79,21.12,21.66,1482.06,2023-01-13 15:00:00
21.68,21.68,21.41,21.48,234.25,2023-01-13 16:00:00
21.51,21.54,21.38,21.49,2153.43,2023-01-13 17:00:00
21.55,21.79,21.4,21.72,1447.69,2023-01-13 18:00:00
21.66,21.68,21.41,21.47,548.65,2023-01-13 19:00:00
21.47,21.47,21.04,21.29,887.15,2023-01-13 20:00:00
