Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
10.062,10.314,10.029,10.23,6983.84,2023-01-01 00:00:00
10.236,10.428,10.21,10.34,5144.37,2023-01-01 01:00:00
10.319,10.392,10.01,10.09,8678.28,2023-01-01 02:00:00
10.106,10.231,9.984,10.178,7253.35,2023-01-01 03:00:00
10.204,10.284,10.078,10.096,6640.27,2023-01-01 04:00:00
10.082,10.104,9.758,9.938,7474.49,2023-01-01 05:00:00
9.911,10.039,9.802,9.833,2661.76,2023-01-01 06:00:00
9.85,9.85,9.327,9.504,8150.17,2023-01-01 07:00:00
9.515,9.854,9.515,9.761,4902.11,2023-01-01 08:00:00
9.779,9.914,9.604,9.655,5103.43,2023-01-01 09:00:00
9.663,10.0,9.625,9.807,5768.14,2023-01-01 10:00:00
9.822,9.83,9.672,9.741,4452.98,2023-01-01 11:00:00
9.759,9.899,9.746,9.862,4510.03,2023-01-01 12:00:00
9.852,9.908,9.779,9.798,5676.5,2023-01-01 13:00:00
9.792,9.843,9.701,9.744,5126.13,2023-01-01 14:00:00
9.74,9.846,9.697,9.796,4874.35,2023-01-01 15:00:00
9.796,9.891,9.796,9.874,2764.7,2023-01-01 16:00:00
9.879,10.034,9.879,10.033,2412.66,2023-01-01 17:00:00
10.0,10.032,9.88,9.95,6168.82,2023-01-01 18:00:00
9.933,10.063,9.927,9.995,2279.61,2023-01-01 19:00:00
9.981,10.074,9.849,9.907,3479.58,2023-01-01 20:00:00
9.919,10.034,9.808,10.004,4734.77,2023-01-01 21:00:00
9.968,10.076,9.907,10.007,3071.78,2023-01-01 22:00:00
10.0,10.062,9.966,10.047,3674.98,2023-01-01 23:00:00
10.047,10.08,9.953,9.953,3434.59,2023-01-02 00:00:00
9.958,9.991,9.716,9.717,3898.92,2023-01-02 01:00:00
9.749,9.804,9.54,9.729,6264.41,2023-01-02 02:00:00
9.708,9.832,9.679,9.809,2268.91,2023-01-02 03:00:00
9.829,9.9,9.314,9.684,16295.36,2023-01-02 04:00:00
9.667,9.728,9.46,9.592,7239.3,2023-01-02 05:00:00
9.592,9.869,9.524,9.854,3058.45,2023-01-02 06:00:00
9.853,9.946,9.796,9.91,2420.31,2023-01-02 07:00:00
9.9,9.968,9.804,9.946,2942.54,2023-01-02 08:00:00
9.95,10.06,9.869,10.039,15430.4,2023-01-02 09:00:00
10.032,10.241,10.021,10.22,21178.85,2023-01-02 10:00:00
10.218,10.252,10.04,10.07,12503.47,2023-01-02 11:00:00
10.072,10.124,9.985,10.05,10500.26,2023-01-02 12:00:00
10.05,10.05,9.967,9.97,16228.14,2023-01-02 13:00:00
9.983,10.039,9.904,9.907,10048.21,2023-01-02 14:00:00
9.92,9.92,9.722,9.799,25936.33,2023-01-02 15:00:00
9.808,9.824,9.645,9.804,10799.07,2023-01-02 16:00:00
9.829,9.923,9.791,9.825,10892.55,2023-01-02 17:00:00
9.819,9.946,9.522,9.523,2942.5,2023-01-02 18:00:00
9.545,9.752,9.496,9.675,2973.06,2023-01-02 19:00:00
9.683,9.855,9.617,9.849,2226.35,2023-01-02 20:00:00
9.822,10.006,9.75,9.872,4534.2,2023-01-02 21:00:00
9.87,9.979,9.85,9.957,2836.47,2023-01-02 22:00:00
9.942,10.043,9.942,9.96,3913.33,2023-01-02 23:00:00
9.96,10.083,9.937,10.075,3451.4,2023-01-03 00:00:00
10.075,10.286,10.066,10.285,7539.76,2023-01-03 01:00:00
10.287,10.434,10.229,10.238,12594.14,2023-01-03 02:00:00
10.248,10.476,10.245,10.389,30347.35,2023-01-03 03:00:00
10.39,10.59,10.39,10.548,8095.88,2023-01-03 04:00:00
10.528,10.604,10.347,10.4,7660.7,2023-01-03 05:00:00
10.417,10.556,10.283,10.457,8902.83,2023-01-03 06:00:00
10.447,10.58,10.436,10.462,3948.61,2023-01-03 07:00:00
10.456,10.507,10.388,10.4,1221.33,2023-01-03 08:00:00
10.417,10.448,10.315,10.324,1305.15,2023-01-03 09:00:00
10.324,10.44,10.317,10.427,971.01,2023-01-03 10:00:00
