Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
54.08,54.61,53.75,54.14,19678.99,2023-01-01 00:00:00
54.1,54.92,53.98,54.51,8383.17,2023-01-01 01:00:00
54.54,55.46,53.44,54.16,13797.02,2023-01-01 02:00:00
54.15,54.35,53.16,53.7,10437.87,2023-01-01 03:00:00
53.63,54.08,52.96,53.09,3283.82,2023-01-01 04:00:00
53.09,53.34,52.12,52.86,6957.47,2023-01-01 05:00:00
52.86,52.87,51.75,51.83,5919.85,2023-01-01 06:00:00
51.75,51.84,49.8,50.27,9351.71,2023-01-01 07:00:00
50.22,51.98,50.02,51.35,10317.28,2023-01-01 08:00:00
51.44,52.1,50.77,50.95,7177.42,2023-01-01 09:00:00
50.95,52.05,50.94,51.59,2788.67,2023-01-01 10:00:00
51.65,51.73,50.94,51.52,3643.09,2023-01-01 11:00:00
51.51,52.06,51.14,51.9,6557.87,2023-01-01 12:00:00
51.91,52.4,51.91,52.0,4637.77,2023-01-01 13:00:00
52.0,52.58,51.91,52.25,23691.42,2023-01-01 14:00:00
52.25,52.7,52.05,52.43,5079.09,2023-01-01 15:00:00
52.44,52.63,52.19,52.29,4808.36,2023-01-01 16:00:00
52.3,52.82,52.21,52.78,3673.02,2023-01-01 17:00:00
52.78,53.34,52.67,53.12,6571.79,2023-01-01 18:00:00
53.12,53.28,52.68,52.82,3673.96,2023-01-01 19:00:00
52.83,53.1,52.26,52.67,6602.8,2023-01-01 20:00:00
52.74,52.82,51.72,52.31,10783.89,2023-01-01 21:00:00
52.3,53.05,51.92,52.85,7059.32,2023-01-01 22:00:00
52.83,53.3,52.51,53.24,6475.92,2023-01-01 23:00:00
53.25,53.65,52.76,52.77,4728.63,2023-01-02 00:00:00
52.78,53.26,51.63,51.73,4802.64,2023-01-02 01:00:00
51.75,52.0,50.55,51.37,7904.93,2023-01-02 02:00:00
51.34,51.79,51.12,51.57,3896.88,2023-01-02 03:00:00
51.58,51.99,49.02,50.95,9650.69,2023-01-02 04:00:00
50.95,51.41,50.02,50.34,12140.16,2023-01-02 05:00:00
50.35,51.66,50.19,51.54,6087.89,2023-01-02 06:00:00
51.53,51.98,51.2,51.63,9656.58,2023-01-02 07:00:00
51.61,51.71,51.17,51.44,8355.17,2023-01-02 08:00:00
51.45,51.65,51.0,51.65,3610.51,2023-01-02 09:00:00
51.62,52.12,51.6,52.0,1679.06,2023-01-02 10:00:00
52.02,52.45,51.86,52.04,2238.31,2023-01-02 11:00:00
52.02,53.6,51.79,53.36,4506.52,2023-01-02 12:00:00
53.38,53.56,52.48,52.82,4299.17,2023-01-02 13:00:00
52.81,52.95,52.36,52.45,2840.57,2023-01-02 14:00:00
52.46,52.51,51.48,51.67,5671.54,2023-01-02 15:00:00
51.63,51.82,50.86,51.19,3696.53,2023-01-02 16:00:00
51.22,51.42,50.73,51.04,4329.07,2023-01-02 17:00:00
51.01,51.57,49.83,49.94,7824.02,2023-01-02 18:00:00
49.9,51.2,49.66,50.66,7738.51,2023-01-02 19:00:00
50.71,51.65,50.43,51.64,7181.58,2023-01-02 20:00:00
51.66,52.17,51.4,51.71,8711.5,2023-01-02 21:00:00
51.73,52.2,51.51,52.18,4038.06,2023-01-02 22:00:00
52.17,53.05,52.12,52.53,7843.83,2023-01-02 23:00:00
52.53,53.02,52.46,52.88,3436.63,2023-01-03 00:00:00
52.87,53.05,52.59,52.72,4246.58,2023-01-03 01:00:00
52.68,52.86,52.12,52.41,7114.86,2023-01-03 02:00:00
52.44,52.84,52.33,52.33,2584.07,2023-01-03 03:00:00
52.34,53.0,52.34,52.76,2092.22,2023-01-03 04:00:00
52.62,53.08,52.23,52.57,2463.19,2023-01-03 05:00:00
52.53,52.7,51.76,51.97,3227.97,2023-01-03 06:00:00
52.01,52.25,51.77,52.0,1621.68,2023-01-03 07:00:00
52.01,52.29,51.85,52.1,1903.86,2023-01-03 08:00:00
52.09,52.25,51.69,51.94,1091.68,2023-01-03 09:00:00
51.92,52.27,51.76,52.02,1967.67,2023-01-03 10:00:00
51.99,52.17,51.71,51.94,1554.14,2023-01-03 11:00:00
51.89,52.33,51.83,52.27,3288.07,2023-01-03 12:00:00
52.21,52.25,51.28,51.57,4418.59,2023-01-03 13:00:00
51.55,51.83,51.33,51.7,2368.22,2023-01-03 14:00:00
51.7,52.12,51.7,51.91,1373.76,2023-01-03 15:00:00
51.95,51.95,51.55,51.77,804.99,2023-01-03 16:00:00
51.78,52.43,51.73,52.3,3923.69,2023-01-03 17:00:00
52.29,52.29,51.94,52.07,2449.75,2023-01-03 18:00:00
52.09,52.33,51.84,52.24,2684.83,2023-01-03 19:00:00
52.24,52.65,51.62,52.63,8039.9,2023-01-03 20:00:00
52.62,52.79,52.01,52.57,3064.15,2023-01-03 21:00:00
52.57,52.74,52.2,52.25,2770.53,2023-01-03 22:00:00
52.28,52.31,51.72,51.91,5435.33,2023-01-03 23:00:00
51.98,53.1,51.97,52.89,3032.9,2023-01-04 00:00:00
52.91,53.12,52.12,52.26,2257.14,2023-01-04 01:00:00
52.29,52.67,52.13,52.16,2105.78,2023-01-04 02:00:00
52.23,52.3,51.8,51.9,4640.79,2023-01-04 03:00:00
51.89,52.03,51.64,51.64,1464.15,2023-01-04 04:00:00
51.62,52.1,51.59,51.64,1574.72,2023-01-04 05:00:00
51.66,51.8,51.44,51.72,2853.09,2023-01-04 06:00:00
51.73,51.97,51.51,51.54,672.06,2023-01-04 07:00:00
51.53,51.81,51.43,51.72,1586.82,2023-01-04 08:00:00
51.72,52.02,51.71,51.9,713.82,2023-01-04 09:00:00
51.86,52.14,51.54,51.56,898.92,2023-01-04 10:00:00
51.53,51.63,50.8,51.04,3327.95,2023-01-04 11:00:00
51.01,51.35,50.74,51.34,1537.27,2023-01-04 12:00:00
51.36,51.76,51.28,51.6,1635.78,2023-01-04 13:00:00
51.6,51.6,50.58,50.59,8588.5,2023-01-04 14:00:00
50.6,51.15,50.39,50.65,3619.58,2023-01-04 15:00:00
50.7,51.29,50.7,51.21,3511.27,2023-01-04 16:00:00
51.2,51.66,51.04,51.46,4964.57,2023-01-04 17:00:00
51.51,51.82,51.11,51.74,2879.19,2023-01-04 18:00:00
51.75,52.2,51.64,51.94,4410.77,2023-01-04 19:00:00
51.96,51.96,51.41,51.41,2597.05,2023-01-04 20:00:00
51.45,52.9,51.06,52.27,11828.0,2023-01-04 21:00:00
52.31,52.54,51.94,52.06,5855.31,2023-01-04 22:00:00
52.11,53.02,52.09,52.84,5954.5,2023-01-04 23:00:00
52.87,53.25,52.18,52.36,6807.32,2023-01-05 00:00:00
52.37,53.01,52.28,52.94,4432.62,2023-01-05 01:00:00
52.87,53.59,52.8,53.18,5451.83,2023-01-05 02:00:00
53.21,53.82,53.01,53.55,4502.94,2023-01-05 03:00:00
53.57,54.43,53.51,54.05,5327.55,2023-01-05 04:00:00
54.07,54.24,53.75,54.03,4633.36,2023-01-05 05:00:00
54.02,54.24,53.15,53.24,5964.91,2023-01-05 06:00:00
53.24,53.41,52.49,52.57,4082.06,2023-01-05 07:00:00
52.57,52.67,52.04,52.09,3531.55,2023-01-05 08:00:00
52.08,52.31,51.19,51.79,3695.69,2023-01-05 09:00:00
51.72,51.95,51.05,51.95,1856.92,2023-01-05 10:00:00
51.95,52.5,51.91,52.33,2201.29,2023-01-05 11:00:00
52.37,52.37,51.39,51.48,3842.32,2023-01-05 12:00:00
51.46,51.61,50.49,51.44,8308.21,2023-01-05 13:00:00
51.43,51.43,50.21,50.34,8383.07,2023-01-05 14:00:00
50.34,50.6,49.56,49.96,10116.2,2023-01-05 15:00:00
49.95,50.51,49.74,50.34,4914.82,2023-01-05 16:00:00
