Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
555.0,563.0,554.3,563.0,142.38,2023-01-01 00:00:00
562.0,569.7,561.8,567.0,182.629,2023-01-01 01:00:00
567.2,584.9,566.5,580.0,557.631,2023-01-01 02:00:00
580.2,587.9,571.8,577.1,454.74,2023-01-01 03:00:00
577.4,583.9,575.0,577.4,340.219,2023-01-01 04:00:00
577.4,588.4,574.4,584.8,317.966,2023-01-01 05:00:00
584.6,584.6,571.8,574.0,483.296,2023-01-01 06:00:00
573.6,574.7,551.6,560.0,795.671,2023-01-01 07:00:00
561.7,614.4,560.6,591.9,981.146,2023-01-01 08:00:00
591.9,604.8,577.9,585.7,635.686,2023-01-01 09:00:00
586.7,595.7,585.6,592.4,519.381,2023-01-01 10:00:00
592.4,592.4,573.8,579.2,205.174,2023-01-01 11:00:00
578.5,614.4,575.2,598.3,955.567,2023-01-01 12:00:00
598.9,631.5,595.7,619.7,842.676,2023-01-01 13:00:00
619.8,624.7,608.6,611.3,418.026,2023-01-01 14:00:00
611.7,621.0,606.6,607.7,431.185,2023-01-01 15:00:00
607.4,610.0,602.2,605.6,293.543,2023-01-01 16:00:00
605.9,618.4,605.7,616.2,266.038,2023-01-01 17:00:00
615.3,629.7,610.8,623.4,378.633,2023-01-01 18:00:00
622.1,634.5,620.5,628.8,427.384,2023-01-01 19:00:00
627.6,627.6,609.9,616.0,327.577,2023-01-01 20:00:00
615.5,617.3,606.7,611.0,201.821,2023-01-01 21:00:00
611.1,616.2,607.1,612.9,241.518,2023-01-01 22:00:00
612.4,615.2,607.2,614.7,93.671,2023-01-01 23:00:00
614.6,619.9,614.6,615.3,210.889,2023-01-02 00:00:00
616.2,617.6,602.4,604.2,112.123,2023-01-02 01:00:00
603.6,606.1,542.0,602.9,602.881,2023-01-02 02:00:00
602.6,608.0,601.6,603.8,157.263,2023-01-02 03:00:00
604.8,606.6,572.8,591.0,486.341,2023-01-02 04:00:00
590.4,595.9,581.8,589.3,342.778,2023-01-02 05:00:00
588.6,595.9,584.2,593.6,264.132,2023-01-02 06:00:00
594.3,598.4,588.4,594.7,128.181,2023-01-02 07:00:00
