Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.4118,0.4223,0.4118,0.4218,105797.4,2023-01-01 00:00:00
0.4219,0.4384,0.4217,0.429,129264.1,2023-01-01 01:00:00
0.4287,0.435,0.417,0.4199,30370.1,2023-01-01 02:00:00
0.4193,0.4301,0.4166,0.4284,18503.0,2023-01-01 03:00:00
0.43,0.4317,0.4263,0.4271,13188.9,2023-01-01 04:00:00
0.4287,0.4287,0.4037,0.4164,67407.4,2023-01-01 05:00:00
0.4147,0.4185,0.4091,0.4138,49354.1,2023-01-01 06:00:00
0.4125,0.4125,0.3958,0.4064,62639.6,2023-01-01 07:00:00
0.4058,0.4192,0.4055,0.4153,96504.6,2023-01-01 08:00:00
0.416,0.4321,0.4092,0.4092,100833.2,2023-01-01 09:00:00
0.4118,0.422,0.4118,0.417,9092.8,2023-01-01 10:00:00
0.4152,0.4159,0.4092,0.4123,3538.0,2023-01-01 11:00:00
0.4144,0.4179,0.4077,0.4179,16669.7,2023-01-01 12:00:00
0.4179,0.4306,0.417,0.43,83145.2,2023-01-01 13:00:00
0.4271,0.43,0.4231,0.4235,20414.6,2023-01-01 14:00:00
0.423,0.4284,0.4216,0.4238,20642.3,2023-01-01 15:00:00
0.4247,0.4284,0.4239,0.4266,14599.3,2023-01-01 16:00:00
0.4257,0.4305,0.4257,0.4282,6334.4,2023-01-01 17:00:00
0.4277,0.4314,0.4223,0.4255,13499.2,2023-01-01 18:00:00
0.4278,0.4335,0.426,0.432,26416.8,2023-01-01 19:00:00
0.432,0.4361,0.425,0.4351,20073.1,2023-01-01 20:00:00
0.4335,0.4384,0.427,0.4345,24250.6,2023-01-01 21:00:00
0.4345,0.4425,0.4335,0.4376,85690.7,2023-01-01 22:00:00
0.4391,0.4393,0.4344,0.4365,27396.1,2023-01-01 23:00:00
0.4343,0.4373,0.4297,0.4297,24661.2,2023-01-02 00:00:00
0.4308,0.432,0.4195,0.4216,8974.7,2023-01-02 01:00:00
0.4199,0.426,0.4143,0.4217,17696.4,2023-01-02 02:00:00
0.4222,0.427,0.4222,0.425,24295.1,2023-01-02 03:00:00
0.4267,0.4267,0.403,0.4187,76578.4,2023-01-02 04:00:00
0.417,0.4231,0.4127,0.417,46364.5,2023-01-02 05:00:00
0.4172,0.4321,0.4126,0.4308,51948.3,2023-01-02 06:00:00
0.4296,0.4353,0.4282,0.4297,37678.8,2023-01-02 07:00:00
0.4291,0.4308,0.4256,0.4291,66381.7,2023-01-02 08:00:00
0.4272,0.4276,0.4224,0.4272,62044.1,2023-01-02 09:00:00
0.4266,0.4352,0.4266,0.4352,112630.0,2023-01-02 10:00:00
0.4354,0.4357,0.4286,0.4286,10744.8,2023-01-02 11:00:00
0.4284,0.4311,0.426,0.4276,54105.0,2023-01-02 12:00:00
0.4287,0.4317,0.4272,0.4301,41076.2,2023-01-02 13:00:00
0.4301,0.433,0.4256,0.4261,58481.2,2023-01-02 14:00:00
0.4249,0.4249,0.4136,0.4138,24539.7,2023-01-02 15:00:00
0.415,0.4151,0.4087,0.4147,48844.6,2023-01-02 16:00:00
0.4145,0.417,0.4092,0.4113,52385.6,2023-01-02 17:00:00
0.4111,0.4147,0.4016,0.4016,57370.1,2023-01-02 18:00:00
0.403,0.4147,0.4004,0.4081,79403.1,2023-01-02 19:00:00
0.4102,0.416,0.405,0.4153,18799.9,2023-01-02 20:00:00
0.4133,0.4239,0.4127,0.416,49977.5,2023-01-02 21:00:00
0.417,0.4261,0.4154,0.4259,66910.1,2023-01-02 22:00:00
0.4245,0.4274,0.423,0.4261,24787.2,2023-01-02 23:00:00
0.4266,0.4402,0.4266,0.4399,63638.1,2023-01-03 00:00:00
0.4388,0.4451,0.4368,0.4373,29983.0,2023-01-03 01:00:00
0.439,0.4447,0.439,0.444,54011.5,2023-01-03 02:00:00
0.4447,0.4565,0.4446,0.4488,123495.4,2023-01-03 03:00:00
0.4486,0.4492,0.4437,0.4437,100420.5,2023-01-03 04:00:00
0.4431,0.4443,0.4374,0.438,19364.4,2023-01-03 05:00:00
0.4371,0.4387,0.4311,0.4333,4825.5,2023-01-03 06:00:00
0.4333,0.4376,0.4324,0.4354,3552.7,2023-01-03 07:00:00
0.4324,0.4369,0.4316,0.4369,1025.4,2023-01-03 08:00:00
0.4335,0.4335,0.4311,0.4331,6134.4,2023-01-03 09:00:00
0.4311,0.4338,0.4306,0.4311,1413.9,2023-01-03 10:00:00
0.4302,0.431,0.4263,0.4263,3486.7,2023-01-03 11:00:00
0.4278,0.4287,0.4278,0.4279,780.5,2023-01-03 12:00:00
0.4263,0.4263,0.4193,0.4232,5883.9,2023-01-03 13:00:00
0.4193,0.4242,0.4181,0.4212,5896.5,2023-01-03 14:00:00
0.4213,0.4239,0.4203,0.4203,1503.2,2023-01-03 15:00:00
0.4209,0.422,0.415,0.421,30143.5,2023-01-03 16:00:00
0.4216,0.4256,0.4216,0.4246,7396.0,2023-01-03 17:00:00
0.4239,0.4276,0.4239,0.4249,21111.3,2023-01-03 18:00:00
0.4242,0.4249,0.4216,0.4223,3880.4,2023-01-03 19:00:00
0.4214,0.4239,0.419,0.4225,28268.6,2023-01-03 20:00:00
0.4222,0.4236,0.4204,0.4226,34683.1,2023-01-03 21:00:00
0.4223,0.4226,0.4187,0.4203,28432.8,2023-01-03 22:00:00
0.4203,0.4203,0.4158,0.4162,9291.1,2023-01-03 23:00:00
0.4193,0.4225,0.4193,0.4225,1399.4,2023-01-04 00:00:00
0.4219,0.4236,0.4193,0.4193,11503.0,2023-01-04 01:00:00
0.4181,0.4228,0.4178,0.4228,9621.6,2023-01-04 02:00:00
0.4201,0.4224,0.4199,0.4218,6678.2,2023-01-04 03:00:00
0.4203,0.4216,0.4193,0.4199,8422.8,2023-01-04 04:00:00
