Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
732.17,737.05,727.71,735.02,2184.008,2023-01-01 00:00:00
734.71,742.54,734.42,740.49,1673.126,2023-01-01 01:00:00
740.6,746.74,727.78,735.03,2422.22,2023-01-01 02:00:00
735.04,748.04,734.12,737.59,3336.112,2023-01-01 03:00:00
737.65,743.12,733.5,735.11,1839.725,2023-01-01 04:00:00
735.01,740.68,727.88,740.68,1881.352,2023-01-01 05:00:00
740.65,740.92,718.8,720.13,2535.976,2023-01-01 06:00:00
720.3,721.19,691.2,703.74,6448.774,2023-01-01 07:00:00
703.52,725.62,702.34,722.43,3668.563,2023-01-01 08:00:00
722.39,726.66,712.79,714.96,2846.741,2023-01-01 09:00:00
715.01,731.35,714.01,726.39,1132.557,2023-01-01 10:00:00
726.44,735.31,718.78,724.43,1833.952,2023-01-01 11:00:00
724.37,725.35,717.89,722.57,971.515,2023-01-01 12:00:00
722.38,731.85,722.11,730.11,1210.815,2023-01-01 13:00:00
730.06,738.41,727.66,732.76,3174.969,2023-01-01 14:00:00
733.01,735.73,730.22,733.76,990.699,2023-01-01 15:00:00
733.85,736.8,731.94,732.01,1045.69,2023-01-01 16:00:00
732.04,739.0,731.65,737.82,1995.393,2023-01-01 17:00:00
737.83,739.18,729.21,730.21,1072.187,2023-01-01 18:00:00
730.12,731.63,726.85,728.97,1533.068,2023-01-01 19:00:00
728.99,733.73,724.08,727.43,955.486,2023-01-01 20:00:00
727.39,731.18,719.16,725.13,1465.439,2023-01-01 21:00:00
724.99,735.04,722.57,732.42,1251.463,2023-01-01 22:00:00
732.64,736.92,730.33,733.89,1565.778,2023-01-01 23:00:00
733.89,734.53,726.05,726.74,881.372,2023-01-02 00:00:00
726.63,731.0,715.55,716.67,3367.372,2023-01-02 01:00:00
716.67,717.84,703.0,713.75,3486.24,2023-01-02 02:00:00
713.72,716.66,711.85,716.4,1240.649,2023-01-02 03:00:00
716.31,718.72,696.43,716.48,6991.741,2023-01-02 04:00:00
716.5,721.87,708.84,717.94,1770.152,2023-01-02 05:00:00
718.04,733.63,714.7,730.55,1580.902,2023-01-02 06:00:00
730.52,733.2,725.14,729.89,1320.07,2023-01-02 07:00:00
729.93,732.02,727.12,730.64,968.424,2023-01-02 08:00:00
731.03,731.03,724.69,729.8,3045.66,2023-01-02 09:00:00
729.76,735.56,727.87,733.23,587.716,2023-01-02 10:00:00
733.11,733.47,726.53,727.25,434.434,2023-01-02 11:00:00
727.31,730.71,726.57,728.92,468.271,2023-01-02 12:00:00
729.04,729.75,722.57,725.81,693.02,2023-01-02 13:00:00
725.82,729.7,723.19,723.3,646.937,2023-01-02 14:00:00
723.2,723.83,713.9,718.34,1403.504,2023-01-02 15:00:00
717.87,721.62,712.3,721.45,871.51,2023-01-02 16:00:00
721.39,723.32,715.4,719.11,685.523,2023-01-02 17:00:00
718.91,722.83,707.86,708.9,958.997,2023-01-02 18:00:00
708.9,719.97,705.83,718.56,987.013,2023-01-02 19:00:00
718.44,725.22,714.86,725.22,1565.423,2023-01-02 20:00:00
725.13,733.81,721.01,733.65,2033.171,2023-01-02 21:00:00
733.35,744.29,729.71,742.87,2672.0,2023-01-02 22:00:00
742.95,746.87,737.07,743.54,2142.578,2023-01-02 23:00:00
743.49,744.28,739.21,739.26,956.996,2023-01-03 00:00:00
739.38,741.65,737.42,739.55,917.772,2023-01-03 01:00:00
739.58,744.96,738.64,742.18,833.409,2023-01-03 02:00:00
742.2,745.15,731.72,733.0,2933.589,2023-01-03 03:00:00
733.16,736.99,732.84,735.06,493.431,2023-01-03 04:00:00
734.97,736.0,727.84,731.53,773.043,2023-01-03 05:00:00
731.5,737.45,730.92,735.1,699.593,2023-01-03 06:00:00
735.3,739.43,733.06,737.45,356.142,2023-01-03 07:00:00
736.73,740.74,735.56,737.16,383.579,2023-01-03 08:00:00
737.12,738.93,732.0,736.78,455.517,2023-01-03 09:00:00
736.55,745.52,734.52,740.37,1125.564,2023-01-03 10:00:00
741.05,750.0,739.57,746.26,1233.875,2023-01-03 11:00:00
