Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.009782,0.009895,0.00973,0.009836,3463237.0,2023-01-01 00:00:00
0.00983,0.010111,0.009828,0.010047,2203300.0,2023-01-01 01:00:00
0.010029,0.010122,0.009794,0.009959,2147635.0,2023-01-01 02:00:00
0.009908,0.0101,0.009908,0.009994,1241396.0,2023-01-01 03:00:00
0.009971,0.010085,0.009911,0.009911,2063532.0,2023-01-01 04:00:00
0.009932,0.010014,0.009719,0.009996,1546076.0,2023-01-01 05:00:00
0.009947,0.009954,0.009772,0.009778,386856.0,2023-01-01 06:00:00
0.009772,0.009779,0.009309,0.009657,7486205.0,2023-01-01 07:00:00
0.009596,0.009966,0.0095,0.009869,2147310.0,2023-01-01 08:00:00
0.009895,0.010062,0.009649,0.009649,2632920.0,2023-01-01 09:00:00
0.00969,0.009975,0.009666,0.009948,2823507.0,2023-01-01 10:00:00
0.009941,0.009993,0.00969,0.00981,1556947.0,2023-01-01 11:00:00
0.009823,0.009856,0.009656,0.009835,2273296.0,2023-01-01 12:00:00
0.009852,0.009998,0.009837,0.009963,1425106.0,2023-01-01 13:00:00
0.009962,0.010244,0.009962,0.01006,1952246.0,2023-01-01 14:00:00
0.010046,0.010057,0.009927,0.009976,830670.0,2023-01-01 15:00:00
0.009984,0.01002,0.009875,0.009904,3083919.0,2023-01-01 16:00:00
0.009882,0.010032,0.009874,0.010032,1289363.0,2023-01-01 17:00:00
0.010037,0.010244,0.010037,0.010077,3447993.0,2023-01-01 18:00:00
0.010072,0.010111,0.009955,0.010015,1655356.0,2023-01-01 19:00:00
0.01003,0.010249,0.009921,0.010155,3890501.0,2023-01-01 20:00:00
0.010166,0.010228,0.009934,0.010048,5563004.0,2023-01-01 21:00:00
0.010089,0.010343,0.010008,0.010187,3256926.0,2023-01-01 22:00:00
0.010179,0.010221,0.0101,0.010167,926694.0,2023-01-01 23:00:00
0.010127,0.010191,0.010018,0.010018,688149.0,2023-01-02 00:00:00
0.010024,0.010147,0.009796,0.009846,1544918.0,2023-01-02 01:00:00
0.009794,0.00993,0.009655,0.00993,7981064.0,2023-01-02 02:00:00
0.00994,0.010002,0.00989,0.00996,846798.0,2023-01-02 03:00:00
0.009998,0.010043,0.0092,0.009801,8517386.0,2023-01-02 04:00:00
0.009785,0.010002,0.009615,0.009821,1247431.0,2023-01-02 05:00:00
0.009782,0.01012,0.009669,0.010092,2564315.0,2023-01-02 06:00:00
0.010098,0.010196,0.009992,0.01009,8811900.0,2023-01-02 07:00:00
0.010094,0.010132,0.01,0.010105,4912417.0,2023-01-02 08:00:00
0.010109,0.010188,0.009995,0.01006,1509900.0,2023-01-02 09:00:00
0.010096,0.010111,0.009979,0.010007,525290.0,2023-01-02 10:00:00
0.009975,0.010052,0.009868,0.009894,647821.0,2023-01-02 11:00:00
0.009891,0.010015,0.009861,0.00996,1660668.0,2023-01-02 12:00:00
0.009954,0.010027,0.009902,0.010027,1591809.0,2023-01-02 13:00:00
0.010029,0.010125,0.009953,0.009957,4541267.0,2023-01-02 14:00:00
0.009954,0.00997,0.009752,0.009834,16886873.0,2023-01-02 15:00:00
0.009841,0.009872,0.009655,0.009757,17449479.0,2023-01-02 16:00:00
0.009753,0.009828,0.009664,0.009726,712413.0,2023-01-02 17:00:00
0.009711,0.009803,0.009445,0.009482,11324620.0,2023-01-02 18:00:00
0.009493,0.009686,0.0094,0.009601,7914802.0,2023-01-02 19:00:00
0.009624,0.00976,0.009548,0.009758,1655078.0,2023-01-02 20:00:00
0.00972,0.009872,0.009698,0.009767,4011202.0,2023-01-02 21:00:00
0.009753,0.009835,0.00973,0.009835,1687772.0,2023-01-02 22:00:00
0.009839,0.00994,0.009819,0.00992,1887797.0,2023-01-02 23:00:00
0.009913,0.010039,0.009875,0.009947,9161278.0,2023-01-03 00:00:00
0.009951,0.010027,0.00994,0.009978,3762273.0,2023-01-03 01:00:00
0.01,0.010074,0.009957,0.009969,1701348.0,2023-01-03 02:00:00
0.009958,0.009983,0.009895,0.009907,1141071.0,2023-01-03 03:00:00
0.009902,0.009936,0.009853,0.009884,2756342.0,2023-01-03 04:00:00
0.009849,0.009912,0.009758,0.009812,552455.0,2023-01-03 05:00:00
0.009794,0.009918,0.009762,0.009828,288860.0,2023-01-03 06:00:00
0.009853,0.009858,0.009772,0.009828,45736.0,2023-01-03 07:00:00
0.00984,0.009963,0.00983,0.009897,847328.0,2023-01-03 08:00:00
0.009892,0.009892,0.009763,0.009874,1077642.0,2023-01-03 09:00:00
0.009848,0.00994,0.009804,0.009902,1081765.0,2023-01-03 10:00:00
0.009899,0.00994,0.009834,0.009872,1627054.0,2023-01-03 11:00:00
0.009863,0.009971,0.009847,0.009971,946318.0,2023-01-03 12:00:00
0.009977,0.010086,0.009958,0.010039,1809641.0,2023-01-03 13:00:00
0.010029,0.010167,0.009994,0.010167,3902087.0,2023-01-03 14:00:00
0.010158,0.010419,0.010127,0.010418,6887236.0,2023-01-03 15:00:00
0.010426,0.010693,0.010372,0.010594,10633674.0,2023-01-03 16:00:00
0.010632,0.011263,0.010628,0.010797,17916227.0,2023-01-03 17:00:00
