Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
4.097e-05,4.167e-05,4.097e-05,4.154e-05,1134773595.0,2023-01-01 00:00:00
4.148e-05,4.237e-05,4.148e-05,4.192e-05,2563664673.0,2023-01-01 01:00:00
4.192e-05,4.25e-05,4.116e-05,4.159e-05,1572698165.0,2023-01-01 02:00:00
4.16e-05,4.239e-05,4.14e-05,4.185e-05,755181164.0,2023-01-01 03:00:00
4.185e-05,4.244e-05,4.185e-05,4.197e-05,857361137.0,2023-01-01 04:00:00
4.194e-05,4.256e-05,4.108e-05,4.234e-05,1254376218.0,2023-01-01 05:00:00
4.243e-05,4.243e-05,4.113e-05,4.113e-05,501410200.0,2023-01-01 06:00:00
4.118e-05,4.118e-05,3.988e-05,4.064e-05,6554718594.0,2023-01-01 07:00:00
4.06e-05,4.233e-05,4.048e-05,4.184e-05,816334967.0,2023-01-01 08:00:00
4.19e-05,4.286e-05,4.15e-05,4.156e-05,1393422153.0,2023-01-01 09:00:00
4.169e-05,4.334e-05,4.163e-05,4.325e-05,1958779392.0,2023-01-01 10:00:00
4.316e-05,4.343e-05,4.182e-05,4.215e-05,990710129.0,2023-01-01 11:00:00
4.22e-05,4.223e-05,4.145e-05,4.193e-05,779313646.0,2023-01-01 12:00:00
4.198e-05,4.24e-05,4.174e-05,4.22e-05,710618179.0,2023-01-01 13:00:00
4.222e-05,4.268e-05,4.203e-05,4.226e-05,1227331239.0,2023-01-01 14:00:00
4.224e-05,4.243e-05,4.191e-05,4.23e-05,769695628.0,2023-01-01 15:00:00
4.235e-05,4.249e-05,4.21e-05,4.219e-05,590289411.0,2023-01-01 16:00:00
4.217e-05,4.276e-05,4.211e-05,4.274e-05,756271925.0,2023-01-01 17:00:00
4.273e-05,4.345e-05,4.27e-05,4.308e-05,1631947568.0,2023-01-01 18:00:00
4.303e-05,4.345e-05,4.281e-05,4.33e-05,5897163301.0,2023-01-01 19:00:00
4.326e-05,4.415e-05,4.318e-05,4.367e-05,6098264725.0,2023-01-01 20:00:00
4.373e-05,4.375e-05,4.242e-05,4.292e-05,3705752775.0,2023-01-01 21:00:00
4.29e-05,4.351e-05,4.244e-05,4.312e-05,3202795313.0,2023-01-01 22:00:00
4.319e-05,4.338e-05,4.28e-05,4.33e-05,1250264187.0,2023-01-01 23:00:00
4.33e-05,4.374e-05,4.265e-05,4.276e-05,2935120008.0,2023-01-02 00:00:00
4.27e-05,4.315e-05,4.159e-05,4.176e-05,2842858158.0,2023-01-02 01:00:00
4.164e-05,4.201e-05,4.103e-05,4.178e-05,1809997601.0,2023-01-02 02:00:00
4.19e-05,4.276e-05,4.176e-05,4.276e-05,697439686.0,2023-01-02 03:00:00
4.278e-05,4.345e-05,4.092e-05,4.264e-05,2405143331.0,2023-01-02 04:00:00
4.241e-05,4.381e-05,4.181e-05,4.267e-05,5151546452.0,2023-01-02 05:00:00
4.273e-05,4.414e-05,4.199e-05,4.404e-05,2197349098.0,2023-01-02 06:00:00
4.413e-05,4.486e-05,4.346e-05,4.412e-05,2532281693.0,2023-01-02 07:00:00
4.416e-05,4.416e-05,4.339e-05,4.369e-05,1039264955.0,2023-01-02 08:00:00
4.366e-05,4.459e-05,4.314e-05,4.443e-05,647554863.0,2023-01-02 09:00:00
4.45e-05,4.47e-05,4.362e-05,4.362e-05,394673489.0,2023-01-02 10:00:00
4.359e-05,4.372e-05,4.329e-05,4.349e-05,1828973395.0,2023-01-02 11:00:00
4.353e-05,4.461e-05,4.345e-05,4.449e-05,837337977.0,2023-01-02 12:00:00
4.433e-05,4.5e-05,4.403e-05,4.5e-05,2580537587.0,2023-01-02 13:00:00
4.5e-05,4.523e-05,4.412e-05,4.412e-05,2594981846.0,2023-01-02 14:00:00
4.42e-05,4.422e-05,4.317e-05,4.364e-05,2403994720.0,2023-01-02 15:00:00
4.371e-05,4.371e-05,4.281e-05,4.311e-05,2461558149.0,2023-01-02 16:00:00
4.314e-05,4.322e-05,4.244e-05,4.249e-05,5044344817.0,2023-01-02 17:00:00
4.244e-05,4.292e-05,4.172e-05,4.177e-05,4569243837.0,2023-01-02 18:00:00
4.182e-05,4.271e-05,4.15e-05,4.24e-05,1221147030.0,2023-01-02 19:00:00
4.247e-05,4.305e-05,4.214e-05,4.298e-05,1057796766.0,2023-01-02 20:00:00
4.296e-05,4.348e-05,4.267e-05,4.314e-05,1780379444.0,2023-01-02 21:00:00
4.306e-05,4.329e-05,4.269e-05,4.29e-05,925326650.0,2023-01-02 22:00:00
4.299e-05,4.343e-05,4.268e-05,4.296e-05,817162762.0,2023-01-02 23:00:00
4.304e-05,4.33e-05,4.286e-05,4.306e-05,452379263.0,2023-01-03 00:00:00
4.298e-05,4.382e-05,4.296e-05,4.378e-05,868159425.0,2023-01-03 01:00:00
4.377e-05,4.393e-05,4.328e-05,4.355e-05,1887050127.0,2023-01-03 02:00:00
4.358e-05,4.382e-05,4.322e-05,4.322e-05,1074693412.0,2023-01-03 03:00:00
4.346e-05,4.347e-05,4.306e-05,4.309e-05,694264688.0,2023-01-03 04:00:00
4.306e-05,4.329e-05,4.265e-05,4.295e-05,1682527636.0,2023-01-03 05:00:00
4.296e-05,4.345e-05,4.287e-05,4.32e-05,724469415.0,2023-01-03 06:00:00
4.315e-05,4.332e-05,4.277e-05,4.314e-05,720162757.0,2023-01-03 07:00:00
4.307e-05,4.336e-05,4.296e-05,4.317e-05,534467364.0,2023-01-03 08:00:00
4.31e-05,4.313e-05,4.264e-05,4.3e-05,162706582.0,2023-01-03 09:00:00
4.288e-05,4.312e-05,4.253e-05,4.262e-05,2845121328.0,2023-01-03 10:00:00
4.257e-05,4.279e-05,4.216e-05,4.23e-05,1193274011.0,2023-01-03 11:00:00
4.23e-05,4.288e-05,4.229e-05,4.288e-05,2999561912.0,2023-01-03 12:00:00
4.284e-05,4.348e-05,4.278e-05,4.338e-05,1187876775.0,2023-01-03 13:00:00
4.345e-05,4.364e-05,4.307e-05,4.364e-05,544874506.0,2023-01-03 14:00:00
4.361e-05,4.5e-05,4.361e-05,4.485e-05,3396373460.0,2023-01-03 15:00:00
4.485e-05,4.557e-05,4.455e-05,4.557e-05,8910411694.0,2023-01-03 16:00:00
4.544e-05,4.598e-05,4.491e-05,4.526e-05,2595811152.0,2023-01-03 17:00:00
4.523e-05,4.541e-05,4.443e-05,4.456e-05,3844039910.0,2023-01-03 18:00:00
4.461e-05,4.537e-05,4.461e-05,4.525e-05,4205809637.0,2023-01-03 19:00:00
4.521e-05,4.656e-05,4.506e-05,4.63e-05,3582094196.0,2023-01-03 20:00:00
4.632e-05,4.662e-05,4.567e-05,4.619e-05,1671652477.0,2023-01-03 21:00:00
4.616e-05,4.686e-05,4.561e-05,4.642e-05,3110570889.0,2023-01-03 22:00:00
4.64e-05,4.74e-05,4.615e-05,4.732e-05,6142557620.0,2023-01-03 23:00:00
4.729e-05,4.735e-05,4.621e-05,4.632e-05,5088179921.0,2023-01-04 00:00:00
4.647e-05,4.853e-05,4.639e-05,4.849e-05,6957454730.0,2023-01-04 01:00:00
4.846e-05,4.857e-05,4.728e-05,4.788e-05,5939361323.0,2023-01-04 02:00:00
4.791e-05,4.858e-05,4.704e-05,4.771e-05,3240730920.0,2023-01-04 03:00:00
4.778e-05,4.807e-05,4.671e-05,4.671e-05,4183503401.0,2023-01-04 04:00:00
4.672e-05,4.738e-05,4.652e-05,4.655e-05,1535972846.0,2023-01-04 05:00:00
4.653e-05,4.674e-05,4.585e-05,4.625e-05,3696016544.0,2023-01-04 06:00:00
4.618e-05,4.701e-05,4.61e-05,4.695e-05,737638807.0,2023-01-04 07:00:00
4.69e-05,4.762e-05,4.669e-05,4.762e-05,557851137.0,2023-01-04 08:00:00
4.744e-05,4.872e-05,4.731e-05,4.782e-05,4165744216.0,2023-01-04 09:00:00
4.791e-05,4.838e-05,4.726e-05,4.733e-05,1380701388.0,2023-01-04 10:00:00
4.73e-05,4.765e-05,4.58e-05,4.689e-05,4534868737.0,2023-01-04 11:00:00
4.665e-05,4.707e-05,4.606e-05,4.689e-05,797449134.0,2023-01-04 12:00:00
4.685e-05,4.692e-05,4.646e-05,4.649e-05,544631319.0,2023-01-04 13:00:00
4.643e-05,4.644e-05,4.476e-05,4.476e-05,4936100455.0,2023-01-04 14:00:00
4.479e-05,4.538e-05,4.455e-05,4.481e-05,6872111902.0,2023-01-04 15:00:00
4.485e-05,4.57e-05,4.478e-05,4.557e-05,2838005886.0,2023-01-04 16:00:00
4.544e-05,4.611e-05,4.536e-05,4.574e-05,795265232.0,2023-01-04 17:00:00
4.571e-05,4.6e-05,4.53e-05,4.564e-05,2122074776.0,2023-01-04 18:00:00
4.561e-05,4.619e-05,4.546e-05,4.585e-05,2749336846.0,2023-01-04 19:00:00
4.575e-05,4.576e-05,4.514e-05,4.514e-05,713349664.0,2023-01-04 20:00:00
4.516e-05,4.575e-05,4.483e-05,4.574e-05,1185049494.0,2023-01-04 21:00:00
4.576e-05,4.673e-05,4.55e-05,4.613e-05,2546199446.0,2023-01-04 22:00:00
4.612e-05,4.64e-05,4.564e-05,4.636e-05,1209136045.0,2023-01-04 23:00:00
4.633e-05,4.648e-05,4.55e-05,4.583e-05,1986417126.0,2023-01-05 00:00:00
4.579e-05,4.67e-05,4.548e-05,4.658e-05,3828433434.0,2023-01-05 01:00:00
4.672e-05,4.68e-05,4.604e-05,4.612e-05,1457207202.0,2023-01-05 02:00:00
4.607e-05,4.623e-05,4.57e-05,4.586e-05,1006940210.0,2023-01-05 03:00:00
4.583e-05,4.614e-05,4.576e-05,4.61e-05,939223776.0,2023-01-05 04:00:00
4.6e-05,4.616e-05,4.564e-05,4.593e-05,1333829208.0,2023-01-05 05:00:00
4.592e-05,4.592e-05,4.495e-05,4.532e-05,1742273020.0,2023-01-05 06:00:00
4.534e-05,4.644e-05,4.516e-05,4.553e-05,2490192897.0,2023-01-05 07:00:00
4.553e-05,4.588e-05,4.462e-05,4.495e-05,1508097701.0,2023-01-05 08:00:00
4.492e-05,4.544e-05,4.406e-05,4.454e-05,2151433962.0,2023-01-05 09:00:00
4.459e-05,4.554e-05,4.453e-05,4.526e-05,357831188.0,2023-01-05 10:00:00
4.523e-05,4.548e-05,4.478e-05,4.536e-05,2023849926.0,2023-01-05 11:00:00
4.536e-05,4.549e-05,4.455e-05,4.475e-05,1073409839.0,2023-01-05 12:00:00
4.476e-05,4.588e-05,4.381e-05,4.553e-05,4384813898.0,2023-01-05 13:00:00
4.549e-05,4.576e-05,4.37e-05,4.381e-05,1890029928.0,2023-01-05 14:00:00
4.373e-05,4.442e-05,4.26e-05,4.346e-05,2117706151.0,2023-01-05 15:00:00
4.351e-05,4.389e-05,4.305e-05,4.389e-05,1440465953.0,2023-01-05 16:00:00
4.372e-05,4.374e-05,4.241e-05,4.247e-05,2452838695.0,2023-01-05 17:00:00
4.245e-05,4.309e-05,4.198e-05,4.309e-05,4491875521.0,2023-01-05 18:00:00
4.304e-05,4.378e-05,4.264e-05,4.34e-05,1019631625.0,2023-01-05 19:00:00
4.345e-05,4.433e-05,4.3e-05,4.406e-05,1725453516.0,2023-01-05 20:00:00
4.415e-05,4.43e-05,4.227e-05,4.264e-05,1525730740.0,2023-01-05 21:00:00
4.264e-05,4.481e-05,4.227e-05,4.372e-05,5546967987.0,2023-01-05 22:00:00
4.373e-05,4.416e-05,4.336e-05,4.336e-05,2110515763.0,2023-01-05 23:00:00
4.335e-05,4.404e-05,4.334e-05,4.379e-05,359990759.0,2023-01-06 00:00:00
4.374e-05,4.393e-05,4.311e-05,4.333e-05,1956487584.0,2023-01-06 01:00:00
4.333e-05,4.348e-05,4.002e-05,4.025e-05,13427720375.0,2023-01-06 02:00:00
4.02e-05,4.026e-05,3.3e-05,3.824e-05,19335181055.0,2023-01-06 03:00:00
3.812e-05,3.88e-05,3.536e-05,3.872e-05,9826138658.0,2023-01-06 04:00:00
3.875e-05,3.949e-05,3.806e-05,3.902e-05,9787925153.0,2023-01-06 05:00:00
