Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
95611.96,96388.0,95521.31,96232.11,319.58188,2023-01-01 00:00:00
96232.11,97393.08,96161.18,97367.98,659.00695,2023-01-01 01:00:00
97367.98,99225.66,97276.01,98995.24,1266.21306,2023-01-01 02:00:00
98988.69,99143.81,97100.0,97878.67,485.29,2023-01-01 03:00:00
97876.01,98746.38,97679.8,98350.0,216.47756,2023-01-01 04:00:00
98340.0,99168.89,98330.01,98754.22,247.09433,2023-01-01 05:00:00
98740.11,98979.71,98391.88,98469.94,196.83616,2023-01-01 06:00:00
98469.94,98792.0,98062.26,98300.0,224.3359,2023-01-01 07:00:00
98299.99,101761.28,98260.0,101320.0,1290.45768,2023-01-01 08:00:00
101326.23,104149.99,101316.01,103057.37,1570.16321,2023-01-01 09:00:00
103056.01,103645.14,102572.91,103424.0,480.43858,2023-01-01 10:00:00
103424.0,103545.15,101877.66,102571.91,365.52315,2023-01-01 11:00:00
102564.01,102775.99,101480.16,101948.0,368.52151,2023-01-01 12:00:00
101938.96,102640.0,101384.62,102297.49,339.81439,2023-01-01 13:00:00
102303.98,103043.28,102303.98,102869.95,361.01119,2023-01-01 14:00:00
102869.95,103273.87,102656.01,102783.03,249.5077,2023-01-01 15:00:00
102783.03,103000.92,102339.48,102364.06,195.96135,2023-01-01 16:00:00
102364.07,102764.21,102325.62,102640.05,257.80207,2023-01-01 17:00:00
102640.01,103451.46,102522.31,102940.98,343.37045,2023-01-01 18:00:00
102937.44,103356.0,102776.01,102840.57,232.66494,2023-01-01 19:00:00
102847.56,103645.19,102357.52,103604.01,380.24196,2023-01-01 20:00:00
103604.03,103640.0,100934.9,101384.01,886.11629,2023-01-01 21:00:00
101384.01,102105.79,100668.0,101113.92,716.39218,2023-01-01 22:00:00
101113.92,101428.51,100612.0,101361.17,358.98763,2023-01-01 23:00:00
101361.17,101599.99,100226.05,100232.01,771.90088,2023-01-02 00:00:00
100232.02,101003.41,98632.99,99056.54,842.33746,2023-01-02 01:00:00
99056.53,99466.66,97927.72,99130.09,1040.57103,2023-01-02 02:00:00
99136.0,99562.83,98909.27,99006.0,323.25451,2023-01-02 03:00:00
99004.01,99140.59,91500.0,96773.86,1419.60784,2023-01-02 04:00:00
96763.44,97610.39,95558.0,97050.01,558.52019,2023-01-02 05:00:00
97050.01,98000.0,96333.0,97628.14,308.14823,2023-01-02 06:00:00
97628.14,98850.55,97188.26,98163.28,246.88128,2023-01-02 07:00:00
98164.55,98267.02,97532.73,97637.24,217.45515,2023-01-02 08:00:00
97653.0,97844.39,97229.48,97799.98,158.41296,2023-01-02 09:00:00
97799.97,98030.4,97416.1,97932.78,120.17352,2023-01-02 10:00:00
97921.55,98328.35,97680.0,97928.01,116.70234,2023-01-02 11:00:00
97928.0,98361.58,97816.67,98155.6,117.20178,2023-01-02 12:00:00
98155.59,98361.1,97840.01,98220.62,115.26538,2023-01-02 13:00:00
98220.62,98766.63,98086.27,98408.09,158.0392,2023-01-02 14:00:00
98408.1,98511.52,98023.54,98096.01,184.51199,2023-01-02 15:00:00
98086.57,98278.84,97732.0,98216.01,183.54398,2023-01-02 16:00:00
98216.01,98408.79,97894.74,98152.36,129.39193,2023-01-02 17:00:00
98152.36,98470.87,97600.12,97723.05,102.95149,2023-01-02 18:00:00
