Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.6056,0.6056,0.6012,0.6054,1202.7,2023-01-01 00:00:00
0.6043,0.6179,0.6043,0.6118,2417.1,2023-01-01 01:00:00
0.6117,0.6156,0.5963,0.5963,7057.2,2023-01-01 02:00:00
0.6025,0.6083,0.6023,0.6083,954.2,2023-01-01 03:00:00
0.6097,0.6161,0.6097,0.6127,1353.3,2023-01-01 04:00:00
0.6075,0.6075,0.6023,0.6072,779.5,2023-01-01 05:00:00
0.6058,0.6127,0.599,0.6016,3794.6,2023-01-01 06:00:00
0.5974,0.5974,0.5821,0.5973,655.1,2023-01-01 07:00:00
0.6081,0.6117,0.6056,0.6088,447.8,2023-01-01 08:00:00
0.6124,0.6124,0.5735,0.5807,20899.1,2023-01-01 09:00:00
0.5922,0.6028,0.5782,0.5982,2649.0,2023-01-01 10:00:00
0.5968,0.5983,0.5857,0.5857,2273.4,2023-01-01 11:00:00
0.591,0.591,0.5767,0.586,1540.3,2023-01-01 12:00:00
0.5907,0.5985,0.5878,0.5985,3401.3,2023-01-01 13:00:00
0.5978,0.6038,0.5947,0.5947,2208.7,2023-01-01 14:00:00
0.5915,0.5915,0.5855,0.5855,2021.2,2023-01-01 15:00:00
0.5826,0.5878,0.5826,0.5878,2403.8,2023-01-01 16:00:00
0.5848,0.5897,0.5825,0.5897,2376.5,2023-01-01 17:00:00
0.5971,0.6016,0.5941,0.5941,6760.6,2023-01-01 18:00:00
0.5902,0.5911,0.5864,0.5877,17741.7,2023-01-01 19:00:00
0.5877,0.5877,0.5873,0.5874,592.3,2023-01-01 20:00:00
0.5896,0.5899,0.5799,0.5898,1978.1,2023-01-01 21:00:00
0.5918,0.5918,0.5771,0.584,4840.7,2023-01-01 22:00:00
0.5844,0.5856,0.5771,0.5851,7075.0,2023-01-01 23:00:00
0.5825,0.5836,0.58,0.58,5205.1,2023-01-02 00:00:00
0.5759,0.5808,0.5699,0.5699,2545.5,2023-01-02 01:00:00
0.5698,0.5699,0.5615,0.5685,1960.2,2023-01-02 02:00:00
0.5705,0.5746,0.5672,0.5696,2778.2,2023-01-02 03:00:00
0.5696,0.5696,0.5424,0.5672,21619.4,2023-01-02 04:00:00
0.5612,0.5704,0.5612,0.562,2460.9,2023-01-02 05:00:00
0.5665,0.5884,0.5665,0.586,33292.7,2023-01-02 06:00:00
0.5871,0.605,0.5842,0.599,14680.6,2023-01-02 07:00:00
0.6015,0.607,0.5922,0.6057,4770.7,2023-01-02 08:00:00
0.6007,0.6073,0.5996,0.6023,5390.7,2023-01-02 09:00:00
0.6017,0.6017,0.592,0.5974,5086.5,2023-01-02 10:00:00
0.5951,0.5995,0.5913,0.5944,6929.1,2023-01-02 11:00:00
0.5945,0.5995,0.5916,0.5932,109644.7,2023-01-02 12:00:00
0.592,0.5978,0.5913,0.5933,6638.4,2023-01-02 13:00:00
0.5959,0.5999,0.5893,0.5893,7561.6,2023-01-02 14:00:00
0.5874,0.59,0.5724,0.5778,12595.6,2023-01-02 15:00:00
0.5775,0.5775,0.5625,0.5709,8435.2,2023-01-02 16:00:00
0.5704,0.5782,0.5702,0.5723,6554.5,2023-01-02 17:00:00
0.5721,0.5738,0.5542,0.5558,4322.9,2023-01-02 18:00:00
0.5559,0.5802,0.5556,0.574,15122.2,2023-01-02 19:00:00
0.5713,0.5727,0.5682,0.5721,1935.5,2023-01-02 20:00:00
0.5702,0.5748,0.5651,0.567,2309.0,2023-01-02 21:00:00
0.5661,0.5691,0.5661,0.5686,439.8,2023-01-02 22:00:00
0.5686,0.5694,0.5676,0.569,1635.1,2023-01-02 23:00:00
0.568,0.575,0.568,0.5712,1990.8,2023-01-03 00:00:00
0.5716,0.5755,0.5716,0.5752,1636.8,2023-01-03 01:00:00
0.5752,0.576,0.5734,0.576,1383.1,2023-01-03 02:00:00
0.5744,0.5766,0.5694,0.5715,1305.5,2023-01-03 03:00:00
0.572,0.5744,0.5716,0.573,829.5,2023-01-03 04:00:00
0.5699,0.575,0.5678,0.5683,3791.2,2023-01-03 05:00:00
0.569,0.5714,0.5637,0.5656,2207.3,2023-01-03 06:00:00
0.5685,0.5687,0.564,0.565,3731.8,2023-01-03 07:00:00
0.565,0.5748,0.565,0.5739,9261.5,2023-01-03 08:00:00
0.5729,0.5751,0.5701,0.5743,1741.4,2023-01-03 09:00:00
0.5735,0.5793,0.5723,0.5765,4510.8,2023-01-03 10:00:00
0.5754,0.5812,0.5731,0.5731,3186.5,2023-01-03 11:00:00
0.5775,0.579,0.5771,0.579,7611.0,2023-01-03 12:00:00
0.5795,0.581,0.5743,0.5777,6189.3,2023-01-03 13:00:00
0.5781,0.5781,0.5716,0.5772,1772.0,2023-01-03 14:00:00
0.5755,0.5878,0.5755,0.5855,13764.9,2023-01-03 15:00:00
0.5861,0.5901,0.5835,0.5901,8217.6,2023-01-03 16:00:00
0.5912,0.5945,0.5887,0.5931,137862.7,2023-01-03 17:00:00
0.5907,0.5917,0.5852,0.5892,9949.8,2023-01-03 18:00:00
0.5876,0.5888,0.582,0.5869,18284.3,2023-01-03 19:00:00
0.587,0.602,0.584,0.6011,6687.5,2023-01-03 20:00:00
0.5992,0.5992,0.5935,0.5983,6319.4,2023-01-03 21:00:00
0.6004,0.6021,0.5952,0.6001,1841.0,2023-01-03 22:00:00
0.5991,0.5996,0.5921,0.593,7800.4,2023-01-03 23:00:00
0.5965,0.6024,0.5948,0.5989,5969.5,2023-01-04 00:00:00
0.6005,0.605,0.5966,0.5966,3981.1,2023-01-04 01:00:00
0.5966,0.6001,0.595,0.598,4183.9,2023-01-04 02:00:00
0.5952,0.6021,0.5933,0.6018,8439.0,2023-01-04 03:00:00
0.6016,0.6016,0.5903,0.5903,11072.6,2023-01-04 04:00:00
0.5916,0.6001,0.5916,0.5939,6249.0,2023-01-04 05:00:00
0.5937,0.6065,0.5913,0.6065,15487.8,2023-01-04 06:00:00
0.6065,0.6066,0.594,0.5957,4842.4,2023-01-04 07:00:00
0.5932,0.6011,0.5932,0.5976,4367.6,2023-01-04 08:00:00
0.5993,0.6035,0.5965,0.599,4299.6,2023-01-04 09:00:00
0.5982,0.6064,0.593,0.593,4096.0,2023-01-04 10:00:00
