Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.3926,0.3959,0.3915,0.3959,3092.6,2023-01-01 00:00:00
0.3959,0.4034,0.3959,0.4034,7016.1,2023-01-01 01:00:00
0.405,0.41,0.396,0.3977,11379.4,2023-01-01 02:00:00
0.4016,0.4056,0.4016,0.4056,615.3,2023-01-01 03:00:00
0.4035,0.4037,0.4001,0.4001,6781.5,2023-01-01 04:00:00
0.3988,0.3988,0.3877,0.3877,3455.0,2023-01-01 05:00:00
0.3959,0.4013,0.3933,0.3999,1464.6,2023-01-01 06:00:00
0.3933,0.3933,0.3752,0.3855,9878.6,2023-01-01 07:00:00
0.3841,0.405,0.3841,0.3992,3254.4,2023-01-01 08:00:00
0.4073,0.418,0.3968,0.4022,57611.5,2023-01-01 09:00:00
0.405,0.4134,0.4048,0.4088,5007.5,2023-01-01 10:00:00
0.4039,0.4039,0.3977,0.401,6306.5,2023-01-01 11:00:00
0.4006,0.406,0.4004,0.4043,2940.8,2023-01-01 12:00:00
0.4044,0.4073,0.4041,0.4069,4429.7,2023-01-01 13:00:00
0.4053,0.4129,0.4053,0.4127,7656.4,2023-01-01 14:00:00
0.4128,0.4189,0.4088,0.4189,9482.4,2023-01-01 15:00:00
0.4168,0.4168,0.4137,0.4138,1144.4,2023-01-01 16:00:00
0.4138,0.4147,0.4111,0.4124,10734.3,2023-01-01 17:00:00
0.4121,0.4258,0.4121,0.4228,7593.0,2023-01-01 18:00:00
0.4209,0.4392,0.4209,0.4288,34693.4,2023-01-01 19:00:00
0.4288,0.4487,0.426,0.4401,117001.3,2023-01-01 20:00:00
0.4406,0.4647,0.437,0.4414,187386.2,2023-01-01 21:00:00
0.4433,0.4458,0.434,0.4346,41598.2,2023-01-01 22:00:00
0.4323,0.45,0.432,0.441,33410.7,2023-01-01 23:00:00
0.4422,0.4457,0.44,0.44,18786.4,2023-01-02 00:00:00
0.441,0.4417,0.4281,0.4281,19548.0,2023-01-02 01:00:00
0.4282,0.4315,0.4226,0.4267,21836.7,2023-01-02 02:00:00
0.4259,0.436,0.4259,0.4329,18577.6,2023-01-02 03:00:00
0.4343,0.4398,0.401,0.4381,24412.1,2023-01-02 04:00:00
0.4343,0.4435,0.4297,0.4339,14278.6,2023-01-02 05:00:00
0.4321,0.443,0.4251,0.4428,5670.1,2023-01-02 06:00:00
0.4419,0.451,0.4416,0.4487,4538.7,2023-01-02 07:00:00
0.447,0.447,0.4357,0.4392,18146.9,2023-01-02 08:00:00
0.4351,0.445,0.4351,0.445,66741.9,2023-01-02 09:00:00
0.4475,0.45,0.4421,0.4444,11025.2,2023-01-02 10:00:00
0.4422,0.4428,0.4364,0.4393,43839.4,2023-01-02 11:00:00
0.4391,0.4467,0.4372,0.4442,7522.2,2023-01-02 12:00:00
0.445,0.4589,0.4446,0.4589,48382.2,2023-01-02 13:00:00
0.459,0.4635,0.4436,0.4442,60126.4,2023-01-02 14:00:00
0.4442,0.4447,0.428,0.429,30380.9,2023-01-02 15:00:00
0.4299,0.4299,0.4213,0.4262,36383.4,2023-01-02 16:00:00
0.4253,0.4279,0.4217,0.4239,20948.2,2023-01-02 17:00:00
0.4278,0.4288,0.4125,0.4125,7582.8,2023-01-02 18:00:00
0.4129,0.4223,0.4095,0.4199,17808.6,2023-01-02 19:00:00
0.4204,0.4225,0.4155,0.4201,34744.9,2023-01-02 20:00:00
0.4196,0.4217,0.4174,0.4184,16114.0,2023-01-02 21:00:00
0.4185,0.4245,0.416,0.4245,21866.2,2023-01-02 22:00:00
0.4253,0.4317,0.4251,0.4317,26179.4,2023-01-02 23:00:00
0.4312,0.4428,0.4312,0.4356,40767.9,2023-01-03 00:00:00
0.4349,0.4437,0.4345,0.4414,27366.1,2023-01-03 01:00:00
0.4412,0.453,0.4411,0.4479,39348.0,2023-01-03 02:00:00
0.4479,0.4517,0.4419,0.4434,17608.0,2023-01-03 03:00:00
0.4436,0.4441,0.4386,0.4402,4583.1,2023-01-03 04:00:00
0.4392,0.4422,0.4371,0.441,9699.6,2023-01-03 05:00:00
0.4411,0.4412,0.432,0.4338,26851.0,2023-01-03 06:00:00
0.4342,0.4345,0.4298,0.4322,2305.9,2023-01-03 07:00:00
0.434,0.4438,0.4332,0.4426,4436.7,2023-01-03 08:00:00
0.4422,0.4424,0.435,0.4386,2533.3,2023-01-03 09:00:00
0.4394,0.4513,0.4378,0.4513,277654.9,2023-01-03 10:00:00
0.4495,0.455,0.4488,0.4531,10383.3,2023-01-03 11:00:00
0.4535,0.4535,0.4448,0.4461,11396.4,2023-01-03 12:00:00
0.45,0.45,0.445,0.4473,6529.6,2023-01-03 13:00:00
0.4484,0.45,0.4451,0.4495,24213.5,2023-01-03 14:00:00
0.4513,0.4538,0.4441,0.4449,3412.8,2023-01-03 15:00:00
0.4437,0.4463,0.4412,0.4424,4753.2,2023-01-03 16:00:00
0.4443,0.4528,0.4443,0.4528,6186.1,2023-01-03 17:00:00
0.4533,0.4613,0.4513,0.4516,4321.7,2023-01-03 18:00:00
0.4516,0.458,0.4493,0.4565,5009.3,2023-01-03 19:00:00
0.4571,0.4583,0.4513,0.4518,5707.0,2023-01-03 20:00:00
0.451,0.4567,0.4475,0.4565,42853.7,2023-01-03 21:00:00
0.4561,0.4561,0.4476,0.4476,13910.1,2023-01-03 22:00:00
0.4469,0.4469,0.4387,0.4387,6719.7,2023-01-03 23:00:00
0.439,0.4422,0.4382,0.4413,29454.4,2023-01-04 00:00:00
0.4412,0.447,0.4399,0.4399,35632.8,2023-01-04 01:00:00
0.4399,0.4404,0.4381,0.4398,5739.9,2023-01-04 02:00:00
0.4399,0.4399,0.4376,0.439,803.1,2023-01-04 03:00:00
