Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.2437,0.2492,0.2437,0.2477,72498.0,2023-01-01 00:00:00
0.2474,0.2537,0.2473,0.253,41632.0,2023-01-01 01:00:00
0.2533,0.2567,0.2453,0.2473,120738.0,2023-01-01 02:00:00
0.2468,0.2507,0.2461,0.2507,46369.0,2023-01-01 03:00:00
0.2502,0.2519,0.2473,0.2481,58267.0,2023-01-01 04:00:00
0.248,0.2482,0.2401,0.245,59570.0,2023-01-01 05:00:00
0.2441,0.2461,0.2403,0.2405,36569.0,2023-01-01 06:00:00
0.2412,0.2412,0.233,0.2371,78331.0,2023-01-01 07:00:00
0.2372,0.244,0.2339,0.2433,69292.0,2023-01-01 08:00:00
0.2435,0.2479,0.2398,0.241,46204.0,2023-01-01 09:00:00
0.2414,0.2504,0.2412,0.2467,45607.0,2023-01-01 10:00:00
0.2465,0.2465,0.2412,0.2448,33621.0,2023-01-01 11:00:00
0.2452,0.2476,0.2436,0.2472,20711.0,2023-01-01 12:00:00
0.2474,0.2493,0.2468,0.2479,24459.0,2023-01-01 13:00:00
0.248,0.2486,0.245,0.2451,43020.0,2023-01-01 14:00:00
0.2461,0.2468,0.244,0.2452,20968.0,2023-01-01 15:00:00
0.2453,0.2474,0.2443,0.2467,70980.0,2023-01-01 16:00:00
0.2464,0.2496,0.2462,0.249,33029.0,2023-01-01 17:00:00
0.2487,0.2503,0.2454,0.2461,25615.0,2023-01-01 18:00:00
0.2464,0.2468,0.2441,0.2463,104213.0,2023-01-01 19:00:00
0.2463,0.2468,0.2415,0.2426,45592.0,2023-01-01 20:00:00
0.2425,0.2444,0.2399,0.2429,33127.0,2023-01-01 21:00:00
0.2435,0.2477,0.2418,0.2476,54104.0,2023-01-01 22:00:00
0.2478,0.2496,0.2471,0.2491,47516.0,2023-01-01 23:00:00
0.2481,0.2498,0.247,0.247,29810.0,2023-01-02 00:00:00
0.2478,0.2516,0.2446,0.2454,51052.0,2023-01-02 01:00:00
0.2456,0.2489,0.2418,0.2482,52944.0,2023-01-02 02:00:00
0.2473,0.2502,0.2468,0.2489,70113.0,2023-01-02 03:00:00
0.2502,0.2528,0.2372,0.2495,199331.0,2023-01-02 04:00:00
0.2493,0.2497,0.2439,0.2472,51095.0,2023-01-02 05:00:00
0.2464,0.2514,0.2431,0.2514,47603.0,2023-01-02 06:00:00
0.2516,0.2555,0.2506,0.2524,63625.0,2023-01-02 07:00:00
0.2522,0.2533,0.2495,0.2519,54518.0,2023-01-02 08:00:00
0.2518,0.2534,0.2488,0.2534,32491.0,2023-01-02 09:00:00
0.2529,0.2536,0.2513,0.2536,21451.0,2023-01-02 10:00:00
0.2534,0.2548,0.2498,0.2504,21978.0,2023-01-02 11:00:00
0.2501,0.2535,0.2501,0.2508,101507.0,2023-01-02 12:00:00
0.2501,0.2507,0.2483,0.2504,79466.0,2023-01-02 13:00:00
0.2504,0.2531,0.2501,0.2501,75573.0,2023-01-02 14:00:00
0.2492,0.2494,0.2439,0.2462,31171.0,2023-01-02 15:00:00
0.2446,0.2446,0.2409,0.2438,29377.0,2023-01-02 16:00:00
0.2435,0.2454,0.2405,0.2425,130812.0,2023-01-02 17:00:00
0.2427,0.2439,0.2354,0.2363,46895.0,2023-01-02 18:00:00
0.2364,0.2411,0.2347,0.2388,87754.0,2023-01-02 19:00:00
0.2396,0.2428,0.2382,0.2428,15735.0,2023-01-02 20:00:00
0.2419,0.2477,0.2414,0.2457,61617.0,2023-01-02 21:00:00
0.2459,0.2486,0.2457,0.2476,55833.0,2023-01-02 22:00:00
0.2474,0.2491,0.246,0.2478,36061.0,2023-01-02 23:00:00
0.2485,0.251,0.2482,0.2504,59399.0,2023-01-03 00:00:00
0.2503,0.2509,0.2485,0.2502,13842.0,2023-01-03 01:00:00
0.25,0.2515,0.2479,0.2487,36735.0,2023-01-03 02:00:00
0.2491,0.2498,0.2472,0.2472,17114.0,2023-01-03 03:00:00
0.2475,0.2493,0.2466,0.2487,38878.0,2023-01-03 04:00:00
0.2477,0.2503,0.2468,0.2493,40074.0,2023-01-03 05:00:00
0.2492,0.2518,0.2492,0.2509,138729.0,2023-01-03 06:00:00
0.2516,0.2522,0.2495,0.2517,16115.0,2023-01-03 07:00:00
0.2531,0.2539,0.2522,0.2534,19337.0,2023-01-03 08:00:00
0.2527,0.2537,0.2502,0.2536,21718.0,2023-01-03 09:00:00
0.2522,0.2523,0.2506,0.2511,3943.0,2023-01-03 10:00:00
0.2505,0.253,0.2501,0.2506,34399.0,2023-01-03 11:00:00
0.2508,0.2528,0.2508,0.2522,3653.0,2023-01-03 12:00:00
0.2524,0.2548,0.2485,0.2506,217557.0,2023-01-03 13:00:00
0.2508,0.2534,0.2497,0.2526,23272.0,2023-01-03 14:00:00
0.2528,0.2553,0.2528,0.2532,18493.0,2023-01-03 15:00:00
0.2531,0.2545,0.251,0.2534,43420.0,2023-01-03 16:00:00
0.2536,0.2586,0.2536,0.2582,34340.0,2023-01-03 17:00:00
0.2581,0.2588,0.2553,0.2554,17415.0,2023-01-03 18:00:00
0.2562,0.2572,0.2554,0.2559,15786.0,2023-01-03 19:00:00
0.2559,0.2592,0.2538,0.2575,21919.0,2023-01-03 20:00:00
0.258,0.2581,0.2553,0.2558,18898.0,2023-01-03 21:00:00
0.2557,0.2578,0.2551,0.2567,45901.0,2023-01-03 22:00:00
0.2569,0.2569,0.253,0.253,18308.0,2023-01-03 23:00:00
0.254,0.2574,0.2539,0.2574,18498.0,2023-01-04 00:00:00
0.2571,0.2577,0.2545,0.2545,7835.0,2023-01-04 01:00:00
0.2547,0.2553,0.2537,0.2538,10619.0,2023-01-04 02:00:00
0.2539,0.2544,0.2533,0.2541,12788.0,2023-01-04 03:00:00
0.2542,0.2545,0.2521,0.2521,17815.0,2023-01-04 04:00:00
0.252,0.2546,0.2516,0.2531,31004.0,2023-01-04 05:00:00
0.253,0.2538,0.2511,0.2538,26090.0,2023-01-04 06:00:00
0.2535,0.2538,0.2514,0.2515,4105.0,2023-01-04 07:00:00
0.2506,0.2531,0.2506,0.2525,12081.0,2023-01-04 08:00:00
0.2525,0.2566,0.2525,0.2532,41382.0,2023-01-04 09:00:00
0.2529,0.2546,0.2516,0.2516,7715.0,2023-01-04 10:00:00
0.2509,0.2518,0.2482,0.2497,65004.0,2023-01-04 11:00:00
0.2494,0.2535,0.2486,0.2535,17634.0,2023-01-04 12:00:00
0.2535,0.2542,0.2531,0.2537,17700.0,2023-01-04 13:00:00
0.2529,0.2529,0.247,0.247,67021.0,2023-01-04 14:00:00
0.2471,0.2502,0.2431,0.2458,46017.0,2023-01-04 15:00:00
0.2461,0.2497,0.2461,0.2481,18481.0,2023-01-04 16:00:00
0.2488,0.2511,0.2471,0.2508,39714.0,2023-01-04 17:00:00
0.2499,0.2508,0.2478,0.2502,18057.0,2023-01-04 18:00:00
0.2504,0.2509,0.2492,0.25,22782.0,2023-01-04 19:00:00
0.2496,0.2496,0.2471,0.2471,13620.0,2023-01-04 20:00:00
0.2466,0.2498,0.2452,0.2497,82930.0,2023-01-04 21:00:00
0.2497,0.2501,0.247,0.247,8112.0,2023-01-04 22:00:00
0.2469,0.2484,0.2454,0.2484,7118.0,2023-01-04 23:00:00
0.2483,0.2487,0.2453,0.2456,9540.0,2023-01-05 00:00:00
0.245,0.2493,0.2445,0.2493,27460.0,2023-01-05 01:00:00
0.249,0.2511,0.2489,0.2494,9796.0,2023-01-05 02:00:00
0.2485,0.2512,0.2477,0.2501,23843.0,2023-01-05 03:00:00
0.2499,0.2548,0.2497,0.2541,47110.0,2023-01-05 04:00:00
0.2535,0.2535,0.2509,0.2515,56046.0,2023-01-05 05:00:00
0.2515,0.2515,0.245,0.2459,18008.0,2023-01-05 06:00:00
0.2459,0.247,0.2435,0.2436,30079.0,2023-01-05 07:00:00
0.2428,0.2451,0.2403,0.2409,36569.0,2023-01-05 08:00:00
0.2411,0.242,0.2363,0.2384,46299.0,2023-01-05 09:00:00
0.2385,0.2413,0.2379,0.2411,22903.0,2023-01-05 10:00:00
0.2412,0.2415,0.2397,0.2403,42341.0,2023-01-05 11:00:00
0.2402,0.2402,0.2359,0.2371,31672.0,2023-01-05 12:00:00
0.2365,0.2372,0.2322,0.2371,43359.0,2023-01-05 13:00:00
0.2364,0.2364,0.2264,0.2275,105015.0,2023-01-05 14:00:00
0.2274,0.2304,0.2222,0.2257,127309.0,2023-01-05 15:00:00
0.2256,0.2282,0.2256,0.2282,64610.0,2023-01-05 16:00:00
0.228,0.2282,0.2213,0.2223,40740.0,2023-01-05 17:00:00
0.2227,0.2247,0.2204,0.2244,82996.0,2023-01-05 18:00:00
