Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.017428,0.017682,0.0174,0.017676,2556724.0,2023-01-01 00:00:00
0.017663,0.01818,0.017603,0.018119,2325730.0,2023-01-01 01:00:00
0.01815,0.018475,0.017638,0.017765,6143886.0,2023-01-01 02:00:00
0.01779,0.018189,0.017664,0.018076,2459657.0,2023-01-01 03:00:00
0.018077,0.018177,0.017912,0.017973,2730745.0,2023-01-01 04:00:00
0.017992,0.018045,0.0174,0.017565,3286437.0,2023-01-01 05:00:00
0.017562,0.017576,0.016975,0.017022,3300450.0,2023-01-01 06:00:00
0.017025,0.017079,0.016275,0.016676,2926459.0,2023-01-01 07:00:00
0.016674,0.017186,0.016674,0.017135,1189586.0,2023-01-01 08:00:00
0.017124,0.017381,0.016611,0.016729,6258535.0,2023-01-01 09:00:00
0.016719,0.017154,0.016665,0.016988,1601105.0,2023-01-01 10:00:00
0.016939,0.017013,0.016683,0.016895,1019463.0,2023-01-01 11:00:00
0.016878,0.017139,0.016699,0.017111,1062652.0,2023-01-01 12:00:00
0.017101,0.017211,0.017039,0.017201,5232114.0,2023-01-01 13:00:00
0.017195,0.017301,0.017071,0.017139,2213095.0,2023-01-01 14:00:00
0.017148,0.017207,0.017025,0.017087,3296427.0,2023-01-01 15:00:00
0.017083,0.01711,0.016976,0.017048,1910951.0,2023-01-01 16:00:00
0.017048,0.017437,0.017027,0.017394,4309004.0,2023-01-01 17:00:00
0.017364,0.017544,0.017319,0.017439,1464600.0,2023-01-01 18:00:00
0.017406,0.017473,0.01729,0.017294,532600.0,2023-01-01 19:00:00
0.017507,0.017527,0.017139,0.017265,1564103.0,2023-01-01 20:00:00
0.017311,0.017354,0.017,0.01727,1125439.0,2023-01-01 21:00:00
0.017231,0.017534,0.017183,0.017505,1852637.0,2023-01-01 22:00:00
0.017475,0.017554,0.017345,0.017485,3741761.0,2023-01-01 23:00:00
0.017456,0.017484,0.01725,0.01725,2243462.0,2023-01-02 00:00:00
0.017307,0.017343,0.016819,0.016866,2909070.0,2023-01-02 01:00:00
0.016856,0.017031,0.016455,0.016871,5772196.0,2023-01-02 02:00:00
0.016896,0.017114,0.016873,0.017114,2669448.0,2023-01-02 03:00:00
