Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
1.1252,1.1528,1.1196,1.1331,2025566.4,2023-01-01 00:00:00
1.1312,1.1464,1.1109,1.1394,116599.8,2023-01-01 01:00:00
1.1386,1.1444,1.0832,1.0968,234445.3,2023-01-01 02:00:00
1.0933,1.0966,1.067,1.0856,158575.6,2023-01-01 03:00:00
1.0867,1.1092,1.083,1.109,66346.4,2023-01-01 04:00:00
1.1058,1.1097,1.0733,1.0942,95222.4,2023-01-01 05:00:00
1.0956,1.0969,1.0743,1.0807,54153.0,2023-01-01 06:00:00
1.0794,1.0794,0.9949,1.0327,221640.9,2023-01-01 07:00:00
1.0314,1.0846,1.0305,1.0731,194099.3,2023-01-01 08:00:00
1.0714,1.0876,1.0221,1.0289,97764.2,2023-01-01 09:00:00
1.0285,1.0829,1.027,1.0594,231957.7,2023-01-01 10:00:00
1.0609,1.0971,1.0502,1.0832,223677.7,2023-01-01 11:00:00
1.0832,1.1704,1.0712,1.1704,322277.9,2023-01-01 12:00:00
1.1703,1.1925,1.133,1.1483,466428.9,2023-01-01 13:00:00
1.1482,1.1482,1.1005,1.1079,255730.7,2023-01-01 14:00:00
1.1072,1.1072,1.0875,1.0924,269419.6,2023-01-01 15:00:00
1.0892,1.1178,1.081,1.0828,441992.5,2023-01-01 16:00:00
1.0835,1.1202,1.0811,1.1017,242939.4,2023-01-01 17:00:00
1.0993,1.1046,1.0523,1.056,244556.5,2023-01-01 18:00:00
1.0563,1.0669,1.0516,1.0626,162427.7,2023-01-01 19:00:00
1.0627,1.0865,1.0608,1.0768,126312.2,2023-01-01 20:00:00
1.076,1.1234,1.0736,1.1027,225933.1,2023-01-01 21:00:00
1.1031,1.1199,1.0891,1.1017,141200.8,2023-01-01 22:00:00
1.1011,1.1233,1.09,1.0955,65458.3,2023-01-01 23:00:00
1.0943,1.1165,1.0872,1.1049,80892.9,2023-01-02 00:00:00
1.1049,1.1217,1.0916,1.1119,120175.0,2023-01-02 01:00:00
1.1122,1.1437,1.0954,1.1249,244187.4,2023-01-02 02:00:00
1.125,1.1679,1.1145,1.142,228670.4,2023-01-02 03:00:00
1.14,1.1663,1.0546,1.1016,216022.3,2023-01-02 04:00:00
1.1021,1.1021,1.0346,1.058,237003.3,2023-01-02 05:00:00
1.0582,1.1123,1.0496,1.0996,160618.4,2023-01-02 06:00:00
1.0994,1.1419,1.088,1.1182,209855.9,2023-01-02 07:00:00
1.1164,1.1164,1.0786,1.0814,76718.5,2023-01-02 08:00:00
1.0809,1.1174,1.0716,1.11,41818.3,2023-01-02 09:00:00
1.1078,1.1351,1.1034,1.122,56008.0,2023-01-02 10:00:00
1.1219,1.1335,1.1141,1.1271,56248.7,2023-01-02 11:00:00
1.1257,1.1257,1.0821,1.099,91630.5,2023-01-02 12:00:00
1.1003,1.1012,1.0708,1.0762,67803.2,2023-01-02 13:00:00
1.0768,1.0941,1.0755,1.0882,136817.4,2023-01-02 14:00:00
1.0874,1.0943,1.0717,1.0815,37607.4,2023-01-02 15:00:00
1.0811,1.1259,1.0811,1.1214,139046.6,2023-01-02 16:00:00
1.1228,1.1338,1.05,1.1285,140727.5,2023-01-02 17:00:00
1.1286,1.185,1.1244,1.1264,547310.1,2023-01-02 18:00:00
1.1264,1.2663,1.1252,1.2654,529192.0,2023-01-02 19:00:00
1.2631,1.2982,1.2243,1.2563,596106.3,2023-01-02 20:00:00
1.2534,1.2721,1.1563,1.1602,423190.6,2023-01-02 21:00:00
1.1609,1.1937,1.1428,1.1804,234774.8,2023-01-02 22:00:00
1.1853,1.2392,1.1822,1.2232,307327.6,2023-01-02 23:00:00
1.223,1.2571,1.2216,1.2422,224148.2,2023-01-03 00:00:00
1.242,1.3056,1.2086,1.2232,432508.4,2023-01-03 01:00:00
1.223,1.223,1.1874,1.206,609453.7,2023-01-03 02:00:00
1.206,1.2502,1.2042,1.2304,317645.4,2023-01-03 03:00:00
1.2286,1.2557,1.2233,1.2332,115344.8,2023-01-03 04:00:00
1.2286,1.2618,1.2234,1.2501,152085.6,2023-01-03 05:00:00
1.2507,1.31,1.2505,1.2829,328190.3,2023-01-03 06:00:00
1.2851,1.2911,1.2449,1.287,106167.1,2023-01-03 07:00:00
1.2877,1.3358,1.2627,1.2957,242495.8,2023-01-03 08:00:00
1.2882,1.3048,1.2415,1.2525,105324.9,2023-01-03 09:00:00
1.2526,1.2616,1.2288,1.2368,150552.1,2023-01-03 10:00:00
1.236,1.269,1.236,1.2442,127586.9,2023-01-03 11:00:00
1.2435,1.2435,1.1999,1.2094,105131.7,2023-01-03 12:00:00
1.2107,1.2183,1.1941,1.1991,260238.4,2023-01-03 13:00:00
1.1987,1.2146,1.1872,1.2113,59544.6,2023-01-03 14:00:00
1.2098,1.2098,1.1868,1.1901,29068.9,2023-01-03 15:00:00
1.1902,1.1922,1.176,1.1848,36116.3,2023-01-03 16:00:00
1.1839,1.2116,1.1788,1.2029,34216.4,2023-01-03 17:00:00
1.203,1.203,1.1775,1.1844,27392.3,2023-01-03 18:00:00
1.1851,1.2037,1.184,1.1958,21026.1,2023-01-03 19:00:00
1.1993,1.2084,1.1887,1.1939,32745.8,2023-01-03 20:00:00
1.1935,1.1998,1.1834,1.1845,21364.3,2023-01-03 21:00:00
1.1852,1.1933,1.177,1.1816,51723.0,2023-01-03 22:00:00
1.1812,1.1842,1.1616,1.1642,56445.8,2023-01-03 23:00:00
1.1688,1.1896,1.1688,1.1856,43989.5,2023-01-04 00:00:00
1.1882,1.1976,1.1728,1.1728,39433.9,2023-01-04 01:00:00
1.1723,1.1777,1.165,1.1739,50205.6,2023-01-04 02:00:00
1.1718,1.1729,1.1642,1.1675,45642.9,2023-01-04 03:00:00
1.1655,1.1751,1.1652,1.1689,10239.3,2023-01-04 04:00:00
1.1677,1.1931,1.1677,1.1802,46550.0,2023-01-04 05:00:00
1.177,1.2055,1.1762,1.2038,34404.1,2023-01-04 06:00:00
1.2017,1.2017,1.1841,1.1888,29835.0,2023-01-04 07:00:00
1.1884,1.1928,1.1762,1.1762,16024.5,2023-01-04 08:00:00
