Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.0007619,0.0007694,0.0007588,0.0007661,9670922.0,2023-01-01 00:00:00
0.0007638,0.0007741,0.0007636,0.0007676,45258547.0,2023-01-01 01:00:00
0.000768,0.0007742,0.0007452,0.0007516,21953749.0,2023-01-01 02:00:00
0.0007539,0.0007691,0.0007496,0.0007682,15086784.0,2023-01-01 03:00:00
0.0007692,0.0007741,0.0007629,0.0007634,18332963.0,2023-01-01 04:00:00
0.0007637,0.0007637,0.0007428,0.0007619,15730867.0,2023-01-01 05:00:00
0.0007649,0.000766,0.0007516,0.0007554,5315434.0,2023-01-01 06:00:00
0.0007476,0.0007476,0.0007178,0.0007374,104972557.0,2023-01-01 07:00:00
0.0007352,0.0007561,0.0007352,0.0007503,23435109.0,2023-01-01 08:00:00
0.0007536,0.0007713,0.0007449,0.0007491,57025989.0,2023-01-01 09:00:00
0.0007504,0.0007746,0.0007467,0.0007714,24928472.0,2023-01-01 10:00:00
0.0007707,0.0007753,0.0007486,0.0007543,30234181.0,2023-01-01 11:00:00
0.0007555,0.0007613,0.000747,0.0007602,6034621.0,2023-01-01 12:00:00
0.0007612,0.0007682,0.000759,0.0007673,13271359.0,2023-01-01 13:00:00
0.0007669,0.0007704,0.000762,0.0007638,19376286.0,2023-01-01 14:00:00
0.000764,0.0007647,0.0007599,0.0007622,7617259.0,2023-01-01 15:00:00
0.0007606,0.0007619,0.0007565,0.0007571,8292934.0,2023-01-01 16:00:00
0.000756,0.0007714,0.0007555,0.0007713,28663645.0,2023-01-01 17:00:00
0.0007718,0.0008117,0.0007713,0.0008008,194489373.0,2023-01-01 18:00:00
0.0007978,0.0008018,0.0007893,0.0007893,61900488.0,2023-01-01 19:00:00
0.0007905,0.0008,0.0007854,0.0008,36140703.0,2023-01-01 20:00:00
0.0007991,0.0008298,0.0007961,0.0008096,234477505.0,2023-01-01 21:00:00
0.0008084,0.0008113,0.0007907,0.0008063,51159606.0,2023-01-01 22:00:00
0.0008067,0.0008157,0.0008009,0.0008123,84856492.0,2023-01-01 23:00:00
0.0008125,0.0008298,0.0008125,0.0008205,38417611.0,2023-01-02 00:00:00
0.0008272,0.000835,0.0008128,0.0008148,77076427.0,2023-01-02 01:00:00
0.0008133,0.0008463,0.0008072,0.0008305,95209345.0,2023-01-02 02:00:00
0.0008308,0.0008347,0.0008122,0.0008135,22625781.0,2023-01-02 03:00:00
0.0008128,0.0008155,0.0007757,0.0008117,98924919.0,2023-01-02 04:00:00
0.0008104,0.0008262,0.0007993,0.0008168,41530562.0,2023-01-02 05:00:00
0.0008155,0.0008331,0.0008,0.0008258,32796268.0,2023-01-02 06:00:00
0.0008242,0.0008313,0.0008211,0.000822,25064455.0,2023-01-02 07:00:00
0.0008176,0.0008292,0.0008163,0.0008292,35620920.0,2023-01-02 08:00:00
0.0008288,0.0008315,0.0008189,0.0008241,9523853.0,2023-01-02 09:00:00
0.0008242,0.0008242,0.0008089,0.0008143,9023736.0,2023-01-02 10:00:00
0.000812,0.0008126,0.0008051,0.0008104,18101069.0,2023-01-02 11:00:00
0.0008101,0.0008245,0.0008101,0.0008216,17403839.0,2023-01-02 12:00:00
0.0008232,0.0008379,0.0008199,0.0008303,48497387.0,2023-01-02 13:00:00
0.0008304,0.000849,0.0008274,0.0008363,47678667.0,2023-01-02 14:00:00
0.0008357,0.0008357,0.0008135,0.0008155,35315115.0,2023-01-02 15:00:00
0.0008148,0.000816,0.0007968,0.0008067,20825900.0,2023-01-02 16:00:00
0.0008077,0.0008161,0.0008,0.0008,48428970.0,2023-01-02 17:00:00
0.0008045,0.0008059,0.0007765,0.0007781,127274963.0,2023-01-02 18:00:00
0.0007785,0.0007951,0.0007723,0.0007914,24258780.0,2023-01-02 19:00:00
0.0007919,0.0008069,0.0007846,0.0008069,19596473.0,2023-01-02 20:00:00
0.0008063,0.000819,0.0007942,0.0008053,194716671.0,2023-01-02 21:00:00
0.0008048,0.000807,0.0007966,0.0008031,15769962.0,2023-01-02 22:00:00
0.000803,0.0008152,0.0008004,0.000806,33608189.0,2023-01-02 23:00:00
0.0008059,0.0008138,0.0008052,0.0008107,11815220.0,2023-01-03 00:00:00
0.0008091,0.000815,0.0008063,0.0008084,4002919.0,2023-01-03 01:00:00
0.000808,0.0008111,0.0008054,0.0008079,8323150.0,2023-01-03 02:00:00
0.0008071,0.0008097,0.0008015,0.0008022,18293311.0,2023-01-03 03:00:00
0.0008029,0.0008029,0.0007956,0.0007956,10941340.0,2023-01-03 04:00:00
0.0007944,0.0008,0.000789,0.0007944,30741074.0,2023-01-03 05:00:00
0.0007986,0.0008024,0.0007934,0.0007962,5481494.0,2023-01-03 06:00:00
0.0007942,0.0007985,0.0007929,0.000798,1025972.0,2023-01-03 07:00:00
0.0007969,0.0008059,0.0007965,0.0008051,3411505.0,2023-01-03 08:00:00
0.0008036,0.0008076,0.0008005,0.0008046,1633061.0,2023-01-03 09:00:00
0.0008028,0.000807,0.0007989,0.0008038,7450553.0,2023-01-03 10:00:00
0.0008049,0.0008118,0.0008034,0.0008108,4318531.0,2023-01-03 11:00:00
0.0008092,0.0008097,0.0008041,0.0008064,4496639.0,2023-01-03 12:00:00
0.0008064,0.0008146,0.0008033,0.0008082,9858578.0,2023-01-03 13:00:00
0.0008083,0.0008182,0.0008064,0.0008182,16227067.0,2023-01-03 14:00:00
0.0008171,0.00084,0.0008171,0.0008387,66807126.0,2023-01-03 15:00:00
0.000839,0.0008878,0.0008362,0.0008872,256498602.0,2023-01-03 16:00:00
0.0008882,0.0009073,0.0008657,0.00088,524027319.0,2023-01-03 17:00:00
0.0008788,0.000879,0.0008575,0.0008606,126025581.0,2023-01-03 18:00:00
0.0008607,0.0008669,0.0008531,0.0008657,48967740.0,2023-01-03 19:00:00
0.0008663,0.0009473,0.0008651,0.0009319,130628601.0,2023-01-03 20:00:00
