Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
1.8806,1.9264,1.8806,1.9166,1672.49,2023-01-01 00:00:00
1.9138,1.9438,1.9138,1.929,7385.99,2023-01-01 01:00:00
1.9101,1.9245,1.8624,1.8624,3664.52,2023-01-01 02:00:00
1.8643,1.9006,1.8643,1.8907,88.16,2023-01-01 03:00:00
1.91,1.91,1.8791,1.8791,6623.57,2023-01-01 04:00:00
1.879,1.879,1.83,1.8384,14754.97,2023-01-01 05:00:00
1.8383,1.8383,1.8,1.8011,4680.73,2023-01-01 06:00:00
1.7939,1.7939,1.7174,1.7593,4039.73,2023-01-01 07:00:00
1.7536,1.8019,1.7536,1.7717,4349.3,2023-01-01 08:00:00
1.7946,1.8202,1.763,1.763,2020.83,2023-01-01 09:00:00
1.7607,1.856,1.7607,1.8236,3084.17,2023-01-01 10:00:00
1.807,1.807,1.7787,1.7869,1206.76,2023-01-01 11:00:00
1.7765,1.8026,1.7765,1.8026,4530.14,2023-01-01 12:00:00
1.807,1.8346,1.807,1.8346,1227.07,2023-01-01 13:00:00
1.8314,1.8347,1.8306,1.8308,605.85,2023-01-01 14:00:00
1.8179,1.8345,1.8179,1.83,1389.12,2023-01-01 15:00:00
1.8296,1.8305,1.8224,1.8305,1948.48,2023-01-01 16:00:00
1.8301,1.86,1.8301,1.86,1932.52,2023-01-01 17:00:00
1.86,1.8998,1.8474,1.857,36990.58,2023-01-01 18:00:00
1.8642,1.8756,1.853,1.8661,3454.03,2023-01-01 19:00:00
1.8647,1.8754,1.8479,1.8618,4362.77,2023-01-01 20:00:00
1.8537,1.8699,1.8286,1.8699,7479.66,2023-01-01 21:00:00
1.87,1.907,1.8546,1.907,13252.04,2023-01-01 22:00:00
1.8956,1.9196,1.8956,1.9115,37976.46,2023-01-01 23:00:00
1.9,1.9,1.875,1.875,4292.61,2023-01-02 00:00:00
1.8631,1.8713,1.8358,1.8424,4709.06,2023-01-02 01:00:00
1.831,1.8369,1.8178,1.8369,3419.69,2023-01-02 02:00:00
1.8288,1.8546,1.8245,1.8546,311.66,2023-01-02 03:00:00
1.8546,1.862,1.7575,1.8185,44905.78,2023-01-02 04:00:00
1.8096,1.8332,1.7982,1.8004,7120.07,2023-01-02 05:00:00
1.8053,1.8808,1.7892,1.8808,11886.44,2023-01-02 06:00:00
1.8802,1.9352,1.8708,1.9302,6953.35,2023-01-02 07:00:00
1.9269,2.2,1.9237,2.136,113238.2,2023-01-02 08:00:00
2.1328,2.169,2.073,2.1396,22847.12,2023-01-02 09:00:00
2.1359,2.3422,2.1306,2.3022,61596.58,2023-01-02 10:00:00
2.3061,2.4703,2.2807,2.4353,55175.37,2023-01-02 11:00:00
2.4412,2.4878,2.3341,2.3532,79181.1,2023-01-02 12:00:00
2.3677,2.3677,2.2896,2.3312,33483.48,2023-01-02 13:00:00
2.3288,2.4083,2.3179,2.3919,96700.6,2023-01-02 14:00:00
2.39,2.39,2.2597,2.2892,105484.06,2023-01-02 15:00:00
2.3077,2.3077,2.2003,2.219,46958.44,2023-01-02 16:00:00
2.2185,2.2712,2.2185,2.2573,29012.45,2023-01-02 17:00:00
2.2604,2.2943,2.2306,2.2316,22237.92,2023-01-02 18:00:00
2.2459,2.3064,2.2188,2.2522,39487.65,2023-01-02 19:00:00
2.2454,2.301,2.2226,2.288,14795.61,2023-01-02 20:00:00
2.288,2.3379,2.2773,2.3197,29152.23,2023-01-02 21:00:00
2.3197,2.3427,2.2854,2.3289,33819.1,2023-01-02 22:00:00
2.3261,2.3431,2.3057,2.3227,14124.28,2023-01-02 23:00:00
2.3183,2.3337,2.3011,2.3171,33952.5,2023-01-03 00:00:00
2.3065,2.3436,2.3028,2.3028,7159.94,2023-01-03 01:00:00
2.2996,2.3123,2.277,2.2926,13900.1,2023-01-03 02:00:00
2.2883,2.341,2.2845,2.3219,16033.21,2023-01-03 03:00:00
2.321,2.3586,2.321,2.3238,12076.69,2023-01-03 04:00:00
2.3258,2.3437,2.3221,2.3221,7039.59,2023-01-03 05:00:00
2.3221,2.34,2.2901,2.3052,6408.8,2023-01-03 06:00:00
2.29,2.29,2.2526,2.2809,5722.42,2023-01-03 07:00:00
2.2809,2.3919,2.2809,2.3505,23665.41,2023-01-03 08:00:00
2.3653,2.4264,2.3545,2.3824,4105.65,2023-01-03 09:00:00
2.39,2.596,2.3822,2.5677,26980.83,2023-01-03 10:00:00
2.5553,2.6476,2.5553,2.6413,13391.74,2023-01-03 11:00:00
2.6415,2.766,2.5593,2.6056,59284.71,2023-01-03 12:00:00
2.6025,2.6046,2.51,2.5462,17461.87,2023-01-03 13:00:00
