Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
4.02,4.113,3.999,4.094,2285.74,2023-01-01 00:00:00
4.112,4.167,4.112,4.132,2179.3,2023-01-01 01:00:00
4.113,4.133,3.909,3.946,2356.8,2023-01-01 02:00:00
3.947,3.955,3.914,3.914,3781.86,2023-01-01 03:00:00
3.945,3.959,3.869,3.869,1613.02,2023-01-01 04:00:00
3.87,3.87,3.824,3.842,2171.28,2023-01-01 05:00:00
3.834,3.873,3.785,3.809,4182.08,2023-01-01 06:00:00
3.77,3.77,3.689,3.713,318.81,2023-01-01 07:00:00
3.714,3.876,3.709,3.87,4030.62,2023-01-01 08:00:00
3.874,3.874,3.753,3.753,1136.83,2023-01-01 09:00:00
3.801,3.929,3.801,3.872,8931.81,2023-01-01 10:00:00
3.867,3.867,3.775,3.835,447.15,2023-01-01 11:00:00
3.805,3.826,3.771,3.823,2852.83,2023-01-01 12:00:00
3.822,3.841,3.812,3.841,694.72,2023-01-01 13:00:00
3.82,3.901,3.82,3.901,3129.85,2023-01-01 14:00:00
3.868,3.899,3.857,3.868,3091.05,2023-01-01 15:00:00
3.868,3.868,3.848,3.848,196.29,2023-01-01 16:00:00
3.851,3.891,3.793,3.85,1176.71,2023-01-01 17:00:00
3.866,3.918,3.866,3.896,796.81,2023-01-01 18:00:00
3.887,3.895,3.848,3.874,914.81,2023-01-01 19:00:00
3.87,3.897,3.813,3.87,3446.77,2023-01-01 20:00:00
3.847,3.904,3.847,3.904,2707.35,2023-01-01 21:00:00
3.908,3.975,3.896,3.945,5915.13,2023-01-01 22:00:00
3.944,3.996,3.903,3.967,31632.46,2023-01-01 23:00:00
3.939,3.939,3.9,3.9,80.58,2023-01-02 00:00:00
3.901,3.924,3.832,3.845,2285.6,2023-01-02 01:00:00
3.803,3.891,3.786,3.874,6737.62,2023-01-02 02:00:00
3.857,3.927,3.857,3.895,1990.04,2023-01-02 03:00:00
3.895,3.904,3.58,3.798,5429.27,2023-01-02 04:00:00
3.827,3.927,3.77,3.842,3368.93,2023-01-02 05:00:00
3.815,4.032,3.815,4.032,2958.6,2023-01-02 06:00:00
4.037,4.155,3.999,4.115,10756.92,2023-01-02 07:00:00
4.117,4.193,4.079,4.079,2852.93,2023-01-02 08:00:00
4.03,4.094,4.009,4.092,2194.13,2023-01-02 09:00:00
4.095,4.148,4.049,4.106,3024.93,2023-01-02 10:00:00
4.071,4.08,4.065,4.065,4551.68,2023-01-02 11:00:00
4.113,4.25,4.113,4.208,49318.64,2023-01-02 12:00:00
4.208,4.208,4.104,4.131,5382.54,2023-01-02 13:00:00
4.156,4.165,4.111,4.123,1649.93,2023-01-02 14:00:00
4.1,4.1,4.018,4.086,1014.9,2023-01-02 15:00:00
4.088,4.096,4.022,4.054,4767.27,2023-01-02 16:00:00
4.075,4.113,4.047,4.108,5046.44,2023-01-02 17:00:00
4.111,4.15,4.058,4.06,1853.17,2023-01-02 18:00:00
3.98,4.25,3.98,4.233,3855.47,2023-01-02 19:00:00
4.197,4.362,4.156,4.332,7176.34,2023-01-02 20:00:00
4.325,4.865,4.301,4.78,27442.73,2023-01-02 21:00:00
4.773,4.841,4.71,4.788,33623.26,2023-01-02 22:00:00
4.76,4.982,4.713,4.916,21741.89,2023-01-02 23:00:00
4.933,5.078,4.893,5.033,23295.66,2023-01-03 00:00:00
5.033,5.033,4.904,4.919,16234.84,2023-01-03 01:00:00
4.9,4.956,4.862,4.862,3035.23,2023-01-03 02:00:00
4.876,5.064,4.866,5.005,10417.49,2023-01-03 03:00:00
4.972,5.002,4.679,4.683,15830.17,2023-01-03 04:00:00
4.721,4.785,4.702,4.785,5137.17,2023-01-03 05:00:00
4.755,4.852,4.739,4.789,1890.4,2023-01-03 06:00:00
4.787,4.799,4.702,4.773,3274.11,2023-01-03 07:00:00
4.79,4.847,4.79,4.823,469.48,2023-01-03 08:00:00
4.848,4.89,4.805,4.831,5120.57,2023-01-03 09:00:00
4.825,4.844,4.774,4.843,7859.55,2023-01-03 10:00:00
4.844,5.041,4.844,4.876,12111.64,2023-01-03 11:00:00
4.862,4.862,4.749,4.749,3801.9,2023-01-03 12:00:00
4.77,4.844,4.725,4.75,3471.37,2023-01-03 13:00:00
4.742,4.751,4.678,4.705,8179.16,2023-01-03 14:00:00
4.68,4.706,4.579,4.579,9985.4,2023-01-03 15:00:00
4.579,4.586,4.369,4.445,22640.94,2023-01-03 16:00:00
4.426,4.596,4.426,4.554,9929.99,2023-01-03 17:00:00
4.541,4.58,4.532,4.58,5794.74,2023-01-03 18:00:00
4.584,4.598,4.567,4.572,8423.02,2023-01-03 19:00:00
4.567,4.567,4.513,4.543,255.24,2023-01-03 20:00:00
4.54,4.556,4.5,4.522,14557.69,2023-01-03 21:00:00
4.512,4.512,4.463,4.481,2980.28,2023-01-03 22:00:00
4.488,4.488,4.458,4.478,964.84,2023-01-03 23:00:00
4.472,4.549,4.472,4.549,3225.48,2023-01-04 00:00:00
4.549,4.555,4.472,4.472,1577.39,2023-01-04 01:00:00
4.5,4.517,4.47,4.494,2533.33,2023-01-04 02:00:00
4.498,4.532,4.498,4.53,751.91,2023-01-04 03:00:00
4.493,4.501,4.469,4.469,3136.38,2023-01-04 04:00:00
4.507,4.507,4.469,4.469,35.0,2023-01-04 05:00:00
4.482,4.503,4.471,4.471,1438.6,2023-01-04 06:00:00
4.511,4.53,4.489,4.514,3116.44,2023-01-04 07:00:00
4.521,4.521,4.492,4.492,2976.8,2023-01-04 08:00:00
4.504,4.536,4.496,4.496,582.19,2023-01-04 09:00:00
4.508,4.515,4.421,4.445,4371.44,2023-01-04 10:00:00
4.404,4.472,4.369,4.431,5665.52,2023-01-04 11:00:00
4.431,4.434,4.402,4.427,9365.05,2023-01-04 12:00:00
4.469,4.499,4.466,4.466,1158.77,2023-01-04 13:00:00
4.448,4.517,4.44,4.474,5512.77,2023-01-04 14:00:00
4.471,4.552,4.462,4.494,7675.89,2023-01-04 15:00:00
4.506,4.64,4.506,4.577,3287.13,2023-01-04 16:00:00
4.589,4.631,4.56,4.613,4154.2,2023-01-04 17:00:00
4.602,4.602,4.518,4.539,1483.28,2023-01-04 18:00:00
4.562,4.62,4.554,4.554,4898.4,2023-01-04 19:00:00
4.551,4.71,4.542,4.648,7543.7,2023-01-04 20:00:00
4.662,4.771,4.59,4.727,6570.05,2023-01-04 21:00:00
4.748,4.852,4.721,4.729,5875.8,2023-01-04 22:00:00
4.711,4.739,4.664,4.739,3778.04,2023-01-04 23:00:00
4.7,4.812,4.66,4.788,8173.67,2023-01-05 00:00:00
4.825,4.842,4.724,4.772,3942.96,2023-01-05 01:00:00
4.764,4.859,4.764,4.825,947.19,2023-01-05 02:00:00
4.846,4.984,4.846,4.909,6548.69,2023-01-05 03:00:00
4.918,4.92,4.866,4.883,976.5,2023-01-05 04:00:00
4.877,4.892,4.774,4.786,5290.46,2023-01-05 05:00:00
4.809,4.85,4.73,4.779,7525.86,2023-01-05 06:00:00
4.756,4.758,4.681,4.723,6399.52,2023-01-05 07:00:00
4.76,4.761,4.62,4.62,4729.79,2023-01-05 08:00:00
4.649,4.669,4.532,4.532,1718.52,2023-01-05 09:00:00
4.595,4.617,4.548,4.551,780.62,2023-01-05 10:00:00
4.552,4.568,4.552,4.568,105.04,2023-01-05 11:00:00
4.562,4.564,4.443,4.459,4125.54,2023-01-05 12:00:00
4.424,4.46,4.363,4.454,4365.16,2023-01-05 13:00:00
4.424,4.525,4.387,4.507,2591.01,2023-01-05 14:00:00
4.48,4.66,4.472,4.654,7025.03,2023-01-05 15:00:00
4.64,4.653,4.55,4.601,4071.6,2023-01-05 16:00:00
4.589,4.589,4.456,4.468,9641.14,2023-01-05 17:00:00
4.428,4.554,4.428,4.507,1649.16,2023-01-05 18:00:00
4.547,4.823,4.547,4.823,6203.51,2023-01-05 19:00:00
