Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
42.93,44.26,42.67,44.03,1549.02,2023-01-01 00:00:00
43.96,44.68,43.84,43.95,1362.86,2023-01-01 01:00:00
44.05,44.78,43.82,44.12,1159.61,2023-01-01 02:00:00
44.29,44.48,42.75,42.75,1404.39,2023-01-01 03:00:00
42.75,43.66,42.66,42.88,1373.42,2023-01-01 04:00:00
42.62,42.88,41.92,42.77,1038.79,2023-01-01 05:00:00
42.64,42.64,41.32,41.51,965.82,2023-01-01 06:00:00
41.51,41.62,40.16,41.08,1298.78,2023-01-01 07:00:00
41.05,42.34,40.91,41.81,1224.4,2023-01-01 08:00:00
42.09,42.59,40.9,40.94,579.53,2023-01-01 09:00:00
40.85,41.94,40.82,41.51,1058.13,2023-01-01 10:00:00
41.67,41.69,41.03,41.44,1464.71,2023-01-01 11:00:00
41.26,41.47,40.83,41.28,808.52,2023-01-01 12:00:00
41.61,41.86,41.54,41.83,1981.35,2023-01-01 13:00:00
41.64,42.7,41.6,42.28,1088.94,2023-01-01 14:00:00
42.67,42.67,42.11,42.48,763.56,2023-01-01 15:00:00
42.34,43.19,42.22,42.29,1385.84,2023-01-01 16:00:00
42.55,43.74,42.27,42.96,2276.92,2023-01-01 17:00:00
42.79,43.04,42.38,42.49,445.5,2023-01-01 18:00:00
42.41,44.06,42.31,42.63,1425.23,2023-01-01 19:00:00
42.51,42.67,41.79,42.14,3937.41,2023-01-01 20:00:00
42.09,42.12,41.29,41.49,6279.3,2023-01-01 21:00:00
41.58,41.85,41.25,41.79,2847.76,2023-01-01 22:00:00
41.76,42.35,41.63,42.33,1869.44,2023-01-01 23:00:00
42.33,42.41,41.77,41.79,3108.55,2023-01-02 00:00:00
41.86,42.0,41.05,41.26,1288.65,2023-01-02 01:00:00
41.24,41.56,40.61,41.5,1610.29,2023-01-02 02:00:00
41.45,41.77,41.45,41.75,1371.32,2023-01-02 03:00:00
41.74,41.79,39.47,41.12,4248.32,2023-01-02 04:00:00
41.07,41.42,40.53,41.15,1844.27,2023-01-02 05:00:00
41.15,42.33,40.68,41.71,2608.14,2023-01-02 06:00:00
41.67,41.84,41.25,41.49,4125.55,2023-01-02 07:00:00
41.47,41.48,41.03,41.37,4545.26,2023-01-02 08:00:00
41.42,41.91,40.98,41.79,3994.38,2023-01-02 09:00:00
41.7,41.82,41.41,41.68,2738.0,2023-01-02 10:00:00
41.65,41.71,41.41,41.59,1955.47,2023-01-02 11:00:00
41.59,42.32,41.45,41.55,2705.1,2023-01-02 12:00:00
41.54,41.6,41.26,41.46,2614.95,2023-01-02 13:00:00
41.46,41.72,41.19,41.19,1210.59,2023-01-02 14:00:00
41.12,41.12,40.14,40.45,1306.93,2023-01-02 15:00:00
40.49,40.49,39.69,40.16,2006.72,2023-01-02 16:00:00
40.17,40.32,39.4,39.77,9394.46,2023-01-02 17:00:00
39.73,40.14,38.87,38.93,2749.84,2023-01-02 18:00:00
38.97,40.29,38.84,39.85,3438.45,2023-01-02 19:00:00
39.89,42.62,39.6,42.42,5339.33,2023-01-02 20:00:00
42.61,43.64,41.76,41.86,18658.07,2023-01-02 21:00:00
41.89,42.49,41.54,41.89,6464.28,2023-01-02 22:00:00
41.93,42.52,41.93,42.38,2520.05,2023-01-02 23:00:00
42.31,43.12,42.28,42.79,2319.61,2023-01-03 00:00:00
42.8,43.11,42.62,42.88,2202.11,2023-01-03 01:00:00
42.78,43.25,42.73,42.82,3628.77,2023-01-03 02:00:00
42.83,43.09,42.63,42.63,3207.67,2023-01-03 03:00:00
42.65,43.04,42.12,42.15,3170.74,2023-01-03 04:00:00
42.19,42.55,42.05,42.28,1473.82,2023-01-03 05:00:00
42.39,43.35,41.81,42.16,1455.01,2023-01-03 06:00:00
42.23,42.6,41.89,42.07,1012.44,2023-01-03 07:00:00
42.03,42.51,41.89,42.29,1765.09,2023-01-03 08:00:00
42.31,42.31,41.83,41.91,1027.69,2023-01-03 09:00:00
41.89,42.11,41.68,42.07,4878.35,2023-01-03 10:00:00
42.08,42.29,41.64,41.64,1414.31,2023-01-03 11:00:00
41.63,41.74,41.55,41.63,1607.32,2023-01-03 12:00:00
41.63,41.86,41.13,41.61,2077.92,2023-01-03 13:00:00
41.55,41.64,41.07,41.45,2131.65,2023-01-03 14:00:00
41.41,41.5,41.2,41.26,1099.08,2023-01-03 15:00:00
41.24,41.28,40.88,41.01,1445.66,2023-01-03 16:00:00
40.99,41.58,40.96,41.4,1091.72,2023-01-03 17:00:00
