Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
1.3263,1.3422,1.3125,1.3225,67578.8,2023-01-01 00:00:00
1.3195,1.3616,1.3195,1.3472,81799.7,2023-01-01 01:00:00
1.348,1.3681,1.3205,1.3408,57537.6,2023-01-01 02:00:00
1.3338,1.3528,1.3248,1.3414,20193.1,2023-01-01 03:00:00
1.3504,1.357,1.3285,1.3348,43178.3,2023-01-01 04:00:00
1.3346,1.336,1.291,1.3335,33269.1,2023-01-01 05:00:00
1.3309,1.3477,1.312,1.3242,43315.0,2023-01-01 06:00:00
1.3183,1.3183,1.2697,1.2981,54307.5,2023-01-01 07:00:00
1.2973,1.3409,1.289,1.3296,34908.7,2023-01-01 08:00:00
1.3296,1.3422,1.2915,1.2965,41513.2,2023-01-01 09:00:00
1.2937,1.3427,1.2928,1.3276,34493.1,2023-01-01 10:00:00
1.3302,1.3342,1.307,1.3249,24506.7,2023-01-01 11:00:00
1.3268,1.3527,1.3192,1.3519,62026.0,2023-01-01 12:00:00
1.3499,1.3788,1.3434,1.3471,48409.4,2023-01-01 13:00:00
1.3465,1.3531,1.3341,1.3389,42270.5,2023-01-01 14:00:00
1.337,1.3499,1.3295,1.3397,71849.2,2023-01-01 15:00:00
1.3392,1.3455,1.328,1.3422,52432.2,2023-01-01 16:00:00
1.3443,1.4,1.3383,1.3708,75854.9,2023-01-01 17:00:00
1.371,1.371,1.3426,1.347,41334.4,2023-01-01 18:00:00
1.3422,1.379,1.3414,1.3728,51395.0,2023-01-01 19:00:00
1.3728,1.4001,1.3569,1.3796,65000.6,2023-01-01 20:00:00
1.3796,1.4719,1.3707,1.4541,90404.3,2023-01-01 21:00:00
1.4545,1.519,1.4126,1.4245,201351.4,2023-01-01 22:00:00
1.4235,1.4434,1.4156,1.4176,46349.0,2023-01-01 23:00:00
1.4244,1.4285,1.3972,1.3989,18062.7,2023-01-02 00:00:00
1.3964,1.4023,1.3669,1.3669,43699.8,2023-01-02 01:00:00
1.3716,1.3789,1.3422,1.3534,69010.0,2023-01-02 02:00:00
1.3512,1.3961,1.3512,1.3934,54265.0,2023-01-02 03:00:00
1.3903,1.3998,1.3095,1.373,117735.2,2023-01-02 04:00:00
1.3709,1.3719,1.3446,1.3545,21443.7,2023-01-02 05:00:00
1.3532,1.3647,1.3402,1.361,14852.5,2023-01-02 06:00:00
1.3611,1.3894,1.3497,1.3852,24798.9,2023-01-02 07:00:00
1.3821,1.3865,1.3624,1.3692,29868.6,2023-01-02 08:00:00
1.3654,1.3822,1.3491,1.3699,257288.5,2023-01-02 09:00:00
1.3696,1.3808,1.3654,1.3767,175879.8,2023-01-02 10:00:00
1.374,1.3918,1.374,1.3778,142740.7,2023-01-02 11:00:00
1.3784,1.3796,1.3623,1.376,109258.1,2023-01-02 12:00:00
1.3744,1.3769,1.357,1.357,169563.6,2023-01-02 13:00:00
1.3562,1.3684,1.3377,1.3398,170774.4,2023-01-02 14:00:00
1.341,1.341,1.3064,1.3171,181905.5,2023-01-02 15:00:00
1.3165,1.319,1.2866,1.3171,148192.6,2023-01-02 16:00:00
1.314,1.3238,1.3091,1.3186,49049.7,2023-01-02 17:00:00
1.3239,1.3384,1.2972,1.2994,44620.5,2023-01-02 18:00:00
1.2998,1.3282,1.2932,1.3153,20085.3,2023-01-02 19:00:00
1.3207,1.3348,1.3028,1.3299,80097.3,2023-01-02 20:00:00
1.3254,1.3453,1.3163,1.3284,63103.6,2023-01-02 21:00:00
1.3272,1.3361,1.3192,1.331,21022.6,2023-01-02 22:00:00
1.33,1.3506,1.3299,1.3411,22369.8,2023-01-02 23:00:00
1.3446,1.3538,1.3392,1.3508,44392.2,2023-01-03 00:00:00
1.3489,1.3636,1.347,1.3636,75835.9,2023-01-03 01:00:00
1.3631,1.3688,1.3552,1.357,37524.6,2023-01-03 02:00:00
1.3583,1.3682,1.3549,1.3608,33489.0,2023-01-03 03:00:00
1.3667,1.3963,1.3667,1.3919,29905.2,2023-01-03 04:00:00
1.3858,1.3858,1.3614,1.3692,40465.9,2023-01-03 05:00:00
1.3686,1.386,1.3458,1.3558,24685.1,2023-01-03 06:00:00
1.3535,1.3742,1.3535,1.3583,12390.0,2023-01-03 07:00:00
1.3598,1.3642,1.3478,1.3489,3244.6,2023-01-03 08:00:00
1.3452,1.3455,1.329,1.3375,18388.1,2023-01-03 09:00:00
1.3369,1.365,1.3367,1.3574,7654.7,2023-01-03 10:00:00
