Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
2.782,2.811,2.761,2.799,19439.5,2023-01-01 00:00:00
2.784,2.819,2.784,2.806,9572.5,2023-01-01 01:00:00
2.81,2.848,2.746,2.756,21510.9,2023-01-01 02:00:00
2.756,2.801,2.752,2.783,12718.5,2023-01-01 03:00:00
2.792,2.794,2.732,2.732,10396.9,2023-01-01 04:00:00
2.737,2.739,2.668,2.711,8278.5,2023-01-01 05:00:00
2.706,2.706,2.654,2.654,11234.2,2023-01-01 06:00:00
2.651,2.651,2.558,2.595,19976.9,2023-01-01 07:00:00
2.59,2.701,2.59,2.654,7303.7,2023-01-01 08:00:00
2.674,2.701,2.621,2.637,9199.7,2023-01-01 09:00:00
2.65,2.768,2.65,2.724,7111.5,2023-01-01 10:00:00
2.724,2.739,2.691,2.717,2510.6,2023-01-01 11:00:00
2.717,2.739,2.674,2.723,16722.0,2023-01-01 12:00:00
2.727,2.745,2.718,2.718,10674.9,2023-01-01 13:00:00
2.71,2.793,2.71,2.751,9664.4,2023-01-01 14:00:00
2.761,2.78,2.744,2.754,20540.5,2023-01-01 15:00:00
2.761,2.764,2.703,2.703,22612.8,2023-01-01 16:00:00
2.703,2.761,2.703,2.758,7101.8,2023-01-01 17:00:00
2.762,2.781,2.757,2.76,12739.7,2023-01-01 18:00:00
2.741,2.768,2.734,2.742,5881.2,2023-01-01 19:00:00
2.741,2.815,2.713,2.758,8447.6,2023-01-01 20:00:00
2.751,2.764,2.698,2.725,5551.2,2023-01-01 21:00:00
2.726,2.796,2.717,2.786,8821.2,2023-01-01 22:00:00
2.787,2.787,2.764,2.777,2563.7,2023-01-01 23:00:00
2.77,2.778,2.731,2.731,8959.7,2023-01-02 00:00:00
2.737,2.747,2.652,2.677,12600.4,2023-01-02 01:00:00
2.659,2.705,2.645,2.683,3184.9,2023-01-02 02:00:00
2.659,2.708,2.659,2.707,2042.4,2023-01-02 03:00:00
2.71,2.72,2.572,2.664,7615.4,2023-01-02 04:00:00
2.671,2.705,2.627,2.662,3568.9,2023-01-02 05:00:00
2.667,2.786,2.663,2.768,13002.8,2023-01-02 06:00:00
2.764,2.808,2.762,2.787,5246.3,2023-01-02 07:00:00
2.761,2.806,2.751,2.806,10066.4,2023-01-02 08:00:00
2.809,2.833,2.777,2.829,11951.6,2023-01-02 09:00:00
2.811,2.818,2.79,2.809,809.2,2023-01-02 10:00:00
2.8,2.8,2.767,2.767,1927.1,2023-01-02 11:00:00
2.809,2.854,2.809,2.83,5495.1,2023-01-02 12:00:00
2.822,2.826,2.79,2.8,3613.9,2023-01-02 13:00:00
2.8,2.809,2.796,2.799,938.2,2023-01-02 14:00:00
2.772,2.777,2.737,2.74,1491.8,2023-01-02 15:00:00
2.741,2.744,2.703,2.731,6428.1,2023-01-02 16:00:00
2.732,2.765,2.732,2.741,3971.0,2023-01-02 17:00:00
2.742,2.772,2.666,2.666,8042.0,2023-01-02 18:00:00
2.663,2.78,2.663,2.777,26461.9,2023-01-02 19:00:00
2.77,2.856,2.741,2.854,16582.7,2023-01-02 20:00:00
2.857,3.091,2.842,3.007,67491.7,2023-01-02 21:00:00
3.019,3.027,2.947,2.963,76934.7,2023-01-02 22:00:00
2.979,3.05,2.977,3.018,8583.5,2023-01-02 23:00:00
3.02,3.165,3.012,3.137,23613.5,2023-01-03 00:00:00
3.125,3.14,3.087,3.107,29513.8,2023-01-03 01:00:00
3.096,3.096,3.052,3.055,14463.9,2023-01-03 02:00:00
3.05,3.054,3.017,3.017,7686.8,2023-01-03 03:00:00
3.007,3.025,2.987,2.987,24311.8,2023-01-03 04:00:00
2.992,2.996,2.968,2.969,5548.8,2023-01-03 05:00:00
2.972,2.99,2.94,2.954,2645.9,2023-01-03 06:00:00
2.952,2.967,2.952,2.964,2039.3,2023-01-03 07:00:00
2.982,3.029,2.981,3.015,3357.6,2023-01-03 08:00:00
3.02,3.054,3.008,3.054,679.9,2023-01-03 09:00:00
3.039,3.069,3.039,3.048,2223.0,2023-01-03 10:00:00
3.076,3.08,3.034,3.034,2543.3,2023-01-03 11:00:00
3.037,3.037,3.002,3.003,1314.1,2023-01-03 12:00:00
2.999,3.06,2.99,3.014,3220.9,2023-01-03 13:00:00
3.015,3.015,2.966,2.982,1790.4,2023-01-03 14:00:00
2.982,2.982,2.945,2.962,3747.9,2023-01-03 15:00:00
2.964,2.968,2.942,2.968,1928.6,2023-01-03 16:00:00
2.966,3.002,2.946,2.979,1653.1,2023-01-03 17:00:00
2.974,3.0,2.964,2.981,7704.4,2023-01-03 18:00:00
2.979,2.996,2.971,2.992,10798.6,2023-01-03 19:00:00
2.984,2.984,2.964,2.975,4439.5,2023-01-03 20:00:00
2.974,2.975,2.955,2.97,6558.7,2023-01-03 21:00:00
2.97,2.97,2.941,2.95,7881.2,2023-01-03 22:00:00
2.95,2.954,2.913,2.914,13671.4,2023-01-03 23:00:00
2.917,2.97,2.917,2.966,13787.9,2023-01-04 00:00:00
2.975,3.0,2.946,2.947,4702.8,2023-01-04 01:00:00
2.949,2.972,2.941,2.968,1447.2,2023-01-04 02:00:00
2.964,2.971,2.957,2.963,1655.0,2023-01-04 03:00:00
2.96,2.965,2.941,2.947,4682.6,2023-01-04 04:00:00
2.953,2.988,2.946,2.963,8121.3,2023-01-04 05:00:00
2.98,3.0,2.968,2.973,11780.2,2023-01-04 06:00:00
2.975,2.975,2.922,2.927,16550.3,2023-01-04 07:00:00
2.924,2.932,2.917,2.928,3348.8,2023-01-04 08:00:00
2.945,2.956,2.923,2.923,812.2,2023-01-04 09:00:00
2.911,2.929,2.9,2.9,973.6,2023-01-04 10:00:00
2.901,2.904,2.888,2.904,6567.4,2023-01-04 11:00:00
2.903,2.921,2.892,2.921,3730.8,2023-01-04 12:00:00
2.921,2.937,2.918,2.924,3157.6,2023-01-04 13:00:00
2.915,2.916,2.865,2.865,7430.4,2023-01-04 14:00:00
2.865,2.916,2.845,2.845,8990.3,2023-01-04 15:00:00
2.869,2.897,2.869,2.879,638.5,2023-01-04 16:00:00
2.878,2.914,2.878,2.908,3513.0,2023-01-04 17:00:00
2.884,2.918,2.884,2.906,1987.2,2023-01-04 18:00:00
2.908,2.93,2.908,2.93,352.1,2023-01-04 19:00:00
2.917,2.927,2.906,2.906,2184.0,2023-01-04 20:00:00
2.91,2.934,2.893,2.93,1065.3,2023-01-04 21:00:00
2.937,2.946,2.9,2.9,3943.7,2023-01-04 22:00:00
2.9,2.931,2.899,2.931,3971.3,2023-01-04 23:00:00
2.934,2.934,2.9,2.908,3747.5,2023-01-05 00:00:00
2.924,2.929,2.906,2.915,6135.6,2023-01-05 01:00:00
2.908,2.921,2.907,2.908,2193.8,2023-01-05 02:00:00
2.909,2.934,2.906,2.933,2520.6,2023-01-05 03:00:00
2.933,2.948,2.931,2.943,2115.5,2023-01-05 04:00:00
2.957,2.966,2.941,2.964,8043.2,2023-01-05 05:00:00
2.959,2.96,2.918,2.928,2592.6,2023-01-05 06:00:00
2.937,2.937,2.873,2.88,12908.7,2023-01-05 07:00:00
2.876,2.898,2.855,2.855,2587.1,2023-01-05 08:00:00
2.855,2.871,2.8,2.83,10611.0,2023-01-05 09:00:00
2.819,2.851,2.8,2.847,6663.4,2023-01-05 10:00:00
2.869,2.873,2.86,2.86,4932.5,2023-01-05 11:00:00
2.865,2.867,2.803,2.827,7676.1,2023-01-05 12:00:00
2.809,2.828,2.756,2.826,11052.5,2023-01-05 13:00:00
2.797,2.813,2.728,2.741,8021.1,2023-01-05 14:00:00
2.744,2.779,2.701,2.756,16507.7,2023-01-05 15:00:00
2.737,2.776,2.737,2.776,8236.7,2023-01-05 16:00:00
