Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.9984,0.9992,0.9982,0.9992,915466.0,2023-01-01 00:00:00
0.999,1.0,0.999,0.9997,1412500.0,2023-01-01 01:00:00
0.9999,1.0056,0.9993,1.0006,3579504.0,2023-01-01 02:00:00
1.0007,1.001,0.9994,0.9998,1710561.0,2023-01-01 03:00:00
0.9998,0.9999,0.9992,0.9995,436878.0,2023-01-01 04:00:00
0.9995,0.9999,0.9988,0.9994,970112.0,2023-01-01 05:00:00
0.9994,1.0,0.9991,0.9999,498695.0,2023-01-01 06:00:00
0.9999,1.0,0.9994,0.9994,1649103.0,2023-01-01 07:00:00
0.9996,0.9997,0.9988,0.999,3951241.0,2023-01-01 08:00:00
0.999,1.0057,0.9986,0.9996,5363461.0,2023-01-01 09:00:00
0.9994,1.0025,0.999,0.9998,3148326.0,2023-01-01 10:00:00
0.9997,1.0002,0.9991,0.9996,1414798.0,2023-01-01 11:00:00
0.9995,0.9997,0.9987,0.9987,3067609.0,2023-01-01 12:00:00
0.9989,0.9995,0.9986,0.9992,1244053.0,2023-01-01 13:00:00
0.9992,1.0,0.999,0.9997,1595654.0,2023-01-01 14:00:00
0.9997,0.9998,0.9991,0.9994,854571.0,2023-01-01 15:00:00
0.9994,0.9994,0.9988,0.9989,525817.0,2023-01-01 16:00:00
0.9989,0.999,0.9987,0.9987,645311.0,2023-01-01 17:00:00
0.9987,0.9994,0.993,0.9993,3293726.0,2023-01-01 18:00:00
0.9992,0.9994,0.9987,0.999,1740781.0,2023-01-01 19:00:00
0.999,0.999,0.9985,0.9988,1477620.0,2023-01-01 20:00:00
0.9988,0.9994,0.9987,0.9987,1626413.0,2023-01-01 21:00:00
0.9987,0.9993,0.9987,0.9989,1591700.0,2023-01-01 22:00:00
0.9989,0.9991,0.9986,0.999,670504.0,2023-01-01 23:00:00
0.9988,0.999,0.9984,0.9986,1395120.0,2023-01-02 00:00:00
0.9986,0.9988,0.9977,0.998,1377671.0,2023-01-02 01:00:00
0.998,0.9985,0.994,0.9985,2346326.0,2023-01-02 02:00:00
0.9984,0.9989,0.9983,0.9987,825966.0,2023-01-02 03:00:00
0.9988,0.9998,0.9935,0.9992,17683275.0,2023-01-02 04:00:00
0.9994,0.9994,0.9985,0.9987,5123173.0,2023-01-02 05:00:00
0.9987,0.999,0.9977,0.9984,5701632.0,2023-01-02 06:00:00
0.9983,0.9985,0.9981,0.9981,1197017.0,2023-01-02 07:00:00
0.9981,0.9987,0.998,0.9985,3208401.0,2023-01-02 08:00:00
0.9986,0.9987,0.9982,0.9983,2008693.0,2023-01-02 09:00:00
0.9982,0.9984,0.9981,0.9982,438425.0,2023-01-02 10:00:00
0.9982,0.9987,0.9981,0.9986,437025.0,2023-01-02 11:00:00
0.9986,0.9988,0.9984,0.9988,905802.0,2023-01-02 12:00:00
0.9988,0.9988,0.9985,0.9986,390369.0,2023-01-02 13:00:00
0.9987,0.999,0.9985,0.9989,601616.0,2023-01-02 14:00:00
0.9989,0.9989,0.9987,0.9987,588222.0,2023-01-02 15:00:00
0.9988,0.9989,0.9981,0.9988,1482594.0,2023-01-02 16:00:00
0.9987,0.9991,0.9979,0.9988,2052089.0,2023-01-02 17:00:00
0.9987,0.9989,0.9986,0.9986,858710.0,2023-01-02 18:00:00
0.9986,0.9989,0.9984,0.9989,834368.0,2023-01-02 19:00:00
0.9987,0.9993,0.9987,0.999,1944766.0,2023-01-02 20:00:00
0.9991,0.9993,0.9958,0.9991,3832123.0,2023-01-02 21:00:00
0.9991,0.9994,0.999,0.9994,1429490.0,2023-01-02 22:00:00
0.9992,0.9998,0.9988,0.9996,3429346.0,2023-01-02 23:00:00
0.9994,1.0,0.9992,0.9999,1544832.0,2023-01-03 00:00:00
0.9999,1.0001,0.9995,0.9999,1987860.0,2023-01-03 01:00:00
1.0,1.0002,0.9991,0.9999,1678296.0,2023-01-03 02:00:00
0.9997,1.0002,0.9996,0.9998,1005974.0,2023-01-03 03:00:00
0.9998,0.9998,0.9995,0.9996,456199.0,2023-01-03 04:00:00
0.9996,0.9998,0.9992,0.9995,1246916.0,2023-01-03 05:00:00
0.9994,0.9999,0.9985,0.9997,2776879.0,2023-01-03 06:00:00
0.9997,0.9999,0.9994,0.9994,383634.0,2023-01-03 07:00:00
0.9994,0.9995,0.9992,0.9995,340413.0,2023-01-03 08:00:00
0.9994,1.0,0.9992,0.9993,686712.0,2023-01-03 09:00:00
0.9992,0.9994,0.9991,0.9992,554310.0,2023-01-03 10:00:00
0.9992,0.9994,0.9991,0.9992,254043.0,2023-01-03 11:00:00
0.9992,0.9994,0.9991,0.9993,283530.0,2023-01-03 12:00:00
0.9993,0.9994,0.9991,0.9993,473889.0,2023-01-03 13:00:00
0.9992,0.9993,0.999,0.9993,834626.0,2023-01-03 14:00:00
0.9991,0.9994,0.9988,0.9991,964127.0,2023-01-03 15:00:00
0.9991,0.9992,0.9988,0.9988,354860.0,2023-01-03 16:00:00
0.9988,0.9991,0.9988,0.999,546566.0,2023-01-03 17:00:00
0.999,0.9992,0.9989,0.9991,837760.0,2023-01-03 18:00:00
0.9991,0.9992,0.9989,0.9991,799924.0,2023-01-03 19:00:00
0.9991,0.9991,0.9988,0.999,355386.0,2023-01-03 20:00:00
0.9989,0.9995,0.9989,0.9995,472289.0,2023-01-03 21:00:00
0.9995,0.9995,0.999,0.9993,445811.0,2023-01-03 22:00:00
0.9993,0.9995,0.9991,0.9993,492992.0,2023-01-03 23:00:00
0.9993,0.9997,0.9993,0.9997,653832.0,2023-01-04 00:00:00
0.9997,0.9998,0.9994,0.9998,753521.0,2023-01-04 01:00:00
0.9996,0.9998,0.9995,0.9997,244929.0,2023-01-04 02:00:00
0.9996,0.9998,0.9991,0.9993,425094.0,2023-01-04 03:00:00
0.9992,0.9994,0.9991,0.9992,355892.0,2023-01-04 04:00:00
0.9992,0.9994,0.999,0.9991,284691.0,2023-01-04 05:00:00
0.9991,0.9994,0.9984,0.9993,1050229.0,2023-01-04 06:00:00
0.9993,0.9994,0.9991,0.9991,252690.0,2023-01-04 07:00:00
0.9991,0.9994,0.9991,0.9993,131950.0,2023-01-04 08:00:00
0.9993,0.9993,0.999,0.9992,207232.0,2023-01-04 09:00:00
0.9992,0.9992,0.9988,0.999,340704.0,2023-01-04 10:00:00
