Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
1.94,1.965,1.914,1.946,137195.1,2023-01-01 00:00:00
1.944,1.989,1.923,1.945,256456.2,2023-01-01 01:00:00
1.948,1.961,1.884,1.902,263049.7,2023-01-01 02:00:00
1.906,1.925,1.889,1.912,115908.3,2023-01-01 03:00:00
1.912,1.93,1.889,1.894,126585.4,2023-01-01 04:00:00
1.895,1.898,1.84,1.865,175014.7,2023-01-01 05:00:00
1.866,1.869,1.836,1.842,55812.3,2023-01-01 06:00:00
1.838,1.84,1.781,1.796,213437.4,2023-01-01 07:00:00
1.794,1.837,1.792,1.815,71788.8,2023-01-01 08:00:00
1.817,1.892,1.817,1.874,360020.3,2023-01-01 09:00:00
1.872,1.948,1.863,1.907,158786.0,2023-01-01 10:00:00
1.909,1.919,1.872,1.89,157288.9,2023-01-01 11:00:00
1.891,1.907,1.867,1.88,122294.6,2023-01-01 12:00:00
1.88,1.944,1.877,1.938,188498.9,2023-01-01 13:00:00
1.936,1.95,1.921,1.935,177532.8,2023-01-01 14:00:00
1.935,1.955,1.924,1.927,171666.3,2023-01-01 15:00:00
1.928,1.939,1.91,1.911,160945.6,2023-01-01 16:00:00
1.91,1.927,1.904,1.924,88419.3,2023-01-01 17:00:00
1.921,1.943,1.911,1.926,86883.9,2023-01-01 18:00:00
1.926,1.939,1.911,1.931,82602.9,2023-01-01 19:00:00
1.932,1.951,1.916,1.939,91510.2,2023-01-01 20:00:00
1.936,1.94,1.891,1.924,134056.6,2023-01-01 21:00:00
1.924,2.04,1.92,2.028,475266.1,2023-01-01 22:00:00
2.026,2.088,1.999,2.073,1026476.5,2023-01-01 23:00:00
2.072,2.078,1.991,1.997,210467.4,2023-01-02 00:00:00
1.998,2.015,1.915,1.969,312378.7,2023-01-02 01:00:00
1.967,1.987,1.924,1.969,223034.6,2023-01-02 02:00:00
1.969,2.004,1.962,1.985,202180.6,2023-01-02 03:00:00
1.983,1.989,1.874,1.945,292588.6,2023-01-02 04:00:00
1.948,1.986,1.907,1.955,245662.3,2023-01-02 05:00:00
1.955,1.998,1.919,1.996,213331.8,2023-01-02 06:00:00
1.997,2.104,1.993,2.067,552039.1,2023-01-02 07:00:00
2.067,2.071,2.024,2.03,205762.1,2023-01-02 08:00:00
2.03,2.103,2.011,2.079,130074.0,2023-01-02 09:00:00
2.08,2.099,2.054,2.076,77471.8,2023-01-02 10:00:00
2.076,2.118,2.07,2.092,122758.1,2023-01-02 11:00:00
2.089,2.095,2.056,2.067,107627.8,2023-01-02 12:00:00
2.072,2.076,2.044,2.075,185243.2,2023-01-02 13:00:00
2.075,2.106,2.045,2.045,132484.6,2023-01-02 14:00:00
2.048,2.052,2.01,2.025,201649.0,2023-01-02 15:00:00
2.025,2.029,1.993,2.026,122243.0,2023-01-02 16:00:00
2.025,2.039,1.998,2.016,125207.9,2023-01-02 17:00:00
2.013,2.038,1.968,1.974,80591.1,2023-01-02 18:00:00
1.973,2.109,1.97,2.078,289168.2,2023-01-02 19:00:00
2.076,2.124,2.053,2.105,221138.7,2023-01-02 20:00:00
2.105,2.117,2.067,2.079,244238.6,2023-01-02 21:00:00
2.08,2.176,2.075,2.159,268245.8,2023-01-02 22:00:00
2.16,2.196,2.16,2.171,144549.2,2023-01-02 23:00:00
2.168,2.178,2.155,2.174,117867.0,2023-01-03 00:00:00
2.172,2.197,2.169,2.177,121149.1,2023-01-03 01:00:00
2.177,2.199,2.155,2.159,145678.9,2023-01-03 02:00:00
2.161,2.165,2.14,2.144,92358.8,2023-01-03 03:00:00
2.146,2.179,2.141,2.141,130514.3,2023-01-03 04:00:00
2.141,2.171,2.123,2.137,94916.7,2023-01-03 05:00:00
2.14,2.14,2.109,2.12,72182.2,2023-01-03 06:00:00
2.119,2.123,2.101,2.112,38341.6,2023-01-03 07:00:00
2.111,2.134,2.103,2.111,39020.0,2023-01-03 08:00:00
2.11,2.136,2.108,2.128,77596.9,2023-01-03 09:00:00
2.128,2.144,2.115,2.12,26479.1,2023-01-03 10:00:00
2.116,2.117,2.096,2.096,48374.2,2023-01-03 11:00:00
2.096,2.118,2.096,2.104,87742.3,2023-01-03 12:00:00
2.104,2.107,2.078,2.094,59548.6,2023-01-03 13:00:00
2.092,2.095,2.075,2.079,62973.3,2023-01-03 14:00:00
2.081,2.09,2.07,2.072,110824.8,2023-01-03 15:00:00
2.072,2.093,2.063,2.08,118071.2,2023-01-03 16:00:00
2.079,2.107,2.072,2.093,113819.3,2023-01-03 17:00:00
2.094,2.118,2.088,2.109,50572.0,2023-01-03 18:00:00
2.108,2.113,2.101,2.103,34189.6,2023-01-03 19:00:00
2.103,2.115,2.098,2.104,72791.0,2023-01-03 20:00:00
2.103,2.11,2.099,2.105,45701.7,2023-01-03 21:00:00
2.105,2.111,2.078,2.084,138846.8,2023-01-03 22:00:00
2.085,2.088,2.068,2.076,80583.4,2023-01-03 23:00:00
2.075,2.1,2.075,2.097,74028.5,2023-01-04 00:00:00
2.098,2.104,2.08,2.08,58207.3,2023-01-04 01:00:00
2.08,2.086,2.071,2.079,56970.1,2023-01-04 02:00:00
2.08,2.095,2.08,2.085,19651.2,2023-01-04 03:00:00
2.084,2.086,2.068,2.07,27463.6,2023-01-04 04:00:00
2.067,2.092,2.063,2.066,41848.5,2023-01-04 05:00:00
2.067,2.09,2.064,2.087,40673.3,2023-01-04 06:00:00
2.086,2.095,2.06,2.062,37691.1,2023-01-04 07:00:00
2.06,2.07,2.053,2.066,35536.3,2023-01-04 08:00:00
2.066,2.078,2.066,2.075,15303.7,2023-01-04 09:00:00
2.072,2.073,2.043,2.043,67967.9,2023-01-04 10:00:00
2.047,2.05,2.028,2.033,90863.4,2023-01-04 11:00:00
2.031,2.046,2.023,2.042,30287.3,2023-01-04 12:00:00
2.042,2.054,2.037,2.052,46533.4,2023-01-04 13:00:00
2.051,2.052,2.014,2.014,80112.7,2023-01-04 14:00:00
2.014,2.04,1.999,2.019,106295.5,2023-01-04 15:00:00
2.02,2.04,2.019,2.027,33153.9,2023-01-04 16:00:00
2.028,2.039,2.019,2.035,37027.8,2023-01-04 17:00:00
2.033,2.055,2.024,2.052,57010.9,2023-01-04 18:00:00
2.051,2.098,2.049,2.075,161766.3,2023-01-04 19:00:00
2.073,2.074,2.043,2.043,59076.6,2023-01-04 20:00:00
2.044,2.056,2.031,2.052,90618.9,2023-01-04 21:00:00
2.054,2.057,2.031,2.036,24922.5,2023-01-04 22:00:00
2.036,2.061,2.027,2.054,311780.7,2023-01-04 23:00:00
2.054,2.063,2.034,2.034,33527.8,2023-01-05 00:00:00
2.037,2.04,2.02,2.036,107025.8,2023-01-05 01:00:00
2.037,2.044,2.032,2.036,46386.2,2023-01-05 02:00:00
2.036,2.059,2.032,2.051,79962.4,2023-01-05 03:00:00
2.051,2.057,2.046,2.056,30295.7,2023-01-05 04:00:00
2.056,2.063,2.05,2.057,68115.0,2023-01-05 05:00:00
2.056,2.056,2.005,2.009,72255.1,2023-01-05 06:00:00
2.009,2.024,1.982,1.99,68271.1,2023-01-05 07:00:00
1.987,2.002,1.974,1.983,35615.7,2023-01-05 08:00:00
1.983,1.992,1.955,1.973,96718.1,2023-01-05 09:00:00
1.972,1.983,1.956,1.976,28060.1,2023-01-05 10:00:00
1.977,1.987,1.973,1.974,21104.2,2023-01-05 11:00:00
1.972,1.972,1.935,1.942,76303.0,2023-01-05 12:00:00
1.94,1.958,1.908,1.944,213499.1,2023-01-05 13:00:00
1.942,1.943,1.881,1.883,258648.4,2023-01-05 14:00:00
1.883,1.906,1.857,1.881,193244.8,2023-01-05 15:00:00
1.881,1.901,1.879,1.894,107004.4,2023-01-05 16:00:00
1.893,1.893,1.831,1.833,192527.0,2023-01-05 17:00:00
1.834,1.859,1.807,1.852,262259.4,2023-01-05 18:00:00
1.852,1.909,1.841,1.888,234069.7,2023-01-05 19:00:00
1.887,1.904,1.873,1.896,173253.2,2023-01-05 20:00:00
1.897,1.9,1.831,1.841,238753.0,2023-01-05 21:00:00
1.842,1.854,1.824,1.836,109403.5,2023-01-05 22:00:00
1.836,1.864,1.835,1.841,68194.4,2023-01-05 23:00:00
1.842,1.869,1.842,1.849,39682.3,2023-01-06 00:00:00
1.848,1.851,1.826,1.826,101341.0,2023-01-06 01:00:00
1.831,1.832,1.702,1.721,646500.8,2023-01-06 02:00:00
1.718,1.758,1.3,1.69,1431058.1,2023-01-06 03:00:00
1.689,1.713,1.545,1.707,793672.6,2023-01-06 04:00:00
1.707,1.735,1.689,1.713,129555.9,2023-01-06 05:00:00
1.708,1.735,1.66,1.717,170568.1,2023-01-06 06:00:00
1.717,1.73,1.683,1.716,56503.1,2023-01-06 07:00:00
1.715,1.715,1.645,1.645,90315.0,2023-01-06 08:00:00
1.65,1.686,1.605,1.683,185301.7,2023-01-06 09:00:00
1.683,1.707,1.645,1.706,63012.6,2023-01-06 10:00:00
1.704,1.727,1.694,1.727,53501.0,2023-01-06 11:00:00
1.726,1.76,1.718,1.756,133097.9,2023-01-06 12:00:00
1.756,1.756,1.731,1.746,57205.4,2023-01-06 13:00:00
1.746,1.753,1.718,1.749,89706.0,2023-01-06 14:00:00
1.75,1.775,1.745,1.765,126039.7,2023-01-06 15:00:00
1.774,1.802,1.771,1.795,143632.3,2023-01-06 16:00:00
1.798,1.798,1.758,1.768,67618.7,2023-01-06 17:00:00
1.771,1.771,1.679,1.685,195470.6,2023-01-06 18:00:00
1.688,1.725,1.687,1.691,102453.5,2023-01-06 19:00:00
1.694,1.734,1.684,1.693,152764.5,2023-01-06 20:00:00
1.692,1.7,1.6,1.603,287540.2,2023-01-06 21:00:00
1.603,1.667,1.571,1.655,491339.1,2023-01-06 22:00:00
1.652,1.652,1.58,1.58,166865.5,2023-01-06 23:00:00
1.583,1.641,1.566,1.629,248647.1,2023-01-07 00:00:00
1.63,1.673,1.624,1.673,86089.5,2023-01-07 01:00:00
1.671,1.694,1.661,1.68,146261.9,2023-01-07 02:00:00
1.68,1.71,1.678,1.69,320763.1,2023-01-07 03:00:00
1.693,1.708,1.685,1.697,168172.8,2023-01-07 04:00:00
1.697,1.707,1.68,1.683,37889.9,2023-01-07 05:00:00
1.683,1.685,1.645,1.669,103797.6,2023-01-07 06:00:00
1.67,1.672,1.629,1.633,56533.0,2023-01-07 07:00:00
1.633,1.702,1.629,1.693,91021.8,2023-01-07 08:00:00
1.692,1.71,1.689,1.704,22808.2,2023-01-07 09:00:00
1.708,1.715,1.692,1.704,19161.1,2023-01-07 10:00:00
1.71,1.71,1.693,1.704,22999.3,2023-01-07 11:00:00
1.704,1.715,1.7,1.711,54939.9,2023-01-07 12:00:00
1.713,1.725,1.693,1.695,96164.8,2023-01-07 13:00:00
