Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
8.084,8.4,8.031,8.197,9488.44,2023-01-01 00:00:00
8.185,8.314,8.115,8.173,9607.8,2023-01-01 01:00:00
8.166,8.258,7.956,8.064,14033.7,2023-01-01 02:00:00
8.049,8.216,7.969,8.211,5711.15,2023-01-01 03:00:00
8.22,8.44,8.167,8.238,12066.47,2023-01-01 04:00:00
8.223,8.232,7.976,8.094,7330.04,2023-01-01 05:00:00
8.103,8.198,7.934,7.961,3755.54,2023-01-01 06:00:00
7.968,7.968,7.641,7.709,57354.0,2023-01-01 07:00:00
7.717,8.035,7.717,7.907,6756.61,2023-01-01 08:00:00
7.899,8.057,7.826,7.868,4764.94,2023-01-01 09:00:00
7.887,8.286,7.84,8.116,6456.22,2023-01-01 10:00:00
8.102,8.134,7.921,7.994,1804.54,2023-01-01 11:00:00
8.0,8.166,7.962,8.109,5303.38,2023-01-01 12:00:00
8.107,8.219,8.086,8.114,2796.04,2023-01-01 13:00:00
8.111,8.142,8.048,8.056,3945.41,2023-01-01 14:00:00
8.058,8.073,7.97,7.977,6084.97,2023-01-01 15:00:00
7.982,7.989,7.902,7.952,2556.03,2023-01-01 16:00:00
7.956,8.051,7.911,7.995,2834.95,2023-01-01 17:00:00
7.993,8.016,7.879,7.946,4694.86,2023-01-01 18:00:00
7.929,8.0,7.899,7.924,5984.99,2023-01-01 19:00:00
7.93,8.0,7.859,7.88,3138.61,2023-01-01 20:00:00
7.882,8.007,7.825,7.991,4117.66,2023-01-01 21:00:00
7.997,8.073,7.916,8.014,5042.02,2023-01-01 22:00:00
8.02,8.094,7.991,8.021,3349.16,2023-01-01 23:00:00
8.034,8.047,7.909,7.916,2690.65,2023-01-02 00:00:00
7.913,7.935,7.789,7.831,9128.86,2023-01-02 01:00:00
7.831,7.854,7.69,7.772,15056.43,2023-01-02 02:00:00
7.773,7.956,7.713,7.943,13032.23,2023-01-02 03:00:00
7.936,7.95,7.45,7.765,23083.04,2023-01-02 04:00:00
7.727,7.819,7.615,7.724,8137.97,2023-01-02 05:00:00
7.705,7.898,7.657,7.881,8786.9,2023-01-02 06:00:00
7.871,7.999,7.851,7.923,4669.04,2023-01-02 07:00:00
7.924,7.957,7.845,7.932,3439.55,2023-01-02 08:00:00
7.917,7.925,7.839,7.919,1924.43,2023-01-02 09:00:00
7.916,8.025,7.9,8.005,1959.87,2023-01-02 10:00:00
7.99,8.008,7.941,7.956,2541.96,2023-01-02 11:00:00
7.942,8.0,7.896,7.938,4481.93,2023-01-02 12:00:00
7.943,7.963,7.886,7.93,6295.63,2023-01-02 13:00:00
7.926,8.046,7.926,7.936,5992.99,2023-01-02 14:00:00
7.928,7.93,7.74,7.84,15375.38,2023-01-02 15:00:00
7.867,7.875,7.682,7.811,6679.78,2023-01-02 16:00:00
7.807,7.848,7.75,7.797,1863.01,2023-01-02 17:00:00
7.798,7.926,7.624,7.661,19069.5,2023-01-02 18:00:00
7.654,7.859,7.59,7.791,12641.74,2023-01-02 19:00:00
7.789,8.013,7.722,7.978,14475.82,2023-01-02 20:00:00
7.982,8.16,7.916,8.012,17109.09,2023-01-02 21:00:00
8.006,8.096,7.975,8.017,10541.47,2023-01-02 22:00:00
8.01,8.103,8.006,8.025,7266.09,2023-01-02 23:00:00
8.024,8.089,8.012,8.066,5467.64,2023-01-03 00:00:00
8.064,8.278,8.05,8.268,8100.28,2023-01-03 01:00:00
8.263,8.314,8.147,8.173,9274.42,2023-01-03 02:00:00
8.166,8.232,8.099,8.1,3542.81,2023-01-03 03:00:00
8.108,8.194,8.07,8.162,2183.62,2023-01-03 04:00:00
8.156,8.197,8.047,8.101,2891.4,2023-01-03 05:00:00
8.081,8.094,7.966,7.997,5548.67,2023-01-03 06:00:00
8.003,8.034,7.965,7.978,2311.71,2023-01-03 07:00:00
7.978,8.05,7.947,8.048,1614.97,2023-01-03 08:00:00
8.053,8.072,7.921,8.037,1293.29,2023-01-03 09:00:00
8.039,8.089,7.998,8.064,1569.56,2023-01-03 10:00:00
8.058,8.093,7.995,8.005,1674.11,2023-01-03 11:00:00
7.994,8.086,7.994,8.073,782.99,2023-01-03 12:00:00
8.057,8.063,7.921,7.974,3829.79,2023-01-03 13:00:00
7.973,8.005,7.9,7.911,2267.37,2023-01-03 14:00:00
7.915,7.937,7.857,7.874,6908.19,2023-01-03 15:00:00
7.863,7.892,7.823,7.874,2490.48,2023-01-03 16:00:00
7.88,7.945,7.864,7.908,2559.31,2023-01-03 17:00:00
7.906,7.961,7.898,7.95,663.51,2023-01-03 18:00:00
7.946,7.994,7.94,7.987,2495.64,2023-01-03 19:00:00
7.984,8.007,7.915,7.979,2013.98,2023-01-03 20:00:00
7.973,7.994,7.931,7.957,2637.97,2023-01-03 21:00:00
7.966,7.986,7.833,7.866,7092.01,2023-01-03 22:00:00
7.866,7.871,7.711,7.758,7987.59,2023-01-03 23:00:00
7.774,7.866,7.774,7.863,3215.12,2023-01-04 00:00:00
7.872,7.895,7.801,7.801,643.37,2023-01-04 01:00:00
7.801,7.865,7.8,7.85,1645.43,2023-01-04 02:00:00
7.838,7.866,7.819,7.828,421.03,2023-01-04 03:00:00
7.815,7.831,7.797,7.82,12085.98,2023-01-04 04:00:00
7.816,7.873,7.816,7.841,1079.58,2023-01-04 05:00:00
7.825,7.95,7.799,7.933,1487.06,2023-01-04 06:00:00
7.927,7.956,7.846,7.85,1171.39,2023-01-04 07:00:00
7.854,7.868,7.811,7.831,2125.65,2023-01-04 08:00:00
7.845,7.921,7.844,7.844,1274.01,2023-01-04 09:00:00
7.836,7.847,7.751,7.755,7440.25,2023-01-04 10:00:00
7.744,7.764,7.665,7.716,3586.83,2023-01-04 11:00:00
7.719,7.784,7.693,7.784,814.98,2023-01-04 12:00:00
7.791,7.827,7.778,7.778,738.59,2023-01-04 13:00:00
7.773,7.773,7.651,7.651,5398.6,2023-01-04 14:00:00
7.647,7.727,7.585,7.624,3695.86,2023-01-04 15:00:00
7.63,7.704,7.623,7.691,9363.51,2023-01-04 16:00:00
7.688,7.763,7.678,7.734,4470.0,2023-01-04 17:00:00
7.734,7.811,7.666,7.808,3752.79,2023-01-04 18:00:00
7.809,7.862,7.797,7.845,5505.16,2023-01-04 19:00:00
7.845,7.845,7.739,7.739,1159.33,2023-01-04 20:00:00
7.742,7.785,7.686,7.759,7828.41,2023-01-04 21:00:00
7.759,7.783,7.679,7.689,3411.64,2023-01-04 22:00:00
7.7,7.764,7.666,7.757,4184.02,2023-01-04 23:00:00
7.758,7.789,7.723,7.723,1684.32,2023-01-05 00:00:00
7.723,7.774,7.692,7.763,2172.16,2023-01-05 01:00:00
7.766,7.78,7.715,7.715,963.5,2023-01-05 02:00:00
7.718,7.833,7.694,7.819,2805.59,2023-01-05 03:00:00
7.818,7.864,7.787,7.861,2749.64,2023-01-05 04:00:00
7.861,7.899,7.807,7.876,4745.28,2023-01-05 05:00:00
7.854,7.87,7.709,7.735,2053.02,2023-01-05 06:00:00
7.737,7.813,7.66,7.678,1218.39,2023-01-05 07:00:00
7.665,7.726,7.557,7.607,8739.6,2023-01-05 08:00:00
7.603,7.652,7.42,7.52,8228.54,2023-01-05 09:00:00
7.506,7.578,7.447,7.561,4167.29,2023-01-05 10:00:00
7.564,7.601,7.535,7.539,1659.67,2023-01-05 11:00:00
7.541,7.541,7.355,7.38,5131.94,2023-01-05 12:00:00
7.38,7.4,6.853,7.368,29934.69,2023-01-05 13:00:00
7.365,7.365,7.099,7.133,16740.39,2023-01-05 14:00:00
7.14,7.22,7.042,7.115,11913.83,2023-01-05 15:00:00
7.109,7.191,7.108,7.191,6750.0,2023-01-05 16:00:00
7.191,7.191,7.009,7.023,7518.66,2023-01-05 17:00:00
7.02,7.113,6.967,7.107,8496.7,2023-01-05 18:00:00
7.104,7.245,7.061,7.206,8271.46,2023-01-05 19:00:00
7.208,7.301,7.143,7.297,4893.63,2023-01-05 20:00:00
7.29,7.306,7.023,7.064,9082.06,2023-01-05 21:00:00
7.058,7.137,7.035,7.076,4952.99,2023-01-05 22:00:00
7.07,7.122,7.02,7.02,3725.99,2023-01-05 23:00:00
7.011,7.095,7.011,7.048,2421.28,2023-01-06 00:00:00
7.048,7.083,7.003,7.013,2686.78,2023-01-06 01:00:00
7.013,7.15,6.301,6.482,47258.34,2023-01-06 02:00:00
6.471,6.471,5.26,6.145,107411.36,2023-01-06 03:00:00
6.146,6.222,5.592,6.211,34570.24,2023-01-06 04:00:00
6.21,6.327,6.135,6.272,25182.07,2023-01-06 05:00:00
6.271,6.442,6.145,6.358,36391.71,2023-01-06 06:00:00
6.357,6.393,6.236,6.367,16242.02,2023-01-06 07:00:00
6.367,6.367,6.123,6.125,56206.87,2023-01-06 08:00:00
6.123,6.235,5.961,6.215,24403.9,2023-01-06 09:00:00
6.216,6.256,6.068,6.256,16305.48,2023-01-06 10:00:00
6.257,6.345,6.222,6.338,15950.46,2023-01-06 11:00:00
6.335,6.398,6.304,6.362,8768.07,2023-01-06 12:00:00
6.371,6.401,6.27,6.336,10293.61,2023-01-06 13:00:00
6.339,6.384,6.275,6.384,8156.43,2023-01-06 14:00:00
6.379,6.437,6.343,6.371,7837.97,2023-01-06 15:00:00
6.388,6.479,6.383,6.435,8177.12,2023-01-06 16:00:00
6.433,6.435,6.312,6.35,10205.0,2023-01-06 17:00:00
6.355,6.358,6.089,6.121,20016.48,2023-01-06 18:00:00
6.124,6.27,6.123,6.208,11798.12,2023-01-06 19:00:00
6.215,6.4,6.168,6.2,30420.5,2023-01-06 20:00:00
6.203,6.241,5.866,5.87,18794.92,2023-01-06 21:00:00
5.873,6.055,5.821,6.04,26304.21,2023-01-06 22:00:00
6.035,6.035,5.712,5.712,30372.17,2023-01-06 23:00:00
5.716,5.937,5.681,5.894,20914.3,2023-01-07 00:00:00
5.893,6.09,5.888,6.078,6794.67,2023-01-07 01:00:00
6.075,6.145,6.037,6.143,8963.88,2023-01-07 02:00:00
6.142,6.277,6.132,6.183,13184.24,2023-01-07 03:00:00
6.199,6.238,6.17,6.21,4425.86,2023-01-07 04:00:00
6.205,6.25,6.185,6.207,4575.0,2023-01-07 05:00:00
6.202,6.216,6.046,6.119,7616.43,2023-01-07 06:00:00
6.124,6.125,5.952,5.969,11035.86,2023-01-07 07:00:00
5.971,6.224,5.955,6.178,6629.96,2023-01-07 08:00:00
6.172,6.234,6.168,6.172,6128.91,2023-01-07 09:00:00
6.19,6.22,6.163,6.214,2933.22,2023-01-07 10:00:00
6.207,6.216,6.146,6.186,3207.48,2023-01-07 11:00:00
6.175,6.212,6.156,6.189,3830.28,2023-01-07 12:00:00
6.195,6.219,6.11,6.116,6185.92,2023-01-07 13:00:00
6.123,6.321,6.122,6.278,10557.26,2023-01-07 14:00:00
6.278,6.294,6.222,6.274,4128.41,2023-01-07 15:00:00
6.272,6.291,6.23,6.284,7146.54,2023-01-07 16:00:00
6.282,6.359,6.271,6.312,5902.8,2023-01-07 17:00:00
6.321,6.427,6.313,6.384,8509.42,2023-01-07 18:00:00
6.396,6.526,6.354,6.466,14409.42,2023-01-07 19:00:00
6.478,6.59,6.392,6.547,14666.14,2023-01-07 20:00:00
6.548,6.729,6.54,6.681,14556.18,2023-01-07 21:00:00
6.684,6.715,6.576,6.582,18363.65,2023-01-07 22:00:00
6.579,6.625,6.507,6.52,6538.88,2023-01-07 23:00:00
6.52,6.597,6.52,6.57,7871.96,2023-01-08 00:00:00
6.582,6.635,6.572,6.631,2029.97,2023-01-08 01:00:00
6.637,6.667,6.624,6.653,3111.97,2023-01-08 02:00:00
6.647,6.657,6.623,6.651,6185.04,2023-01-08 03:00:00
6.653,6.776,6.653,6.751,3272.5,2023-01-08 04:00:00
6.754,6.795,6.677,6.693,3280.73,2023-01-08 05:00:00
6.692,6.727,6.639,6.661,2259.68,2023-01-08 06:00:00
6.658,6.766,6.652,6.674,2503.65,2023-01-08 07:00:00
6.693,6.93,6.687,6.926,7302.96,2023-01-08 08:00:00
6.905,7.027,6.866,6.999,6340.24,2023-01-08 09:00:00
6.999,7.141,6.997,7.021,7293.04,2023-01-08 10:00:00
7.02,7.16,7.01,7.054,3459.42,2023-01-08 11:00:00
7.047,7.063,6.97,6.98,3441.41,2023-01-08 12:00:00
6.988,6.995,6.925,6.935,4353.36,2023-01-08 13:00:00
6.949,7.001,6.947,6.976,3547.06,2023-01-08 14:00:00
6.991,7.039,6.91,6.91,4300.78,2023-01-08 15:00:00
6.913,6.913,6.819,6.844,5459.72,2023-01-08 16:00:00
6.844,6.844,6.744,6.794,10973.75,2023-01-08 17:00:00
6.799,6.907,6.799,6.902,5793.84,2023-01-08 18:00:00
6.906,6.974,6.785,6.844,11749.98,2023-01-08 19:00:00
6.839,6.92,6.796,6.905,4958.35,2023-01-08 20:00:00
6.906,6.932,6.814,6.873,4304.67,2023-01-08 21:00:00
6.884,6.969,6.845,6.914,5251.34,2023-01-08 22:00:00
6.909,6.965,6.9,6.928,4936.56,2023-01-08 23:00:00
6.93,6.933,6.84,6.861,3008.92,2023-01-09 00:00:00
6.855,6.902,6.656,6.671,10949.76,2023-01-09 01:00:00
6.671,6.825,6.671,6.803,14226.32,2023-01-09 02:00:00
6.817,6.817,6.715,6.722,3488.13,2023-01-09 03:00:00
6.714,6.722,6.619,6.702,6439.87,2023-01-09 04:00:00
6.7,6.744,6.667,6.743,1886.75,2023-01-09 05:00:00
6.735,6.799,6.7,6.732,1857.44,2023-01-09 06:00:00
6.732,6.732,6.574,6.65,4385.55,2023-01-09 07:00:00
6.656,6.826,6.643,6.753,3180.94,2023-01-09 08:00:00
6.75,6.79,6.727,6.747,5391.35,2023-01-09 09:00:00
6.742,6.749,6.615,6.661,1637.53,2023-01-09 10:00:00
6.666,6.735,6.646,6.649,1385.08,2023-01-09 11:00:00
6.64,6.692,6.568,6.569,5080.3,2023-01-09 12:00:00
6.569,6.645,6.45,6.594,17797.56,2023-01-09 13:00:00
6.608,6.664,6.583,6.643,2861.74,2023-01-09 14:00:00
6.655,6.662,6.581,6.632,2363.87,2023-01-09 15:00:00
6.622,6.687,6.583,6.679,1806.04,2023-01-09 16:00:00
6.683,6.784,6.683,6.717,5394.77,2023-01-09 17:00:00
6.72,6.814,6.72,6.783,3970.6,2023-01-09 18:00:00
6.79,6.79,6.655,6.729,5704.48,2023-01-09 19:00:00
6.726,6.792,6.675,6.79,16051.46,2023-01-09 20:00:00
6.804,6.852,6.598,6.611,5046.71,2023-01-09 21:00:00
6.601,6.778,6.598,6.753,5017.83,2023-01-09 22:00:00
6.741,6.765,6.677,6.74,2547.66,2023-01-09 23:00:00
6.726,6.778,6.69,6.705,1560.64,2023-01-10 00:00:00
6.719,6.735,6.685,6.723,1628.57,2023-01-10 01:00:00
6.725,6.824,6.677,6.763,9802.43,2023-01-10 02:00:00
6.762,6.763,6.657,6.665,1705.19,2023-01-10 03:00:00
6.66,6.672,6.601,6.627,2563.36,2023-01-10 04:00:00
6.623,6.753,6.623,6.75,3546.88,2023-01-10 05:00:00
6.741,6.794,6.681,6.721,1440.04,2023-01-10 06:00:00
6.723,6.846,6.723,6.785,2061.24,2023-01-10 07:00:00
6.78,6.781,6.738,6.759,1178.96,2023-01-10 08:00:00
6.751,6.768,6.69,6.717,3724.87,2023-01-10 09:00:00
6.713,6.729,6.667,6.711,2776.42,2023-01-10 10:00:00
6.709,6.776,6.698,6.758,1135.83,2023-01-10 11:00:00
6.758,6.815,6.751,6.78,1244.74,2023-01-10 12:00:00
6.773,6.78,6.733,6.741,1321.68,2023-01-10 13:00:00
6.773,6.799,6.755,6.775,3534.07,2023-01-10 14:00:00
6.767,6.771,6.708,6.734,3445.66,2023-01-10 15:00:00
6.715,6.719,6.668,6.695,2983.81,2023-01-10 16:00:00
6.695,6.705,6.637,6.649,5041.46,2023-01-10 17:00:00
6.644,6.663,6.54,6.545,53392.85,2023-01-10 18:00:00
6.545,6.558,6.384,6.447,32721.79,2023-01-10 19:00:00
6.449,6.551,6.448,6.526,7500.56,2023-01-10 20:00:00
6.521,6.54,6.483,6.508,7643.55,2023-01-10 21:00:00
6.495,6.506,6.409,6.492,11229.84,2023-01-10 22:00:00
6.473,6.485,6.356,6.369,10553.89,2023-01-10 23:00:00
6.361,6.394,6.283,6.295,26383.28,2023-01-11 00:00:00
6.302,6.357,6.297,6.349,5655.11,2023-01-11 01:00:00
6.348,6.379,6.264,6.279,1803.24,2023-01-11 02:00:00
6.3,6.37,6.296,6.355,2083.04,2023-01-11 03:00:00
6.368,6.414,6.359,6.4,2522.84,2023-01-11 04:00:00
6.41,6.447,6.395,6.435,1843.03,2023-01-11 05:00:00
6.426,6.434,6.332,6.383,6284.5,2023-01-11 06:00:00
6.383,6.503,6.383,6.489,1771.14,2023-01-11 07:00:00
6.487,6.52,6.467,6.475,1953.56,2023-01-11 08:00:00
6.477,6.484,6.414,6.414,1859.91,2023-01-11 09:00:00
6.412,6.525,6.412,6.477,3369.55,2023-01-11 10:00:00
6.481,6.533,6.469,6.474,5484.11,2023-01-11 11:00:00
6.479,6.484,6.43,6.435,1111.9,2023-01-11 12:00:00
6.437,6.451,6.318,6.372,5875.0,2023-01-11 13:00:00
6.374,6.525,6.374,6.525,3406.3,2023-01-11 14:00:00
6.517,6.531,6.467,6.517,1616.21,2023-01-11 15:00:00
6.506,6.541,6.472,6.477,2021.93,2023-01-11 16:00:00
6.465,6.516,6.465,6.504,1327.5,2023-01-11 17:00:00
6.508,6.579,6.48,6.567,9180.21,2023-01-11 18:00:00
6.563,6.677,6.515,6.629,12806.61,2023-01-11 19:00:00
6.63,6.786,6.63,6.761,10083.81,2023-01-11 20:00:00
6.767,6.773,6.669,6.679,3317.53,2023-01-11 21:00:00
6.68,6.697,6.658,6.67,4242.52,2023-01-11 22:00:00
6.655,6.722,6.608,6.618,13082.39,2023-01-11 23:00:00
6.616,6.63,6.593,6.614,2893.99,2023-01-12 00:00:00
6.636,6.665,6.628,6.628,3193.82,2023-01-12 01:00:00
6.632,6.641,6.574,6.582,2284.16,2023-01-12 02:00:00
6.58,6.587,6.441,6.455,11694.05,2023-01-12 03:00:00
6.446,6.593,6.412,6.583,3938.68,2023-01-12 04:00:00
6.583,6.76,6.574,6.731,12367.31,2023-01-12 05:00:00
6.748,6.904,6.7,6.891,20893.61,2023-01-12 06:00:00
6.886,6.949,6.834,6.84,8769.85,2023-01-12 07:00:00
6.84,6.84,6.726,6.738,4225.41,2023-01-12 08:00:00
6.739,6.755,6.622,6.663,2043.55,2023-01-12 09:00:00
6.672,6.732,6.647,6.729,5158.26,2023-01-12 10:00:00
6.727,6.754,6.696,6.746,2823.99,2023-01-12 11:00:00
6.73,6.757,6.641,6.662,5762.43,2023-01-12 12:00:00
6.661,6.718,6.661,6.685,2320.56,2023-01-12 13:00:00
6.691,6.694,6.602,6.613,3057.76,2023-01-12 14:00:00
6.613,6.643,6.578,6.58,10461.15,2023-01-12 15:00:00
6.588,6.599,6.493,6.586,11029.07,2023-01-12 16:00:00
6.581,6.588,6.47,6.492,4803.53,2023-01-12 17:00:00
6.492,6.529,6.441,6.478,43320.74,2023-01-12 18:00:00
6.482,6.549,6.45,6.468,4476.12,2023-01-12 19:00:00
6.476,6.573,6.463,6.473,3572.92,2023-01-12 20:00:00
6.477,6.579,6.458,6.553,3723.24,2023-01-12 21:00:00
6.557,6.773,6.557,6.733,15313.2,2023-01-12 22:00:00
6.746,6.831,6.697,6.728,27061.24,2023-01-12 23:00:00
6.73,6.804,6.69,6.804,5526.41,2023-01-13 00:00:00
6.805,6.805,6.639,6.68,4708.08,2023-01-13 01:00:00
6.703,6.722,6.619,6.635,7362.06,2023-01-13 02:00:00
6.651,6.694,6.626,6.688,2212.71,2023-01-13 03:00:00
6.686,6.696,6.585,6.611,18712.69,2023-01-13 04:00:00
6.616,6.637,6.532,6.539,2865.4,2023-01-13 05:00:00
6.537,6.537,6.397,6.414,7746.77,2023-01-13 06:00:00
6.407,6.513,6.403,6.499,2461.8,2023-01-13 07:00:00
6.518,6.54,6.49,6.504,1706.79,2023-01-13 08:00:00
6.514,6.531,6.496,6.52,596.52,2023-01-13 09:00:00
6.508,6.508,6.401,6.441,1166.52,2023-01-13 10:00:00
6.455,6.482,6.418,6.471,2159.08,2023-01-13 11:00:00
6.47,6.484,6.408,6.44,104.16,2023-01-13 12:00:00
6.444,6.474,6.4,6.401,774.19,2023-01-13 13:00:00
6.422,6.48,6.414,6.44,2130.65,2023-01-13 14:00:00
6.436,6.574,6.427,6.574,2509.69,2023-01-13 15:00:00
6.569,6.633,6.547,6.596,1103.77,2023-01-13 16:00:00
6.566,6.646,6.566,6.585,1093.04,2023-01-13 17:00:00
6.6,6.604,6.54,6.578,368.23,2023-01-13 18:00:00
6.563,6.647,6.527,6.588,4499.45,2023-01-13 19:00:00
6.595,6.598,6.446,6.541,2988.17,2023-01-13 20:00:00
6.535,6.535,6.32,6.346,4764.28,2023-01-13 21:00:00
6.347,6.437,6.299,6.403,2041.5,2023-01-13 22:00:00
6.441,6.599,6.435,6.569,905.11,2023-01-13 23:00:00
