Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.00023007,0.00023411,0.00022967,0.00023247,367446305.0,2023-01-01 00:00:00
0.00023237,0.00023536,0.00023223,0.00023382,413001162.0,2023-01-01 01:00:00
0.00023371,0.00023566,0.00022913,0.00023267,547669297.0,2023-01-01 02:00:00
0.00023286,0.00023674,0.00023188,0.00023393,1114757895.0,2023-01-01 03:00:00
0.0002339,0.00023551,0.00023165,0.00023213,276761416.0,2023-01-01 04:00:00
0.00023223,0.00024175,0.00022855,0.00023672,583458418.0,2023-01-01 05:00:00
0.00023682,0.00023715,0.00022944,0.00022993,440939964.0,2023-01-01 06:00:00
0.00022955,0.00022993,0.00022,0.00022705,601115956.0,2023-01-01 07:00:00
0.00022624,0.00023543,0.00022564,0.00023161,256916154.0,2023-01-01 08:00:00
0.00023244,0.00023817,0.00022947,0.00023063,897420607.0,2023-01-01 09:00:00
0.00023063,0.00024015,0.00023023,0.00023948,616483274.0,2023-01-01 10:00:00
0.00023928,0.00024036,0.00023333,0.0002353,850555714.0,2023-01-01 11:00:00
0.00023584,0.00023646,0.00023037,0.00023294,243996714.0,2023-01-01 12:00:00
0.00023288,0.00023628,0.00023288,0.00023564,771548324.0,2023-01-01 13:00:00
0.00023564,0.0002365,0.0002334,0.00023396,298221974.0,2023-01-01 14:00:00
0.00023355,0.00023552,0.00023243,0.00023542,450479559.0,2023-01-01 15:00:00
0.00023531,0.00023601,0.00023393,0.0002349,240719349.0,2023-01-01 16:00:00
0.00023489,0.00023748,0.00023454,0.00023748,405886428.0,2023-01-01 17:00:00
0.00023747,0.00024012,0.00023738,0.00023816,1112110391.0,2023-01-01 18:00:00
0.00023817,0.00024136,0.00023718,0.00024084,964919203.0,2023-01-01 19:00:00
0.00024088,0.00024249,0.00023959,0.00024019,626750612.0,2023-01-01 20:00:00
0.00024029,0.0002418,0.00023535,0.00023854,657300764.0,2023-01-01 21:00:00
0.00023829,0.00023997,0.00023568,0.00023822,306572070.0,2023-01-01 22:00:00
0.00023824,0.00024014,0.0002371,0.0002398,512812759.0,2023-01-01 23:00:00
0.00023975,0.00024015,0.00023599,0.00023625,314734288.0,2023-01-02 00:00:00
0.00023599,0.00023888,0.00023073,0.00023192,186713568.0,2023-01-02 01:00:00
0.00023121,0.00023373,0.00022816,0.00023366,1751692060.0,2023-01-02 02:00:00
0.00023366,0.00023477,0.00023289,0.00023413,316690957.0,2023-01-02 03:00:00
0.0002341,0.00023571,0.00022358,0.00023191,1099185367.0,2023-01-02 04:00:00
0.00023168,0.00023471,0.00022768,0.00023159,162759280.0,2023-01-02 05:00:00
0.0002316,0.00023823,0.00022898,0.0002379,309088711.0,2023-01-02 06:00:00
0.00023784,0.00024,0.00023643,0.00023857,412692792.0,2023-01-02 07:00:00
0.00023856,0.0002399,0.00023695,0.0002399,300459891.0,2023-01-02 08:00:00
0.00023994,0.00024107,0.00023827,0.00024088,840686528.0,2023-01-02 09:00:00
0.00024098,0.00024168,0.00023835,0.00023835,128852825.0,2023-01-02 10:00:00
0.00023827,0.00023977,0.00023718,0.00023728,725385573.0,2023-01-02 11:00:00
0.00023728,0.00023875,0.00023624,0.00023754,794610057.0,2023-01-02 12:00:00
0.00023745,0.00023818,0.00023624,0.00023767,970232537.0,2023-01-02 13:00:00
0.00023764,0.0002391,0.00023515,0.00023543,594803390.0,2023-01-02 14:00:00
0.00023563,0.00023581,0.00023018,0.00023198,931289248.0,2023-01-02 15:00:00
0.00023152,0.00023226,0.00022844,0.00023126,250762721.0,2023-01-02 16:00:00
0.00023105,0.00023234,0.0002294,0.0002302,270407302.0,2023-01-02 17:00:00
0.00023006,0.00023183,0.00022576,0.00022625,281672038.0,2023-01-02 18:00:00
0.00022621,0.00023028,0.00022507,0.00022878,325820928.0,2023-01-02 19:00:00
0.0002289,0.00023135,0.00022801,0.00023098,175360762.0,2023-01-02 20:00:00
0.00023077,0.0002337,0.00023024,0.0002319,255650339.0,2023-01-02 21:00:00
0.00023199,0.00023318,0.00023113,0.00023234,103458355.0,2023-01-02 22:00:00
0.00023243,0.00023431,0.00023089,0.00023292,294087227.0,2023-01-02 23:00:00
0.00023319,0.00023496,0.00023275,0.00023383,153711940.0,2023-01-03 00:00:00
0.00023387,0.00023753,0.00023356,0.00023735,512948583.0,2023-01-03 01:00:00
0.00023735,0.00024064,0.00023686,0.00023751,1355480283.0,2023-01-03 02:00:00
0.00023754,0.000239,0.00023661,0.00023714,277221111.0,2023-01-03 03:00:00
0.00023704,0.00023831,0.00023692,0.00023823,225778059.0,2023-01-03 04:00:00
0.0002375,0.00023821,0.00023506,0.00023656,200615529.0,2023-01-03 05:00:00
0.00023652,0.00023919,0.00023594,0.00023849,138439707.0,2023-01-03 06:00:00
0.00023826,0.00023918,0.00023587,0.00023676,74257776.0,2023-01-03 07:00:00
0.00023623,0.00023817,0.00023556,0.00023743,34709753.0,2023-01-03 08:00:00
0.0002372,0.0002372,0.00023486,0.00023584,70558355.0,2023-01-03 09:00:00
0.00023566,0.00023688,0.0002349,0.0002349,134606091.0,2023-01-03 10:00:00
0.00023472,0.00023525,0.00023297,0.00023329,73761920.0,2023-01-03 11:00:00
0.00023337,0.00023613,0.00023307,0.00023581,94510441.0,2023-01-03 12:00:00
0.00023561,0.00024022,0.00023525,0.00023946,605725975.0,2023-01-03 13:00:00
0.00023945,0.00024291,0.00023805,0.00024155,475299010.0,2023-01-03 14:00:00
0.0002415,0.00025981,0.00024148,0.00025841,3219398028.0,2023-01-03 15:00:00
0.00025884,0.0002657,0.00025221,0.00026259,2463801170.0,2023-01-03 16:00:00
0.00026281,0.000275,0.0002619,0.00026391,2959451051.0,2023-01-03 17:00:00
0.00026406,0.00026525,0.00025611,0.00025681,1352444604.0,2023-01-03 18:00:00
0.00025684,0.000267,0.00025436,0.00026244,2011824412.0,2023-01-03 19:00:00
0.00026215,0.00026425,0.00025616,0.00026425,1519645636.0,2023-01-03 20:00:00
0.00026428,0.00026493,0.00025946,0.00025999,411371321.0,2023-01-03 21:00:00
0.00026013,0.00026299,0.00025677,0.00026125,1286693280.0,2023-01-03 22:00:00
0.0002613,0.00026793,0.00026015,0.00026749,1752501874.0,2023-01-03 23:00:00
0.00026748,0.00026895,0.00026209,0.0002634,2142602301.0,2023-01-04 00:00:00
0.00026363,0.0002726,0.00026209,0.00027166,1494675317.0,2023-01-04 01:00:00
