Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.06454,0.06665,0.06417,0.06482,6670158.0,2023-01-01 00:00:00
0.0647,0.06602,0.06388,0.06439,4656237.0,2023-01-01 01:00:00
0.06442,0.06455,0.06093,0.06136,11287604.0,2023-01-01 02:00:00
0.06132,0.06259,0.06026,0.06199,7504002.0,2023-01-01 03:00:00
0.06212,0.06288,0.06161,0.06165,1405614.0,2023-01-01 04:00:00
0.06145,0.0616,0.05914,0.06028,2647846.0,2023-01-01 05:00:00
0.06023,0.06102,0.0593,0.05981,1173832.0,2023-01-01 06:00:00
0.05978,0.05982,0.05699,0.05754,1773450.0,2023-01-01 07:00:00
0.05754,0.0593,0.05733,0.05774,1621475.0,2023-01-01 08:00:00
0.05782,0.05884,0.05591,0.05635,1376668.0,2023-01-01 09:00:00
0.05636,0.05895,0.05626,0.05795,1997719.0,2023-01-01 10:00:00
0.05802,0.05802,0.05682,0.05767,1996611.0,2023-01-01 11:00:00
0.05786,0.06034,0.0578,0.05995,1585155.0,2023-01-01 12:00:00
0.06,0.06043,0.05891,0.05948,1691519.0,2023-01-01 13:00:00
0.05951,0.05951,0.05811,0.05816,1431447.0,2023-01-01 14:00:00
0.05826,0.05981,0.05822,0.05851,2412704.0,2023-01-01 15:00:00
0.05864,0.05934,0.05843,0.0591,1968196.0,2023-01-01 16:00:00
0.05903,0.06302,0.0589,0.06205,4669752.0,2023-01-01 17:00:00
0.06185,0.06207,0.05968,0.05991,3969767.0,2023-01-01 18:00:00
0.06004,0.06136,0.06004,0.0605,2732344.0,2023-01-01 19:00:00
0.0604,0.06186,0.05989,0.06002,2103587.0,2023-01-01 20:00:00
0.06023,0.06096,0.05944,0.06033,1616499.0,2023-01-01 21:00:00
0.06039,0.0618,0.0595,0.06135,2132940.0,2023-01-01 22:00:00
0.06135,0.06164,0.06045,0.06131,2267229.0,2023-01-01 23:00:00
0.06137,0.06166,0.06011,0.06022,1586618.0,2023-01-02 00:00:00
0.06028,0.06154,0.05991,0.06088,1756366.0,2023-01-02 01:00:00
0.06072,0.06206,0.05958,0.06176,4335255.0,2023-01-02 02:00:00
0.06175,0.06422,0.06157,0.06247,4456082.0,2023-01-02 03:00:00
0.06247,0.06338,0.05965,0.06176,4336321.0,2023-01-02 04:00:00
