Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.3189,0.3564,0.3189,0.3246,11577.0,2023-01-01 00:00:00
0.3237,0.3258,0.3233,0.3258,1102.0,2023-01-01 01:00:00
0.3258,0.3259,0.3247,0.3247,6169.0,2023-01-01 02:00:00
0.3257,0.3285,0.3257,0.3285,161.0,2023-01-01 03:00:00
0.3257,0.3291,0.3256,0.3264,7138.0,2023-01-01 04:00:00
0.3271,0.3271,0.3238,0.3252,705.0,2023-01-01 05:00:00
0.3212,0.3236,0.3212,0.3236,615.0,2023-01-01 06:00:00
0.3215,0.3215,0.3215,0.3215,32.0,2023-01-01 07:00:00
0.3215,0.3259,0.3215,0.3259,153.0,2023-01-01 08:00:00
0.3259,0.326,0.3259,0.3259,2399.0,2023-01-01 09:00:00
0.327,0.3309,0.327,0.3309,647.0,2023-01-01 10:00:00
0.3309,0.3309,0.3309,0.3309,303.0,2023-01-01 11:00:00
0.3309,0.3309,0.3309,0.3309,0.0,2023-01-01 12:00:00
0.3309,0.3309,0.3309,0.3309,0.0,2023-01-01 13:00:00
0.327,0.3293,0.327,0.3293,1021.0,2023-01-01 14:00:00
0.3299,0.3299,0.3299,0.3299,100.0,2023-01-01 15:00:00
0.3258,0.3258,0.3258,0.3258,23.0,2023-01-01 16:00:00
0.3279,0.3279,0.3279,0.3279,41.0,2023-01-01 17:00:00
0.3279,0.3279,0.3279,0.3279,0.0,2023-01-01 18:00:00
0.3279,0.3279,0.3279,0.3279,0.0,2023-01-01 19:00:00
0.3279,0.3279,0.3279,0.3279,0.0,2023-01-01 20:00:00
0.3217,0.3217,0.3217,0.3217,58.0,2023-01-01 21:00:00
0.3243,0.3243,0.3227,0.3227,1397.0,2023-01-01 22:00:00
0.3249,0.3249,0.3229,0.3248,260.0,2023-01-01 23:00:00
0.3261,0.3261,0.3246,0.3246,428.0,2023-01-02 00:00:00
0.3246,0.3246,0.3246,0.3246,0.0,2023-01-02 01:00:00
0.3215,0.3215,0.3198,0.3198,162.0,2023-01-02 02:00:00
0.3198,0.3198,0.3198,0.3198,0.0,2023-01-02 03:00:00
0.3166,0.3166,0.0811,0.3141,36557.0,2023-01-02 04:00:00
0.3141,0.3141,0.3119,0.3119,185.0,2023-01-02 05:00:00
0.3131,0.315,0.312,0.315,3941.0,2023-01-02 06:00:00
0.315,0.315,0.315,0.315,0.0,2023-01-02 07:00:00
0.3148,0.3148,0.3148,0.3148,16.0,2023-01-02 08:00:00
0.3101,0.3101,0.3101,0.3101,958.0,2023-01-02 09:00:00
0.3099,0.3099,0.3099,0.3099,824.0,2023-01-02 10:00:00
0.3099,0.3099,0.3099,0.3099,0.0,2023-01-02 11:00:00
0.3046,0.306,0.3046,0.3048,410.0,2023-01-02 12:00:00
0.3048,0.3048,0.3048,0.3048,0.0,2023-01-02 13:00:00
0.3048,0.3048,0.3048,0.3048,0.0,2023-01-02 14:00:00
