Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
14.629,14.93,14.578,14.9,40134.81,2023-01-01 00:00:00
14.941,15.432,14.505,15.365,7992.06,2023-01-01 01:00:00
15.353,15.418,14.836,14.958,2816.65,2023-01-01 02:00:00
14.866,15.098,14.691,15.002,2369.05,2023-01-01 03:00:00
15.01,15.205,14.878,14.933,2536.45,2023-01-01 04:00:00
14.922,14.93,14.458,14.686,1836.91,2023-01-01 05:00:00
14.636,14.864,14.364,14.413,3687.65,2023-01-01 06:00:00
14.43,14.43,13.868,14.06,6036.02,2023-01-01 07:00:00
14.02,14.608,14.02,14.388,2536.11,2023-01-01 08:00:00
14.469,14.544,13.922,14.017,2419.53,2023-01-01 09:00:00
14.016,14.393,14.014,14.286,1584.58,2023-01-01 10:00:00
14.276,14.294,14.027,14.138,1403.87,2023-01-01 11:00:00
14.156,14.358,14.02,14.325,4083.27,2023-01-01 12:00:00
14.359,14.434,14.282,14.411,2012.28,2023-01-01 13:00:00
14.349,14.472,14.208,14.242,4283.15,2023-01-01 14:00:00
14.292,14.368,14.163,14.255,1937.63,2023-01-01 15:00:00
14.243,14.401,14.241,14.372,864.73,2023-01-01 16:00:00
14.376,14.728,14.341,14.71,2512.8,2023-01-01 17:00:00
14.721,14.721,14.513,14.566,2468.94,2023-01-01 18:00:00
14.576,14.836,14.514,14.693,1639.97,2023-01-01 19:00:00
14.696,14.788,14.51,14.622,958.2,2023-01-01 20:00:00
14.637,14.775,14.441,14.73,733.36,2023-01-01 21:00:00
14.744,15.131,14.67,15.114,2543.04,2023-01-01 22:00:00
15.113,15.5,15.0,15.129,9931.11,2023-01-01 23:00:00
15.129,15.13,14.924,14.971,5022.2,2023-01-02 00:00:00
14.939,14.967,14.612,14.672,4989.95,2023-01-02 01:00:00
14.66,14.814,14.273,14.561,3959.33,2023-01-02 02:00:00
14.572,14.769,14.519,14.674,4250.0,2023-01-02 03:00:00
14.672,14.718,13.976,14.347,8376.32,2023-01-02 04:00:00
14.262,14.454,14.096,14.278,748.73,2023-01-02 05:00:00
14.246,14.698,14.143,14.671,1788.31,2023-01-02 06:00:00
14.658,14.757,14.624,14.662,1053.98,2023-01-02 07:00:00
14.658,14.82,14.517,14.714,924.32,2023-01-02 08:00:00
14.67,14.816,14.547,14.767,11883.66,2023-01-02 09:00:00
14.807,14.948,14.777,14.877,8887.59,2023-01-02 10:00:00
14.864,15.097,14.824,15.057,10037.33,2023-01-02 11:00:00
15.041,15.355,15.01,15.173,27953.53,2023-01-02 12:00:00
15.14,15.14,14.942,15.013,11742.87,2023-01-02 13:00:00
15.012,15.344,15.002,15.079,10499.28,2023-01-02 14:00:00
15.08,15.096,14.765,14.81,7767.97,2023-01-02 15:00:00
14.789,14.85,14.521,14.671,3939.95,2023-01-02 16:00:00
14.696,14.83,14.599,14.661,1187.2,2023-01-02 17:00:00
14.682,14.9,14.232,14.232,7929.08,2023-01-02 18:00:00
14.267,14.58,14.138,14.403,13188.34,2023-01-02 19:00:00
14.469,14.681,14.32,14.63,1557.22,2023-01-02 20:00:00
14.596,14.934,14.553,14.686,3959.77,2023-01-02 21:00:00
14.663,14.749,14.617,14.68,445.82,2023-01-02 22:00:00
14.705,14.993,14.699,14.873,13457.0,2023-01-02 23:00:00
14.873,15.066,14.84,15.044,1420.37,2023-01-03 00:00:00
15.016,15.284,14.984,15.278,3908.51,2023-01-03 01:00:00
15.261,15.326,15.02,15.1,6225.43,2023-01-03 02:00:00
15.09,15.161,14.951,14.988,867.24,2023-01-03 03:00:00
15.016,15.311,15.016,15.265,1779.32,2023-01-03 04:00:00
15.238,15.368,15.09,15.256,1970.0,2023-01-03 05:00:00
15.249,15.304,14.969,15.043,933.01,2023-01-03 06:00:00
15.051,15.246,14.973,15.033,4032.39,2023-01-03 07:00:00
14.986,15.21,14.986,15.026,1444.6,2023-01-03 08:00:00
15.011,15.011,14.791,14.936,2575.93,2023-01-03 09:00:00
14.907,15.233,14.864,15.21,473.3,2023-01-03 10:00:00
15.197,15.342,15.132,15.187,3595.83,2023-01-03 11:00:00
15.193,15.599,15.193,15.376,9948.61,2023-01-03 12:00:00
15.374,15.542,15.148,15.203,4237.87,2023-01-03 13:00:00
15.221,15.226,15.001,15.087,1929.5,2023-01-03 14:00:00
15.133,15.142,14.962,14.962,777.6,2023-01-03 15:00:00
14.975,14.983,14.806,14.85,2383.31,2023-01-03 16:00:00
14.866,15.054,14.866,14.985,1586.23,2023-01-03 17:00:00
14.98,15.059,14.947,15.04,1558.55,2023-01-03 18:00:00
15.033,15.125,15.019,15.078,1131.77,2023-01-03 19:00:00
15.066,15.087,14.902,15.066,1604.84,2023-01-03 20:00:00
15.022,15.022,14.849,14.954,2508.45,2023-01-03 21:00:00
14.98,14.98,14.834,14.834,1616.19,2023-01-03 22:00:00
14.835,14.835,14.534,14.6,1762.25,2023-01-03 23:00:00
14.632,14.794,14.622,14.77,2430.92,2023-01-04 00:00:00
14.79,14.816,14.66,14.665,712.86,2023-01-04 01:00:00
14.651,14.733,14.552,14.58,2131.61,2023-01-04 02:00:00
14.566,14.749,14.555,14.679,1786.02,2023-01-04 03:00:00
14.694,14.74,14.639,14.653,677.93,2023-01-04 04:00:00
14.653,14.815,14.653,14.688,399.04,2023-01-04 05:00:00
14.67,14.861,14.587,14.822,1452.9,2023-01-04 06:00:00
14.797,14.827,14.615,14.621,233.45,2023-01-04 07:00:00
14.635,14.681,14.6,14.606,867.09,2023-01-04 08:00:00
14.606,14.684,14.577,14.577,100.31,2023-01-04 09:00:00
14.567,14.642,14.431,14.435,1227.75,2023-01-04 10:00:00
14.42,14.446,14.291,14.36,1929.62,2023-01-04 11:00:00
14.355,14.505,14.289,14.505,4532.71,2023-01-04 12:00:00
14.49,14.55,14.437,14.518,857.53,2023-01-04 13:00:00
14.506,14.507,14.231,14.247,11010.85,2023-01-04 14:00:00
14.233,14.355,14.12,14.19,2665.29,2023-01-04 15:00:00
14.243,14.4,14.243,14.338,2593.29,2023-01-04 16:00:00
14.341,14.348,14.235,14.338,1027.05,2023-01-04 17:00:00
14.29,14.494,14.228,14.48,1283.46,2023-01-04 18:00:00
14.433,14.605,14.433,14.486,1491.84,2023-01-04 19:00:00
14.546,14.547,14.366,14.368,457.27,2023-01-04 20:00:00
14.359,14.458,14.259,14.439,6010.02,2023-01-04 21:00:00
14.448,14.477,14.276,14.299,1503.52,2023-01-04 22:00:00
14.279,14.35,14.195,14.343,1798.66,2023-01-04 23:00:00
14.343,14.357,14.216,14.301,1737.85,2023-01-05 00:00:00
14.21,14.41,14.198,14.4,1498.69,2023-01-05 01:00:00
14.409,14.412,14.305,14.305,410.92,2023-01-05 02:00:00
14.319,14.446,14.291,14.434,1111.81,2023-01-05 03:00:00
14.432,14.608,14.432,14.574,2619.19,2023-01-05 04:00:00
14.576,14.66,14.533,14.606,484.44,2023-01-05 05:00:00
14.589,14.605,14.215,14.24,826.43,2023-01-05 06:00:00
14.271,14.336,13.922,14.005,3519.54,2023-01-05 07:00:00
13.991,14.064,13.87,13.96,2391.0,2023-01-05 08:00:00
13.995,14.058,13.735,13.869,2638.34,2023-01-05 09:00:00
13.859,14.029,13.808,14.029,1361.05,2023-01-05 10:00:00
14.056,14.123,14.032,14.059,562.43,2023-01-05 11:00:00
14.082,14.082,13.795,13.884,1368.5,2023-01-05 12:00:00
13.874,13.915,13.62,13.874,1595.97,2023-01-05 13:00:00
13.8,13.826,13.455,13.51,3744.69,2023-01-05 14:00:00
13.51,13.673,13.335,13.504,1695.9,2023-01-05 15:00:00
13.485,13.624,13.473,13.571,974.91,2023-01-05 16:00:00
13.574,13.574,13.194,13.231,6644.36,2023-01-05 17:00:00
13.212,13.353,13.076,13.283,2178.06,2023-01-05 18:00:00
13.305,13.592,13.207,13.505,2932.32,2023-01-05 19:00:00
13.468,13.696,13.378,13.672,2285.23,2023-01-05 20:00:00
13.668,13.682,13.207,13.295,5047.89,2023-01-05 21:00:00
13.273,13.398,13.204,13.267,4201.82,2023-01-05 22:00:00
13.266,13.377,13.182,13.182,835.19,2023-01-05 23:00:00
13.182,13.355,13.182,13.279,1427.75,2023-01-06 00:00:00
13.252,13.336,13.134,13.237,3039.39,2023-01-06 01:00:00
13.216,13.247,12.061,12.259,25199.71,2023-01-06 02:00:00
12.187,12.827,10.33,11.919,55655.84,2023-01-06 03:00:00
11.9,12.091,11.0,12.04,22996.61,2023-01-06 04:00:00
12.04,12.085,11.899,11.974,5318.18,2023-01-06 05:00:00
11.918,12.159,11.713,12.045,4896.43,2023-01-06 06:00:00
12.084,12.084,11.873,12.05,1304.65,2023-01-06 07:00:00
11.998,12.001,11.577,11.58,1226.58,2023-01-06 08:00:00
11.599,11.743,11.225,11.723,2659.31,2023-01-06 09:00:00
11.702,11.885,11.46,11.879,3625.52,2023-01-06 10:00:00
11.821,12.101,11.821,12.07,3700.54,2023-01-06 11:00:00
12.073,12.161,11.991,12.147,5596.18,2023-01-06 12:00:00
12.162,12.165,11.992,12.102,1771.08,2023-01-06 13:00:00
12.093,12.202,11.953,12.166,1811.33,2023-01-06 14:00:00
12.217,12.371,12.121,12.176,8329.27,2023-01-06 15:00:00
12.205,12.443,12.205,12.39,2142.3,2023-01-06 16:00:00
12.354,12.401,11.5,12.315,4880.38,2023-01-06 17:00:00
12.304,12.315,11.71,11.75,2366.44,2023-01-06 18:00:00
11.751,12.06,11.751,12.002,975.78,2023-01-06 19:00:00
11.962,12.307,11.962,12.079,2902.35,2023-01-06 20:00:00
12.111,12.124,11.405,11.405,2667.55,2023-01-06 21:00:00
11.351,11.537,11.03,11.467,10451.57,2023-01-06 22:00:00
11.413,11.413,10.884,10.894,4970.5,2023-01-06 23:00:00
10.897,11.366,10.834,11.254,11764.21,2023-01-07 00:00:00
11.269,11.581,11.241,11.554,3507.25,2023-01-07 01:00:00
11.495,11.69,11.436,11.599,5768.61,2023-01-07 02:00:00
11.647,11.845,11.647,11.784,954.11,2023-01-07 03:00:00
11.77,11.943,11.73,11.924,3264.84,2023-01-07 04:00:00
11.985,11.99,11.75,11.822,2546.93,2023-01-07 05:00:00
11.805,11.855,11.436,11.616,2535.59,2023-01-07 06:00:00
11.6,11.641,11.4,11.411,1399.51,2023-01-07 07:00:00
11.409,11.872,11.369,11.863,1610.67,2023-01-07 08:00:00
11.84,11.923,11.82,11.843,766.26,2023-01-07 09:00:00
11.863,11.871,11.701,11.78,172.56,2023-01-07 10:00:00
11.798,11.837,11.706,11.787,355.86,2023-01-07 11:00:00
11.799,11.907,11.783,11.896,707.23,2023-01-07 12:00:00
11.874,12.0,11.804,11.817,1819.28,2023-01-07 13:00:00
11.814,12.111,11.784,12.022,2156.02,2023-01-07 14:00:00
12.054,12.139,11.962,12.139,1731.6,2023-01-07 15:00:00
12.123,12.169,12.062,12.126,3875.64,2023-01-07 16:00:00
12.128,12.264,12.117,12.2,5709.94,2023-01-07 17:00:00
12.248,12.48,12.2,12.48,4418.99,2023-01-07 18:00:00
12.475,12.747,12.4,12.747,14598.25,2023-01-07 19:00:00
