Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.07064,0.0763,0.06726,0.06903,68587.8,2023-01-01 00:00:00
0.06934,0.06934,0.06932,0.06932,11216.4,2023-01-01 01:00:00
0.07004,0.07071,0.07004,0.07071,11205.7,2023-01-01 02:00:00
0.07044,0.0722,0.0702,0.07202,34545.5,2023-01-01 03:00:00
0.07134,0.07246,0.07124,0.07202,46684.6,2023-01-01 04:00:00
0.07213,0.07213,0.07096,0.07145,19309.7,2023-01-01 05:00:00
0.07037,0.07068,0.06993,0.06996,27669.0,2023-01-01 06:00:00
0.07069,0.07117,0.06906,0.06906,27039.1,2023-01-01 07:00:00
0.06897,0.06897,0.06723,0.06741,28739.5,2023-01-01 08:00:00
0.06852,0.06852,0.06754,0.06754,7099.3,2023-01-01 09:00:00
0.06752,0.06907,0.06752,0.06907,91628.4,2023-01-01 10:00:00
0.06906,0.0692,0.06812,0.06812,30811.2,2023-01-01 11:00:00
0.06878,0.06999,0.06869,0.06923,53596.4,2023-01-01 12:00:00
0.06948,0.06948,0.06888,0.06888,7888.5,2023-01-01 13:00:00
0.0682,0.0682,0.0682,0.0682,1000.0,2023-01-01 14:00:00
0.06965,0.06965,0.06965,0.06965,3430.2,2023-01-01 15:00:00
0.06903,0.06978,0.06903,0.06905,9090.7,2023-01-01 16:00:00
0.06959,0.07004,0.06959,0.07004,3243.8,2023-01-01 17:00:00
0.07057,0.07057,0.07006,0.07006,9068.2,2023-01-01 18:00:00
0.07099,0.07157,0.07099,0.07157,10054.5,2023-01-01 19:00:00
0.07091,0.07399,0.07076,0.07399,25143.8,2023-01-01 20:00:00
0.07423,0.07497,0.07301,0.07391,200629.9,2023-01-01 21:00:00
0.07338,0.07338,0.07285,0.07285,27895.3,2023-01-01 22:00:00
0.07218,0.07274,0.07187,0.07218,17091.4,2023-01-01 23:00:00
0.07171,0.07171,0.07077,0.07081,41924.3,2023-01-02 00:00:00
0.07077,0.07078,0.06991,0.07003,44092.7,2023-01-02 01:00:00
0.06958,0.06958,0.06898,0.06898,6636.2,2023-01-02 02:00:00
0.06876,0.06886,0.06832,0.06832,10361.8,2023-01-02 03:00:00
0.06824,0.06831,0.06749,0.06781,26557.0,2023-01-02 04:00:00
0.06793,0.06936,0.06793,0.06876,212347.0,2023-01-02 05:00:00
0.06881,0.0691,0.06881,0.0691,20897.3,2023-01-02 06:00:00
0.071,0.071,0.071,0.071,100.0,2023-01-02 07:00:00
0.07118,0.07305,0.0695,0.07128,128566.6,2023-01-02 08:00:00
0.07103,0.07222,0.06907,0.06919,163738.9,2023-01-02 09:00:00
0.06847,0.06919,0.06749,0.0683,29707.5,2023-01-02 10:00:00
0.06818,0.06818,0.06808,0.06808,7406.9,2023-01-02 11:00:00
0.06807,0.06807,0.06636,0.06636,94617.8,2023-01-02 12:00:00
0.06655,0.0667,0.06655,0.0667,14375.6,2023-01-02 13:00:00
0.06644,0.06703,0.06644,0.06702,15557.4,2023-01-02 14:00:00
0.06676,0.06676,0.06675,0.06675,5992.0,2023-01-02 15:00:00
0.06675,0.06675,0.06675,0.06675,0.0,2023-01-02 16:00:00
0.06613,0.06613,0.06611,0.06611,6269.1,2023-01-02 17:00:00
0.06611,0.06611,0.06611,0.06611,0.0,2023-01-02 18:00:00
0.06584,0.06587,0.06584,0.06587,5011.4,2023-01-02 19:00:00
0.06634,0.06634,0.06634,0.06634,2903.4,2023-01-02 20:00:00
0.06617,0.06826,0.06615,0.06773,165730.1,2023-01-02 21:00:00
0.06789,0.06931,0.06787,0.06787,59676.1,2023-01-02 22:00:00
0.06758,0.06806,0.06737,0.06773,18529.0,2023-01-02 23:00:00
0.06834,0.07089,0.06834,0.07007,17276.6,2023-01-03 00:00:00
0.07066,0.07151,0.06964,0.07008,21673.9,2023-01-03 01:00:00
0.07039,0.07165,0.07,0.07042,54227.7,2023-01-03 02:00:00
0.07129,0.07171,0.06936,0.0699,51061.5,2023-01-03 03:00:00
0.06986,0.07011,0.06893,0.07011,37170.1,2023-01-03 04:00:00
0.07001,0.07001,0.06996,0.06996,2398.0,2023-01-03 05:00:00
0.07045,0.07085,0.06988,0.0706,50758.8,2023-01-03 06:00:00
0.07079,0.07079,0.06979,0.06979,1911.0,2023-01-03 07:00:00
0.06995,0.06995,0.06995,0.06995,2500.0,2023-01-03 08:00:00
0.06845,0.06895,0.06831,0.06847,9701.3,2023-01-03 09:00:00
0.06748,0.06783,0.06729,0.06783,20074.7,2023-01-03 10:00:00
0.06739,0.0682,0.06739,0.06804,18087.1,2023-01-03 11:00:00
0.0671,0.0671,0.06665,0.0669,23302.7,2023-01-03 12:00:00
0.06701,0.06713,0.06492,0.06561,44784.3,2023-01-03 13:00:00
0.06451,0.06503,0.0645,0.06503,34847.1,2023-01-03 14:00:00
0.06518,0.06646,0.06518,0.06646,34205.3,2023-01-03 15:00:00
0.06631,0.06756,0.06596,0.06703,51066.1,2023-01-03 16:00:00
0.06774,0.06774,0.06691,0.06703,3274.8,2023-01-03 17:00:00
0.06701,0.06701,0.06618,0.06618,7033.6,2023-01-03 18:00:00
0.06546,0.06562,0.06546,0.06562,1667.4,2023-01-03 19:00:00
0.06524,0.06561,0.06524,0.06561,4798.4,2023-01-03 20:00:00
0.06535,0.06631,0.06535,0.06536,42958.0,2023-01-03 21:00:00
0.06503,0.06585,0.06428,0.06428,66590.9,2023-01-03 22:00:00
0.06481,0.06494,0.06427,0.06463,23878.5,2023-01-03 23:00:00
0.064,0.06478,0.06396,0.06478,22622.7,2023-01-04 00:00:00
0.06477,0.06557,0.06433,0.06462,30913.7,2023-01-04 01:00:00
0.06497,0.06498,0.06422,0.0649,20194.8,2023-01-04 02:00:00
0.06492,0.06584,0.06492,0.06524,12324.0,2023-01-04 03:00:00
0.06612,0.06651,0.06612,0.06651,5427.0,2023-01-04 04:00:00
0.06668,0.06668,0.06535,0.06535,46843.1,2023-01-04 05:00:00
0.06492,0.06503,0.06471,0.06492,35714.9,2023-01-04 06:00:00
0.06458,0.06463,0.06416,0.06441,47709.2,2023-01-04 07:00:00
0.06437,0.06473,0.06437,0.06473,2182.5,2023-01-04 08:00:00
0.06493,0.06554,0.06493,0.06554,28700.2,2023-01-04 09:00:00
0.06533,0.06553,0.06486,0.06553,33611.2,2023-01-04 10:00:00
0.06543,0.06543,0.06456,0.06456,22962.9,2023-01-04 11:00:00
0.06446,0.06592,0.06446,0.06516,42815.3,2023-01-04 12:00:00
0.06517,0.06547,0.06468,0.06468,22001.1,2023-01-04 13:00:00
0.06492,0.06538,0.06492,0.06538,682.8,2023-01-04 14:00:00
0.0638,0.06388,0.06303,0.06303,11422.6,2023-01-04 15:00:00
0.06314,0.06314,0.06181,0.062,129235.3,2023-01-04 16:00:00
0.06174,0.06224,0.06146,0.06224,11579.1,2023-01-04 17:00:00
0.06234,0.06234,0.06234,0.06234,2048.7,2023-01-04 18:00:00
0.06222,0.06338,0.06222,0.06294,10315.0,2023-01-04 19:00:00
0.06294,0.06294,0.06162,0.06162,22573.1,2023-01-04 20:00:00
0.06225,0.06232,0.06225,0.06232,179619.3,2023-01-04 21:00:00
0.06226,0.06277,0.06224,0.06274,34598.8,2023-01-04 22:00:00
0.06177,0.06232,0.06177,0.06232,14639.1,2023-01-04 23:00:00
0.06296,0.06371,0.06296,0.06329,28727.3,2023-01-05 00:00:00
0.06294,0.06447,0.06294,0.06382,27160.2,2023-01-05 01:00:00
0.06383,0.06419,0.06352,0.06364,53147.2,2023-01-05 02:00:00
0.06339,0.06388,0.06264,0.06264,92552.9,2023-01-05 03:00:00
0.06264,0.06306,0.0626,0.06306,15902.9,2023-01-05 04:00:00
0.06267,0.06267,0.06204,0.06224,17229.4,2023-01-05 05:00:00
0.06152,0.06186,0.06004,0.0604,51104.6,2023-01-05 06:00:00
0.06047,0.06047,0.05865,0.05919,27192.0,2023-01-05 07:00:00
0.05981,0.06064,0.05954,0.06064,43529.0,2023-01-05 08:00:00
0.06037,0.06168,0.06017,0.06168,35821.6,2023-01-05 09:00:00
0.06192,0.06192,0.0604,0.06095,48622.7,2023-01-05 10:00:00
0.0603,0.06109,0.0603,0.06109,19253.9,2023-01-05 11:00:00
0.06123,0.0619,0.06123,0.06138,25239.6,2023-01-05 12:00:00
0.06114,0.06211,0.06092,0.06188,34250.6,2023-01-05 13:00:00
0.06177,0.06177,0.05908,0.05955,42695.7,2023-01-05 14:00:00
0.05941,0.06003,0.05917,0.05957,23708.9,2023-01-05 15:00:00
0.06,0.06022,0.05947,0.06018,43442.9,2023-01-05 16:00:00
0.06017,0.06041,0.05923,0.05959,22461.4,2023-01-05 17:00:00
