Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
32.6,32.84,32.44,32.76,2425.14,2023-01-01 00:00:00
32.77,33.0,32.63,32.84,2325.03,2023-01-01 01:00:00
32.72,33.04,31.86,32.21,6941.94,2023-01-01 02:00:00
32.22,32.59,31.89,32.3,6435.18,2023-01-01 03:00:00
32.29,32.46,31.99,32.08,2058.69,2023-01-01 04:00:00
32.08,32.17,31.4,31.88,3457.61,2023-01-01 05:00:00
31.89,31.99,31.4,31.45,3746.46,2023-01-01 06:00:00
31.45,31.47,30.29,30.66,9032.31,2023-01-01 07:00:00
30.64,31.5,30.63,31.09,5329.11,2023-01-01 08:00:00
31.16,31.87,30.83,31.01,9645.57,2023-01-01 09:00:00
31.0,32.19,30.85,32.08,4533.19,2023-01-01 10:00:00
32.09,32.7,32.04,32.56,3183.0,2023-01-01 11:00:00
32.59,32.94,32.32,32.77,2174.51,2023-01-01 12:00:00
32.76,32.99,32.26,32.89,8362.14,2023-01-01 13:00:00
32.92,33.18,32.61,32.61,4569.82,2023-01-01 14:00:00
32.6,32.82,32.35,32.67,1869.99,2023-01-01 15:00:00
32.68,33.44,32.63,33.3,4272.05,2023-01-01 16:00:00
33.29,33.66,33.21,33.29,3734.58,2023-01-01 17:00:00
33.27,33.79,33.14,33.75,3514.04,2023-01-01 18:00:00
33.78,34.63,33.67,34.62,18355.97,2023-01-01 19:00:00
34.65,35.01,34.0,34.31,11638.28,2023-01-01 20:00:00
34.35,34.79,33.9,34.08,9889.59,2023-01-01 21:00:00
34.08,34.36,33.75,33.88,6014.11,2023-01-01 22:00:00
33.88,34.11,33.52,34.0,6725.75,2023-01-01 23:00:00
34.0,34.24,33.54,33.55,2666.97,2023-01-02 00:00:00
33.52,33.67,32.61,32.76,7354.39,2023-01-02 01:00:00
32.74,32.95,31.12,32.17,18601.19,2023-01-02 02:00:00
32.18,32.65,32.11,32.41,3837.22,2023-01-02 03:00:00
32.45,32.6,30.84,32.32,13177.16,2023-01-02 04:00:00
32.19,32.7,31.73,32.29,6233.27,2023-01-02 05:00:00
32.29,33.61,31.94,33.46,5156.38,2023-01-02 06:00:00
33.47,33.98,33.25,33.72,5139.56,2023-01-02 07:00:00
33.72,33.72,33.33,33.42,2690.77,2023-01-02 08:00:00
33.43,33.55,33.09,33.46,1446.74,2023-01-02 09:00:00
33.48,33.91,33.45,33.89,2394.92,2023-01-02 10:00:00
33.9,34.82,33.48,34.3,8371.4,2023-01-02 11:00:00
34.31,34.48,33.94,34.32,5399.08,2023-01-02 12:00:00
34.36,34.82,34.31,34.63,3772.95,2023-01-02 13:00:00
34.67,34.75,34.2,34.27,6734.33,2023-01-02 14:00:00
34.27,34.33,33.55,33.77,12119.4,2023-01-02 15:00:00
33.78,34.1,33.12,33.87,9099.03,2023-01-02 16:00:00
33.91,34.27,33.86,34.21,2380.48,2023-01-02 17:00:00
34.19,34.48,33.24,33.34,3529.41,2023-01-02 18:00:00
33.37,34.16,33.16,33.78,8073.6,2023-01-02 19:00:00
33.77,34.57,33.43,34.51,7362.07,2023-01-02 20:00:00
34.5,34.85,34.28,34.4,6589.1,2023-01-02 21:00:00
34.44,35.03,34.34,35.02,5096.93,2023-01-02 22:00:00
35.02,35.3,34.72,34.81,8556.1,2023-01-02 23:00:00
34.81,34.98,34.54,34.61,4794.84,2023-01-03 00:00:00
34.6,34.71,34.47,34.65,1388.64,2023-01-03 01:00:00
34.64,34.96,34.43,34.57,1634.9,2023-01-03 02:00:00
34.56,34.77,34.35,34.36,1182.08,2023-01-03 03:00:00
34.37,34.73,33.71,34.15,11035.29,2023-01-03 04:00:00
34.11,34.26,33.86,34.06,2470.5,2023-01-03 05:00:00
34.09,34.26,33.74,33.84,3740.77,2023-01-03 06:00:00
33.85,34.0,33.63,33.64,1091.12,2023-01-03 07:00:00
33.65,34.08,33.65,34.05,620.3,2023-01-03 08:00:00
34.05,34.05,33.66,33.83,746.28,2023-01-03 09:00:00
33.66,33.88,33.66,33.8,962.74,2023-01-03 10:00:00
33.79,33.92,33.59,33.65,591.4,2023-01-03 11:00:00
33.62,33.85,33.62,33.66,2510.65,2023-01-03 12:00:00
33.66,33.7,33.33,33.53,2055.94,2023-01-03 13:00:00
33.52,34.45,33.48,33.69,16034.32,2023-01-03 14:00:00
33.7,34.12,33.7,34.11,4559.02,2023-01-03 15:00:00
34.11,34.21,33.76,33.89,3331.33,2023-01-03 16:00:00
33.9,34.21,33.9,34.01,1780.1,2023-01-03 17:00:00
33.99,34.0,33.75,33.86,1798.21,2023-01-03 18:00:00
33.86,33.99,33.67,33.87,2086.16,2023-01-03 19:00:00
33.88,33.93,33.46,33.78,1764.8,2023-01-03 20:00:00
33.76,33.77,33.24,33.54,3641.48,2023-01-03 21:00:00
33.57,33.63,33.08,33.16,5193.13,2023-01-03 22:00:00
33.17,33.44,32.8,32.93,4397.42,2023-01-03 23:00:00
32.94,33.37,32.92,33.31,2923.53,2023-01-04 00:00:00
33.3,33.44,32.84,32.96,4633.66,2023-01-04 01:00:00
32.97,33.27,32.92,33.2,1611.55,2023-01-04 02:00:00
33.15,33.38,33.02,33.22,1996.26,2023-01-04 03:00:00
33.21,33.23,33.0,33.0,893.11,2023-01-04 04:00:00
33.03,33.44,33.02,33.02,1524.43,2023-01-04 05:00:00
33.01,33.26,32.88,33.26,392.32,2023-01-04 06:00:00
33.21,33.42,33.12,33.12,1152.71,2023-01-04 07:00:00
33.13,33.25,33.02,33.02,452.23,2023-01-04 08:00:00
33.11,33.23,33.05,33.06,293.0,2023-01-04 09:00:00
33.05,33.21,32.7,32.72,892.38,2023-01-04 10:00:00
32.69,32.74,32.44,32.59,3062.26,2023-01-04 11:00:00
32.61,32.88,32.45,32.87,963.33,2023-01-04 12:00:00
32.87,33.02,32.79,32.96,737.5,2023-01-04 13:00:00
