Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
3.403,3.456,3.396,3.438,2731.03,2023-01-01 00:00:00
3.436,3.489,3.433,3.466,803.7,2023-01-01 01:00:00
3.479,3.494,3.343,3.379,20933.64,2023-01-01 02:00:00
3.361,3.454,3.357,3.428,1663.22,2023-01-01 03:00:00
3.452,3.456,3.403,3.409,1494.08,2023-01-01 04:00:00
3.411,3.411,3.321,3.383,2705.42,2023-01-01 05:00:00
3.36,3.387,3.31,3.323,1384.14,2023-01-01 06:00:00
3.309,3.309,3.106,3.17,22844.82,2023-01-01 07:00:00
3.176,3.256,3.175,3.249,6192.29,2023-01-01 08:00:00
3.242,3.343,3.153,3.159,14038.85,2023-01-01 09:00:00
3.163,3.254,3.163,3.248,2312.1,2023-01-01 10:00:00
3.221,3.221,3.183,3.208,2991.22,2023-01-01 11:00:00
3.213,3.243,3.167,3.243,8240.8,2023-01-01 12:00:00
3.239,3.295,3.239,3.282,5135.07,2023-01-01 13:00:00
3.279,3.295,3.265,3.265,1928.5,2023-01-01 14:00:00
3.272,3.274,3.225,3.225,3356.53,2023-01-01 15:00:00
3.233,3.236,3.183,3.19,6932.05,2023-01-01 16:00:00
3.191,3.246,3.19,3.244,2260.02,2023-01-01 17:00:00
3.244,3.276,3.225,3.225,7383.04,2023-01-01 18:00:00
3.233,3.256,3.226,3.229,1172.94,2023-01-01 19:00:00
3.23,3.259,3.2,3.25,5290.05,2023-01-01 20:00:00
3.233,3.256,3.205,3.238,1867.89,2023-01-01 21:00:00
3.244,3.421,3.238,3.4,27708.46,2023-01-01 22:00:00
3.416,3.479,3.355,3.439,24444.1,2023-01-01 23:00:00
3.435,3.435,3.356,3.356,2344.03,2023-01-02 00:00:00
3.356,3.36,3.262,3.262,3624.49,2023-01-02 01:00:00
3.253,3.339,3.238,3.321,8325.62,2023-01-02 02:00:00
3.298,3.355,3.298,3.328,3599.65,2023-01-02 03:00:00
3.333,3.359,3.151,3.304,10683.92,2023-01-02 04:00:00
3.286,3.366,3.233,3.296,1665.66,2023-01-02 05:00:00
3.274,3.406,3.25,3.406,2333.87,2023-01-02 06:00:00
3.408,3.48,3.408,3.46,4055.24,2023-01-02 07:00:00
3.465,3.492,3.422,3.488,2458.67,2023-01-02 08:00:00
3.475,3.5,3.446,3.473,8050.21,2023-01-02 09:00:00
3.468,3.553,3.46,3.505,5529.74,2023-01-02 10:00:00
3.515,3.52,3.435,3.441,5151.16,2023-01-02 11:00:00
3.44,3.595,3.44,3.557,11736.75,2023-01-02 12:00:00
3.566,3.566,3.473,3.492,6287.08,2023-01-02 13:00:00
3.505,3.598,3.497,3.544,36208.63,2023-01-02 14:00:00
3.544,3.544,3.397,3.416,8225.77,2023-01-02 15:00:00
3.412,3.465,3.384,3.454,3718.71,2023-01-02 16:00:00
3.461,3.496,3.415,3.436,3404.23,2023-01-02 17:00:00
3.441,3.479,3.382,3.396,3149.95,2023-01-02 18:00:00
3.403,3.519,3.4,3.475,6197.24,2023-01-02 19:00:00
3.46,3.492,3.435,3.472,19799.68,2023-01-02 20:00:00
3.473,3.559,3.459,3.532,4366.51,2023-01-02 21:00:00
3.514,3.653,3.5,3.637,13690.94,2023-01-02 22:00:00
3.619,3.628,3.586,3.597,11704.85,2023-01-02 23:00:00
3.597,3.649,3.59,3.633,2860.26,2023-01-03 00:00:00
3.636,3.653,3.608,3.609,3070.93,2023-01-03 01:00:00
3.607,3.654,3.603,3.651,10950.45,2023-01-03 02:00:00
3.643,3.66,3.614,3.617,4364.93,2023-01-03 03:00:00
3.629,3.71,3.587,3.59,20656.32,2023-01-03 04:00:00
3.577,3.6,3.525,3.559,4227.29,2023-01-03 05:00:00
