Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
3.577,3.605,3.555,3.594,1785.1,2023-01-01 00:00:00
3.604,3.663,3.604,3.654,1620.2,2023-01-01 01:00:00
3.686,3.716,3.6,3.643,2839.2,2023-01-01 02:00:00
3.621,3.686,3.603,3.66,4322.5,2023-01-01 03:00:00
3.662,3.716,3.654,3.654,4258.5,2023-01-01 04:00:00
3.658,3.658,3.566,3.639,2082.1,2023-01-01 05:00:00
3.629,3.651,3.578,3.58,1620.4,2023-01-01 06:00:00
3.57,3.57,3.411,3.475,3534.1,2023-01-01 07:00:00
3.468,3.662,3.46,3.582,2202.3,2023-01-01 08:00:00
3.628,3.658,3.552,3.552,1869.2,2023-01-01 09:00:00
3.578,3.672,3.578,3.672,571.6,2023-01-01 10:00:00
3.678,3.678,3.605,3.62,391.6,2023-01-01 11:00:00
3.587,3.591,3.566,3.591,522.2,2023-01-01 12:00:00
3.613,3.693,3.612,3.675,480.5,2023-01-01 13:00:00
3.672,3.733,3.672,3.687,2013.3,2023-01-01 14:00:00
3.678,3.685,3.655,3.685,201.4,2023-01-01 15:00:00
3.687,3.739,3.687,3.719,2191.2,2023-01-01 16:00:00
3.741,3.791,3.716,3.783,2645.2,2023-01-01 17:00:00
3.784,3.882,3.784,3.818,4586.8,2023-01-01 18:00:00
3.808,3.808,3.737,3.737,2185.4,2023-01-01 19:00:00
3.746,3.787,3.721,3.738,2251.5,2023-01-01 20:00:00
3.738,3.738,3.674,3.683,1827.2,2023-01-01 21:00:00
3.716,3.74,3.654,3.715,1564.1,2023-01-01 22:00:00
3.688,3.734,3.688,3.715,789.6,2023-01-01 23:00:00
3.715,3.72,3.674,3.674,1177.1,2023-01-02 00:00:00
3.655,3.674,3.604,3.609,2902.0,2023-01-02 01:00:00
3.588,3.63,3.549,3.591,5681.1,2023-01-02 02:00:00
3.589,3.611,3.589,3.599,1324.5,2023-01-02 03:00:00
3.594,3.61,3.441,3.557,2795.1,2023-01-02 04:00:00
3.537,3.722,3.523,3.606,10775.2,2023-01-02 05:00:00
3.612,3.7,3.57,3.693,2292.8,2023-01-02 06:00:00
3.713,3.772,3.696,3.722,3257.6,2023-01-02 07:00:00
3.709,3.742,3.692,3.741,1464.3,2023-01-02 08:00:00
3.69,3.72,3.683,3.72,288.2,2023-01-02 09:00:00
3.71,3.755,3.71,3.745,5119.3,2023-01-02 10:00:00
3.739,3.74,3.72,3.723,1345.3,2023-01-02 11:00:00
3.74,3.74,3.738,3.738,170.2,2023-01-02 12:00:00
3.737,3.789,3.721,3.786,1085.1,2023-01-02 13:00:00
3.794,3.8,3.745,3.745,2014.3,2023-01-02 14:00:00
3.744,3.744,3.655,3.696,4175.7,2023-01-02 15:00:00
3.681,3.716,3.639,3.7,3026.2,2023-01-02 16:00:00
3.69,3.697,3.629,3.639,707.5,2023-01-02 17:00:00
3.663,3.667,3.563,3.584,3932.9,2023-01-02 18:00:00
3.581,3.653,3.581,3.62,650.1,2023-01-02 19:00:00
3.604,3.657,3.603,3.631,830.3,2023-01-02 20:00:00
3.604,3.63,3.548,3.581,4346.5,2023-01-02 21:00:00
3.582,3.591,3.55,3.563,4353.8,2023-01-02 22:00:00
