Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
2.148,2.192,2.14,2.17,8296.51,2023-01-01 00:00:00
2.171,2.201,2.171,2.176,6199.46,2023-01-01 01:00:00
2.166,2.19,2.106,2.118,7713.92,2023-01-01 02:00:00
2.112,2.13,2.106,2.119,2843.56,2023-01-01 03:00:00
2.119,2.136,2.103,2.103,3803.95,2023-01-01 04:00:00
2.104,2.104,2.055,2.094,16649.74,2023-01-01 05:00:00
2.088,2.088,2.034,2.034,5744.98,2023-01-01 06:00:00
2.034,2.034,1.967,2.01,43821.72,2023-01-01 07:00:00
2.007,2.076,2.007,2.053,12089.07,2023-01-01 08:00:00
2.064,2.094,2.044,2.052,7069.25,2023-01-01 09:00:00
2.053,2.12,2.049,2.106,3132.29,2023-01-01 10:00:00
2.111,2.124,2.1,2.122,5318.03,2023-01-01 11:00:00
2.112,2.154,2.106,2.154,4151.45,2023-01-01 12:00:00
2.148,2.179,2.144,2.172,6689.26,2023-01-01 13:00:00
2.171,2.237,2.166,2.202,12159.51,2023-01-01 14:00:00
2.2,2.209,2.162,2.185,8568.86,2023-01-01 15:00:00
2.186,2.208,2.169,2.184,5096.98,2023-01-01 16:00:00
2.181,2.238,2.178,2.232,6644.02,2023-01-01 17:00:00
2.226,2.254,2.222,2.231,8684.47,2023-01-01 18:00:00
2.238,2.268,2.22,2.238,12853.95,2023-01-01 19:00:00
2.232,2.233,2.168,2.177,11590.76,2023-01-01 20:00:00
2.178,2.19,2.147,2.165,15438.23,2023-01-01 21:00:00
2.17,2.176,2.143,2.16,21075.03,2023-01-01 22:00:00
2.154,2.166,2.148,2.154,4466.63,2023-01-01 23:00:00
2.156,2.156,2.106,2.106,12036.1,2023-01-02 00:00:00
2.109,2.111,2.054,2.056,22929.88,2023-01-02 01:00:00
2.053,2.076,2.017,2.055,18108.0,2023-01-02 02:00:00
2.055,2.081,2.052,2.081,2827.32,2023-01-02 03:00:00
2.082,2.098,1.999,2.088,22839.84,2023-01-02 04:00:00
2.082,2.088,2.043,2.053,11181.06,2023-01-02 05:00:00
2.05,2.124,2.036,2.117,9428.73,2023-01-02 06:00:00
2.112,2.19,2.11,2.162,17898.15,2023-01-02 07:00:00
2.162,2.207,2.145,2.184,12306.19,2023-01-02 08:00:00
2.178,2.184,2.14,2.178,5129.89,2023-01-02 09:00:00
2.172,2.178,2.159,2.167,1572.71,2023-01-02 10:00:00
2.16,2.172,2.15,2.167,894.78,2023-01-02 11:00:00
2.166,2.205,2.166,2.19,7567.98,2023-01-02 12:00:00
2.184,2.192,2.167,2.19,5119.6,2023-01-02 13:00:00
2.195,2.203,2.17,2.172,6581.67,2023-01-02 14:00:00
2.166,2.189,2.123,2.161,19119.58,2023-01-02 15:00:00
2.159,2.159,2.136,2.145,5983.13,2023-01-02 16:00:00
2.143,2.16,2.14,2.148,2451.21,2023-01-02 17:00:00
2.154,2.186,2.103,2.108,7271.85,2023-01-02 18:00:00
2.112,2.176,2.097,2.169,6856.32,2023-01-02 19:00:00
2.172,2.268,2.146,2.256,6569.01,2023-01-02 20:00:00
2.25,2.311,2.218,2.231,56261.22,2023-01-02 21:00:00
2.232,2.268,2.208,2.259,6791.29,2023-01-02 22:00:00
2.258,2.292,2.25,2.282,18257.63,2023-01-02 23:00:00
2.291,2.375,2.284,2.362,23708.17,2023-01-03 00:00:00
2.358,2.358,2.31,2.328,3959.89,2023-01-03 01:00:00
2.327,2.332,2.29,2.293,21387.25,2023-01-03 02:00:00
2.293,2.305,2.277,2.278,19096.99,2023-01-03 03:00:00
2.279,2.289,2.262,2.268,2013.39,2023-01-03 04:00:00
2.27,2.294,2.259,2.262,14411.01,2023-01-03 05:00:00
2.26,2.266,2.226,2.235,3830.5,2023-01-03 06:00:00
2.236,2.257,2.223,2.241,4869.62,2023-01-03 07:00:00
2.242,2.279,2.242,2.268,3784.12,2023-01-03 08:00:00
2.274,2.31,2.273,2.286,8902.03,2023-01-03 09:00:00
2.281,2.294,2.26,2.276,2916.33,2023-01-03 10:00:00
2.277,2.289,2.254,2.255,3663.62,2023-01-03 11:00:00
2.25,2.253,2.225,2.225,3073.02,2023-01-03 12:00:00
2.228,2.239,2.214,2.218,2889.87,2023-01-03 13:00:00
2.219,2.223,2.188,2.192,7569.34,2023-01-03 14:00:00
2.193,2.208,2.183,2.186,2343.52,2023-01-03 15:00:00
2.185,2.19,2.176,2.185,6344.87,2023-01-03 16:00:00
2.185,2.206,2.18,2.196,11395.53,2023-01-03 17:00:00
2.194,2.205,2.188,2.2,4080.86,2023-01-03 18:00:00
2.196,2.211,2.188,2.194,3380.77,2023-01-03 19:00:00
2.196,2.202,2.183,2.202,2383.22,2023-01-03 20:00:00
2.199,2.218,2.192,2.218,3750.2,2023-01-03 21:00:00
2.22,2.22,2.192,2.196,2337.24,2023-01-03 22:00:00
2.19,2.19,2.159,2.168,5528.2,2023-01-03 23:00:00
2.172,2.184,2.154,2.175,7394.45,2023-01-04 00:00:00
2.176,2.177,2.133,2.143,12101.87,2023-01-04 01:00:00
2.148,2.166,2.148,2.163,2964.21,2023-01-04 02:00:00
2.164,2.17,2.164,2.17,1405.92,2023-01-04 03:00:00
2.16,2.168,2.153,2.153,1477.2,2023-01-04 04:00:00
2.16,2.181,2.158,2.172,3267.17,2023-01-04 05:00:00
2.166,2.184,2.164,2.184,1273.6,2023-01-04 06:00:00
2.184,2.189,2.15,2.15,3136.77,2023-01-04 07:00:00
2.148,2.157,2.145,2.152,1552.26,2023-01-04 08:00:00
2.155,2.162,2.154,2.154,1006.68,2023-01-04 09:00:00
2.153,2.168,2.142,2.142,468.41,2023-01-04 10:00:00
2.14,2.14,2.127,2.136,1619.67,2023-01-04 11:00:00
2.132,2.133,2.124,2.133,107.93,2023-01-04 12:00:00
2.127,2.142,2.125,2.135,1335.93,2023-01-04 13:00:00
2.131,2.131,2.101,2.103,7166.67,2023-01-04 14:00:00
2.104,2.118,2.088,2.099,3221.63,2023-01-04 15:00:00
2.106,2.137,2.106,2.136,4605.93,2023-01-04 16:00:00
2.136,2.152,2.135,2.152,1020.61,2023-01-04 17:00:00
2.142,2.166,2.136,2.154,4709.61,2023-01-04 18:00:00
2.159,2.163,2.144,2.163,4998.49,2023-01-04 19:00:00
2.159,2.181,2.143,2.143,11907.94,2023-01-04 20:00:00
2.142,2.166,2.133,2.163,1115.43,2023-01-04 21:00:00
2.164,2.172,2.123,2.124,7682.66,2023-01-04 22:00:00
2.122,2.145,2.122,2.145,3192.88,2023-01-04 23:00:00
2.146,2.155,2.124,2.153,8286.34,2023-01-05 00:00:00
2.154,2.154,2.135,2.136,4893.92,2023-01-05 01:00:00
2.136,2.147,2.125,2.126,9815.33,2023-01-05 02:00:00
2.128,2.139,2.124,2.139,6092.67,2023-01-05 03:00:00
2.132,2.16,2.132,2.16,5664.11,2023-01-05 04:00:00
2.16,2.174,2.152,2.167,3106.13,2023-01-05 05:00:00
2.164,2.172,2.14,2.148,1291.32,2023-01-05 06:00:00
2.154,2.161,2.11,2.113,3916.59,2023-01-05 07:00:00
2.109,2.124,2.09,2.093,1336.77,2023-01-05 08:00:00
2.098,2.1,2.062,2.082,5475.65,2023-01-05 09:00:00
2.086,2.114,2.076,2.114,1464.73,2023-01-05 10:00:00
2.111,2.119,2.111,2.115,349.9,2023-01-05 11:00:00
2.112,2.112,2.088,2.09,943.65,2023-01-05 12:00:00
2.084,2.084,2.047,2.072,3816.59,2023-01-05 13:00:00
2.07,2.07,2.02,2.021,5833.88,2023-01-05 14:00:00
2.033,2.039,2.002,2.014,11092.03,2023-01-05 15:00:00
2.016,2.049,2.015,2.049,10130.09,2023-01-05 16:00:00
2.048,2.048,1.988,1.993,3532.98,2023-01-05 17:00:00
1.989,2.002,1.965,1.989,6664.63,2023-01-05 18:00:00
1.989,2.042,1.978,2.024,17215.41,2023-01-05 19:00:00
2.024,2.065,1.995,2.044,25335.41,2023-01-05 20:00:00
2.045,2.049,1.95,1.973,15938.33,2023-01-05 21:00:00
1.97,1.999,1.97,1.987,3078.79,2023-01-05 22:00:00
1.994,2.008,1.984,1.984,2216.77,2023-01-05 23:00:00
1.981,1.998,1.98,1.986,3281.69,2023-01-06 00:00:00
1.983,1.985,1.965,1.967,10765.66,2023-01-06 01:00:00
1.958,1.966,1.819,1.842,89592.09,2023-01-06 02:00:00
1.841,1.851,1.53,1.786,144303.89,2023-01-06 03:00:00
1.784,1.838,1.63,1.816,75308.97,2023-01-06 04:00:00
1.812,1.922,1.8,1.834,44192.54,2023-01-06 05:00:00
1.831,1.883,1.786,1.869,9042.78,2023-01-06 06:00:00
1.871,1.871,1.833,1.851,1902.44,2023-01-06 07:00:00
1.852,1.852,1.781,1.781,4792.36,2023-01-06 08:00:00
1.786,1.79,1.706,1.764,24341.79,2023-01-06 09:00:00
1.765,1.803,1.734,1.803,11273.34,2023-01-06 10:00:00
1.802,1.811,1.775,1.806,8169.0,2023-01-06 11:00:00
1.812,1.881,1.805,1.881,20662.19,2023-01-06 12:00:00
1.878,1.878,1.852,1.858,7708.97,2023-01-06 13:00:00
1.849,1.862,1.838,1.862,4583.06,2023-01-06 14:00:00
1.858,1.892,1.857,1.868,10501.91,2023-01-06 15:00:00
1.88,1.908,1.88,1.892,3574.43,2023-01-06 16:00:00
1.894,1.894,1.837,1.848,27431.1,2023-01-06 17:00:00
1.843,1.843,1.781,1.781,4000.68,2023-01-06 18:00:00
1.785,1.824,1.783,1.806,10857.96,2023-01-06 19:00:00
1.814,1.83,1.782,1.785,3754.2,2023-01-06 20:00:00
1.794,1.795,1.704,1.704,38320.28,2023-01-06 21:00:00
1.705,1.76,1.677,1.76,39364.89,2023-01-06 22:00:00
1.748,1.748,1.669,1.669,27760.99,2023-01-06 23:00:00
1.67,1.725,1.661,1.71,9841.39,2023-01-07 00:00:00
1.712,1.795,1.712,1.795,12534.33,2023-01-07 01:00:00
1.789,1.803,1.779,1.799,2647.85,2023-01-07 02:00:00
1.802,1.832,1.802,1.809,9224.56,2023-01-07 03:00:00
1.821,1.84,1.817,1.822,5256.31,2023-01-07 04:00:00
1.821,1.863,1.821,1.842,9735.99,2023-01-07 05:00:00
1.843,1.85,1.797,1.81,3306.1,2023-01-07 06:00:00
1.805,1.807,1.762,1.764,2704.9,2023-01-07 07:00:00
1.759,1.859,1.757,1.826,4754.4,2023-01-07 08:00:00
1.827,1.842,1.825,1.827,1321.12,2023-01-07 09:00:00
1.835,1.835,1.816,1.822,1421.23,2023-01-07 10:00:00
1.81,1.818,1.802,1.812,1142.83,2023-01-07 11:00:00
1.818,1.846,1.816,1.846,5327.04,2023-01-07 12:00:00
1.848,1.871,1.813,1.813,8899.0,2023-01-07 13:00:00
1.815,1.874,1.815,1.864,8119.86,2023-01-07 14:00:00
1.864,1.87,1.845,1.855,11442.22,2023-01-07 15:00:00
1.86,1.863,1.842,1.843,1609.23,2023-01-07 16:00:00
1.849,1.872,1.842,1.86,8401.9,2023-01-07 17:00:00
1.87,1.886,1.864,1.875,5974.41,2023-01-07 18:00:00
1.879,1.912,1.852,1.88,29985.45,2023-01-07 19:00:00
1.884,1.908,1.855,1.894,7382.12,2023-01-07 20:00:00
1.897,1.94,1.89,1.92,10861.21,2023-01-07 21:00:00
1.918,1.934,1.881,1.887,2892.38,2023-01-07 22:00:00
1.889,1.897,1.872,1.872,4632.33,2023-01-07 23:00:00
1.872,1.894,1.872,1.883,3722.9,2023-01-08 00:00:00
1.883,1.892,1.883,1.885,1102.49,2023-01-08 01:00:00
1.894,1.905,1.888,1.896,7751.26,2023-01-08 02:00:00
1.889,1.906,1.884,1.898,19506.34,2023-01-08 03:00:00
