Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
24.69,25.14,24.55,24.98,15068.66,2023-01-01 00:00:00
24.98,25.29,24.88,24.96,10179.27,2023-01-01 01:00:00
25.0,25.11,24.01,24.24,19345.88,2023-01-01 02:00:00
24.23,24.5,24.09,24.42,13187.44,2023-01-01 03:00:00
24.43,24.63,24.09,24.18,7970.84,2023-01-01 04:00:00
24.18,24.25,23.76,24.11,11940.0,2023-01-01 05:00:00
24.13,24.26,23.72,23.76,4395.05,2023-01-01 06:00:00
23.78,23.78,23.02,23.28,10841.72,2023-01-01 07:00:00
23.27,24.1,23.26,23.75,12417.67,2023-01-01 08:00:00
23.75,24.16,23.5,23.6,8445.85,2023-01-01 09:00:00
23.61,24.39,23.56,24.15,8914.75,2023-01-01 10:00:00
24.14,24.14,23.66,23.8,9618.47,2023-01-01 11:00:00
23.82,23.88,23.52,23.85,4455.94,2023-01-01 12:00:00
23.84,24.05,23.65,23.92,10159.8,2023-01-01 13:00:00
23.94,24.23,23.9,24.05,10376.39,2023-01-01 14:00:00
24.03,24.05,23.75,23.86,5795.6,2023-01-01 15:00:00
23.84,23.98,23.72,23.95,4106.74,2023-01-01 16:00:00
23.98,24.29,23.91,24.26,6585.08,2023-01-01 17:00:00
24.24,24.85,24.18,24.6,13100.26,2023-01-01 18:00:00
24.62,24.79,24.42,24.49,8397.72,2023-01-01 19:00:00
24.51,24.53,24.02,24.18,10933.92,2023-01-01 20:00:00
24.17,24.55,23.94,24.28,10385.23,2023-01-01 21:00:00
24.31,24.6,23.97,24.32,11198.45,2023-01-01 22:00:00
24.33,24.58,24.22,24.51,3704.13,2023-01-01 23:00:00
24.52,24.6,24.11,24.14,14753.52,2023-01-02 00:00:00
24.15,24.27,23.59,23.7,16920.97,2023-01-02 01:00:00
23.7,23.82,23.2,23.53,21025.03,2023-01-02 02:00:00
23.54,23.9,23.42,23.84,8930.08,2023-01-02 03:00:00
23.81,24.0,21.7,23.45,33453.02,2023-01-02 04:00:00
23.45,23.69,23.03,23.17,14535.72,2023-01-02 05:00:00
23.18,23.88,23.08,23.85,12636.1,2023-01-02 06:00:00
23.85,24.01,23.72,23.9,14904.68,2023-01-02 07:00:00
23.89,24.03,23.72,23.96,10341.59,2023-01-02 08:00:00
23.97,24.12,23.67,24.03,6896.61,2023-01-02 09:00:00
24.02,24.27,23.91,24.22,2997.69,2023-01-02 10:00:00
24.23,24.26,23.95,24.02,2188.94,2023-01-02 11:00:00
23.99,24.22,23.91,24.01,19981.0,2023-01-02 12:00:00
24.01,24.01,23.75,23.82,4544.91,2023-01-02 13:00:00
23.81,24.1,23.68,23.75,6266.54,2023-01-02 14:00:00
23.74,23.76,23.24,23.48,12968.31,2023-01-02 15:00:00
23.48,23.53,23.13,23.37,6204.16,2023-01-02 16:00:00
23.35,23.53,23.16,23.32,4115.08,2023-01-02 17:00:00
23.31,23.63,22.86,22.9,7077.88,2023-01-02 18:00:00
