Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
125.5,127.18,125.33,126.38,953.677,2023-01-01 00:00:00
126.38,128.16,126.08,126.78,1563.652,2023-01-01 01:00:00
126.79,132.99,126.29,132.72,6730.184,2023-01-01 02:00:00
132.64,134.77,129.93,131.92,4184.883,2023-01-01 03:00:00
132.16,135.32,132.01,133.71,3459.295,2023-01-01 04:00:00
133.73,135.81,131.1,133.9,2541.303,2023-01-01 05:00:00
133.93,133.93,129.8,130.52,1687.933,2023-01-01 06:00:00
130.49,130.72,125.11,126.68,2308.469,2023-01-01 07:00:00
126.62,132.83,126.62,129.19,1885.393,2023-01-01 08:00:00
129.35,132.23,127.27,127.92,2746.348,2023-01-01 09:00:00
127.96,129.56,127.22,127.77,1066.564,2023-01-01 10:00:00
127.71,129.41,125.56,126.88,1429.484,2023-01-01 11:00:00
126.7,128.81,125.58,128.16,1099.497,2023-01-01 12:00:00
128.03,129.06,127.73,128.65,653.669,2023-01-01 13:00:00
128.64,130.96,128.19,130.78,802.27,2023-01-01 14:00:00
130.65,132.25,129.71,130.07,1743.293,2023-01-01 15:00:00
130.05,130.91,129.63,130.65,588.631,2023-01-01 16:00:00
130.7,138.34,130.63,137.28,6278.939,2023-01-01 17:00:00
137.27,144.14,134.97,142.79,6151.802,2023-01-01 18:00:00
142.77,145.51,141.45,141.99,6001.695,2023-01-01 19:00:00
142.14,143.17,138.64,140.29,3686.505,2023-01-01 20:00:00
140.32,146.54,139.78,144.19,5527.842,2023-01-01 21:00:00
143.94,147.18,142.75,143.43,5979.747,2023-01-01 22:00:00
143.52,145.02,141.58,142.85,1764.533,2023-01-01 23:00:00
142.85,144.8,142.44,142.63,1337.447,2023-01-02 00:00:00
142.64,143.02,138.98,139.49,4397.77,2023-01-02 01:00:00
139.34,139.61,135.92,137.18,3720.52,2023-01-02 02:00:00
137.09,138.1,136.18,136.83,2163.191,2023-01-02 03:00:00
136.8,137.65,130.41,135.27,3931.298,2023-01-02 04:00:00
135.12,137.74,133.34,135.89,2661.037,2023-01-02 05:00:00
135.96,139.3,134.96,138.68,1734.365,2023-01-02 06:00:00
138.57,138.76,136.58,137.85,755.201,2023-01-02 07:00:00
137.79,138.01,136.14,137.04,709.575,2023-01-02 08:00:00
136.96,137.74,135.79,137.54,530.774,2023-01-02 09:00:00
137.03,138.33,137.0,138.05,364.398,2023-01-02 10:00:00
137.83,137.83,136.07,136.12,571.11,2023-01-02 11:00:00
136.06,137.11,135.79,136.6,735.298,2023-01-02 12:00:00
136.54,136.54,135.0,135.3,613.353,2023-01-02 13:00:00
135.31,135.66,133.76,134.08,1034.011,2023-01-02 14:00:00
134.0,134.38,132.26,133.5,1371.038,2023-01-02 15:00:00
133.5,133.5,131.5,133.28,1599.466,2023-01-02 16:00:00
133.19,133.52,132.26,133.14,491.11,2023-01-02 17:00:00
133.21,134.08,130.66,130.76,974.966,2023-01-02 18:00:00
130.97,133.62,130.22,132.88,1639.123,2023-01-02 19:00:00
133.03,134.53,132.63,134.19,1271.35,2023-01-02 20:00:00
