Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
1.291,1.305,1.287,1.302,44590.9,2023-01-01 00:00:00
1.301,1.333,1.301,1.323,31039.9,2023-01-01 01:00:00
1.322,1.334,1.275,1.298,48768.3,2023-01-01 02:00:00
1.299,1.315,1.291,1.312,62503.3,2023-01-01 03:00:00
1.31,1.323,1.296,1.296,13730.3,2023-01-01 04:00:00
1.297,1.302,1.259,1.284,19046.2,2023-01-01 05:00:00
1.282,1.29,1.255,1.255,14705.6,2023-01-01 06:00:00
1.255,1.255,1.168,1.206,41425.9,2023-01-01 07:00:00
1.205,1.24,1.205,1.228,18653.1,2023-01-01 08:00:00
1.227,1.248,1.21,1.216,25620.2,2023-01-01 09:00:00
1.217,1.259,1.213,1.244,30805.7,2023-01-01 10:00:00
1.243,1.246,1.222,1.232,24973.2,2023-01-01 11:00:00
1.235,1.245,1.222,1.245,9983.5,2023-01-01 12:00:00
1.246,1.256,1.242,1.254,21173.5,2023-01-01 13:00:00
1.253,1.259,1.249,1.251,17742.7,2023-01-01 14:00:00
1.25,1.254,1.237,1.244,20237.3,2023-01-01 15:00:00
1.249,1.258,1.243,1.243,13225.6,2023-01-01 16:00:00
1.242,1.259,1.241,1.259,17487.2,2023-01-01 17:00:00
1.258,1.284,1.257,1.259,32731.7,2023-01-01 18:00:00
1.258,1.273,1.253,1.262,21245.8,2023-01-01 19:00:00
1.261,1.269,1.245,1.258,25306.2,2023-01-01 20:00:00
1.255,1.264,1.237,1.247,31111.3,2023-01-01 21:00:00
1.248,1.271,1.242,1.265,31247.2,2023-01-01 22:00:00
1.266,1.277,1.251,1.277,50651.8,2023-01-01 23:00:00
1.276,1.284,1.263,1.263,39862.7,2023-01-02 00:00:00
1.266,1.276,1.235,1.237,28071.0,2023-01-02 01:00:00
1.236,1.251,1.216,1.244,80296.0,2023-01-02 02:00:00
1.244,1.252,1.237,1.249,21041.4,2023-01-02 03:00:00
1.249,1.261,1.182,1.242,70646.5,2023-01-02 04:00:00
1.239,1.256,1.222,1.234,23947.2,2023-01-02 05:00:00
1.234,1.27,1.22,1.268,18815.8,2023-01-02 06:00:00
1.272,1.29,1.268,1.277,22345.1,2023-01-02 07:00:00
1.278,1.295,1.274,1.294,35856.1,2023-01-02 08:00:00
1.293,1.299,1.278,1.287,26038.3,2023-01-02 09:00:00
1.288,1.304,1.284,1.304,38424.3,2023-01-02 10:00:00
1.304,1.305,1.287,1.289,24175.8,2023-01-02 11:00:00
1.288,1.311,1.284,1.297,46843.1,2023-01-02 12:00:00
1.297,1.3,1.288,1.293,13285.2,2023-01-02 13:00:00
1.294,1.3,1.271,1.271,16771.0,2023-01-02 14:00:00
1.272,1.272,1.247,1.257,48288.6,2023-01-02 15:00:00
1.256,1.275,1.24,1.266,47038.6,2023-01-02 16:00:00
1.266,1.277,1.257,1.264,15251.6,2023-01-02 17:00:00
1.262,1.275,1.23,1.233,45726.6,2023-01-02 18:00:00
1.235,1.274,1.229,1.265,56765.5,2023-01-02 19:00:00
1.265,1.295,1.255,1.291,26299.2,2023-01-02 20:00:00
1.29,1.332,1.286,1.306,57068.1,2023-01-02 21:00:00
1.309,1.322,1.297,1.319,37809.5,2023-01-02 22:00:00
1.318,1.33,1.315,1.322,32533.2,2023-01-02 23:00:00
1.323,1.345,1.319,1.344,54164.2,2023-01-03 00:00:00
1.343,1.349,1.334,1.34,36759.9,2023-01-03 01:00:00
1.339,1.341,1.321,1.321,63124.1,2023-01-03 02:00:00
1.324,1.338,1.32,1.32,19043.7,2023-01-03 03:00:00
1.319,1.325,1.316,1.316,14942.1,2023-01-03 04:00:00
1.315,1.323,1.305,1.315,24408.3,2023-01-03 05:00:00
1.314,1.321,1.298,1.306,13543.4,2023-01-03 06:00:00
1.307,1.316,1.303,1.311,12671.5,2023-01-03 07:00:00
1.307,1.328,1.304,1.321,10420.1,2023-01-03 08:00:00
1.321,1.338,1.311,1.333,13087.7,2023-01-03 09:00:00
1.332,1.346,1.327,1.33,33442.1,2023-01-03 10:00:00
1.331,1.342,1.326,1.326,10785.5,2023-01-03 11:00:00
1.327,1.328,1.319,1.322,9628.6,2023-01-03 12:00:00
1.32,1.326,1.31,1.323,38797.0,2023-01-03 13:00:00
1.321,1.323,1.307,1.317,12688.4,2023-01-03 14:00:00
1.316,1.348,1.316,1.329,30054.9,2023-01-03 15:00:00
1.328,1.334,1.316,1.331,18542.8,2023-01-03 16:00:00
1.331,1.34,1.326,1.333,12728.5,2023-01-03 17:00:00
1.332,1.34,1.324,1.331,48610.6,2023-01-03 18:00:00
1.331,1.333,1.322,1.331,9285.4,2023-01-03 19:00:00
1.33,1.338,1.317,1.338,21020.0,2023-01-03 20:00:00
1.337,1.339,1.324,1.338,43591.3,2023-01-03 21:00:00
1.337,1.337,1.316,1.319,21973.9,2023-01-03 22:00:00
