Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.01729,0.01734,0.01719,0.01729,91866.0,2023-01-01 00:00:00
0.01729,0.01754,0.01729,0.01745,363804.0,2023-01-01 01:00:00
0.01738,0.01753,0.01685,0.01685,136582.0,2023-01-01 02:00:00
0.01706,0.01739,0.01696,0.0173,329492.0,2023-01-01 03:00:00
0.01746,0.01752,0.01732,0.01736,1385774.0,2023-01-01 04:00:00
0.01737,0.01737,0.0168,0.01734,261380.0,2023-01-01 05:00:00
0.01717,0.01729,0.01693,0.01693,259941.0,2023-01-01 06:00:00
0.01684,0.01684,0.0154,0.01588,1606518.0,2023-01-01 07:00:00
0.01585,0.01631,0.01579,0.01611,367870.0,2023-01-01 08:00:00
0.01613,0.01653,0.01596,0.01605,1248505.0,2023-01-01 09:00:00
0.01637,0.01672,0.01637,0.0166,194182.0,2023-01-01 10:00:00
0.01657,0.01661,0.01623,0.01623,219095.0,2023-01-01 11:00:00
0.01639,0.01657,0.01614,0.01657,194158.0,2023-01-01 12:00:00
0.01655,0.0167,0.01651,0.0167,724547.0,2023-01-01 13:00:00
0.0166,0.01674,0.0166,0.01662,228485.0,2023-01-01 14:00:00
0.01653,0.01653,0.01647,0.01647,88116.0,2023-01-01 15:00:00
0.01645,0.01656,0.01644,0.01645,270297.0,2023-01-01 16:00:00
0.01647,0.01665,0.01647,0.01665,47213.0,2023-01-01 17:00:00
0.01669,0.01696,0.01669,0.01686,506926.0,2023-01-01 18:00:00
0.01674,0.01685,0.01673,0.01685,101658.0,2023-01-01 19:00:00
0.01698,0.01698,0.01663,0.01678,282735.0,2023-01-01 20:00:00
0.01674,0.01676,0.01647,0.01652,256149.0,2023-01-01 21:00:00
0.01666,0.01697,0.01666,0.01697,362964.0,2023-01-01 22:00:00
0.01688,0.01699,0.01682,0.01699,287928.0,2023-01-01 23:00:00
0.01696,0.01702,0.0168,0.0168,307297.0,2023-01-02 00:00:00
0.01677,0.01686,0.01642,0.01642,359115.0,2023-01-02 01:00:00
0.0164,0.01673,0.01627,0.01673,451407.0,2023-01-02 02:00:00
