Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
7.43,7.531,7.429,7.508,19668.1,2023-01-01 00:00:00
7.5,7.665,7.484,7.655,24273.2,2023-01-01 01:00:00
7.659,7.722,7.416,7.506,46301.8,2023-01-01 02:00:00
7.508,7.619,7.444,7.615,26295.8,2023-01-01 03:00:00
7.601,7.645,7.477,7.498,19298.7,2023-01-01 04:00:00
7.5,7.533,7.381,7.485,25304.8,2023-01-01 05:00:00
7.486,7.506,7.332,7.343,13956.1,2023-01-01 06:00:00
7.349,7.353,7.046,7.156,21621.9,2023-01-01 07:00:00
7.143,7.48,7.134,7.39,22645.0,2023-01-01 08:00:00
7.395,7.594,7.312,7.346,39338.8,2023-01-01 09:00:00
7.354,7.525,7.318,7.446,11532.8,2023-01-01 10:00:00
7.446,7.45,7.296,7.356,12853.9,2023-01-01 11:00:00
7.364,7.412,7.287,7.405,8194.2,2023-01-01 12:00:00
7.406,7.636,7.406,7.629,24386.3,2023-01-01 13:00:00
7.629,7.681,7.575,7.588,17195.0,2023-01-01 14:00:00
7.589,7.649,7.524,7.595,16918.2,2023-01-01 15:00:00
7.6,7.664,7.58,7.645,12140.1,2023-01-01 16:00:00
7.645,7.742,7.635,7.701,22306.2,2023-01-01 17:00:00
7.699,7.806,7.668,7.696,18916.7,2023-01-01 18:00:00
7.699,7.805,7.663,7.775,12328.8,2023-01-01 19:00:00
7.794,7.939,7.708,7.899,26359.2,2023-01-01 20:00:00
7.904,7.99,7.785,7.844,30938.5,2023-01-01 21:00:00
7.849,8.033,7.821,7.944,41163.7,2023-01-01 22:00:00
7.937,7.996,7.855,7.967,21836.1,2023-01-01 23:00:00
7.96,8.15,7.909,7.952,63178.1,2023-01-02 00:00:00
7.948,7.96,7.703,7.757,41655.9,2023-01-02 01:00:00
7.745,7.809,7.603,7.741,49411.5,2023-01-02 02:00:00
7.744,7.857,7.711,7.776,23066.5,2023-01-02 03:00:00
