Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
21.9,22.07,21.81,22.06,1296.91,2023-01-01 00:00:00
22.08,22.48,22.08,22.42,621.21,2023-01-01 01:00:00
22.39,22.66,21.9,22.02,1155.69,2023-01-01 02:00:00
22.13,22.27,21.89,22.27,926.92,2023-01-01 03:00:00
22.27,22.43,22.18,22.18,748.79,2023-01-01 04:00:00
22.15,22.15,21.5,22.01,677.36,2023-01-01 05:00:00
21.86,22.46,21.7,21.73,503.72,2023-01-01 06:00:00
21.67,21.67,20.86,21.32,1201.22,2023-01-01 07:00:00
21.25,21.67,21.16,21.43,489.07,2023-01-01 08:00:00
21.53,22.04,20.67,20.7,10561.01,2023-01-01 09:00:00
20.7,21.33,20.65,21.17,900.82,2023-01-01 10:00:00
21.08,21.08,20.78,20.88,788.93,2023-01-01 11:00:00
20.91,21.19,20.78,21.19,201.38,2023-01-01 12:00:00
21.06,21.37,20.98,21.37,103.49,2023-01-01 13:00:00
21.27,21.51,21.25,21.35,927.32,2023-01-01 14:00:00
21.45,21.74,21.45,21.57,579.57,2023-01-01 15:00:00
21.62,21.62,21.4,21.57,382.6,2023-01-01 16:00:00
21.67,21.85,21.67,21.82,282.71,2023-01-01 17:00:00
21.85,21.95,21.61,21.81,699.18,2023-01-01 18:00:00
21.81,21.81,21.42,21.42,3041.55,2023-01-01 19:00:00
21.45,21.7,21.26,21.41,1896.89,2023-01-01 20:00:00
21.51,21.59,21.2,21.59,2412.62,2023-01-01 21:00:00
21.54,21.79,21.36,21.62,2796.26,2023-01-01 22:00:00
21.61,21.83,21.55,21.64,645.27,2023-01-01 23:00:00
21.67,21.69,21.4,21.4,512.31,2023-01-02 00:00:00
21.36,21.54,21.04,21.07,892.1,2023-01-02 01:00:00
21.02,21.17,20.72,21.02,529.9,2023-01-02 02:00:00
21.01,21.55,21.01,21.54,697.09,2023-01-02 03:00:00
21.49,21.52,20.14,20.98,2617.43,2023-01-02 04:00:00
20.89,21.26,20.65,21.14,930.5,2023-01-02 05:00:00
21.08,21.48,20.76,21.47,2042.3,2023-01-02 06:00:00
21.5,21.69,21.35,21.51,1094.64,2023-01-02 07:00:00
21.48,21.49,21.14,21.24,1391.19,2023-01-02 08:00:00
21.21,21.36,21.06,21.32,388.3,2023-01-02 09:00:00
21.43,21.5,21.3,21.44,194.94,2023-01-02 10:00:00
21.39,21.64,21.39,21.47,1062.24,2023-01-02 11:00:00
21.34,21.46,21.2,21.26,604.39,2023-01-02 12:00:00
21.18,21.52,21.18,21.44,562.29,2023-01-02 13:00:00
21.38,21.45,21.09,21.14,1007.96,2023-01-02 14:00:00
21.14,21.14,20.73,20.8,2009.79,2023-01-02 15:00:00
20.81,20.82,20.31,20.72,2182.23,2023-01-02 16:00:00
20.72,20.79,20.48,20.48,717.52,2023-01-02 17:00:00
20.65,20.78,20.07,20.1,1214.53,2023-01-02 18:00:00
20.14,20.51,19.89,20.35,2797.92,2023-01-02 19:00:00
20.48,20.68,20.22,20.65,841.51,2023-01-02 20:00:00
20.62,21.15,20.55,20.85,1114.68,2023-01-02 21:00:00
20.86,20.94,20.75,20.94,344.29,2023-01-02 22:00:00
20.94,21.17,20.88,21.06,1406.04,2023-01-02 23:00:00
21.03,21.17,20.98,21.05,1506.86,2023-01-03 00:00:00
21.02,21.17,20.98,21.16,723.54,2023-01-03 01:00:00
21.13,21.42,21.1,21.31,2394.73,2023-01-03 02:00:00
21.29,21.54,21.17,21.18,4438.48,2023-01-03 03:00:00
21.22,21.76,21.22,21.72,1450.14,2023-01-03 04:00:00
21.65,21.67,21.34,21.53,4760.31,2023-01-03 05:00:00
