Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
14.56,14.87,14.56,14.65,407.73,2023-01-01 00:00:00
14.65,14.7,14.6,14.62,238.33,2023-01-01 01:00:00
14.6,14.71,14.21,14.21,1172.85,2023-01-01 02:00:00
14.25,14.6,14.25,14.55,359.48,2023-01-01 03:00:00
14.53,14.57,14.4,14.43,265.8,2023-01-01 04:00:00
14.4,14.4,14.03,14.4,113.65,2023-01-01 05:00:00
14.3,14.4,13.94,14.03,59.85,2023-01-01 06:00:00
13.86,13.86,13.31,13.62,481.18,2023-01-01 07:00:00
13.6,13.93,13.6,13.88,283.76,2023-01-01 08:00:00
13.9,14.47,13.71,13.82,518.23,2023-01-01 09:00:00
13.9,14.29,13.9,14.1,70.41,2023-01-01 10:00:00
14.06,14.06,13.86,13.9,38.86,2023-01-01 11:00:00
13.92,14.04,13.76,14.03,113.63,2023-01-01 12:00:00
14.1,14.17,14.1,14.15,27.83,2023-01-01 13:00:00
14.13,14.13,13.93,13.94,46.47,2023-01-01 14:00:00
13.94,13.94,13.77,13.78,177.46,2023-01-01 15:00:00
13.77,13.82,13.67,13.7,92.18,2023-01-01 16:00:00
13.65,13.77,13.63,13.77,118.73,2023-01-01 17:00:00
13.73,13.9,13.73,13.85,227.76,2023-01-01 18:00:00
13.76,13.84,13.75,13.84,77.81,2023-01-01 19:00:00
13.81,13.9,13.7,13.89,417.2,2023-01-01 20:00:00
13.87,13.92,13.65,13.78,77.27,2023-01-01 21:00:00
13.85,14.15,13.8,14.08,512.52,2023-01-01 22:00:00
14.08,14.1,13.99,14.05,171.28,2023-01-01 23:00:00
14.04,14.04,13.71,13.71,271.98,2023-01-02 00:00:00
13.65,13.73,13.41,13.41,144.87,2023-01-02 01:00:00
13.39,13.61,13.25,13.53,1393.93,2023-01-02 02:00:00
13.46,13.6,13.46,13.6,226.87,2023-01-02 03:00:00
13.67,13.67,13.09,13.55,1338.96,2023-01-02 04:00:00
13.59,13.78,13.35,13.56,215.48,2023-01-02 05:00:00
13.47,13.93,13.43,13.93,301.93,2023-01-02 06:00:00
13.92,14.05,13.87,14.04,104.27,2023-01-02 07:00:00
13.91,14.04,13.9,14.04,81.66,2023-01-02 08:00:00
13.92,13.92,13.92,13.92,1.59,2023-01-02 09:00:00
13.95,13.96,13.86,13.9,17.71,2023-01-02 10:00:00
13.8,13.8,13.73,13.73,9.49,2023-01-02 11:00:00
13.69,13.87,13.66,13.84,1394.21,2023-01-02 12:00:00
