Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.3566,0.3626,0.3566,0.3621,33386.0,2023-01-01 00:00:00
0.3614,0.37,0.3614,0.3689,33097.0,2023-01-01 01:00:00
0.3681,0.3712,0.3583,0.3608,21862.0,2023-01-01 02:00:00
0.3599,0.3656,0.3585,0.3632,17418.0,2023-01-01 03:00:00
0.3642,0.3646,0.3607,0.3607,11634.0,2023-01-01 04:00:00
0.3613,0.3623,0.3508,0.356,19616.0,2023-01-01 05:00:00
0.3532,0.3625,0.3527,0.3586,75715.0,2023-01-01 06:00:00
0.3589,0.3589,0.3432,0.3472,46975.0,2023-01-01 07:00:00
0.348,0.3579,0.3478,0.356,44403.0,2023-01-01 08:00:00
0.3556,0.358,0.341,0.3416,61407.0,2023-01-01 09:00:00
0.3418,0.3529,0.3415,0.3482,44820.0,2023-01-01 10:00:00
0.3458,0.3474,0.3422,0.3468,5069.0,2023-01-01 11:00:00
0.3458,0.3514,0.3441,0.3514,29413.0,2023-01-01 12:00:00
0.3517,0.3573,0.3506,0.3573,8446.0,2023-01-01 13:00:00
0.3551,0.3565,0.3526,0.3526,11722.0,2023-01-01 14:00:00
0.3544,0.3564,0.352,0.3544,6403.0,2023-01-01 15:00:00
0.354,0.3584,0.3526,0.3571,16823.0,2023-01-01 16:00:00
0.3579,0.3627,0.3568,0.3625,19594.0,2023-01-01 17:00:00
0.3611,0.3625,0.3557,0.3593,20631.0,2023-01-01 18:00:00
0.358,0.3591,0.3546,0.3571,16783.0,2023-01-01 19:00:00
0.3567,0.3576,0.3515,0.3547,11471.0,2023-01-01 20:00:00
0.3547,0.3565,0.3493,0.3516,16173.0,2023-01-01 21:00:00
0.3516,0.3546,0.3493,0.3533,28356.0,2023-01-01 22:00:00
0.3533,0.3563,0.3524,0.3563,44731.0,2023-01-01 23:00:00
0.3564,0.3564,0.3531,0.3531,4592.0,2023-01-02 00:00:00
0.3515,0.3542,0.3463,0.3463,5633.0,2023-01-02 01:00:00
0.3454,0.3495,0.3425,0.3483,5778.0,2023-01-02 02:00:00
0.3487,0.3521,0.3487,0.352,2712.0,2023-01-02 03:00:00
0.3522,0.3549,0.3348,0.3469,21431.0,2023-01-02 04:00:00
0.3417,0.3498,0.3407,0.3457,36096.0,2023-01-02 05:00:00
0.3455,0.3522,0.3408,0.3522,7289.0,2023-01-02 06:00:00
0.3532,0.3579,0.3508,0.3559,14543.0,2023-01-02 07:00:00
0.3544,0.3544,0.3494,0.3523,2852.0,2023-01-02 08:00:00
0.3499,0.3499,0.3462,0.3488,6752.0,2023-01-02 09:00:00
0.3499,0.3522,0.3491,0.3522,2016.0,2023-01-02 10:00:00
0.352,0.3541,0.3493,0.3493,1468.0,2023-01-02 11:00:00
0.349,0.351,0.3484,0.349,10216.0,2023-01-02 12:00:00
0.3487,0.3503,0.3474,0.3496,3579.0,2023-01-02 13:00:00
0.3495,0.3511,0.3481,0.3485,17234.0,2023-01-02 14:00:00
0.3463,0.3464,0.3396,0.3421,9546.0,2023-01-02 15:00:00
0.3424,0.3424,0.334,0.3395,9803.0,2023-01-02 16:00:00
0.3406,0.3418,0.3386,0.3386,2503.0,2023-01-02 17:00:00
0.3402,0.342,0.3307,0.3307,3455.0,2023-01-02 18:00:00
0.3308,0.3357,0.3268,0.3342,34897.0,2023-01-02 19:00:00
0.3358,0.3399,0.3323,0.3399,3983.0,2023-01-02 20:00:00
0.3386,0.344,0.3385,0.3404,7965.0,2023-01-02 21:00:00
0.3407,0.3434,0.3401,0.3428,10109.0,2023-01-02 22:00:00
0.3442,0.347,0.3434,0.3464,3843.0,2023-01-02 23:00:00
0.3453,0.348,0.3453,0.3467,4954.0,2023-01-03 00:00:00
0.3466,0.3503,0.3466,0.35,6116.0,2023-01-03 01:00:00
0.3509,0.3513,0.3491,0.3494,10986.0,2023-01-03 02:00:00
0.3505,0.3531,0.3488,0.3497,19287.0,2023-01-03 03:00:00
0.3486,0.3536,0.3476,0.3536,8585.0,2023-01-03 04:00:00
0.3522,0.3545,0.3496,0.3516,4088.0,2023-01-03 05:00:00
0.3523,0.3599,0.3508,0.3544,13036.0,2023-01-03 06:00:00
0.3568,0.3594,0.356,0.3578,11230.0,2023-01-03 07:00:00
0.3588,0.3601,0.3565,0.3586,14739.0,2023-01-03 08:00:00
0.3585,0.3585,0.3522,0.354,6520.0,2023-01-03 09:00:00
0.3527,0.3556,0.3513,0.3551,6488.0,2023-01-03 10:00:00
0.3555,0.3563,0.3518,0.3527,5217.0,2023-01-03 11:00:00
0.3527,0.3602,0.3527,0.3569,45966.0,2023-01-03 12:00:00
0.3559,0.3564,0.3455,0.3498,37368.0,2023-01-03 13:00:00
0.3508,0.3559,0.3493,0.3547,6304.0,2023-01-03 14:00:00
0.355,0.3578,0.3529,0.3535,5076.0,2023-01-03 15:00:00
0.3531,0.3538,0.3487,0.3503,4399.0,2023-01-03 16:00:00
0.3517,0.3522,0.3507,0.3518,6940.0,2023-01-03 17:00:00
0.3504,0.3539,0.3504,0.3526,5817.0,2023-01-03 18:00:00
0.3528,0.3532,0.352,0.3526,2592.0,2023-01-03 19:00:00
0.3535,0.3549,0.3512,0.3544,1412.0,2023-01-03 20:00:00
0.354,0.354,0.3508,0.3512,3030.0,2023-01-03 21:00:00
0.3516,0.3522,0.3486,0.3496,3430.0,2023-01-03 22:00:00
0.3494,0.3495,0.3445,0.3451,17410.0,2023-01-03 23:00:00
0.3463,0.3493,0.3463,0.3493,2743.0,2023-01-04 00:00:00
0.3499,0.3507,0.3468,0.3468,23665.0,2023-01-04 01:00:00
0.3464,0.3472,0.3451,0.3467,4324.0,2023-01-04 02:00:00
0.3449,0.347,0.3444,0.347,2015.0,2023-01-04 03:00:00
0.3459,0.3467,0.3459,0.3467,1371.0,2023-01-04 04:00:00
0.3469,0.3493,0.3469,0.3493,1660.0,2023-01-04 05:00:00
0.3457,0.3489,0.3438,0.3489,35273.0,2023-01-04 06:00:00
0.3489,0.3495,0.3456,0.3457,3315.0,2023-01-04 07:00:00
0.3449,0.3485,0.3449,0.3478,991.0,2023-01-04 08:00:00
0.3476,0.3476,0.3449,0.3449,27066.0,2023-01-04 09:00:00
0.3447,0.3447,0.3419,0.342,527.0,2023-01-04 10:00:00
0.3409,0.3414,0.3385,0.3399,3516.0,2023-01-04 11:00:00
0.3398,0.341,0.3379,0.341,652.0,2023-01-04 12:00:00
0.3426,0.3446,0.3425,0.3446,7511.0,2023-01-04 13:00:00
0.3443,0.3443,0.3387,0.3389,19682.0,2023-01-04 14:00:00
0.339,0.3428,0.3368,0.339,6650.0,2023-01-04 15:00:00
0.3419,0.3452,0.3416,0.344,1967.0,2023-01-04 16:00:00
0.3441,0.3479,0.3434,0.3478,2343.0,2023-01-04 17:00:00
0.3462,0.3514,0.3452,0.35,4894.0,2023-01-04 18:00:00
0.3498,0.3534,0.3496,0.3523,35645.0,2023-01-04 19:00:00
0.3517,0.3519,0.3476,0.3477,4267.0,2023-01-04 20:00:00
0.3477,0.3485,0.3452,0.3471,8016.0,2023-01-04 21:00:00
0.3475,0.3475,0.3434,0.344,30323.0,2023-01-04 22:00:00
0.344,0.3476,0.3434,0.3469,11326.0,2023-01-04 23:00:00
0.3478,0.3479,0.3448,0.3468,6501.0,2023-01-05 00:00:00
0.347,0.3482,0.3458,0.3482,28786.0,2023-01-05 01:00:00
