Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
46.61,47.27,46.25,47.27,803.16,2023-01-01 00:00:00
47.23,48.02,47.21,47.6,471.93,2023-01-01 01:00:00
47.6,48.38,46.92,47.48,850.5,2023-01-01 02:00:00
47.44,48.37,47.17,48.12,1178.76,2023-01-01 03:00:00
48.14,49.03,47.48,47.55,1081.61,2023-01-01 04:00:00
47.58,47.83,45.68,46.5,1208.39,2023-01-01 05:00:00
46.34,46.63,45.98,46.54,75.26,2023-01-01 06:00:00
46.37,46.37,44.33,45.71,684.18,2023-01-01 07:00:00
45.7,48.22,45.7,48.22,311.19,2023-01-01 08:00:00
48.25,49.44,47.13,47.13,1096.32,2023-01-01 09:00:00
47.34,47.63,46.76,46.76,65.58,2023-01-01 10:00:00
46.89,47.17,45.82,46.48,220.05,2023-01-01 11:00:00
46.4,47.16,45.9,46.99,55.32,2023-01-01 12:00:00
46.91,47.36,46.91,47.31,107.12,2023-01-01 13:00:00
47.21,48.56,47.16,47.29,881.22,2023-01-01 14:00:00
47.13,47.49,46.96,47.35,124.34,2023-01-01 15:00:00
47.27,47.79,46.77,46.9,1005.15,2023-01-01 16:00:00
47.04,47.55,47.01,47.37,210.28,2023-01-01 17:00:00
47.41,48.06,47.41,47.99,66.38,2023-01-01 18:00:00
47.98,49.11,47.6,47.66,952.92,2023-01-01 19:00:00
47.69,47.87,47.01,47.51,164.54,2023-01-01 20:00:00
47.27,47.41,46.51,47.37,344.3,2023-01-01 21:00:00
47.46,47.78,47.01,47.75,440.85,2023-01-01 22:00:00
47.39,47.8,47.13,47.7,61.46,2023-01-01 23:00:00
47.72,47.84,47.37,47.41,273.81,2023-01-02 00:00:00
47.13,47.42,46.19,46.39,1409.55,2023-01-02 01:00:00
46.14,47.49,45.96,47.48,324.28,2023-01-02 02:00:00
47.5,47.63,47.11,47.25,297.0,2023-01-02 03:00:00
47.48,47.48,44.85,46.79,234.9,2023-01-02 04:00:00
46.99,47.71,46.24,47.01,761.68,2023-01-02 05:00:00
46.77,48.58,46.77,48.5,289.05,2023-01-02 06:00:00
48.52,48.69,48.01,48.02,183.97,2023-01-02 07:00:00
47.9,48.11,47.57,47.86,127.29,2023-01-02 08:00:00
47.75,48.15,47.48,48.05,27.91,2023-01-02 09:00:00
48.17,48.41,47.98,48.07,38.21,2023-01-02 10:00:00
47.93,47.93,47.68,47.68,20.12,2023-01-02 11:00:00
47.68,48.19,47.68,47.84,159.29,2023-01-02 12:00:00
47.83,47.87,47.69,47.82,63.0,2023-01-02 13:00:00
47.94,48.03,47.55,47.55,389.61,2023-01-02 14:00:00
47.48,47.51,46.68,47.28,189.07,2023-01-02 15:00:00
46.91,46.91,46.27,46.77,50.65,2023-01-02 16:00:00
46.55,46.77,46.37,46.73,120.83,2023-01-02 17:00:00
46.77,46.99,45.57,45.64,234.79,2023-01-02 18:00:00
45.83,46.78,45.47,46.48,283.18,2023-01-02 19:00:00
46.77,47.0,46.25,47.0,145.4,2023-01-02 20:00:00
