Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
6.568,6.622,6.506,6.587,11176.6,2023-01-01 00:00:00
6.577,6.667,6.57,6.63,7153.1,2023-01-01 01:00:00
6.634,6.773,6.537,6.609,12991.6,2023-01-01 02:00:00
6.622,6.669,6.544,6.575,10491.1,2023-01-01 03:00:00
6.567,6.602,6.515,6.53,7109.2,2023-01-01 04:00:00
6.54,6.545,6.337,6.413,41891.9,2023-01-01 05:00:00
6.422,6.422,6.288,6.3,7146.9,2023-01-01 06:00:00
6.299,6.311,6.111,6.291,9580.4,2023-01-01 07:00:00
6.291,6.516,6.288,6.455,9221.9,2023-01-01 08:00:00
6.459,6.578,6.391,6.43,16788.8,2023-01-01 09:00:00
6.42,6.531,6.414,6.436,12181.6,2023-01-01 10:00:00
6.432,6.454,6.337,6.389,11454.2,2023-01-01 11:00:00
6.402,6.433,6.338,6.385,3129.5,2023-01-01 12:00:00
6.386,6.463,6.385,6.442,20846.4,2023-01-01 13:00:00
6.434,6.616,6.426,6.596,9801.2,2023-01-01 14:00:00
6.589,6.589,6.516,6.534,9762.6,2023-01-01 15:00:00
6.541,6.578,6.52,6.543,2904.4,2023-01-01 16:00:00
6.542,6.583,6.517,6.579,54722.5,2023-01-01 17:00:00
6.576,6.582,6.516,6.517,4446.8,2023-01-01 18:00:00
6.528,6.558,6.489,6.519,3934.9,2023-01-01 19:00:00
6.518,6.541,6.42,6.473,20577.9,2023-01-01 20:00:00
6.472,6.482,6.341,6.399,15000.6,2023-01-01 21:00:00
6.405,6.515,6.389,6.469,16202.9,2023-01-01 22:00:00
6.472,6.52,6.448,6.506,3980.7,2023-01-01 23:00:00
6.495,6.506,6.381,6.381,4189.1,2023-01-02 00:00:00
6.385,6.412,6.214,6.231,6854.6,2023-01-02 01:00:00
6.221,6.281,6.086,6.19,29551.6,2023-01-02 02:00:00
6.189,6.228,6.167,6.208,21979.7,2023-01-02 03:00:00
6.205,6.237,5.905,6.146,27158.5,2023-01-02 04:00:00
6.143,6.229,6.067,6.187,11078.4,2023-01-02 05:00:00
6.186,6.47,6.153,6.459,17377.4,2023-01-02 06:00:00
6.459,6.569,6.364,6.546,24817.6,2023-01-02 07:00:00
6.54,6.713,6.511,6.686,7400.6,2023-01-02 08:00:00
6.696,6.811,6.62,6.799,8425.2,2023-01-02 09:00:00
6.799,6.83,6.739,6.803,4581.5,2023-01-02 10:00:00
6.795,6.819,6.747,6.819,6259.4,2023-01-02 11:00:00
6.818,6.902,6.763,6.763,16962.3,2023-01-02 12:00:00
6.761,6.774,6.663,6.721,4273.2,2023-01-02 13:00:00
6.727,6.761,6.67,6.676,3765.2,2023-01-02 14:00:00
6.669,6.669,6.535,6.612,6061.6,2023-01-02 15:00:00
6.581,6.67,6.528,6.657,7745.6,2023-01-02 16:00:00
6.643,6.66,6.565,6.578,4819.3,2023-01-02 17:00:00
6.581,6.606,6.402,6.414,3565.2,2023-01-02 18:00:00
6.423,6.591,6.391,6.573,4599.0,2023-01-02 19:00:00
6.581,6.754,6.565,6.747,9539.0,2023-01-02 20:00:00
6.751,6.892,6.723,6.776,18469.1,2023-01-02 21:00:00
6.781,6.839,6.744,6.786,8318.6,2023-01-02 22:00:00
6.786,6.978,6.738,6.91,17640.2,2023-01-02 23:00:00
6.914,7.011,6.912,6.975,11868.3,2023-01-03 00:00:00
6.968,7.022,6.943,6.962,6922.8,2023-01-03 01:00:00
6.96,7.023,6.914,6.922,6803.3,2023-01-03 02:00:00
6.942,6.958,6.87,6.874,6338.0,2023-01-03 03:00:00
6.887,6.922,6.843,6.855,4872.3,2023-01-03 04:00:00
6.846,6.888,6.792,6.851,3936.0,2023-01-03 05:00:00
6.846,6.859,6.791,6.814,2937.6,2023-01-03 06:00:00
6.812,6.834,6.771,6.78,2864.9,2023-01-03 07:00:00
6.775,6.869,6.758,6.861,2891.0,2023-01-03 08:00:00
6.856,6.938,6.783,6.937,5063.1,2023-01-03 09:00:00
6.939,7.161,6.905,7.124,19410.5,2023-01-03 10:00:00
7.107,7.155,6.958,6.959,14438.6,2023-01-03 11:00:00
6.963,7.061,6.953,7.003,2184.9,2023-01-03 12:00:00
7.008,7.028,6.863,6.91,16885.7,2023-01-03 13:00:00
6.902,6.905,6.793,6.842,7899.0,2023-01-03 14:00:00
6.839,6.867,6.822,6.826,2640.8,2023-01-03 15:00:00
6.825,6.831,6.771,6.815,2115.1,2023-01-03 16:00:00
6.815,6.918,6.815,6.886,3273.3,2023-01-03 17:00:00
6.883,6.92,6.848,6.871,3906.5,2023-01-03 18:00:00
6.876,6.917,6.87,6.886,973.3,2023-01-03 19:00:00
6.885,6.885,6.811,6.843,9895.2,2023-01-03 20:00:00
6.837,6.862,6.803,6.86,2950.1,2023-01-03 21:00:00
6.86,6.86,6.781,6.802,2954.4,2023-01-03 22:00:00
6.805,6.805,6.733,6.764,3211.7,2023-01-03 23:00:00
6.776,6.847,6.776,6.847,771.2,2023-01-04 00:00:00
6.85,6.864,6.753,6.76,869.3,2023-01-04 01:00:00
6.75,6.787,6.746,6.785,743.6,2023-01-04 02:00:00
6.765,6.781,6.723,6.771,3299.8,2023-01-04 03:00:00
6.782,6.791,6.732,6.732,1382.0,2023-01-04 04:00:00
6.728,6.798,6.727,6.739,1694.0,2023-01-04 05:00:00
6.736,6.83,6.736,6.825,3143.6,2023-01-04 06:00:00
6.815,6.876,6.753,6.753,3831.0,2023-01-04 07:00:00
6.746,6.791,6.74,6.744,1028.5,2023-01-04 08:00:00
6.745,6.773,6.736,6.736,1517.6,2023-01-04 09:00:00
6.733,6.753,6.665,6.665,3858.3,2023-01-04 10:00:00
6.673,6.696,6.63,6.653,5730.4,2023-01-04 11:00:00
6.67,6.69,6.606,6.681,3146.8,2023-01-04 12:00:00
6.689,6.724,6.662,6.713,8954.7,2023-01-04 13:00:00
6.712,6.713,6.572,6.59,26645.9,2023-01-04 14:00:00
6.586,6.656,6.519,6.56,4314.3,2023-01-04 15:00:00
6.564,6.63,6.56,6.607,2110.9,2023-01-04 16:00:00
6.608,6.679,6.6,6.647,2038.7,2023-01-04 17:00:00
6.647,6.69,6.613,6.678,1644.2,2023-01-04 18:00:00
6.677,6.757,6.666,6.744,2789.0,2023-01-04 19:00:00
6.742,6.742,6.645,6.658,2492.1,2023-01-04 20:00:00
6.668,6.728,6.614,6.71,1693.2,2023-01-04 21:00:00
6.714,6.715,6.598,6.603,2366.8,2023-01-04 22:00:00
6.608,6.652,6.578,6.643,1877.4,2023-01-04 23:00:00
6.647,6.656,6.58,6.614,1285.6,2023-01-05 00:00:00
6.594,6.688,6.578,6.682,2110.4,2023-01-05 01:00:00
6.68,6.694,6.66,6.678,1068.3,2023-01-05 02:00:00
6.671,6.703,6.659,6.703,1581.6,2023-01-05 03:00:00
6.703,6.762,6.702,6.762,2096.3,2023-01-05 04:00:00
6.759,6.787,6.72,6.752,4491.5,2023-01-05 05:00:00
6.752,6.759,6.591,6.614,3973.2,2023-01-05 06:00:00
6.613,6.637,6.49,6.503,4427.4,2023-01-05 07:00:00
6.488,6.527,6.461,6.491,1573.2,2023-01-05 08:00:00
6.486,6.532,6.387,6.466,3731.0,2023-01-05 09:00:00
6.458,6.497,6.396,6.465,11891.6,2023-01-05 10:00:00
6.47,6.516,6.456,6.502,1700.3,2023-01-05 11:00:00
6.498,6.498,6.376,6.388,1494.0,2023-01-05 12:00:00
6.382,6.386,6.221,6.331,10809.2,2023-01-05 13:00:00
6.325,6.33,6.16,6.175,6342.6,2023-01-05 14:00:00
6.168,6.238,6.074,6.155,5373.3,2023-01-05 15:00:00
6.146,6.228,6.136,6.226,11143.8,2023-01-05 16:00:00
6.222,6.222,6.101,6.124,2144.2,2023-01-05 17:00:00
6.109,6.193,6.048,6.192,4336.9,2023-01-05 18:00:00
6.194,6.33,6.16,6.295,5226.6,2023-01-05 19:00:00
6.302,6.395,6.221,6.351,10514.2,2023-01-05 20:00:00
6.355,6.373,6.1,6.15,5414.7,2023-01-05 21:00:00
6.148,6.217,6.123,6.138,3233.9,2023-01-05 22:00:00
6.136,6.178,6.089,6.089,1778.2,2023-01-05 23:00:00
6.111,6.187,6.111,6.155,1564.1,2023-01-06 00:00:00
6.135,6.149,6.074,6.074,3355.0,2023-01-06 01:00:00
6.084,6.087,5.702,5.782,32311.7,2023-01-06 02:00:00
5.781,5.781,4.855,5.614,60969.5,2023-01-06 03:00:00
5.581,5.613,5.1,5.588,15691.7,2023-01-06 04:00:00
5.588,5.749,5.55,5.708,5613.7,2023-01-06 05:00:00
5.686,5.852,5.566,5.791,9643.0,2023-01-06 06:00:00
5.805,5.809,5.708,5.785,4490.6,2023-01-06 07:00:00
5.769,5.78,5.544,5.559,6001.7,2023-01-06 08:00:00
5.545,5.58,5.329,5.551,5400.0,2023-01-06 09:00:00
5.561,5.693,5.472,5.691,4583.0,2023-01-06 10:00:00
5.68,5.748,5.646,5.738,4681.8,2023-01-06 11:00:00
5.741,5.899,5.722,5.899,4284.2,2023-01-06 12:00:00
5.892,5.895,5.813,5.85,1926.2,2023-01-06 13:00:00
5.832,5.885,5.795,5.878,1662.5,2023-01-06 14:00:00
5.887,5.961,5.826,5.858,21457.6,2023-01-06 15:00:00
5.874,5.962,5.873,5.932,3408.1,2023-01-06 16:00:00
5.932,5.974,5.806,5.928,4658.0,2023-01-06 17:00:00
5.929,5.932,5.653,5.653,5083.5,2023-01-06 18:00:00
5.676,5.821,5.676,5.804,3500.5,2023-01-06 19:00:00
5.8,5.933,5.785,5.794,3249.4,2023-01-06 20:00:00
5.798,5.828,5.517,5.526,13686.9,2023-01-06 21:00:00
5.529,5.708,5.432,5.706,8659.9,2023-01-06 22:00:00
5.669,5.68,5.481,5.488,4634.8,2023-01-06 23:00:00
5.489,5.681,5.463,5.592,5830.5,2023-01-07 00:00:00
5.606,5.801,5.599,5.789,12919.3,2023-01-07 01:00:00
5.787,5.858,5.763,5.839,3523.4,2023-01-07 02:00:00
5.846,5.925,5.842,5.866,2888.7,2023-01-07 03:00:00
5.875,5.914,5.862,5.882,5389.1,2023-01-07 04:00:00
5.911,5.932,5.845,5.882,1688.1,2023-01-07 05:00:00
5.881,5.912,5.732,5.815,3269.6,2023-01-07 06:00:00
5.765,5.815,5.638,5.638,3415.5,2023-01-07 07:00:00
5.638,5.82,5.627,5.788,3446.4,2023-01-07 08:00:00
5.799,5.841,5.778,5.819,3985.8,2023-01-07 09:00:00
5.831,5.858,5.772,5.812,1905.1,2023-01-07 10:00:00
5.824,5.824,5.73,5.749,5079.2,2023-01-07 11:00:00
5.738,5.791,5.725,5.79,880.9,2023-01-07 12:00:00
5.807,5.812,5.7,5.7,1363.2,2023-01-07 13:00:00
5.69,5.825,5.681,5.786,2113.3,2023-01-07 14:00:00
5.793,5.835,5.748,5.835,4162.7,2023-01-07 15:00:00
5.842,5.85,5.804,5.832,1793.4,2023-01-07 16:00:00
5.841,5.945,5.832,5.903,10086.9,2023-01-07 17:00:00
5.912,5.99,5.912,5.935,9264.5,2023-01-07 18:00:00
5.939,6.074,5.922,6.052,9625.6,2023-01-07 19:00:00
6.04,6.115,5.966,6.098,11482.0,2023-01-07 20:00:00
6.103,6.229,6.103,6.154,3369.7,2023-01-07 21:00:00
6.172,6.205,6.069,6.085,5585.4,2023-01-07 22:00:00
6.088,6.107,6.001,6.001,3607.2,2023-01-07 23:00:00
6.005,6.125,6.005,6.077,2269.7,2023-01-08 00:00:00
6.076,6.128,6.07,6.106,5198.2,2023-01-08 01:00:00
6.118,6.159,6.105,6.159,3827.0,2023-01-08 02:00:00
6.147,6.151,6.096,6.112,2666.4,2023-01-08 03:00:00
6.12,6.166,6.107,6.166,1684.3,2023-01-08 04:00:00
6.15,6.172,6.142,6.143,1006.1,2023-01-08 05:00:00
6.13,6.178,6.09,6.117,2450.7,2023-01-08 06:00:00
6.108,6.167,6.082,6.09,2920.6,2023-01-08 07:00:00
6.092,6.345,6.092,6.323,4223.2,2023-01-08 08:00:00
6.296,6.348,6.225,6.297,8777.2,2023-01-08 09:00:00
6.302,6.373,6.214,6.226,9731.0,2023-01-08 10:00:00
6.24,6.347,6.217,6.292,11444.6,2023-01-08 11:00:00
6.291,6.317,6.244,6.284,2311.4,2023-01-08 12:00:00
6.293,6.318,6.22,6.225,6257.4,2023-01-08 13:00:00
6.23,6.281,6.23,6.251,3410.5,2023-01-08 14:00:00
6.253,6.285,6.231,6.241,1956.5,2023-01-08 15:00:00
6.221,6.222,6.126,6.163,2819.8,2023-01-08 16:00:00
6.156,6.161,6.065,6.086,2457.1,2023-01-08 17:00:00
6.105,6.179,6.096,6.179,2076.9,2023-01-08 18:00:00
6.171,6.238,6.078,6.11,7778.9,2023-01-08 19:00:00
6.081,6.146,6.038,6.117,9927.3,2023-01-08 20:00:00
6.145,6.171,6.085,6.115,8545.5,2023-01-08 21:00:00
6.126,6.187,6.104,6.124,2723.4,2023-01-08 22:00:00
6.129,6.236,6.126,6.236,3730.7,2023-01-08 23:00:00
6.236,6.236,6.109,6.122,2309.8,2023-01-09 00:00:00
6.125,6.163,5.922,5.947,8026.0,2023-01-09 01:00:00
5.942,6.022,5.93,6.007,5303.7,2023-01-09 02:00:00
6.005,6.012,5.943,5.959,1520.4,2023-01-09 03:00:00
5.953,6.064,5.876,6.027,3667.6,2023-01-09 04:00:00
6.042,6.083,6.004,6.083,3416.6,2023-01-09 05:00:00
6.079,6.147,6.046,6.074,2953.3,2023-01-09 06:00:00
6.059,6.083,5.955,5.987,2076.5,2023-01-09 07:00:00
6.03,6.117,5.993,6.084,2000.8,2023-01-09 08:00:00
6.087,6.139,6.062,6.137,1089.3,2023-01-09 09:00:00
6.136,6.141,6.072,6.089,1439.0,2023-01-09 10:00:00
6.062,6.115,6.032,6.033,1192.3,2023-01-09 11:00:00
6.028,6.075,5.953,5.953,5034.2,2023-01-09 12:00:00
5.952,5.977,5.897,5.947,2189.4,2023-01-09 13:00:00
5.949,6.017,5.934,6.011,5257.3,2023-01-09 14:00:00
6.022,6.028,5.935,5.988,2520.2,2023-01-09 15:00:00
5.989,6.034,5.926,6.032,3269.1,2023-01-09 16:00:00
6.028,6.092,6.008,6.01,9352.2,2023-01-09 17:00:00
6.016,6.05,6.012,6.028,3003.5,2023-01-09 18:00:00
6.033,6.034,5.928,5.967,2529.2,2023-01-09 19:00:00
5.967,6.025,5.922,6.022,2660.4,2023-01-09 20:00:00
