Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
2.072e-05,2.187e-05,2.069e-05,2.13e-05,132342167348.0,2023-01-01 00:00:00
2.129e-05,2.155e-05,2.123e-05,2.14e-05,38849585277.0,2023-01-01 01:00:00
2.141e-05,2.163e-05,2.076e-05,2.115e-05,71333958492.0,2023-01-01 02:00:00
2.115e-05,2.176e-05,2.106e-05,2.134e-05,63887594087.0,2023-01-01 03:00:00
2.134e-05,2.151e-05,2.105e-05,2.12e-05,33511685658.0,2023-01-01 04:00:00
2.121e-05,2.182e-05,2.117e-05,2.182e-05,56890405544.0,2023-01-01 05:00:00
2.182e-05,2.192e-05,2.094e-05,2.096e-05,46002518705.0,2023-01-01 06:00:00
2.096e-05,2.097e-05,2.036e-05,2.059e-05,47128247355.0,2023-01-01 07:00:00
2.058e-05,2.156e-05,2.057e-05,2.124e-05,29389011431.0,2023-01-01 08:00:00
2.124e-05,2.177e-05,2.112e-05,2.121e-05,56804160209.0,2023-01-01 09:00:00
2.121e-05,2.228e-05,2.116e-05,2.225e-05,61307337047.0,2023-01-01 10:00:00
2.225e-05,2.29e-05,2.183e-05,2.201e-05,118084463705.0,2023-01-01 11:00:00
2.202e-05,2.208e-05,2.127e-05,2.14e-05,47393468877.0,2023-01-01 12:00:00
2.14e-05,2.177e-05,2.139e-05,2.156e-05,33313158749.0,2023-01-01 13:00:00
2.156e-05,2.183e-05,2.149e-05,2.155e-05,31938309911.0,2023-01-01 14:00:00
2.157e-05,2.172e-05,2.14e-05,2.172e-05,35686661059.0,2023-01-01 15:00:00
2.173e-05,2.192e-05,2.157e-05,2.172e-05,29038452829.0,2023-01-01 16:00:00
2.17e-05,2.197e-05,2.162e-05,2.196e-05,73291385161.0,2023-01-01 17:00:00
2.197e-05,2.237e-05,2.188e-05,2.214e-05,59575267303.0,2023-01-01 18:00:00
2.213e-05,2.224e-05,2.186e-05,2.2e-05,49182051108.0,2023-01-01 19:00:00
2.202e-05,2.24e-05,2.201e-05,2.228e-05,48473246722.0,2023-01-01 20:00:00
2.226e-05,2.234e-05,2.177e-05,2.198e-05,67354922092.0,2023-01-01 21:00:00
2.199e-05,2.228e-05,2.155e-05,2.181e-05,40304279863.0,2023-01-01 22:00:00
2.18e-05,2.212e-05,2.163e-05,2.193e-05,46067532805.0,2023-01-01 23:00:00
2.194e-05,2.195e-05,2.161e-05,2.162e-05,23238931142.0,2023-01-02 00:00:00
2.162e-05,2.167e-05,2.107e-05,2.118e-05,60535695080.0,2023-01-02 01:00:00
2.117e-05,2.132e-05,2.091e-05,2.128e-05,68542226833.0,2023-01-02 02:00:00
2.126e-05,2.148e-05,2.125e-05,2.142e-05,17256055626.0,2023-01-02 03:00:00
2.141e-05,2.151e-05,2.049e-05,2.132e-05,63503567610.0,2023-01-02 04:00:00
2.131e-05,2.172e-05,2.097e-05,2.121e-05,52712908313.0,2023-01-02 05:00:00
2.122e-05,2.18e-05,2.098e-05,2.172e-05,41612108786.0,2023-01-02 06:00:00
2.174e-05,2.18e-05,2.152e-05,2.161e-05,51034584785.0,2023-01-02 07:00:00
2.161e-05,2.172e-05,2.146e-05,2.164e-05,36276073655.0,2023-01-02 08:00:00
2.165e-05,2.167e-05,2.145e-05,2.167e-05,8742355677.0,2023-01-02 09:00:00
2.168e-05,2.175e-05,2.156e-05,2.172e-05,5211717765.0,2023-01-02 10:00:00
2.171e-05,2.172e-05,2.15e-05,2.151e-05,7359015633.0,2023-01-02 11:00:00
2.151e-05,2.178e-05,2.15e-05,2.171e-05,9044544192.0,2023-01-02 12:00:00
2.17e-05,2.204e-05,2.169e-05,2.203e-05,53994002059.0,2023-01-02 13:00:00
2.204e-05,2.218e-05,2.181e-05,2.183e-05,20584881075.0,2023-01-02 14:00:00
2.184e-05,2.187e-05,2.132e-05,2.173e-05,46680933756.0,2023-01-02 15:00:00
2.172e-05,2.175e-05,2.113e-05,2.121e-05,28351031492.0,2023-01-02 16:00:00
2.121e-05,2.133e-05,2.096e-05,2.1e-05,25622762097.0,2023-01-02 17:00:00
2.1e-05,2.12e-05,2.061e-05,2.069e-05,29577522721.0,2023-01-02 18:00:00
2.069e-05,2.094e-05,2.036e-05,2.083e-05,66670829977.0,2023-01-02 19:00:00
2.082e-05,2.123e-05,2.073e-05,2.123e-05,35247354138.0,2023-01-02 20:00:00
2.124e-05,2.187e-05,2.111e-05,2.149e-05,64184693900.0,2023-01-02 21:00:00
2.15e-05,2.162e-05,2.135e-05,2.151e-05,21401442219.0,2023-01-02 22:00:00
