Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.302,0.3498,0.302,0.3312,36613.0,2023-01-01 00:00:00
0.33,0.3384,0.3284,0.3322,34104.0,2023-01-01 01:00:00
0.3323,0.382,0.3295,0.337,30211.0,2023-01-01 02:00:00
0.3347,0.338,0.3275,0.3304,56729.0,2023-01-01 03:00:00
0.3332,0.3342,0.323,0.3245,12651.0,2023-01-01 04:00:00
0.322,0.323,0.3105,0.3118,24424.0,2023-01-01 05:00:00
0.3157,0.3273,0.3157,0.3226,14164.0,2023-01-01 06:00:00
0.3208,0.3259,0.316,0.3219,25261.0,2023-01-01 07:00:00
0.3227,0.3227,0.3188,0.319,7315.0,2023-01-01 08:00:00
0.318,0.3354,0.3177,0.3342,27756.0,2023-01-01 09:00:00
0.3325,0.3435,0.331,0.3375,34655.0,2023-01-01 10:00:00
0.3351,0.3404,0.3351,0.3366,12709.0,2023-01-01 11:00:00
0.336,0.3405,0.3334,0.3336,14581.0,2023-01-01 12:00:00
0.3341,0.3369,0.332,0.332,6204.0,2023-01-01 13:00:00
0.3316,0.333,0.3269,0.333,4943.0,2023-01-01 14:00:00
0.3322,0.3365,0.3317,0.3322,36715.0,2023-01-01 15:00:00
0.3327,0.3327,0.3287,0.3301,8765.0,2023-01-01 16:00:00
0.3283,0.3283,0.3216,0.3216,6381.0,2023-01-01 17:00:00
0.3242,0.3265,0.3242,0.3265,2356.0,2023-01-01 18:00:00
0.322,0.322,0.3182,0.3187,51811.0,2023-01-01 19:00:00
0.3215,0.3228,0.3187,0.3228,6017.0,2023-01-01 20:00:00
0.3213,0.3238,0.3197,0.3238,2360.0,2023-01-01 21:00:00
0.3241,0.3265,0.3241,0.3256,2155.0,2023-01-01 22:00:00
0.3254,0.3254,0.3204,0.3211,2822.0,2023-01-01 23:00:00
0.3254,0.326,0.3199,0.3213,3105.0,2023-01-02 00:00:00
0.3218,0.323,0.318,0.318,12677.0,2023-01-02 01:00:00
