Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.169,0.1747,0.1688,0.1747,12230.5,2023-01-01 00:00:00
0.1747,0.1795,0.1745,0.1788,32576.5,2023-01-01 01:00:00
0.1799,0.18,0.1721,0.1721,90924.6,2023-01-01 02:00:00
0.1739,0.1771,0.1739,0.1771,6050.6,2023-01-01 03:00:00
0.1784,0.179,0.1763,0.1768,17215.5,2023-01-01 04:00:00
0.1768,0.1776,0.173,0.1759,4372.2,2023-01-01 05:00:00
0.1763,0.1771,0.1727,0.174,5604.1,2023-01-01 06:00:00
0.1723,0.1723,0.1661,0.1684,13101.4,2023-01-01 07:00:00
0.1699,0.1723,0.1699,0.1699,10928.1,2023-01-01 08:00:00
0.1721,0.1731,0.1673,0.1673,7524.5,2023-01-01 09:00:00
0.1683,0.1773,0.1683,0.1747,7481.3,2023-01-01 10:00:00
0.1742,0.1742,0.1698,0.1698,11382.7,2023-01-01 11:00:00
0.1714,0.1723,0.169,0.1719,21636.1,2023-01-01 12:00:00
0.1729,0.1773,0.1729,0.1758,40190.9,2023-01-01 13:00:00
0.1765,0.1765,0.1738,0.1738,3819.0,2023-01-01 14:00:00
0.1744,0.1745,0.1744,0.1745,1744.7,2023-01-01 15:00:00
0.1745,0.1745,0.1742,0.1742,704.9,2023-01-01 16:00:00
0.1733,0.1763,0.1733,0.1763,11480.9,2023-01-01 17:00:00
0.1771,0.1792,0.1761,0.1761,13605.3,2023-01-01 18:00:00
0.1765,0.1769,0.1737,0.175,31593.7,2023-01-01 19:00:00
0.1752,0.1753,0.173,0.173,19997.9,2023-01-01 20:00:00
0.1748,0.1748,0.1706,0.1739,33046.4,2023-01-01 21:00:00
0.1726,0.1745,0.1711,0.1745,10859.3,2023-01-01 22:00:00
0.1737,0.1761,0.1737,0.1761,49952.3,2023-01-01 23:00:00
0.1757,0.1758,0.173,0.173,28222.7,2023-01-02 00:00:00
0.173,0.1733,0.1685,0.1696,29076.8,2023-01-02 01:00:00
0.1688,0.1709,0.1673,0.1706,33584.7,2023-01-02 02:00:00
0.1702,0.1714,0.17,0.1714,4724.0,2023-01-02 03:00:00
0.1711,0.1726,0.164,0.1705,68030.2,2023-01-02 04:00:00
0.1706,0.173,0.1676,0.1701,11984.8,2023-01-02 05:00:00
0.1699,0.178,0.1692,0.178,24574.2,2023-01-02 06:00:00
0.1783,0.1784,0.1763,0.1779,8960.6,2023-01-02 07:00:00
0.1775,0.1788,0.1755,0.1779,28089.9,2023-01-02 08:00:00
0.1775,0.1787,0.1766,0.1776,8331.8,2023-01-02 09:00:00
0.1774,0.1774,0.1761,0.1764,8744.2,2023-01-02 10:00:00
0.1768,0.1768,0.1755,0.176,5313.6,2023-01-02 11:00:00
0.1753,0.1773,0.1749,0.1764,8922.3,2023-01-02 12:00:00
0.1749,0.1768,0.1745,0.1768,2466.5,2023-01-02 13:00:00
0.1771,0.1786,0.1749,0.1749,1943.6,2023-01-02 14:00:00
0.1747,0.1747,0.171,0.1716,10732.8,2023-01-02 15:00:00
0.1723,0.1723,0.1693,0.1711,13826.2,2023-01-02 16:00:00
0.1707,0.1707,0.169,0.1696,1950.7,2023-01-02 17:00:00
0.1702,0.1716,0.1663,0.1663,76960.2,2023-01-02 18:00:00
0.1667,0.1708,0.1666,0.1697,13298.2,2023-01-02 19:00:00
0.1687,0.1706,0.1681,0.1706,18254.9,2023-01-02 20:00:00
0.1706,0.1726,0.1706,0.171,32098.5,2023-01-02 21:00:00
0.1714,0.1727,0.1708,0.1726,10675.6,2023-01-02 22:00:00
0.173,0.1758,0.1729,0.1749,32137.8,2023-01-02 23:00:00
0.1755,0.178,0.1752,0.178,20893.5,2023-01-03 00:00:00
0.178,0.178,0.1779,0.178,35665.8,2023-01-03 01:00:00
0.1772,0.178,0.1758,0.1765,24884.5,2023-01-03 02:00:00
0.1764,0.1786,0.176,0.1769,32505.7,2023-01-03 03:00:00
0.1768,0.1769,0.1759,0.1767,2418.2,2023-01-03 04:00:00
0.1763,0.1767,0.1747,0.1747,11144.6,2023-01-03 05:00:00
0.1747,0.1759,0.173,0.174,4450.0,2023-01-03 06:00:00
0.1741,0.1749,0.1739,0.1749,4384.3,2023-01-03 07:00:00
0.1752,0.1774,0.1752,0.1774,5082.6,2023-01-03 08:00:00
0.1771,0.1787,0.1771,0.1787,1115.4,2023-01-03 09:00:00
0.1784,0.1814,0.1781,0.1803,10701.5,2023-01-03 10:00:00
0.1799,0.1819,0.1796,0.1804,4197.8,2023-01-03 11:00:00
0.1817,0.1834,0.1817,0.1818,19260.8,2023-01-03 12:00:00
0.1821,0.1821,0.1795,0.1795,10226.3,2023-01-03 13:00:00
