Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
5.047,5.092,5.003,5.003,23.3,2023-01-01 00:00:00
5.087,5.142,5.056,5.142,1215.4,2023-01-01 01:00:00
5.134,5.2,4.993,5.05,2807.6,2023-01-01 02:00:00
5.0,5.091,4.993,4.993,1230.5,2023-01-01 03:00:00
5.054,5.071,5.03,5.03,3553.6,2023-01-01 04:00:00
4.995,5.064,4.939,5.007,2710.4,2023-01-01 05:00:00
5.001,5.001,4.898,4.898,273.2,2023-01-01 06:00:00
4.898,4.912,4.809,4.884,2735.1,2023-01-01 07:00:00
4.896,5.007,4.896,4.982,2162.8,2023-01-01 08:00:00
5.015,5.2,5.015,5.041,9996.1,2023-01-01 09:00:00
5.046,5.104,5.043,5.044,2227.7,2023-01-01 10:00:00
5.044,5.055,4.951,4.979,3399.7,2023-01-01 11:00:00
4.979,4.984,4.911,4.982,2679.9,2023-01-01 12:00:00
4.984,5.01,4.973,4.983,3200.3,2023-01-01 13:00:00
4.993,5.085,4.948,5.015,4640.6,2023-01-01 14:00:00
4.995,5.033,4.969,5.025,4571.7,2023-01-01 15:00:00
5.027,5.048,4.995,5.025,2872.3,2023-01-01 16:00:00
4.998,5.306,4.998,5.306,8050.7,2023-01-01 17:00:00
5.272,5.331,5.145,5.15,8675.7,2023-01-01 18:00:00
5.15,5.15,5.078,5.136,8342.2,2023-01-01 19:00:00
5.146,5.159,4.979,5.118,6972.6,2023-01-01 20:00:00
5.168,5.246,5.063,5.132,2966.0,2023-01-01 21:00:00
5.167,5.208,5.101,5.101,308.5,2023-01-01 22:00:00
5.127,5.146,5.1,5.106,708.5,2023-01-01 23:00:00
5.129,5.129,5.058,5.058,1606.0,2023-01-02 00:00:00
5.044,5.044,4.922,4.922,4371.4,2023-01-02 01:00:00
4.924,4.982,4.9,4.943,1597.8,2023-01-02 02:00:00
4.925,4.972,4.925,4.93,1897.1,2023-01-02 03:00:00
4.93,4.93,4.62,4.821,12645.1,2023-01-02 04:00:00
4.822,4.907,4.769,4.847,4830.3,2023-01-02 05:00:00
4.867,4.97,4.807,4.97,2966.3,2023-01-02 06:00:00
5.0,5.183,4.967,5.053,6523.0,2023-01-02 07:00:00
5.063,5.089,5.033,5.083,126.6,2023-01-02 08:00:00
5.071,5.103,5.028,5.103,1266.2,2023-01-02 09:00:00
5.082,5.09,5.036,5.06,1132.4,2023-01-02 10:00:00
5.052,5.076,4.971,5.013,2457.6,2023-01-02 11:00:00
5.009,5.048,4.993,4.993,2036.9,2023-01-02 12:00:00
5.034,5.034,4.987,4.987,938.3,2023-01-02 13:00:00
4.989,5.074,4.989,5.074,90.9,2023-01-02 14:00:00
4.985,4.985,4.904,4.904,1944.2,2023-01-02 15:00:00
4.902,4.928,4.876,4.928,1737.5,2023-01-02 16:00:00
4.924,4.927,4.885,4.885,1056.5,2023-01-02 17:00:00
4.887,4.892,4.8,4.812,2212.7,2023-01-02 18:00:00
4.823,4.94,4.806,4.883,8149.0,2023-01-02 19:00:00
4.87,4.943,4.846,4.943,1111.7,2023-01-02 20:00:00
4.914,4.973,4.909,4.915,1873.1,2023-01-02 21:00:00
4.923,4.996,4.915,4.996,552.6,2023-01-02 22:00:00
4.966,5.04,4.955,5.009,1986.5,2023-01-02 23:00:00
5.025,5.029,4.994,5.016,794.3,2023-01-03 00:00:00
5.016,5.039,4.995,5.034,2119.2,2023-01-03 01:00:00
5.021,5.06,4.966,4.972,5583.4,2023-01-03 02:00:00
4.988,5.023,4.974,5.0,1860.4,2023-01-03 03:00:00
4.974,5.011,4.966,4.982,9205.2,2023-01-03 04:00:00
4.982,5.028,4.911,4.946,5064.5,2023-01-03 05:00:00
4.948,4.954,4.89,4.913,1141.3,2023-01-03 06:00:00
4.899,4.925,4.87,4.87,5681.6,2023-01-03 07:00:00
4.893,4.893,4.84,4.84,2966.8,2023-01-03 08:00:00
4.864,4.864,4.825,4.835,1861.7,2023-01-03 09:00:00
4.854,4.898,4.853,4.881,1715.0,2023-01-03 10:00:00
4.885,4.888,4.856,4.888,605.8,2023-01-03 11:00:00
4.9,4.935,4.881,4.935,2805.2,2023-01-03 12:00:00
4.926,4.926,4.877,4.895,2439.3,2023-01-03 13:00:00
4.895,4.898,4.857,4.898,5681.9,2023-01-03 14:00:00
4.899,4.959,4.899,4.959,10471.2,2023-01-03 15:00:00
4.918,4.968,4.889,4.952,6699.9,2023-01-03 16:00:00
4.917,4.987,4.917,4.932,2509.0,2023-01-03 17:00:00
4.916,4.974,4.87,4.974,1131.3,2023-01-03 18:00:00
4.985,5.015,4.944,4.984,2236.6,2023-01-03 19:00:00
4.96,5.149,4.925,5.121,3806.4,2023-01-03 20:00:00
5.118,5.124,5.062,5.11,10374.9,2023-01-03 21:00:00
5.095,5.138,5.053,5.138,2739.6,2023-01-03 22:00:00
5.11,5.141,5.052,5.075,2004.4,2023-01-03 23:00:00
5.111,5.15,5.09,5.107,3320.2,2023-01-04 00:00:00
5.112,5.136,5.056,5.107,3510.1,2023-01-04 01:00:00
5.106,5.18,5.043,5.168,10650.9,2023-01-04 02:00:00
5.175,5.182,5.046,5.095,5295.3,2023-01-04 03:00:00
5.067,5.118,5.067,5.102,1055.3,2023-01-04 04:00:00
5.062,5.135,5.062,5.13,31467.3,2023-01-04 05:00:00
5.085,5.09,5.053,5.09,8324.5,2023-01-04 06:00:00
5.07,5.088,5.05,5.057,125.9,2023-01-04 07:00:00
5.069,5.121,5.069,5.121,2542.5,2023-01-04 08:00:00
5.171,5.216,5.139,5.161,6160.7,2023-01-04 09:00:00
5.117,5.132,5.073,5.073,648.6,2023-01-04 10:00:00
5.087,5.097,5.018,5.031,3587.4,2023-01-04 11:00:00
5.01,5.043,5.01,5.043,78.6,2023-01-04 12:00:00
5.047,5.096,5.046,5.067,1258.3,2023-01-04 13:00:00
5.015,5.03,4.924,4.924,1825.7,2023-01-04 14:00:00
4.901,4.958,4.9,4.923,3985.6,2023-01-04 15:00:00
4.954,5.016,4.908,4.98,10087.5,2023-01-04 16:00:00
4.972,5.039,4.972,5.032,1758.9,2023-01-04 17:00:00
5.009,5.074,5.0,5.069,1839.1,2023-01-04 18:00:00
5.068,5.1,5.041,5.088,1842.2,2023-01-04 19:00:00
5.067,5.109,5.044,5.062,2868.6,2023-01-04 20:00:00
5.063,5.121,5.037,5.103,1402.9,2023-01-04 21:00:00
5.103,5.103,5.0,5.0,2946.9,2023-01-04 22:00:00
5.0,5.022,4.96,5.022,959.7,2023-01-04 23:00:00
5.008,5.022,4.995,4.997,2465.3,2023-01-05 00:00:00
4.954,4.992,4.95,4.992,1532.1,2023-01-05 01:00:00
4.99,5.003,4.933,4.936,2745.7,2023-01-05 02:00:00
4.945,4.966,4.901,4.956,2453.2,2023-01-05 03:00:00
4.959,4.992,4.954,4.976,905.7,2023-01-05 04:00:00
4.984,5.001,4.975,4.984,1214.4,2023-01-05 05:00:00
4.983,4.983,4.888,4.916,3758.8,2023-01-05 06:00:00
4.928,4.928,4.861,4.877,897.2,2023-01-05 07:00:00
4.88,4.901,4.825,4.825,1423.0,2023-01-05 08:00:00
4.834,4.841,4.783,4.836,2074.7,2023-01-05 09:00:00
4.841,4.886,4.827,4.886,598.4,2023-01-05 10:00:00
4.904,4.904,4.866,4.889,618.8,2023-01-05 11:00:00
4.849,4.87,4.827,4.87,660.3,2023-01-05 12:00:00
4.835,4.896,4.824,4.896,1807.5,2023-01-05 13:00:00
4.869,4.869,4.713,4.713,2078.9,2023-01-05 14:00:00
4.74,4.895,4.665,4.85,6824.7,2023-01-05 15:00:00
4.769,4.787,4.722,4.769,5744.6,2023-01-05 16:00:00
4.776,4.776,4.665,4.666,1863.6,2023-01-05 17:00:00
4.652,4.71,4.621,4.672,5374.9,2023-01-05 18:00:00
4.672,4.787,4.672,4.764,2398.8,2023-01-05 19:00:00
4.767,4.851,4.693,4.812,7924.5,2023-01-05 20:00:00
4.842,4.842,4.668,4.676,7797.9,2023-01-05 21:00:00
4.679,4.715,4.671,4.715,4236.2,2023-01-05 22:00:00
4.708,4.708,4.65,4.65,626.4,2023-01-05 23:00:00
4.668,4.689,4.613,4.642,2941.7,2023-01-06 00:00:00
4.61,4.639,4.578,4.578,3026.1,2023-01-06 01:00:00
4.55,4.61,4.33,4.362,25143.9,2023-01-06 02:00:00
4.345,4.368,3.25,4.234,39071.8,2023-01-06 03:00:00
4.18,4.715,4.025,4.361,24727.0,2023-01-06 04:00:00
4.391,4.483,4.309,4.425,11893.1,2023-01-06 05:00:00
4.423,4.499,4.35,4.439,5934.5,2023-01-06 06:00:00
4.439,4.441,4.413,4.441,736.9,2023-01-06 07:00:00
4.42,4.42,4.3,4.3,417.3,2023-01-06 08:00:00
4.234,4.27,4.111,4.262,6798.5,2023-01-06 09:00:00
4.211,4.305,4.211,4.305,309.2,2023-01-06 10:00:00
4.305,4.43,4.305,4.408,7418.7,2023-01-06 11:00:00
4.434,4.438,4.407,4.423,42.5,2023-01-06 12:00:00
4.394,4.421,4.38,4.403,85.9,2023-01-06 13:00:00
4.421,4.43,4.369,4.43,1365.8,2023-01-06 14:00:00
4.412,4.681,4.412,4.564,10179.8,2023-01-06 15:00:00
4.588,4.623,4.544,4.572,11879.4,2023-01-06 16:00:00
4.542,4.573,4.469,4.542,5606.1,2023-01-06 17:00:00
4.554,4.628,4.407,4.407,5651.2,2023-01-06 18:00:00
4.499,4.612,4.475,4.612,2020.3,2023-01-06 19:00:00
4.604,4.99,4.604,4.76,19757.9,2023-01-06 20:00:00
4.801,4.809,4.618,4.644,5409.8,2023-01-06 21:00:00
4.571,4.79,4.515,4.79,6640.7,2023-01-06 22:00:00
4.716,4.774,4.602,4.602,2292.4,2023-01-06 23:00:00
4.627,4.82,4.604,4.761,15699.4,2023-01-07 00:00:00
4.762,4.893,4.762,4.85,9842.3,2023-01-07 01:00:00
4.844,4.964,4.827,4.964,3176.8,2023-01-07 02:00:00
4.97,4.999,4.87,4.932,7494.1,2023-01-07 03:00:00
4.896,4.98,4.863,4.98,3830.8,2023-01-07 04:00:00
4.954,4.972,4.896,4.897,5332.1,2023-01-07 05:00:00
4.896,4.94,4.821,4.904,7096.1,2023-01-07 06:00:00
4.871,4.931,4.838,4.84,526.8,2023-01-07 07:00:00
4.821,4.894,4.82,4.855,3812.1,2023-01-07 08:00:00
4.86,5.099,4.86,4.989,10110.7,2023-01-07 09:00:00
5.053,5.064,4.925,5.016,6376.1,2023-01-07 10:00:00
5.028,5.028,4.916,4.951,254.6,2023-01-07 11:00:00
4.946,5.035,4.908,5.035,3941.5,2023-01-07 12:00:00
5.036,5.105,4.981,5.029,13241.5,2023-01-07 13:00:00
5.039,5.281,4.998,5.235,11421.4,2023-01-07 14:00:00
5.199,5.817,5.171,5.604,39340.2,2023-01-07 15:00:00
5.604,5.793,5.402,5.49,59011.1,2023-01-07 16:00:00
5.464,5.642,5.42,5.547,23070.7,2023-01-07 17:00:00
5.57,5.627,5.379,5.413,12598.6,2023-01-07 18:00:00
5.398,5.537,5.398,5.465,17883.1,2023-01-07 19:00:00
5.479,5.97,5.479,5.61,14944.3,2023-01-07 20:00:00
5.616,5.649,5.429,5.512,11885.0,2023-01-07 21:00:00
5.49,5.824,5.488,5.566,14991.7,2023-01-07 22:00:00
5.559,5.589,5.451,5.475,4011.0,2023-01-07 23:00:00
5.48,5.566,5.443,5.502,2916.2,2023-01-08 00:00:00
5.49,5.534,5.443,5.443,12400.5,2023-01-08 01:00:00
5.448,5.561,5.433,5.537,5009.6,2023-01-08 02:00:00
5.527,5.551,5.462,5.508,3098.5,2023-01-08 03:00:00
5.526,5.526,5.434,5.46,4049.3,2023-01-08 04:00:00
5.494,5.494,5.396,5.415,5739.3,2023-01-08 05:00:00
5.384,5.444,5.305,5.429,19826.7,2023-01-08 06:00:00
5.41,5.621,5.405,5.508,7590.2,2023-01-08 07:00:00
5.475,5.541,5.433,5.475,11089.0,2023-01-08 08:00:00
5.451,5.555,5.445,5.475,10033.7,2023-01-08 09:00:00
5.492,5.593,5.464,5.502,5974.1,2023-01-08 10:00:00
5.508,5.647,5.496,5.534,3073.0,2023-01-08 11:00:00
5.55,5.647,5.527,5.647,7925.6,2023-01-08 12:00:00
5.607,5.621,5.547,5.58,3571.8,2023-01-08 13:00:00
5.609,5.614,5.532,5.532,1539.2,2023-01-08 14:00:00
5.534,5.709,5.534,5.635,3472.1,2023-01-08 15:00:00
