Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
8.735,8.903,8.727,8.775,14559.15,2023-01-01 00:00:00
8.765,8.932,8.745,8.88,29337.69,2023-01-01 01:00:00
8.887,8.98,8.667,8.762,22715.97,2023-01-01 02:00:00
8.763,8.831,8.684,8.763,15681.44,2023-01-01 03:00:00
8.773,8.825,8.691,8.71,10761.38,2023-01-01 04:00:00
8.707,8.724,8.543,8.694,20991.13,2023-01-01 05:00:00
8.69,8.703,8.54,8.568,7667.28,2023-01-01 06:00:00
8.568,8.571,8.193,8.31,38602.42,2023-01-01 07:00:00
8.306,8.592,8.296,8.515,12714.28,2023-01-01 08:00:00
8.532,11.884,8.532,10.886,432279.51,2023-01-01 09:00:00
10.891,11.448,9.706,9.706,237274.18,2023-01-01 10:00:00
9.727,9.944,9.511,9.769,36873.48,2023-01-01 11:00:00
9.761,9.97,9.617,9.772,45874.34,2023-01-01 12:00:00
9.764,9.901,9.696,9.798,38841.66,2023-01-01 13:00:00
9.794,10.366,9.767,10.273,125481.98,2023-01-01 14:00:00
10.282,10.676,10.072,10.131,112012.07,2023-01-01 15:00:00
10.136,10.138,9.975,10.014,44480.36,2023-01-01 16:00:00
10.022,10.179,9.949,10.123,22886.07,2023-01-01 17:00:00
10.127,10.27,10.051,10.11,32359.15,2023-01-01 18:00:00
10.108,10.224,10.052,10.134,42089.15,2023-01-01 19:00:00
10.131,10.139,9.827,9.914,31211.25,2023-01-01 20:00:00
9.914,10.001,9.76,9.897,39450.96,2023-01-01 21:00:00
9.914,10.081,9.808,10.067,19879.48,2023-01-01 22:00:00
10.053,10.213,9.949,10.073,42793.04,2023-01-01 23:00:00
10.08,10.198,9.962,9.972,33159.09,2023-01-02 00:00:00
9.967,10.044,9.699,9.77,27651.29,2023-01-02 01:00:00
9.761,9.832,9.547,9.794,29890.12,2023-01-02 02:00:00
9.79,10.108,9.748,10.02,38312.88,2023-01-02 03:00:00
10.018,10.086,9.518,10.0,54928.08,2023-01-02 04:00:00
10.001,10.407,9.906,10.104,60524.95,2023-01-02 05:00:00
10.105,10.131,9.826,10.076,32024.84,2023-01-02 06:00:00
10.077,10.527,9.947,10.461,60447.12,2023-01-02 07:00:00
10.467,10.551,10.305,10.382,37752.56,2023-01-02 08:00:00
10.379,10.641,10.264,10.548,14849.71,2023-01-02 09:00:00
10.549,10.661,10.357,10.457,21015.83,2023-01-02 10:00:00
10.458,10.9,10.405,10.554,48120.85,2023-01-02 11:00:00
10.567,10.645,10.415,10.437,29150.71,2023-01-02 12:00:00
10.434,10.457,10.329,10.407,24788.84,2023-01-02 13:00:00
10.411,10.547,10.411,10.456,21843.71,2023-01-02 14:00:00
10.468,10.62,10.351,10.397,27292.11,2023-01-02 15:00:00
10.383,10.444,10.231,10.336,23901.65,2023-01-02 16:00:00
10.333,10.427,10.211,10.27,25851.7,2023-01-02 17:00:00
10.269,10.375,10.027,10.05,15571.92,2023-01-02 18:00:00
10.044,10.438,10.044,10.323,33782.98,2023-01-02 19:00:00
10.337,10.477,10.284,10.433,21161.09,2023-01-02 20:00:00
10.414,10.565,10.338,10.455,46411.81,2023-01-02 21:00:00
10.455,10.742,10.44,10.689,42121.4,2023-01-02 22:00:00
10.688,10.872,10.65,10.814,34030.83,2023-01-02 23:00:00
10.809,11.012,10.799,10.814,36014.04,2023-01-03 00:00:00
10.812,10.829,10.588,10.663,22016.99,2023-01-03 01:00:00
10.67,10.725,10.477,10.494,50283.19,2023-01-03 02:00:00
10.503,10.582,10.483,10.509,18773.38,2023-01-03 03:00:00
10.511,10.556,10.432,10.514,16556.85,2023-01-03 04:00:00
10.511,10.574,10.465,10.488,8753.33,2023-01-03 05:00:00
10.486,10.574,10.398,10.463,10901.84,2023-01-03 06:00:00
10.462,10.475,10.342,10.386,6993.65,2023-01-03 07:00:00
10.384,10.455,10.356,10.41,4662.15,2023-01-03 08:00:00
10.394,10.425,10.323,10.356,3703.99,2023-01-03 09:00:00
10.376,10.436,10.374,10.432,3342.56,2023-01-03 10:00:00
10.424,10.441,10.341,10.357,10554.35,2023-01-03 11:00:00
10.357,10.387,10.325,10.327,25135.75,2023-01-03 12:00:00
10.332,10.361,10.261,10.316,6622.38,2023-01-03 13:00:00
10.323,10.357,10.206,10.283,21677.79,2023-01-03 14:00:00
10.286,10.393,10.285,10.292,11485.75,2023-01-03 15:00:00
10.299,10.327,10.243,10.315,10774.67,2023-01-03 16:00:00
10.315,10.369,10.3,10.3,10849.13,2023-01-03 17:00:00
10.302,10.352,10.255,10.259,4625.52,2023-01-03 18:00:00
10.258,10.277,10.238,10.271,8973.94,2023-01-03 19:00:00
10.271,10.394,10.2,10.373,14897.72,2023-01-03 20:00:00
10.365,10.375,10.286,10.323,7353.46,2023-01-03 21:00:00
10.32,10.323,10.23,10.288,12661.84,2023-01-03 22:00:00
10.288,10.289,10.173,10.234,9943.67,2023-01-03 23:00:00
10.246,10.35,10.242,10.334,10838.34,2023-01-04 00:00:00
10.347,10.37,10.305,10.308,5325.79,2023-01-04 01:00:00
10.32,10.36,10.301,10.352,5086.46,2023-01-04 02:00:00
10.357,10.393,10.309,10.391,6607.95,2023-01-04 03:00:00
10.397,10.422,10.323,10.323,4056.0,2023-01-04 04:00:00
10.302,10.374,10.274,10.279,7141.56,2023-01-04 05:00:00
10.285,10.449,10.255,10.449,3606.01,2023-01-04 06:00:00
10.436,10.488,10.334,10.348,9474.01,2023-01-04 07:00:00
10.352,10.486,10.346,10.47,6443.68,2023-01-04 08:00:00
10.47,10.521,10.457,10.472,4168.86,2023-01-04 09:00:00
10.457,10.497,10.326,10.348,31216.82,2023-01-04 10:00:00
10.332,10.35,10.069,10.112,12010.99,2023-01-04 11:00:00
10.106,10.245,10.103,10.2,8109.02,2023-01-04 12:00:00
10.206,10.27,10.201,10.228,6509.41,2023-01-04 13:00:00
10.221,10.239,10.051,10.052,4914.68,2023-01-04 14:00:00
10.051,10.141,9.957,10.026,10281.57,2023-01-04 15:00:00
10.025,10.135,10.023,10.096,5694.84,2023-01-04 16:00:00
10.089,10.169,10.068,10.149,4220.43,2023-01-04 17:00:00
10.143,10.23,10.1,10.199,3886.66,2023-01-04 18:00:00
10.192,10.322,10.177,10.304,6053.29,2023-01-04 19:00:00
