Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.06308,0.06311,0.06198,0.06275,33956.9,2023-01-01 00:00:00
0.06282,0.06387,0.06282,0.06335,37843.2,2023-01-01 01:00:00
0.0637,0.064,0.06198,0.06198,2596.0,2023-01-01 02:00:00
0.06198,0.06311,0.06198,0.06242,45929.8,2023-01-01 03:00:00
0.06303,0.06329,0.06261,0.06287,150647.9,2023-01-01 04:00:00
0.06257,0.06257,0.06016,0.06134,223149.3,2023-01-01 05:00:00
0.06135,0.06135,0.06015,0.06077,17235.8,2023-01-01 06:00:00
0.06015,0.06015,0.05759,0.05809,165043.3,2023-01-01 07:00:00
0.05857,0.05979,0.05856,0.05949,289215.5,2023-01-01 08:00:00
0.06,0.06133,0.05928,0.05928,32195.0,2023-01-01 09:00:00
0.05937,0.06245,0.05937,0.06132,105447.0,2023-01-01 10:00:00
0.06139,0.06139,0.06017,0.06017,8305.7,2023-01-01 11:00:00
0.06068,0.06068,0.05951,0.06064,14643.5,2023-01-01 12:00:00
0.06017,0.06149,0.06017,0.06149,115847.3,2023-01-01 13:00:00
0.06164,0.06198,0.06164,0.06198,142245.1,2023-01-01 14:00:00
0.06194,0.06333,0.06134,0.06268,169363.9,2023-01-01 15:00:00
0.06249,0.06262,0.06173,0.06173,45103.2,2023-01-01 16:00:00
0.06166,0.06166,0.06165,0.06166,58137.3,2023-01-01 17:00:00
0.06175,0.06234,0.06115,0.06119,46667.9,2023-01-01 18:00:00
0.06119,0.06139,0.06041,0.0607,4561.8,2023-01-01 19:00:00
0.06002,0.06091,0.05979,0.06032,41238.1,2023-01-01 20:00:00
0.06057,0.06088,0.05979,0.06021,15161.2,2023-01-01 21:00:00
0.06023,0.06121,0.05979,0.06085,177143.6,2023-01-01 22:00:00
0.06089,0.06183,0.06088,0.06127,149157.3,2023-01-01 23:00:00
0.06123,0.06177,0.06045,0.06045,167713.3,2023-01-02 00:00:00
0.0605,0.06089,0.05939,0.05939,271659.2,2023-01-02 01:00:00
0.05918,0.06008,0.05847,0.05974,207743.5,2023-01-02 02:00:00
0.05938,0.06031,0.05938,0.06023,135918.7,2023-01-02 03:00:00
0.0605,0.06071,0.05741,0.05904,477165.4,2023-01-02 04:00:00
0.05881,0.05995,0.05772,0.05901,178470.7,2023-01-02 05:00:00
0.05838,0.06096,0.05838,0.06096,23204.6,2023-01-02 06:00:00
