Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.017643,0.062221,0.017597,0.017597,1314963.5,2023-01-01 00:00:00
0.017606,0.017606,0.017074,0.017186,1282325.8,2023-01-01 01:00:00
0.017186,0.017211,0.016774,0.017211,1366865.7,2023-01-01 02:00:00
0.017206,0.017255,0.017033,0.017103,2193267.8,2023-01-01 03:00:00
0.017103,0.017178,0.016625,0.016625,709485.6,2023-01-01 04:00:00
0.01668,0.017147,0.016574,0.01696,568028.2,2023-01-01 05:00:00
0.017012,0.017189,0.016929,0.01713,351515.9,2023-01-01 06:00:00
0.016958,0.016979,0.016773,0.016831,311707.0,2023-01-01 07:00:00
0.016791,0.016977,0.016685,0.016819,868041.4,2023-01-01 08:00:00
0.016804,0.017213,0.016749,0.017088,2627150.5,2023-01-01 09:00:00
0.017123,0.017517,0.017117,0.017234,4790482.6,2023-01-01 10:00:00
0.017181,0.017499,0.017167,0.017413,1147791.2,2023-01-01 11:00:00
0.017456,0.017945,0.017456,0.017653,5686184.4,2023-01-01 12:00:00
0.017659,0.018055,0.017534,0.017627,2689503.6,2023-01-01 13:00:00
0.017681,0.018529,0.017584,0.018057,3837332.2,2023-01-01 14:00:00
0.018038,0.018665,0.017946,0.017946,1456689.5,2023-01-01 15:00:00
0.017989,0.019292,0.017879,0.018439,2082636.3,2023-01-01 16:00:00
0.018424,0.018968,0.018352,0.018742,395275.3,2023-01-01 17:00:00
0.01871,0.019454,0.018646,0.019125,4090578.8,2023-01-01 18:00:00
0.019022,0.019772,0.018922,0.019059,6457480.6,2023-01-01 19:00:00
0.019144,0.019341,0.018664,0.01872,1143007.9,2023-01-01 20:00:00
0.018947,0.019105,0.018603,0.019075,632503.1,2023-01-01 21:00:00
0.019125,0.019766,0.019,0.019118,1366979.0,2023-01-01 22:00:00
0.019091,0.019506,0.018689,0.01887,987448.7,2023-01-01 23:00:00
0.018937,0.018937,0.018479,0.018516,1314084.1,2023-01-02 00:00:00
0.018511,0.01857,0.017944,0.01801,1087489.4,2023-01-02 01:00:00
0.018008,0.018008,0.017684,0.017742,2886030.2,2023-01-02 02:00:00
0.017792,0.018047,0.01754,0.017926,16438197.3,2023-01-02 03:00:00
0.017881,0.018513,0.017881,0.01824,2787994.2,2023-01-02 04:00:00
0.018137,0.018164,0.017916,0.017965,586341.4,2023-01-02 05:00:00
0.017936,0.017988,0.01775,0.017768,243821.5,2023-01-02 06:00:00
0.017766,0.01783,0.017625,0.017738,392076.6,2023-01-02 07:00:00
0.017729,0.017936,0.017607,0.017815,1156729.6,2023-01-02 08:00:00
0.017814,0.017951,0.017308,0.017417,1362586.9,2023-01-02 09:00:00
0.017413,0.017592,0.017366,0.01759,774328.1,2023-01-02 10:00:00
0.01759,0.017677,0.017348,0.017367,742763.7,2023-01-02 11:00:00
0.017419,0.017532,0.017367,0.017532,670912.0,2023-01-02 12:00:00
0.017528,0.017655,0.017364,0.017621,618511.4,2023-01-02 13:00:00
0.017528,0.017781,0.01751,0.01764,8498658.5,2023-01-02 14:00:00
0.017599,0.017892,0.017599,0.017785,1368236.0,2023-01-02 15:00:00
0.017733,0.01798,0.017623,0.017864,427820.1,2023-01-02 16:00:00
0.01791,0.018023,0.017709,0.017775,397156.3,2023-01-02 17:00:00
0.017805,0.017909,0.017687,0.01774,100142.1,2023-01-02 18:00:00
0.017715,0.01775,0.017619,0.017619,256701.0,2023-01-02 19:00:00
0.017632,0.017829,0.017526,0.017526,599001.4,2023-01-02 20:00:00
0.017556,0.017821,0.017531,0.017686,196221.8,2023-01-02 21:00:00
0.017662,0.017991,0.017451,0.017883,294378.7,2023-01-02 22:00:00
0.017894,0.017998,0.017798,0.017927,323961.2,2023-01-02 23:00:00
0.017949,0.018107,0.017683,0.017683,345014.6,2023-01-03 00:00:00
0.01769,0.017964,0.017368,0.017368,1065818.0,2023-01-03 01:00:00
0.017613,0.018064,0.017613,0.017983,283418.9,2023-01-03 02:00:00
