Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
6.933,7.027,6.902,6.998,30886.7,2023-01-01 00:00:00
6.998,7.117,6.967,7.088,38402.4,2023-01-01 01:00:00
7.095,7.247,6.927,7.013,81321.6,2023-01-01 02:00:00
7.018,7.098,6.952,7.01,15806.5,2023-01-01 03:00:00
7.007,7.079,6.987,7.028,21034.2,2023-01-01 04:00:00
7.034,7.113,6.924,7.067,20152.8,2023-01-01 05:00:00
7.061,7.064,6.932,6.95,38951.0,2023-01-01 06:00:00
6.931,6.94,6.674,6.806,45281.9,2023-01-01 07:00:00
6.806,7.158,6.797,7.077,40968.6,2023-01-01 08:00:00
7.091,7.282,7.091,7.185,69865.0,2023-01-01 09:00:00
7.177,7.4,7.118,7.224,88455.4,2023-01-01 10:00:00
7.225,7.284,7.12,7.18,41695.2,2023-01-01 11:00:00
7.181,7.211,7.087,7.163,22791.0,2023-01-01 12:00:00
7.171,7.301,7.122,7.248,31555.8,2023-01-01 13:00:00
7.252,7.354,7.232,7.309,37551.1,2023-01-01 14:00:00
7.309,7.365,7.24,7.3,22482.9,2023-01-01 15:00:00
7.304,7.313,7.168,7.189,18979.3,2023-01-01 16:00:00
7.192,7.255,7.181,7.251,14280.7,2023-01-01 17:00:00
7.242,7.3,7.223,7.259,24465.2,2023-01-01 18:00:00
7.258,7.285,7.19,7.241,25667.1,2023-01-01 19:00:00
7.24,7.266,7.101,7.207,33159.8,2023-01-01 20:00:00
7.205,7.222,7.041,7.141,38560.8,2023-01-01 21:00:00
7.144,7.21,7.079,7.15,19086.4,2023-01-01 22:00:00
7.149,7.192,7.107,7.191,6458.5,2023-01-01 23:00:00
7.18,7.187,7.029,7.038,5517.3,2023-01-02 00:00:00
7.04,7.097,6.918,6.967,22599.3,2023-01-02 01:00:00
6.955,6.959,6.787,6.909,65093.9,2023-01-02 02:00:00
6.906,6.96,6.888,6.912,11976.5,2023-01-02 03:00:00
6.909,6.95,6.565,6.826,49305.4,2023-01-02 04:00:00
6.811,6.873,6.701,6.784,23774.8,2023-01-02 05:00:00
6.768,6.912,6.721,6.909,16692.2,2023-01-02 06:00:00
6.909,7.007,6.868,6.975,49135.3,2023-01-02 07:00:00
6.973,6.973,6.895,6.911,22733.4,2023-01-02 08:00:00
6.915,6.951,6.856,6.951,36496.3,2023-01-02 09:00:00
6.953,7.044,6.949,7.018,53159.5,2023-01-02 10:00:00
7.015,7.059,6.997,7.037,37729.0,2023-01-02 11:00:00
7.018,7.102,7.013,7.062,24200.9,2023-01-02 12:00:00
7.066,7.14,6.985,7.045,38524.0,2023-01-02 13:00:00
7.046,7.139,6.982,6.987,69585.2,2023-01-02 14:00:00
6.989,6.992,6.833,6.896,87591.0,2023-01-02 15:00:00
6.892,6.908,6.787,6.908,37374.6,2023-01-02 16:00:00
6.903,6.938,6.78,6.819,7768.5,2023-01-02 17:00:00
6.815,6.906,6.741,6.76,15898.0,2023-01-02 18:00:00
6.769,6.951,6.75,6.908,53257.6,2023-01-02 19:00:00
6.913,7.052,6.862,7.035,28063.2,2023-01-02 20:00:00
7.031,7.073,6.96,7.001,14750.9,2023-01-02 21:00:00
7.005,7.026,6.96,7.024,15446.5,2023-01-02 22:00:00
7.029,7.22,7.028,7.161,46909.4,2023-01-02 23:00:00
7.16,7.259,7.138,7.243,50102.6,2023-01-03 00:00:00
7.235,7.408,7.225,7.372,128680.5,2023-01-03 01:00:00
7.375,7.493,7.374,7.388,65761.8,2023-01-03 02:00:00
7.388,7.412,7.294,7.314,4918.5,2023-01-03 03:00:00
7.317,7.372,7.31,7.332,4092.1,2023-01-03 04:00:00
7.314,7.357,7.25,7.296,6949.6,2023-01-03 05:00:00
7.299,7.381,7.281,7.32,52302.1,2023-01-03 06:00:00
7.32,7.34,7.265,7.298,11107.6,2023-01-03 07:00:00
7.292,7.355,7.27,7.276,22612.9,2023-01-03 08:00:00
7.27,7.27,7.197,7.242,10683.7,2023-01-03 09:00:00
7.233,7.304,7.217,7.297,10599.5,2023-01-03 10:00:00
7.294,7.334,7.233,7.242,13996.0,2023-01-03 11:00:00
7.241,7.295,7.223,7.292,7489.5,2023-01-03 12:00:00
7.282,7.313,7.242,7.313,13831.3,2023-01-03 13:00:00
7.311,7.317,7.225,7.253,9946.5,2023-01-03 14:00:00
7.25,7.301,7.224,7.23,9746.2,2023-01-03 15:00:00
7.227,7.249,7.08,7.118,21277.8,2023-01-03 16:00:00
7.12,7.198,7.099,7.198,34771.4,2023-01-03 17:00:00
7.203,7.262,7.16,7.195,13080.0,2023-01-03 18:00:00
7.196,7.239,7.186,7.239,7841.4,2023-01-03 19:00:00
7.246,7.256,7.154,7.231,5769.2,2023-01-03 20:00:00
7.22,7.283,7.19,7.272,7524.6,2023-01-03 21:00:00
7.275,7.276,7.17,7.184,7823.2,2023-01-03 22:00:00
