Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.6923,0.723,0.6915,0.7204,532940.4,2023-01-01 00:00:00
0.7198,0.7361,0.7148,0.7219,423697.5,2023-01-01 01:00:00
0.7216,0.731,0.6955,0.7036,371115.2,2023-01-01 02:00:00
0.7048,0.7162,0.6994,0.7112,230027.7,2023-01-01 03:00:00
0.7108,0.7137,0.6966,0.6988,121661.6,2023-01-01 04:00:00
0.6992,0.7046,0.6838,0.6908,210702.0,2023-01-01 05:00:00
0.6908,0.6908,0.6774,0.6787,197692.6,2023-01-01 06:00:00
0.6781,0.6781,0.6418,0.6543,584131.1,2023-01-01 07:00:00
0.6536,0.6772,0.6535,0.6736,403415.7,2023-01-01 08:00:00
0.6728,0.7001,0.6664,0.6708,662057.7,2023-01-01 09:00:00
0.6708,0.6857,0.6673,0.675,205768.2,2023-01-01 10:00:00
0.6745,0.6745,0.6588,0.6698,157779.3,2023-01-01 11:00:00
0.6692,0.6762,0.6623,0.6732,166660.6,2023-01-01 12:00:00
0.6728,0.6817,0.6705,0.6793,143727.1,2023-01-01 13:00:00
0.6791,0.6848,0.6741,0.6787,287879.3,2023-01-01 14:00:00
0.6776,0.6914,0.672,0.6818,173972.6,2023-01-01 15:00:00
0.6815,0.6831,0.6763,0.6765,112499.5,2023-01-01 16:00:00
0.6757,0.6838,0.6756,0.6826,80199.7,2023-01-01 17:00:00
0.6826,0.6919,0.6804,0.686,160435.9,2023-01-01 18:00:00
0.6861,0.7151,0.6837,0.7062,682826.8,2023-01-01 19:00:00
0.7068,0.7202,0.6913,0.7113,354216.8,2023-01-01 20:00:00
0.7123,0.7242,0.7009,0.7112,635631.0,2023-01-01 21:00:00
0.7127,0.7359,0.7098,0.7272,563104.6,2023-01-01 22:00:00
0.7267,0.7324,0.7215,0.7268,398624.4,2023-01-01 23:00:00
0.7273,0.7351,0.7235,0.7254,440968.1,2023-01-02 00:00:00
0.7253,0.7278,0.6913,0.7031,404414.3,2023-01-02 01:00:00
0.7022,0.7109,0.6917,0.706,314229.4,2023-01-02 02:00:00
0.7061,0.7251,0.7038,0.7176,288115.4,2023-01-02 03:00:00
