Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
229.25,231.22,228.39,230.28,12514.591,2023-01-01 00:00:00
230.19,233.22,229.83,232.99,9031.04,2023-01-01 01:00:00
233.04,236.69,230.75,233.26,22247.371,2023-01-01 02:00:00
233.26,235.04,229.81,230.05,16393.121,2023-01-01 03:00:00
230.04,232.03,229.28,229.49,8417.482,2023-01-01 04:00:00
229.37,229.84,226.15,229.51,11094.339,2023-01-01 05:00:00
229.49,230.0,226.44,226.68,7158.122,2023-01-01 06:00:00
226.62,227.06,223.24,226.05,11927.483,2023-01-01 07:00:00
226.0,235.53,225.72,231.71,23606.122,2023-01-01 08:00:00
231.73,238.79,231.69,233.11,27457.405,2023-01-01 09:00:00
233.09,238.42,232.97,236.91,15805.9,2023-01-01 10:00:00
236.96,237.7,233.34,235.16,16482.534,2023-01-01 11:00:00
235.19,235.65,231.63,233.69,14672.653,2023-01-01 12:00:00
233.74,235.19,233.39,234.07,17155.573,2023-01-01 13:00:00
234.07,236.68,233.69,235.93,15178.761,2023-01-01 14:00:00
235.9,237.82,234.86,237.79,11396.719,2023-01-01 15:00:00
237.73,239.61,237.0,237.1,14259.521,2023-01-01 16:00:00
237.05,242.51,236.78,242.02,16803.752,2023-01-01 17:00:00
241.98,245.0,241.26,241.62,74794.894,2023-01-01 18:00:00
241.64,242.41,239.72,240.42,67211.379,2023-01-01 19:00:00
240.45,241.62,238.36,241.15,24724.457,2023-01-01 20:00:00
241.19,242.06,236.5,239.32,27257.057,2023-01-01 21:00:00
239.37,243.07,237.78,239.72,24228.349,2023-01-01 22:00:00
239.72,240.88,239.0,240.19,8538.244,2023-01-01 23:00:00
240.17,240.37,236.23,236.63,18594.062,2023-01-02 00:00:00
236.54,237.23,232.49,233.14,29208.306,2023-01-02 01:00:00
233.16,233.86,229.53,233.15,54772.238,2023-01-02 02:00:00
233.16,234.42,232.24,234.05,13902.229,2023-01-02 03:00:00
234.01,235.51,225.3,235.51,52312.641,2023-01-02 04:00:00
235.49,241.02,233.44,236.2,41949.359,2023-01-02 05:00:00
236.15,242.9,234.68,242.75,35169.489,2023-01-02 06:00:00
242.74,247.14,239.71,243.92,57952.478,2023-01-02 07:00:00
243.93,244.21,242.1,242.95,55276.473,2023-01-02 08:00:00
242.96,242.96,238.55,242.07,43485.908,2023-01-02 09:00:00
242.14,242.98,240.15,241.13,10086.725,2023-01-02 10:00:00
241.11,241.99,238.53,238.74,8881.605,2023-01-02 11:00:00
238.79,239.81,237.92,238.95,12559.922,2023-01-02 12:00:00
238.99,239.53,238.1,239.49,12550.901,2023-01-02 13:00:00
239.51,240.7,238.07,238.07,20518.443,2023-01-02 14:00:00
238.05,238.15,235.33,235.9,24836.184,2023-01-02 15:00:00
235.77,236.33,234.21,235.92,14978.031,2023-01-02 16:00:00
235.95,236.35,233.81,234.32,11412.985,2023-01-02 17:00:00
234.28,235.63,231.18,231.49,15616.04,2023-01-02 18:00:00
231.48,235.22,231.11,234.78,19221.148,2023-01-02 19:00:00
234.77,238.19,233.69,238.18,18733.759,2023-01-02 20:00:00
238.18,240.16,236.46,238.29,23299.697,2023-01-02 21:00:00
238.28,239.24,237.33,239.06,15869.994,2023-01-02 22:00:00
239.1,240.73,238.64,239.4,18832.534,2023-01-02 23:00:00
239.4,240.51,238.77,239.27,13409.107,2023-01-03 00:00:00
239.28,240.45,238.97,240.1,8811.863,2023-01-03 01:00:00
240.21,241.16,237.97,238.68,9766.424,2023-01-03 02:00:00
238.71,239.69,237.99,238.0,7004.514,2023-01-03 03:00:00
238.01,238.99,237.45,237.8,7682.126,2023-01-03 04:00:00
237.8,238.45,235.75,237.24,9869.606,2023-01-03 05:00:00
237.26,237.76,235.87,236.85,6079.749,2023-01-03 06:00:00
236.74,237.34,235.17,235.86,6208.473,2023-01-03 07:00:00
235.79,236.95,235.4,236.12,3760.887,2023-01-03 08:00:00
236.13,236.45,234.5,235.27,6560.842,2023-01-03 09:00:00
235.19,235.87,234.66,235.72,4796.867,2023-01-03 10:00:00
235.62,236.44,235.24,235.75,4372.964,2023-01-03 11:00:00
235.75,236.36,235.02,236.28,3085.405,2023-01-03 12:00:00
236.29,236.86,235.66,236.51,3643.933,2023-01-03 13:00:00
236.52,236.78,235.37,236.26,3355.069,2023-01-03 14:00:00
236.31,239.0,236.27,238.99,8998.065,2023-01-03 15:00:00
239.0,239.56,237.42,238.63,7456.381,2023-01-03 16:00:00
238.64,239.46,238.22,238.43,4627.057,2023-01-03 17:00:00
238.41,238.96,237.47,238.52,5221.643,2023-01-03 18:00:00
