Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.2836,0.2836,0.276,0.2784,6278.3,2023-01-01 00:00:00
0.2785,0.2816,0.2785,0.2804,8314.9,2023-01-01 01:00:00
0.2791,0.2802,0.2791,0.2802,37.9,2023-01-01 02:00:00
0.2786,0.2793,0.2761,0.279,7217.8,2023-01-01 03:00:00
0.2798,0.2798,0.2798,0.2798,1015.8,2023-01-01 04:00:00
0.2756,0.2756,0.0913,0.2675,26514.3,2023-01-01 05:00:00
0.2719,0.2719,0.2682,0.2682,1257.7,2023-01-01 06:00:00
0.2659,0.268,0.2659,0.268,99.5,2023-01-01 07:00:00
0.2671,0.2671,0.2671,0.2671,132.3,2023-01-01 08:00:00
0.2671,0.2671,0.2671,0.2671,0.0,2023-01-01 09:00:00
0.2767,0.2819,0.2755,0.2819,222.5,2023-01-01 10:00:00
0.2798,0.2798,0.2798,0.2798,483.8,2023-01-01 11:00:00
0.279,0.2792,0.2779,0.2792,2773.1,2023-01-01 12:00:00
0.2793,0.2793,0.2776,0.2776,1519.7,2023-01-01 13:00:00
0.2755,0.2755,0.2748,0.2748,2969.0,2023-01-01 14:00:00
0.2777,0.2778,0.277,0.277,2077.2,2023-01-01 15:00:00
0.28,0.2866,0.2783,0.2825,9536.3,2023-01-01 16:00:00
0.2856,0.3114,0.2803,0.283,132301.4,2023-01-01 17:00:00
0.2814,0.2891,0.2795,0.2825,40307.7,2023-01-01 18:00:00
0.2819,0.283,0.2765,0.2765,33582.6,2023-01-01 19:00:00
0.2755,0.2755,0.2739,0.2741,71654.4,2023-01-01 20:00:00
0.277,0.277,0.277,0.277,1433.8,2023-01-01 21:00:00
0.2776,0.279,0.2776,0.279,1852.0,2023-01-01 22:00:00
0.2811,0.2811,0.2799,0.2799,4131.8,2023-01-01 23:00:00
0.2764,0.2764,0.2741,0.2741,5497.4,2023-01-02 00:00:00
0.2765,0.2765,0.2765,0.2765,438.3,2023-01-02 01:00:00
0.2774,0.2774,0.2774,0.2774,1125.0,2023-01-02 02:00:00
0.2774,0.2774,0.2774,0.2774,0.0,2023-01-02 03:00:00
0.2759,0.2791,0.2759,0.279,2730.4,2023-01-02 04:00:00
0.2795,0.2795,0.2774,0.2774,951.0,2023-01-02 05:00:00
0.2775,0.2775,0.2775,0.2775,2604.3,2023-01-02 06:00:00
0.2775,0.2775,0.2775,0.2775,0.0,2023-01-02 07:00:00
0.2775,0.2775,0.2775,0.2775,0.0,2023-01-02 08:00:00
0.2775,0.2775,0.2775,0.2775,1513.0,2023-01-02 09:00:00
0.2776,0.2793,0.2776,0.2793,924.8,2023-01-02 10:00:00
0.2797,0.2809,0.2797,0.2809,1575.2,2023-01-02 11:00:00
0.2804,0.2804,0.2804,0.2804,878.4,2023-01-02 12:00:00
0.2842,0.2842,0.2842,0.2842,179.4,2023-01-02 13:00:00
0.2874,0.2874,0.2836,0.2839,1608.3,2023-01-02 14:00:00
0.2875,0.2875,0.2827,0.2827,5378.5,2023-01-02 15:00:00
0.2804,0.2804,0.2781,0.2789,9806.4,2023-01-02 16:00:00
0.2789,0.2789,0.2789,0.2789,200.0,2023-01-02 17:00:00
0.2796,0.2796,0.2752,0.2752,1854.1,2023-01-02 18:00:00
0.2759,0.2769,0.2759,0.2764,223.7,2023-01-02 19:00:00
0.2764,0.2766,0.2743,0.2743,247.6,2023-01-02 20:00:00
0.2752,0.2752,0.2714,0.2726,8988.0,2023-01-02 21:00:00
0.2726,0.273,0.2726,0.2727,5233.6,2023-01-02 22:00:00
0.2739,0.2749,0.2723,0.2735,846.2,2023-01-02 23:00:00
0.2739,0.2797,0.2739,0.2742,6548.0,2023-01-03 00:00:00
0.2737,0.2737,0.2737,0.2737,91.9,2023-01-03 01:00:00
0.2737,0.2737,0.2737,0.2737,0.0,2023-01-03 02:00:00
0.2709,0.2709,0.2701,0.2701,10751.3,2023-01-03 03:00:00
0.2713,0.2716,0.2713,0.2716,1523.6,2023-01-03 04:00:00
0.271,0.272,0.271,0.2714,366.1,2023-01-03 05:00:00
0.2721,0.2727,0.2688,0.2693,2763.0,2023-01-03 06:00:00
0.2704,0.2732,0.2696,0.2717,7234.4,2023-01-03 07:00:00
0.273,0.2744,0.2708,0.2744,2213.4,2023-01-03 08:00:00
0.2736,0.2736,0.2736,0.2736,92.3,2023-01-03 09:00:00
0.273,0.2743,0.273,0.2738,1377.9,2023-01-03 10:00:00
0.2721,0.2721,0.2721,0.2721,960.3,2023-01-03 11:00:00
0.2686,0.2686,0.2686,0.2686,744.6,2023-01-03 12:00:00
0.2683,0.2683,0.2681,0.2681,799.3,2023-01-03 13:00:00
0.2656,0.2659,0.2656,0.2659,213.1,2023-01-03 14:00:00
0.2659,0.2668,0.2659,0.2668,1390.0,2023-01-03 15:00:00
0.2664,0.271,0.2664,0.2709,5541.3,2023-01-03 16:00:00
0.2681,0.2681,0.2615,0.2615,2846.7,2023-01-03 17:00:00
0.2599,0.2599,0.2561,0.2561,3139.5,2023-01-03 18:00:00
0.2584,0.2584,0.2523,0.2547,9047.5,2023-01-03 19:00:00
0.2552,0.256,0.2552,0.256,1953.0,2023-01-03 20:00:00
0.2552,0.2625,0.2548,0.2582,27170.1,2023-01-03 21:00:00
0.2586,0.2586,0.2539,0.2539,3452.2,2023-01-03 22:00:00
0.2539,0.2539,0.2539,0.2539,0.0,2023-01-03 23:00:00
0.2501,0.2501,0.2494,0.2494,4233.4,2023-01-04 00:00:00
0.2495,0.2495,0.2495,0.2495,718.9,2023-01-04 01:00:00
0.2476,0.2476,0.2476,0.2476,754.8,2023-01-04 02:00:00
0.2475,0.248,0.2438,0.2438,4911.8,2023-01-04 03:00:00
0.2464,0.2464,0.2464,0.2464,200.0,2023-01-04 04:00:00
0.2464,0.247,0.2447,0.2454,185.1,2023-01-04 05:00:00
0.2434,0.2487,0.2386,0.2487,4270.9,2023-01-04 06:00:00
0.2517,0.2517,0.2477,0.2477,90.6,2023-01-04 07:00:00
0.2486,0.2486,0.2486,0.2486,329.4,2023-01-04 08:00:00
0.2477,0.2477,0.2477,0.2477,1550.6,2023-01-04 09:00:00
0.2474,0.2474,0.2474,0.2474,1305.0,2023-01-04 10:00:00
0.2474,0.2474,0.2474,0.2474,521.3,2023-01-04 11:00:00
0.2473,0.2553,0.2473,0.2553,8601.4,2023-01-04 12:00:00
0.2564,0.2564,0.2564,0.2564,83.3,2023-01-04 13:00:00
0.2579,0.2579,0.2579,0.2579,96.8,2023-01-04 14:00:00
0.2592,0.2592,0.2592,0.2592,657.3,2023-01-04 15:00:00
0.2579,0.2579,0.2548,0.2548,3213.7,2023-01-04 16:00:00
0.2537,0.2543,0.2509,0.2541,3300.3,2023-01-04 17:00:00
0.2575,0.2575,0.2575,0.2575,341.6,2023-01-04 18:00:00
0.2544,0.2544,0.2535,0.2544,3087.9,2023-01-04 19:00:00
0.2544,0.2544,0.2544,0.2544,0.0,2023-01-04 20:00:00
0.2558,0.2558,0.2553,0.2553,681.0,2023-01-04 21:00:00
0.2553,0.2553,0.2553,0.2553,0.0,2023-01-04 22:00:00
0.2553,0.2553,0.2553,0.2553,0.0,2023-01-04 23:00:00
0.2553,0.2553,0.2553,0.2553,0.0,2023-01-05 00:00:00
0.2571,0.2625,0.2571,0.2615,7330.3,2023-01-05 01:00:00
0.2602,0.2633,0.2602,0.2621,9924.0,2023-01-05 02:00:00
