Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
2.571,2.61,2.567,2.61,11494.6,2023-01-01 00:00:00
2.611,2.648,2.611,2.648,2941.9,2023-01-01 01:00:00
2.643,2.726,2.62,2.628,30454.2,2023-01-01 02:00:00
2.626,2.657,2.595,2.642,23389.9,2023-01-01 03:00:00
2.642,2.671,2.629,2.667,9032.6,2023-01-01 04:00:00
2.67,2.743,2.641,2.694,26427.6,2023-01-01 05:00:00
2.68,2.685,2.608,2.608,10673.8,2023-01-01 06:00:00
2.619,2.627,2.51,2.565,17974.4,2023-01-01 07:00:00
2.561,2.97,2.561,2.916,82322.3,2023-01-01 08:00:00
2.916,3.022,2.816,2.847,72346.4,2023-01-01 09:00:00
2.868,2.982,2.864,2.865,48821.4,2023-01-01 10:00:00
2.872,2.905,2.842,2.874,16325.3,2023-01-01 11:00:00
2.875,2.89,2.812,2.867,6872.9,2023-01-01 12:00:00
2.87,2.899,2.837,2.888,15825.1,2023-01-01 13:00:00
2.894,2.927,2.855,2.864,18379.8,2023-01-01 14:00:00
2.871,2.9,2.847,2.892,16576.7,2023-01-01 15:00:00
2.885,2.927,2.884,2.915,6607.1,2023-01-01 16:00:00
2.914,2.957,2.886,2.899,8689.8,2023-01-01 17:00:00
2.896,2.949,2.89,2.919,16252.4,2023-01-01 18:00:00
2.919,2.932,2.887,2.917,20339.1,2023-01-01 19:00:00
2.894,2.895,2.816,2.872,11719.9,2023-01-01 20:00:00
2.877,2.891,2.81,2.831,19471.6,2023-01-01 21:00:00
2.829,2.867,2.82,2.825,6342.9,2023-01-01 22:00:00
2.821,2.828,2.793,2.821,10027.6,2023-01-01 23:00:00
2.825,2.831,2.775,2.776,9503.7,2023-01-02 00:00:00
2.777,2.796,2.745,2.763,49860.4,2023-01-02 01:00:00
2.757,2.772,2.72,2.76,8795.1,2023-01-02 02:00:00
2.76,2.793,2.755,2.781,5804.3,2023-01-02 03:00:00
2.784,2.786,2.618,2.759,60436.3,2023-01-02 04:00:00
2.758,2.794,2.716,2.752,20717.6,2023-01-02 05:00:00
2.731,2.77,2.712,2.77,7587.9,2023-01-02 06:00:00
2.773,2.822,2.771,2.797,5694.5,2023-01-02 07:00:00
2.79,2.79,2.761,2.766,18658.6,2023-01-02 08:00:00
2.759,2.77,2.734,2.77,12860.5,2023-01-02 09:00:00
2.77,2.8,2.764,2.798,6686.2,2023-01-02 10:00:00
2.791,2.823,2.785,2.792,5694.8,2023-01-02 11:00:00
2.777,2.799,2.769,2.772,10582.8,2023-01-02 12:00:00
2.77,2.772,2.754,2.772,8882.7,2023-01-02 13:00:00
2.78,2.8,2.751,2.752,6524.0,2023-01-02 14:00:00
2.746,2.749,2.675,2.694,7508.0,2023-01-02 15:00:00
2.694,2.694,2.644,2.691,31853.5,2023-01-02 16:00:00
2.69,2.7,2.667,2.691,4222.9,2023-01-02 17:00:00
2.688,2.715,2.624,2.629,45793.6,2023-01-02 18:00:00
2.63,2.708,2.627,2.667,27987.2,2023-01-02 19:00:00
2.677,2.712,2.653,2.712,11231.0,2023-01-02 20:00:00
2.706,2.721,2.692,2.701,19217.3,2023-01-02 21:00:00
2.702,2.726,2.702,2.726,6366.3,2023-01-02 22:00:00
2.726,2.799,2.724,2.769,3892.7,2023-01-02 23:00:00
2.778,2.796,2.771,2.789,5966.4,2023-01-03 00:00:00
2.775,2.784,2.769,2.778,9796.3,2023-01-03 01:00:00
2.775,2.794,2.766,2.777,4385.3,2023-01-03 02:00:00
2.783,2.783,2.75,2.75,4472.6,2023-01-03 03:00:00
2.754,2.765,2.742,2.742,2267.5,2023-01-03 04:00:00
2.732,2.77,2.732,2.741,2037.8,2023-01-03 05:00:00
2.738,2.77,2.715,2.735,6725.8,2023-01-03 06:00:00
2.737,2.761,2.719,2.721,4436.3,2023-01-03 07:00:00
2.708,2.735,2.702,2.719,3052.5,2023-01-03 08:00:00
2.718,2.718,2.689,2.697,3604.4,2023-01-03 09:00:00
2.69,2.704,2.69,2.7,1926.5,2023-01-03 10:00:00
2.7,2.705,2.679,2.691,3078.7,2023-01-03 11:00:00
2.698,2.718,2.696,2.708,8896.8,2023-01-03 12:00:00
2.706,2.708,2.662,2.676,5623.8,2023-01-03 13:00:00
2.683,2.687,2.659,2.684,10055.1,2023-01-03 14:00:00
2.676,2.685,2.667,2.667,11556.9,2023-01-03 15:00:00
2.673,2.68,2.653,2.673,3691.5,2023-01-03 16:00:00
2.678,2.692,2.677,2.684,2322.3,2023-01-03 17:00:00
2.677,2.68,2.673,2.678,2274.6,2023-01-03 18:00:00
2.673,2.727,2.673,2.716,15300.9,2023-01-03 19:00:00
2.688,2.694,2.664,2.687,3260.6,2023-01-03 20:00:00
2.685,2.697,2.676,2.697,1808.3,2023-01-03 21:00:00
2.699,2.699,2.671,2.683,1975.6,2023-01-03 22:00:00
2.681,2.681,2.646,2.656,8295.8,2023-01-03 23:00:00
2.662,2.689,2.662,2.688,846.4,2023-01-04 00:00:00
2.69,2.696,2.665,2.665,1729.2,2023-01-04 01:00:00
2.664,2.679,2.663,2.669,2171.0,2023-01-04 02:00:00
2.668,2.668,2.65,2.655,1204.6,2023-01-04 03:00:00
2.665,2.667,2.655,2.655,2206.2,2023-01-04 04:00:00
2.665,2.682,2.656,2.656,6126.7,2023-01-04 05:00:00
2.654,2.666,2.636,2.663,6500.1,2023-01-04 06:00:00
2.669,2.672,2.65,2.65,1097.7,2023-01-04 07:00:00
2.65,2.672,2.643,2.665,1632.9,2023-01-04 08:00:00
2.669,2.672,2.654,2.654,244.6,2023-01-04 09:00:00
2.649,2.649,2.629,2.629,2564.4,2023-01-04 10:00:00
2.628,2.638,2.61,2.617,1270.4,2023-01-04 11:00:00
2.61,2.638,2.61,2.637,2333.2,2023-01-04 12:00:00
2.644,2.673,2.639,2.646,6741.4,2023-01-04 13:00:00
2.645,2.645,2.59,2.59,8856.7,2023-01-04 14:00:00
2.587,2.6,2.561,2.576,6175.0,2023-01-04 15:00:00
2.574,2.604,2.574,2.601,1957.0,2023-01-04 16:00:00
2.597,2.619,2.59,2.609,7122.5,2023-01-04 17:00:00
2.612,2.629,2.591,2.629,5318.7,2023-01-04 18:00:00
2.632,2.662,2.632,2.655,6643.2,2023-01-04 19:00:00
2.654,2.669,2.639,2.648,4866.8,2023-01-04 20:00:00
2.632,2.687,2.632,2.683,50265.3,2023-01-04 21:00:00
2.676,2.681,2.655,2.655,1122.1,2023-01-04 22:00:00
2.654,2.678,2.647,2.669,6842.9,2023-01-04 23:00:00
2.676,2.676,2.657,2.658,1748.1,2023-01-05 00:00:00
2.65,2.67,2.65,2.669,1789.6,2023-01-05 01:00:00
2.667,2.668,2.657,2.659,1575.4,2023-01-05 02:00:00
2.66,2.67,2.657,2.668,1506.7,2023-01-05 03:00:00
2.668,2.702,2.668,2.702,2975.9,2023-01-05 04:00:00
2.697,2.735,2.697,2.717,12205.6,2023-01-05 05:00:00
2.716,2.716,2.641,2.645,8877.7,2023-01-05 06:00:00
2.652,2.664,2.614,2.617,1216.9,2023-01-05 07:00:00
2.616,2.643,2.585,2.599,1556.2,2023-01-05 08:00:00
2.609,2.614,2.544,2.569,2385.2,2023-01-05 09:00:00
2.57,2.59,2.561,2.586,1265.7,2023-01-05 10:00:00
2.586,2.591,2.574,2.574,1591.8,2023-01-05 11:00:00
2.562,2.562,2.531,2.537,8819.9,2023-01-05 12:00:00
2.53,2.543,2.491,2.536,69821.8,2023-01-05 13:00:00
2.536,2.536,2.432,2.444,33020.2,2023-01-05 14:00:00
2.44,2.483,2.412,2.48,67913.3,2023-01-05 15:00:00
2.471,2.511,2.468,2.511,10782.4,2023-01-05 16:00:00
2.509,2.509,2.457,2.464,2877.3,2023-01-05 17:00:00
2.46,2.49,2.451,2.487,8961.5,2023-01-05 18:00:00
2.483,2.528,2.466,2.52,44424.6,2023-01-05 19:00:00
2.518,2.565,2.499,2.548,12689.4,2023-01-05 20:00:00
2.551,2.552,2.457,2.471,68027.5,2023-01-05 21:00:00
2.484,2.529,2.47,2.473,14411.2,2023-01-05 22:00:00
2.475,2.495,2.428,2.451,11524.2,2023-01-05 23:00:00
2.449,2.469,2.446,2.448,639.3,2023-01-06 00:00:00
2.442,2.451,2.431,2.448,5082.2,2023-01-06 01:00:00
2.438,2.438,2.28,2.31,36855.8,2023-01-06 02:00:00
2.297,2.299,1.886,2.204,132555.2,2023-01-06 03:00:00
2.201,2.222,2.047,2.222,63240.5,2023-01-06 04:00:00
2.213,2.275,2.194,2.25,32353.1,2023-01-06 05:00:00
2.252,2.3,2.194,2.253,70224.3,2023-01-06 06:00:00
2.263,2.263,2.211,2.251,43827.3,2023-01-06 07:00:00
2.25,2.25,2.151,2.151,47063.8,2023-01-06 08:00:00
2.156,2.167,2.068,2.167,29567.0,2023-01-06 09:00:00
