Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
674.4,681.4,669.5,677.9,76.3032,2023-01-01 00:00:00
678.5,688.9,677.8,678.8,92.4396,2023-01-01 01:00:00
678.5,686.0,661.6,669.5,135.6241,2023-01-01 02:00:00
666.2,678.2,663.9,675.6,96.168,2023-01-01 03:00:00
675.6,677.6,666.2,666.9,57.9631,2023-01-01 04:00:00
666.9,667.4,644.0,657.0,169.7024,2023-01-01 05:00:00
657.4,658.8,639.0,641.9,152.4811,2023-01-01 06:00:00
642.3,654.6,624.7,639.3,239.7685,2023-01-01 07:00:00
637.5,672.3,637.5,658.2,26.5561,2023-01-01 08:00:00
659.0,679.3,659.0,662.9,43.2608,2023-01-01 09:00:00
665.6,688.9,665.6,674.4,26.7694,2023-01-01 10:00:00
673.5,676.6,658.0,665.0,57.9333,2023-01-01 11:00:00
665.0,665.1,656.1,663.7,25.5307,2023-01-01 12:00:00
663.6,674.0,659.6,668.9,256.9492,2023-01-01 13:00:00
668.9,680.4,666.8,671.5,80.6307,2023-01-01 14:00:00
671.5,672.6,663.1,666.5,61.5642,2023-01-01 15:00:00
663.8,666.9,662.2,666.9,115.7203,2023-01-01 16:00:00
664.2,677.1,663.3,676.9,75.2884,2023-01-01 17:00:00
677.6,687.1,674.4,683.9,135.4844,2023-01-01 18:00:00
683.2,700.0,677.6,690.3,131.5857,2023-01-01 19:00:00
692.7,694.0,680.7,690.6,123.8007,2023-01-01 20:00:00
685.0,702.5,685.0,694.6,275.5449,2023-01-01 21:00:00
698.5,723.8,697.0,716.7,227.5069,2023-01-01 22:00:00
717.8,717.8,706.3,712.5,115.6706,2023-01-01 23:00:00
716.0,724.9,698.9,704.2,178.4715,2023-01-02 00:00:00
703.9,704.4,677.0,684.3,1403.9146,2023-01-02 01:00:00
682.7,700.1,669.0,692.3,1991.7341,2023-01-02 02:00:00
692.3,702.0,684.4,686.5,94.3295,2023-01-02 03:00:00
689.1,694.2,650.1,681.8,296.2123,2023-01-02 04:00:00
676.7,701.4,666.7,681.5,56.9002,2023-01-02 05:00:00
678.5,720.4,673.1,713.7,49.4646,2023-01-02 06:00:00
716.4,738.0,713.6,725.9,121.743,2023-01-02 07:00:00
728.3,728.3,717.3,721.8,57.2707,2023-01-02 08:00:00
721.8,730.0,711.0,730.0,214.7041,2023-01-02 09:00:00
728.8,748.8,725.0,740.4,284.3791,2023-01-02 10:00:00
740.5,740.5,725.2,726.7,273.9893,2023-01-02 11:00:00
727.0,729.0,719.5,719.5,67.3979,2023-01-02 12:00:00
719.5,730.9,716.5,730.9,79.9007,2023-01-02 13:00:00
728.4,731.5,722.7,722.7,108.3252,2023-01-02 14:00:00
723.2,729.0,708.1,721.0,327.387,2023-01-02 15:00:00
722.2,737.5,702.0,733.3,195.1329,2023-01-02 16:00:00
737.7,745.9,726.3,727.6,264.9541,2023-01-02 17:00:00
727.8,743.4,710.0,710.3,147.3256,2023-01-02 18:00:00
713.2,730.9,700.0,716.6,150.1432,2023-01-02 19:00:00
716.2,719.9,704.6,715.2,57.8048,2023-01-02 20:00:00
714.8,723.8,708.5,710.1,121.6291,2023-01-02 21:00:00
712.4,722.9,709.4,719.9,36.5649,2023-01-02 22:00:00
719.9,729.0,717.0,726.2,47.4303,2023-01-02 23:00:00
724.4,726.9,710.9,710.9,82.4863,2023-01-03 00:00:00
