Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
8.443,8.781,8.43,8.738,58015.45,2023-01-01 00:00:00
8.729,8.937,8.694,8.714,74268.59,2023-01-01 01:00:00
8.714,8.874,8.469,8.558,55436.91,2023-01-01 02:00:00
8.568,8.693,8.489,8.584,23194.37,2023-01-01 03:00:00
8.576,8.645,8.429,8.441,7405.77,2023-01-01 04:00:00
8.46,8.492,8.226,8.34,11470.68,2023-01-01 05:00:00
8.342,8.38,8.132,8.163,5913.1,2023-01-01 06:00:00
8.156,8.156,7.853,7.987,23841.68,2023-01-01 07:00:00
7.965,8.194,7.961,8.112,26435.06,2023-01-01 08:00:00
8.11,8.398,8.081,8.141,42179.51,2023-01-01 09:00:00
8.143,8.453,8.092,8.304,16192.8,2023-01-01 10:00:00
8.309,8.318,8.134,8.244,8368.71,2023-01-01 11:00:00
8.25,8.535,8.197,8.52,12750.38,2023-01-01 12:00:00
8.52,8.628,8.437,8.582,17772.83,2023-01-01 13:00:00
8.584,8.658,8.546,8.587,14314.39,2023-01-01 14:00:00
8.592,8.616,8.513,8.561,12595.33,2023-01-01 15:00:00
8.543,8.555,8.44,8.493,6022.1,2023-01-01 16:00:00
8.497,8.549,8.461,8.515,6886.85,2023-01-01 17:00:00
8.499,8.633,8.495,8.565,11428.04,2023-01-01 18:00:00
8.568,8.698,8.528,8.551,16227.67,2023-01-01 19:00:00
8.557,8.594,8.359,8.384,12944.57,2023-01-01 20:00:00
8.387,8.493,8.27,8.36,16077.74,2023-01-01 21:00:00
8.366,8.526,8.313,8.5,20111.07,2023-01-01 22:00:00
8.508,8.624,8.431,8.614,14214.92,2023-01-01 23:00:00
8.622,8.685,8.56,8.581,21575.82,2023-01-02 00:00:00
8.588,8.717,8.418,8.471,28857.29,2023-01-02 01:00:00
8.462,8.628,8.363,8.433,33959.44,2023-01-02 02:00:00
8.419,8.498,8.37,8.409,5977.02,2023-01-02 03:00:00
8.406,8.531,8.022,8.364,14206.75,2023-01-02 04:00:00
8.359,8.506,8.193,8.25,7387.5,2023-01-02 05:00:00
8.254,8.561,8.192,8.533,12673.08,2023-01-02 06:00:00
8.532,8.667,8.511,8.612,24011.59,2023-01-02 07:00:00
8.615,8.783,8.532,8.763,22357.56,2023-01-02 08:00:00
8.765,8.765,8.557,8.668,4125.02,2023-01-02 09:00:00
8.669,8.838,8.657,8.838,8625.97,2023-01-02 10:00:00
8.832,8.832,8.623,8.625,6173.79,2023-01-02 11:00:00
8.626,8.744,8.591,8.687,2961.41,2023-01-02 12:00:00
8.678,8.844,8.607,8.813,9874.02,2023-01-02 13:00:00
8.809,8.97,8.802,8.833,19806.0,2023-01-02 14:00:00
8.833,8.856,8.576,8.665,21316.08,2023-01-02 15:00:00
8.67,8.675,8.448,8.532,56495.29,2023-01-02 16:00:00
8.537,8.658,8.417,8.468,17288.84,2023-01-02 17:00:00
8.458,8.527,8.241,8.273,27881.6,2023-01-02 18:00:00
8.273,8.7,8.248,8.604,32511.98,2023-01-02 19:00:00
8.594,8.837,8.539,8.776,17459.41,2023-01-02 20:00:00
8.777,8.9,8.71,8.793,30888.65,2023-01-02 21:00:00
8.796,9.213,8.763,9.193,55823.33,2023-01-02 22:00:00
9.186,9.292,8.997,9.043,46013.36,2023-01-02 23:00:00
9.041,9.16,8.971,9.126,14741.08,2023-01-03 00:00:00
9.117,9.135,8.977,9.023,12447.06,2023-01-03 01:00:00
9.015,9.024,8.88,8.927,8573.04,2023-01-03 02:00:00
8.931,8.97,8.893,8.894,10175.68,2023-01-03 03:00:00
8.898,9.055,8.866,9.032,3514.39,2023-01-03 04:00:00
9.027,9.056,8.834,8.853,8795.11,2023-01-03 05:00:00
8.855,8.859,8.708,8.743,23217.26,2023-01-03 06:00:00
8.738,8.816,8.695,8.809,5620.66,2023-01-03 07:00:00
8.807,8.985,8.784,8.896,3979.22,2023-01-03 08:00:00
8.904,8.904,8.657,8.658,7390.3,2023-01-03 09:00:00
8.656,8.74,8.613,8.653,6891.5,2023-01-03 10:00:00
8.644,8.665,8.554,8.563,5856.05,2023-01-03 11:00:00
8.56,8.645,8.542,8.631,13128.9,2023-01-03 12:00:00
8.626,8.685,8.532,8.576,20024.19,2023-01-03 13:00:00
8.577,8.612,8.51,8.584,5177.59,2023-01-03 14:00:00
8.584,8.625,8.549,8.562,6413.81,2023-01-03 15:00:00
8.559,8.587,8.51,8.545,8790.11,2023-01-03 16:00:00
8.548,8.674,8.533,8.6,5800.42,2023-01-03 17:00:00
8.606,8.678,8.594,8.666,6230.84,2023-01-03 18:00:00
8.666,8.714,8.646,8.707,24848.39,2023-01-03 19:00:00
8.706,8.733,8.631,8.692,8035.67,2023-01-03 20:00:00
8.685,8.685,8.572,8.631,25866.91,2023-01-03 21:00:00
8.634,8.638,8.546,8.572,13012.07,2023-01-03 22:00:00
8.572,8.58,8.4,8.442,14494.97,2023-01-03 23:00:00
8.448,8.61,8.448,8.581,15423.22,2023-01-04 00:00:00
8.581,8.629,8.49,8.502,3683.2,2023-01-04 01:00:00
8.504,8.551,8.498,8.525,4109.11,2023-01-04 02:00:00
8.519,8.524,8.487,8.493,3083.92,2023-01-04 03:00:00
8.477,8.51,8.437,8.466,4368.94,2023-01-04 04:00:00
8.468,8.545,8.456,8.468,2063.19,2023-01-04 05:00:00
8.469,8.555,8.458,8.534,3503.41,2023-01-04 06:00:00
8.536,8.556,8.488,8.523,8762.01,2023-01-04 07:00:00
8.521,8.546,8.447,8.457,11152.29,2023-01-04 08:00:00
8.456,8.512,8.427,8.452,2365.89,2023-01-04 09:00:00
8.447,8.46,8.329,8.332,4366.45,2023-01-04 10:00:00
8.335,8.34,8.232,8.265,12399.95,2023-01-04 11:00:00
8.262,8.264,8.173,8.264,5666.72,2023-01-04 12:00:00
8.26,8.366,8.259,8.353,4181.47,2023-01-04 13:00:00
8.34,8.345,8.195,8.217,6412.63,2023-01-04 14:00:00
8.211,8.276,8.141,8.197,5667.74,2023-01-04 15:00:00
8.198,8.279,8.194,8.27,5287.39,2023-01-04 16:00:00
8.267,8.338,8.249,8.302,3789.61,2023-01-04 17:00:00
8.303,8.357,8.244,8.338,2323.82,2023-01-04 18:00:00
8.333,8.423,8.319,8.412,4121.45,2023-01-04 19:00:00
8.414,8.421,8.334,8.336,9328.8,2023-01-04 20:00:00
8.342,8.385,8.269,8.358,3435.54,2023-01-04 21:00:00
8.365,8.385,8.286,8.308,2593.2,2023-01-04 22:00:00
8.311,8.367,8.265,8.354,1728.64,2023-01-04 23:00:00
8.351,8.354,8.258,8.264,3171.85,2023-01-05 00:00:00
8.264,8.32,8.233,8.32,3817.0,2023-01-05 01:00:00
8.316,8.347,8.286,8.327,2964.82,2023-01-05 02:00:00
8.299,8.369,8.298,8.347,3763.51,2023-01-05 03:00:00
8.346,8.406,8.335,8.401,1328.46,2023-01-05 04:00:00
8.401,8.421,8.346,8.377,3966.65,2023-01-05 05:00:00
8.387,8.387,8.158,8.204,4476.08,2023-01-05 06:00:00
8.212,8.262,8.135,8.149,2436.8,2023-01-05 07:00:00
8.146,8.2,8.03,8.07,4183.23,2023-01-05 08:00:00
8.062,8.116,7.894,7.977,10375.21,2023-01-05 09:00:00
7.974,8.051,7.925,8.041,4981.17,2023-01-05 10:00:00
8.048,8.076,8.033,8.056,3735.64,2023-01-05 11:00:00
8.057,8.058,7.93,7.974,4458.35,2023-01-05 12:00:00
7.957,7.969,7.8,7.935,24429.17,2023-01-05 13:00:00
7.935,7.938,7.676,7.712,15793.12,2023-01-05 14:00:00
7.71,7.804,7.618,7.701,25127.39,2023-01-05 15:00:00
7.707,7.8,7.704,7.783,8358.2,2023-01-05 16:00:00
7.776,7.792,7.58,7.618,14930.87,2023-01-05 17:00:00
7.61,7.676,7.52,7.653,15961.87,2023-01-05 18:00:00
7.651,7.802,7.621,7.768,12334.72,2023-01-05 19:00:00
7.772,7.849,7.659,7.792,12205.5,2023-01-05 20:00:00
7.791,7.814,7.485,7.536,15080.47,2023-01-05 21:00:00
7.514,7.626,7.49,7.515,10365.91,2023-01-05 22:00:00
7.511,7.591,7.437,7.437,7219.39,2023-01-05 23:00:00
7.443,7.535,7.443,7.474,7345.04,2023-01-06 00:00:00
7.472,7.512,7.417,7.422,9645.24,2023-01-06 01:00:00
7.422,7.435,6.792,6.961,115431.72,2023-01-06 02:00:00
6.957,8.82,3.8,6.58,174846.26,2023-01-06 03:00:00
6.57,6.685,5.924,6.663,89734.95,2023-01-06 04:00:00
6.668,6.771,6.581,6.668,24712.58,2023-01-06 05:00:00
6.665,6.838,6.522,6.781,21088.43,2023-01-06 06:00:00
6.783,6.842,6.628,6.755,16962.34,2023-01-06 07:00:00
6.746,6.746,6.459,6.459,7769.14,2023-01-06 08:00:00
6.456,6.535,6.245,6.524,15764.26,2023-01-06 09:00:00
6.522,6.636,6.365,6.632,13844.09,2023-01-06 10:00:00
6.627,6.73,6.586,6.709,9483.87,2023-01-06 11:00:00
6.71,6.91,6.67,6.863,15236.17,2023-01-06 12:00:00
6.86,6.886,6.776,6.882,15781.16,2023-01-06 13:00:00
6.88,6.88,6.737,6.789,16555.77,2023-01-06 14:00:00
6.787,6.875,6.749,6.851,21170.93,2023-01-06 15:00:00
6.848,7.0,6.848,6.945,11249.78,2023-01-06 16:00:00
6.943,6.98,6.798,6.838,10022.11,2023-01-06 17:00:00
6.844,6.856,6.528,6.56,12406.05,2023-01-06 18:00:00
6.559,6.756,6.559,6.675,17711.94,2023-01-06 19:00:00
6.679,6.829,6.658,6.699,14438.76,2023-01-06 20:00:00
6.706,6.731,6.315,6.336,22310.56,2023-01-06 21:00:00
6.339,6.745,6.262,6.693,43470.8,2023-01-06 22:00:00
6.692,6.696,6.292,6.295,24295.05,2023-01-06 23:00:00
6.298,6.574,6.256,6.523,17757.82,2023-01-07 00:00:00
6.52,6.61,6.493,6.557,6263.43,2023-01-07 01:00:00
6.549,6.675,6.52,6.646,7827.39,2023-01-07 02:00:00
6.645,6.76,6.629,6.692,5651.48,2023-01-07 03:00:00
6.691,6.734,6.631,6.663,1744.77,2023-01-07 04:00:00
6.668,6.719,6.613,6.635,3564.35,2023-01-07 05:00:00
6.637,6.699,6.487,6.591,16927.64,2023-01-07 06:00:00
6.592,6.604,6.413,6.416,2598.43,2023-01-07 07:00:00
6.418,6.675,6.398,6.642,3885.68,2023-01-07 08:00:00
6.637,6.735,6.632,6.677,5513.95,2023-01-07 09:00:00
6.691,6.725,6.616,6.673,1852.09,2023-01-07 10:00:00
6.673,6.687,6.596,6.63,5465.89,2023-01-07 11:00:00
6.631,6.697,6.621,6.673,2228.69,2023-01-07 12:00:00
6.694,6.724,6.567,6.567,3262.06,2023-01-07 13:00:00
6.576,6.796,6.576,6.736,6242.61,2023-01-07 14:00:00
6.744,6.768,6.674,6.767,7420.72,2023-01-07 15:00:00
6.771,6.783,6.7,6.74,7822.83,2023-01-07 16:00:00
6.738,6.819,6.722,6.753,27752.45,2023-01-07 17:00:00
6.749,6.875,6.749,6.827,16336.19,2023-01-07 18:00:00
6.831,7.065,6.808,6.97,45313.89,2023-01-07 19:00:00
6.966,7.19,6.906,7.123,37979.91,2023-01-07 20:00:00
7.126,7.247,7.11,7.213,30965.78,2023-01-07 21:00:00
7.22,7.355,7.22,7.293,23995.38,2023-01-07 22:00:00
7.293,7.378,7.157,7.18,14339.51,2023-01-07 23:00:00
7.18,7.279,7.173,7.202,51387.62,2023-01-08 00:00:00
7.202,7.268,7.197,7.268,26442.62,2023-01-08 01:00:00
7.269,7.305,7.195,7.216,10807.32,2023-01-08 02:00:00
7.202,7.213,7.164,7.178,7874.54,2023-01-08 03:00:00
7.178,7.224,7.136,7.198,10389.01,2023-01-08 04:00:00
7.196,7.234,7.178,7.212,38229.04,2023-01-08 05:00:00
