Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
6.928,6.97,6.901,6.936,2170.37,2023-01-01 00:00:00
6.928,7.011,6.928,6.999,3623.29,2023-01-01 01:00:00
6.992,7.038,6.876,6.925,7339.51,2023-01-01 02:00:00
6.926,6.984,6.888,6.977,5499.54,2023-01-01 03:00:00
6.987,7.002,6.903,6.915,2317.57,2023-01-01 04:00:00
6.912,6.914,6.817,6.905,3973.12,2023-01-01 05:00:00
6.907,6.978,6.77,6.77,7910.98,2023-01-01 06:00:00
6.777,6.777,6.603,6.675,5320.91,2023-01-01 07:00:00
6.663,6.836,6.662,6.803,6852.42,2023-01-01 08:00:00
6.819,6.886,6.723,6.751,4953.22,2023-01-01 09:00:00
6.75,6.868,6.75,6.868,3492.48,2023-01-01 10:00:00
6.837,6.86,6.766,6.819,3862.06,2023-01-01 11:00:00
6.819,6.869,6.787,6.856,3764.11,2023-01-01 12:00:00
6.863,6.936,6.861,6.93,3842.63,2023-01-01 13:00:00
6.926,6.968,6.899,6.919,2637.63,2023-01-01 14:00:00
6.922,6.93,6.902,6.905,15970.03,2023-01-01 15:00:00
6.902,6.929,6.884,6.929,4796.72,2023-01-01 16:00:00
6.929,7.031,6.926,7.015,27128.96,2023-01-01 17:00:00
7.03,7.044,6.934,6.955,15100.71,2023-01-01 18:00:00
6.953,6.98,6.925,6.946,8048.81,2023-01-01 19:00:00
6.957,6.999,6.921,6.966,5984.43,2023-01-01 20:00:00
6.971,6.975,6.854,6.93,6830.82,2023-01-01 21:00:00
6.93,6.997,6.894,6.969,4667.29,2023-01-01 22:00:00
6.961,6.971,6.851,6.911,5750.19,2023-01-01 23:00:00
6.914,6.961,6.894,6.925,2828.92,2023-01-02 00:00:00
6.924,6.971,6.808,6.827,3168.91,2023-01-02 01:00:00
6.816,6.87,6.738,6.87,4479.37,2023-01-02 02:00:00
6.87,6.886,6.843,6.886,1091.47,2023-01-02 03:00:00
6.885,6.902,6.438,6.823,12009.74,2023-01-02 04:00:00
6.8,6.856,6.741,6.797,7749.56,2023-01-02 05:00:00
6.804,6.902,6.766,6.902,2795.97,2023-01-02 06:00:00
6.903,6.953,6.893,6.908,1996.95,2023-01-02 07:00:00
6.91,6.927,6.876,6.926,860.93,2023-01-02 08:00:00
6.894,6.93,6.894,6.928,421.7,2023-01-02 09:00:00
6.934,6.954,6.924,6.931,679.31,2023-01-02 10:00:00
6.925,6.925,6.854,6.874,3144.35,2023-01-02 11:00:00
6.874,6.92,6.867,6.897,708.73,2023-01-02 12:00:00
6.899,6.899,6.852,6.855,1654.72,2023-01-02 13:00:00
