Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
87.87,88.12,86.92,87.88,829.273,2023-01-01 00:00:00
88.19,88.67,87.52,87.8,972.816,2023-01-01 01:00:00
87.84,88.93,85.83,86.29,1466.078,2023-01-01 02:00:00
87.12,95.68,86.5,94.64,2248.064,2023-01-01 03:00:00
94.33,95.0,89.47,89.85,4420.398,2023-01-01 04:00:00
89.92,90.81,88.43,90.81,1648.223,2023-01-01 05:00:00
90.98,90.98,87.63,88.14,205.279,2023-01-01 06:00:00
87.8,87.8,83.51,87.37,547.683,2023-01-01 07:00:00
87.27,89.62,87.03,88.44,855.575,2023-01-01 08:00:00
88.86,89.26,86.66,87.01,693.535,2023-01-01 09:00:00
87.34,92.39,86.81,91.22,645.98,2023-01-01 10:00:00
90.87,91.73,89.11,90.12,158.45,2023-01-01 11:00:00
90.2,90.32,88.56,89.67,382.077,2023-01-01 12:00:00
89.46,92.06,89.46,90.82,567.915,2023-01-01 13:00:00
90.41,91.55,89.8,91.55,73.177,2023-01-01 14:00:00
91.12,93.15,91.12,92.79,721.263,2023-01-01 15:00:00
92.44,92.44,90.7,91.19,713.023,2023-01-01 16:00:00
90.99,91.25,90.2,91.25,196.963,2023-01-01 17:00:00
91.15,91.89,90.39,90.77,36.716,2023-01-01 18:00:00
90.21,90.89,89.81,90.89,240.668,2023-01-01 19:00:00
90.35,91.19,89.43,90.89,261.822,2023-01-01 20:00:00
91.01,92.16,90.34,91.63,497.618,2023-01-01 21:00:00
91.37,92.43,90.52,91.99,612.285,2023-01-01 22:00:00
92.21,93.18,91.69,92.7,363.14,2023-01-01 23:00:00
92.7,93.02,91.16,91.95,130.261,2023-01-02 00:00:00
92.39,92.91,89.8,90.27,493.635,2023-01-02 01:00:00
89.79,91.6,88.83,91.6,466.79,2023-01-02 02:00:00
91.52,92.77,91.46,92.4,188.635,2023-01-02 03:00:00
92.86,93.12,86.6,89.62,1205.028,2023-01-02 04:00:00
89.03,90.98,88.23,89.48,96.505,2023-01-02 05:00:00
88.65,92.38,88.49,92.38,421.655,2023-01-02 06:00:00
92.45,93.74,91.88,93.24,1274.714,2023-01-02 07:00:00
92.96,93.02,92.13,93.02,238.203,2023-01-02 08:00:00
93.05,93.05,91.75,92.89,652.993,2023-01-02 09:00:00
92.85,94.58,92.81,93.6,2051.473,2023-01-02 10:00:00
93.48,93.99,93.48,93.99,32.206,2023-01-02 11:00:00
93.45,96.04,93.45,95.48,1447.67,2023-01-02 12:00:00
94.77,94.77,93.96,93.96,249.884,2023-01-02 13:00:00
94.01,94.48,93.05,93.29,611.501,2023-01-02 14:00:00
93.2,93.22,91.26,91.3,1472.421,2023-01-02 15:00:00
91.63,91.9,89.72,90.96,461.605,2023-01-02 16:00:00
91.44,91.59,90.17,90.62,114.279,2023-01-02 17:00:00
90.9,90.9,87.99,88.18,434.726,2023-01-02 18:00:00
88.13,92.29,88.11,91.88,640.305,2023-01-02 19:00:00
91.44,92.83,90.42,92.59,700.854,2023-01-02 20:00:00
92.49,94.41,92.49,93.48,309.684,2023-01-02 21:00:00
93.64,95.08,93.48,94.92,690.415,2023-01-02 22:00:00
95.07,97.4,95.07,95.4,987.965,2023-01-02 23:00:00
95.34,95.61,94.6,95.29,427.524,2023-01-03 00:00:00
95.5,96.43,95.47,96.23,184.365,2023-01-03 01:00:00
96.68,97.18,94.96,95.1,537.847,2023-01-03 02:00:00
95.26,95.55,94.51,94.51,62.056,2023-01-03 03:00:00
94.9,95.3,94.8,94.92,82.578,2023-01-03 04:00:00
95.1,95.24,94.36,94.96,105.34,2023-01-03 05:00:00
94.69,95.46,94.23,94.33,187.443,2023-01-03 06:00:00
94.52,95.05,94.33,94.55,161.546,2023-01-03 07:00:00
94.66,95.01,94.0,94.0,126.559,2023-01-03 08:00:00
94.05,94.39,93.0,94.39,132.798,2023-01-03 09:00:00
94.27,95.39,94.1,94.99,413.88,2023-01-03 10:00:00
94.88,96.18,94.65,95.92,494.599,2023-01-03 11:00:00
95.92,95.92,95.61,95.61,3.616,2023-01-03 12:00:00
95.0,95.65,94.51,95.61,354.684,2023-01-03 13:00:00
95.4,95.63,94.01,95.0,533.85,2023-01-03 14:00:00
95.67,95.74,95.18,95.22,344.404,2023-01-03 15:00:00
95.33,96.19,94.56,95.25,638.929,2023-01-03 16:00:00
95.23,95.81,95.2,95.39,178.557,2023-01-03 17:00:00
95.58,95.58,94.36,94.71,246.457,2023-01-03 18:00:00
94.25,94.71,94.16,94.56,482.044,2023-01-03 19:00:00
94.42,94.61,93.58,94.34,328.755,2023-01-03 20:00:00
94.14,94.63,93.8,93.89,241.128,2023-01-03 21:00:00
94.33,94.33,93.11,93.35,602.307,2023-01-03 22:00:00
93.09,93.09,91.96,92.41,865.095,2023-01-03 23:00:00
92.39,94.69,92.39,94.22,435.387,2023-01-04 00:00:00
94.23,94.64,93.44,93.67,6.591,2023-01-04 01:00:00
93.2,93.51,93.2,93.51,0.715,2023-01-04 02:00:00
93.39,93.69,93.39,93.61,194.585,2023-01-04 03:00:00
93.61,93.69,93.36,93.36,218.402,2023-01-04 04:00:00
93.73,94.33,93.73,94.03,80.757,2023-01-04 05:00:00
93.28,94.09,93.0,94.09,197.134,2023-01-04 06:00:00
93.94,93.99,92.64,92.77,493.57,2023-01-04 07:00:00
92.85,93.41,92.57,92.57,276.607,2023-01-04 08:00:00
92.65,93.34,92.33,92.67,9.83,2023-01-04 09:00:00
92.19,92.51,91.52,91.52,242.949,2023-01-04 10:00:00
91.52,91.52,90.79,91.33,33.798,2023-01-04 11:00:00
91.21,91.62,90.87,91.6,613.884,2023-01-04 12:00:00
